IND;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
59023;Minister of Security;Sayyid Wasif Ali Mirza Khan Bahadur;1936;1964;1999;PA;Compassionate Gentleman;Very High;INDSay;X
59024;Minister of Security;Syed Kasim Razvi;1936;1964;1999;PA;Prince of Terror;Very High;INDKas;X
59025;Minister of Security;Nawab Muhammad Habibullah;1936;1964;1999;PA;Back Stabber;Very High;INDHabi;X
59026;Head of Military Intelligence;Rajendrasinhji Jadeja;1936;1964;1999;SC;Logistics Specialist;High;INDRaj;X
59027;Head of Military Intelligence;Azam Jah of Berar;1936;1964;1999;FA;Dismal Enigma;High;INDAza;X
59028;Head of Military Intelligence;Krishna Raja Wadiyar IV;1936;1964;1999;PA;Technical Specialist;High;INDKri;X
59029;Chief of Staff;Rajendrasinhji Jadeja;1936;1964;1999;SC;School of Manoeuvre;High;INDRaj;X
59030;Chief of Staff;Kodandera Madappa Cariappa;1936;1964;1999;PA;School of Defence;High;INDKod;X
59031;Chief of Staff;Muhammad Ahmad Said Khan Chhatari;1936;1964;1999;PA;School of Psychology;High;INDMuh;X
59032;Chief of Army;Kodendera Subayya Thimayya;1936;1964;1999;PA;Static Defence Doctrine;High;INDThi;X
59033;Chief of Army;Azam Jah of Berar;1936;1964;1999;PA;Decisive Battle Doctrine;High;INDAza;X
59034;Chief of Air Force;H.K Patel;1936;1964;1999;PA;Air Superiority Doctrine;High;INDPat;X
59035;Chief of Air Force;Abdul Naeem Aziz;1936;1964;1999;SC;Army Aviation Doctrine;High;INDAzi;X
59036;Chief of Air Force;Syed Abbas Hussain;1936;1964;1999;SC;Carpet Bombing Doctrine;High;INDAbb;X
59037;Chief of Air Force;Alexander Joseph Sathyanathan;1936;1964;1999;PA;Air Superiority Doctrine;High;INDAle;X
59038;Chief of Air Force;Jagdish Chandra Varma;1936;1964;1999;SC;Vertical Envelopment Doctrine;High;INDVar;X
59039;Chief of Air Force;Hrushikesh Moolgavkar;1936;1964;1999;SC;Air Superiority Doctrine;High;INDMoo;X
59040;Chief of Air Force;Aspy Merwan Engineer;1936;1964;1999;PA;Army Aviation Doctrine;High;INDAsp;X
59041;Chief of Navy;D. N. Mukerji;1936;1964;1999;PA;Base Control Doctrine;High;INDMuk;X
59042;Chief of Navy;Adhar Kumar Chatterjee;1936;1964;1999;PA;Indirect Approach Doctrine;High;INDCha;X
59043;Chief of Navy;Ram Dass Katari;1936;1964;1999;PA;Indirect Approach Doctrine;High;INDRam;X
59044;Chief of Army;Rajaram II of Kolhapur;1936;1964;1999;PA;Elastic Defence Doctrine;High;INDRajaram;X
59045;Chief of Army;Bir Bikram Kishore Debbarman;1936;1964;1999;PA;Decisive Battle Doctrine;High;INDBik;X
59046;Minister of Security;Burgula Ramakrishna Rao;1936;1964;1999;SL;Man of the People;Very High;INDBur;X
59047;Chief of Staff;Syed Ahmed El Edroos;1936;1964;1999;FA;School of Fire Support;High;INDEdr;X
59048;Minister of Security;Nawab Deen Yar Jung Bahadur;1936;1964;1999;PA;Crime Fighter;Very High;INDDee;X
59049;Minister of Security;Raja Bahadur Venkatarama Reddy;1936;1964;1999;PA;Man of the People;Very High;INDVen;X
59050;Head of Military Intelligence;Azizul Haque;1936;1964;1999;PA;Political Specialist;High;INDHaq;X
59051;Head of Government;Osman Ali Khan;1960;1964;1999;FA;Flamboyant Tough Guy;High;INDOsm;X
59052;Head of Government;Akbar Hydari;1936;1964;1999;SC;Corporate Suit;High;INDAkb;X
59053;Minister of Armament;Nawab Mir Alam Ali Khan;1936;1964;1999;SC;Administrative Genius;High;INDAla;X
59054;Chief of Army;Nawab Subhan Ali Khan;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;INDSub;X
59055;Chief of Staff;Nawab Subhan Ali Khan;1936;1964;1999;PA;School of Mass Combat;High;INDSub;X
59056;Chief of Army;Nawab Hashim Nawaz Jung;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;INDNaw;X
59057;Head of Government;Nawab Fazal Nawaz Jung Bahadur;1936;1964;1999;SC;Smiling Oilman;High;INDFaz;X
59058;Minister of Armament;Nawab Fazal Nawaz Jung Bahadur;1936;1964;1999;SC;Balanced Budget Economy;High;INDFaz;X
59059;Foreign Minister;Kazi Zainul Abedin;1936;1964;1999;SC;Great Compromiser;High;INDKaz;X
59060;Head of Government;Madapati Hanumantha Rao;1936;1964;1999;ML;Naive Optimist;High;INDMad;X
59089;Head of State;Madapati Hanumantha Rao;1936;1964;1999;ML;Unpopular President;High;INDMad;X
59090;Minister of Armament;M. K. Vellodi;1936;1964;1999;SC;Industrialiser;Very High;INDVel;X
59061;Minister of Armament;Muhammad Raziuddin Siddiqui;1939;1964;1999;SC;Laissez-Faire Capitalist;High;INDRaz;X
59062;Chief of Air Force;Shri Krishna Chandra Welingkar;1936;1964;1999;SC;Air Superiority Doctrine;High;INDWel;X
59063;Minister of Security;Harilal Jekisundas Kania;1936;1964;1999;SC;Back Stabber;Very High;INDJek;X
59064;Head of Military Intelligence;Vijayasinhrao Fatehsinhrao Bhonsle;1936;1964;1999;PA;Dismal Enigma;High;INDFat;X
59065;Foreign Minister;Shri Khwaja Moin ud-din Khan;1936;1964;1999;ML;Great Compromiser;High;INDKwh;X
59066;Chief of Air Force;Yeshwantrao Martandrao Mukne;1936;1964;1999;SC;Carpet Bombing Doctrine;High;INDYes;X
59067;Head of Government;Krishna Raja Wadiyar IV;1936;1964;1999;PA;Flamboyant Tough Guy;High;INDKri;X
59068;Head of Government;Jayachamarajendra Wadiyar;1936;1964;1999;PA;Naive Optimist;High;INDJay;X
59069;Head of Government;Chithira Thirunal Balarama Varma;1936;1964;1999;SC;Ambitious Union Boss;High;INDChi;X
59070;Head of Government;Rajaram II of Kolhapur;1936;1964;1999;PA;Old General;High;INDRajaram;X
59071;Chief of Staff;Rao Raja Kalyan Singh Bahadur;1936;1964;1999;SC;School of Defence;High;INDKal;X
59072;Chief of Army;Nawab Sidi Mohamad Haidar Khan;1936;1964;1999;PA;Guns and Butter Doctrine;High;INDSid;X
59073;Minister of Security;M. Patanjali Sastri;1936;1964;1999;PA;Crime Fighter;High;U35Pat;X
59074;Head of Military Intelligence;Annepu Parasuramdas Patro;1936;1964;1999;PA;Political Specialist;High;U35Ann;X
59075;Foreign Minister;C.S. Ranga Iyer;1936;1964;1999;SC;Great Compromiser;High;U35CSR;X
59076;Foreign Minister;S. Rm. M. Annamalai Chettiar;1936;1964;1999;PA;Biased Intellectual;High;U35Uhm;X
59077;Chief of Staff;Sri Ramakrishna Ranga Rao;1936;1964;1999;PA;School of Psychology;Low;U35Ram;X
59078;Chief of Army;Sri Ramakrishna Ranga Rao;1936;1964;1999;PA;Guns and Butter Doctrine;Low;U35Ram;X
59079;Minister of Armament;M. A. Muthiah Chettiar;1936;1964;1999;PA;Bank President;High;U35Mut;X
59080;Minister of Armament;Cattamanchi Ramalinga Reddy;1936;1964;1999;SC;Resource Industrialist;High;INDCat;X
59081;Minister of Armament;Chintamanrao II Dhundirajao Patwardhan;1936;1964;1999;PA;Reformer;High;INDDhu;X
59082;Head of State;H.I.M. Osman Ali Khan I;1936;1964;1999;FA;Kaiser-I-Hind;High;INDOsman_emperor;X
59083;Chief of Staff;Khengarji III Sawai Bahadur;1936;1964;1999;SC;School of Defence;High;PAKKhen;X
59084;Chief of Staff;Maharaja Ranbir Singh;1936;1964;1999;SC;School of Psychology;High;PAKRanbir;X
59085;Minister of Security;Maharaja Pratap Singh Gaekwad;1936;1964;1999;PA;Media Magnate;High;PAKPratap;X
59086;Minister of Security;Khengarji III Sawai Bahadur;1936;1964;1999;SC;Compassionate Gentleman;High;PAKKhen;X
59087;Chief of Staff;Umed Singh II of Kotah;1936;1964;1999;SL;School of Defence;Very High;PAKUme;X
59088;Head of Military Intelligence;Maharaja K. S. Digvijaysinhji;1936;1964;1999;SD;Logistics Specialist;High;PAKDigv;X
