NOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
14073;Head of Military Intelligence;Gunnar Jahn;1936;1964;1999;SL;Industrial Specialist;Medium;M14060;X
14074;Head of Military Intelligence;Rolf Tendrup Palmstrøm;1942;1958;1999;SL;Technical Specialist;High;MRolf_Tendrup_Palmstrom;X
14075;Foreign Minister;Birger Ljungberg;1939;1949;1999;SC;General Staffer;High;L9620;X
14076;Chief of Staff;Finn Kjelstrup;1940;1949;1999;PA;School of Psychology;High;LFinn_Hannibal_Kjelstrup;X
14077;Chief of Staff;Carl Gustav Fleischer;1933;1948;1999;SC;School of Mass Combat;High;L9607;X
14078;Chief of Staff;Wilhelm von Tangen-Hansteen;1943;1961;1999;ML;School of Psychology;High;L9628;X
14079;Chief of Army;Halvor Hansson;1942;1951;1999;ML;Guns and Butter Doctrine;High;L9610;X
14080;Chief of Army;Otto Ruge;1938;1947;1999;SD;Guns and Butter Doctrine;High;L9623;X
14081;Chief of Army;Carl Gustav Fleischer;1938;1948;1999;SC;Elastic Defence Doctrine;High;L9607;X
14082;Chief of Army;Jacob Ager Laurantzon;1936;1942;1999;SC;Static Defence Doctrine;High;L9618;X
14083;Chief of Navy;Edvard Christian Danielsen;1942;1953;1999;SD;Indirect Approach Doctrine;High;L9636;X
14084;Chief of Navy;Johan Ulstrup;1946;1961;1999;SD;Coastal Defence Doctrine;High;LJohan_FAT_Ulstrup;X
14085;Chief of Navy;Christopher Meyer;1938;1964;1999;ML;Base Control Doctrine;Medium;M14085;X
14086;Chief of Navy;Elias Corneliussen;1938;1946;1999;ML;Open Seas Doctrine;High;L9635;X
14087;Chief of Navy;Thorleif Fjeldstad;1941;1964;1999;FA;Indirect Approach Doctrine;Medium;M14087;X
14088;Chief of Navy;Kjeld Stub Irgens;1936;1949;1999;FA;Merchant Navy Focus;High;M14088;X
14089;Chief of Air Force;Hjalmar Riiser-Larsen;1937;1955;1999;SD;Aviation Organizer;High;L9663;X
14090;Chief of Air Force;Bjarne Øen;1946;1963;1999;SD;Air Superiority Doctrine;High;L9665;X
14091;Chief of Air Force;Harald Emil Bruunsgaard;1930;1938;1999;SL;Naval Aviation Doctrine;High;L9634;X
14092;Chief of Air Force;Thomas Hartvig Gulliksen;1936;1956;1999;SL;Army Aviation Doctrine;High;M14092;X
14093;Chief of Air Force;Harald Normann;1939;1958;1999;SC;Air Superiority Doctrine;High;LHarald_Normann;X
14094;Chief of Air Force;Birger Fredrik Motzfeldt;1953;1963;1999;SL;Air Defence Doctrine;High;L9661;X
14095;Head of Military Intelligence;Carl Frølich Hanssen;1936;1948;1999;FA;Industrial Specialist;High;LCarl_Frolich_Hanssen;X
14099;Head of Government;Vidkun Quisling;1936;1964;1999;FA;Corporate Suit;High;M14012;X
14100;Foreign Minister;Vidkun Quisling;1936;1964;1999;FA;The Cloak N Dagger Schemer;High;M14012;X
14101;Minister of Security;Jonas Lie;1936;1950;1999;FA;Crime Fighter;High;M14015;X
14102;Head of Military Intelligence;Konrad Sundlo;1936;1946;1999;FA;Logistics Specialist;High;L9627;X
14103;Chief of Staff;Carl Frølich Hanssen;1936;1948;1999;FA;School of Fire Support;High;LCarl_Frolich_Hanssen;X
14104;Chief of Army;Wilhelm von Tangen-Hansteen;1948;1961;1999;ML;Doctrine of Autonomy;High;L9628;X
14105;Chief of Navy;Rolf Kiær;1936;1967;1999;SL;Hydrographic Service Proponent;High;MRolf_Kiaer;X
14106;Chief of Air Force;Finn Lambrechts;1950;1965;1999;SL;Naval Aviation Doctrine;High;L9658;X
14107;Head of State;Adam Egede Nissen;1936;1964;1999;ST;Insignificant Layman;High;M14021;X
14108;Head of Government;Emil Lövlien;1936;1964;1999;ST;Smiling Oilman;High;M14022;X
14109;Foreign Minister;Peder Furubotn;1936;1964;1999;LE;Ideological Crusader;Medium;M14023;X
14024;Minister of Armament;Henry Wilhelm Kristiansen;1936;1964;1999;ST;Planned Economy Proponent;High;M14024;X
14025;Minister of Security;Samuel Titlestad;1936;1964;1999;LE;Prince of Terror;High;M14025;X
14026;Head of Military Intelligence;Asbjorn Sunde;1936;1964;1999;ST;Political Specialist;Very High;M14026;X
14027;Chief of Staff;Arne Gauslå;1936;1964;1999;LE;School of Defence;High;M14027;X
14028;Chief of Army;Arne Gauslå;1936;1964;1999;LE;Elastic Defence Doctrine;Medium;M14027;X
14029;Chief of Navy;Skule Storheill;1951;1970;1999;SL;Open Seas Doctrine;High;L9645;X
14030;Chief of Air Force;Bernt Balchen;1948;1964;1999;ML;Vertical Envelopment Doctrine;High;L60485;X
14096;Head of Government;Oscar F. Torp;1951;1964;1999;SD;Smiling Oilman;High;M14051;X
14097;Minister of Armament;Nils Langhelle;1951;1964;1999;SD;Resource Industrialist;High;M14097;X
14098;Minister of Security;Oscar C. Gundersen;1946;1964;1999;SD;Silent Lawyer;High;M14098;X
14111;Foreign Minister;William Steffens;1935;1945;1999;SD;General Staffer;High;L9625;X
14112;Foreign Minister;Ragnvald Alfred Roscher-Lund;1946;1964;1999;SD;The Cloak N Dagger Schemer;High;L9622;X
14113;Minister of Armament;Otto Ruge;1933;1947;1999;SD;Reformer;High;L9623;X
14114;Minister of Armament;Finn Lützow-Holm;1934;1950;1999;SD;Air to Sea Proponent;High;L9659;X
14115;Minister of Armament;Mons Olai Haukeland;1946;1958;1999;SD;Infantry Proponent;High;LMons_Olai_Haukeland;X
14116;Minister of Armament;Edgar Otto;1934;1938;1999;SL;Battle Fleet Proponent;High;LEdgar_Otto;X
14117;Minister of Security;Ola Fritzner;1941;1960;1999;ML;Crime Fighter;High;MOla_Fritzner;X
14118;Head of Military Intelligence;Alf Martens Meyer;1946;1970;1999;SL;Naval Intelligence Specialist;High;LAlf_Martens_Meyer;X
14119;Chief of Staff;Rasmus Hatledal;1938;1950;1999;SD;School of Mass Combat;High;L9612;X
14120;Chief of Staff;Andreas Wettre;1938;1951;1999;SD;School of Manoeuvre;High;LAndreas_Wettre;X
14121;Chief of Army;Andreas Wettre;1940;1951;1999;SD;Old Cavalry General;High;LAndreas_Wettre;X
14122;Chief of Staff;Hans Reidar Holtermann;1946;1960;1999;SD;School of Fire Support;High;L9614;X
14123;Chief of Army;Hans Reidar Holtermann;1949;1960;1999;SD;Static Defence Doctrine;High;L9614;X
14124;Chief of Staff;Bjarne Øen;1957;1963;1999;SD;School of Psychology;High;L9665;X
14125;Foreign Minister;Bjarne Øen;1950;1963;1999;SD;General Staffer;High;L9665;X
14126;Head of Military Intelligence;Bjarne Øen;1946;1963;1999;SD;Logistics Specialist;High;L9665;X
14127;Chief of Staff;Ole Berg;1945;1955;1999;SL;School of Psychology;High;L9602;X
14128;Chief of Army;Ole Berg;1945;1955;1999;SL;Doctrine of Autonomy;High;L9602;X
14129;Head of Military Intelligence;Ole Berg;1928;1945;1999;SL;Logistics Specialist;High;L9602;X
14130;Chief of Staff;Ørnulf Dahl;1953;1965;1999;SL;School of Defence;High;LRagnvald_Ornulf_Rolsdorph_Dahl;X
14131;Chief of Staff;Bjørn Christophersen;1955;1965;1999;SL;School of Manoeuvre;High;LBjorn_Christophersen;X
14132;Chief of Army;Bjørn Christophersen;1955;1965;1999;SL;Armoured Spearhead Doctrine;High;LBjorn_Christophersen;X
14133;Chief of Staff;Harald Løken;1956;1970;1999;SL;School of Psychology;High;LHarald_Loken;X
14134;Chief of Staff;Ole Jacob Bangstad;1957;1970;1999;SL;Commando Doctrine Staff;High;LOle_Jacob_Bangstad;X
14135;Chief of Army;Ole Jacob Bangstad;1957;1970;1999;SL;Commando Doctrine Army;High;LOle_Jacob_Bangstad;X
14136;Chief of Staff;Herman Zeiner-Gundersen;1963;1970;1999;SL;School of Fire Support;High;LHerman_Zeiner-Gundersen;X
14137;Chief of Army;Herman Zeiner-Gundersen;1964;1970;1999;SL;Decisive Battle Doctrine;High;LHerman_Zeiner-Gundersen;X
14138;Chief of Air Force;Herman Zeiner-Gundersen;1963;1970;1999;SL;Air Defence Doctrine;High;LHerman_Zeiner-Gundersen;X
14139;Chief of Staff;Jacob Hvinden-Haug;1936;1945;1999;ML;School of Fire Support;High;L9615;X
14140;Chief of Staff;Olaf Helset;1946;1957;1999;ML;School of Mass Combat;High;L9613;X
14141;Chief of Army;Olaf Helset;1946;1957;1999;ML;Elastic Defence Doctrine;High;L9613;X
14142;Minister of Armament;Olaf Helset;1943;1957;1999;ML;Infantry Proponent;High;L9613;X
14143;Chief of Staff;Paal Frisvold;1956;1970;1999;ML;School of Psychology;High;LPaal_Frisvold;X
14144;Chief of Army;Paal Frisvold;1961;1970;1999;ML;Doctrine of Autonomy;High;LPaal_Frisvold;X
14145;Chief of Staff;Odd Lindbäck-Larsen;1948;1962;1999;SC;School of Mass Combat;High;LOdd_Lindback-Larsen;X
14146;Chief of Army;Odd Lindbäck-Larsen;1952;1962;1999;SC;Elastic Defence Doctrine;High;LOdd_Lindback-Larsen;X
14147;Chief of Army;Aage Rosenquist Pran;1951;1964;1999;SD;Guns and Butter Doctrine;High;LAage_Rosenquist_Pran;X
14148;Foreign Minister;Aage Rosenquist Pran;1942;1964;1999;SD;General Staffer;High;LAage_Rosenquist_Pran;X
14149;Chief of Army;Leif Crawford Rolstad;1956;1970;1999;SL;Elastic Defence Doctrine;High;LLeif_Crawford_Rolstad;X
14150;Chief of Army;Christopher Fougner;1934;1940;1999;ML;Old Cavalry General;High;LChristopher_Fougner;X
14151;Chief of Army;Ole Paus;1956;1970;1999;ML;Guns and Butter Doctrine;High;LOle_Otto_Paus;X
14152;Head of Military Intelligence;Ole Paus;1949;1970;1999;ML;Logistics Specialist;High;LOle_Otto_Paus;X
14153;Chief of Army;Arthur Qvist;1943;1961;1999;FA;Old Cavalry General;High;LArthur_Qvist;X
14154;Chief of Navy;Ragnvald A. Tamber;1959;1970;1999;SD;Coastal Defence Doctrine;High;LRagnvald_Andreassen_Tamber;X
14155;Chief of Navy;Carsten Tank-Nielsen;1936;1942;1999;SL;Indirect Approach Doctrine;High;L9646;X
14156;Minister of Armament;Carsten Tank-Nielsen;1936;1942;1999;SL;Submarine Proponent;High;L9646;X
14157;Chief of Navy;Per Askim;1939;1946;1999;SL;Coastal Defence Doctrine;High;L9631;X
14158;Chief of Navy;Thore Horve;1946;1964;1999;SL;Power Projection Doctrine;High;L9639;X
14159;Chief of Navy;Sigurd Valvatne;1954;1970;1999;SL;Indirect Approach Doctrine;High;LSigurd_Valvatne;X
14160;Chief of Navy;Harald Risnes;1955;1970;1999;SL;Base Control Doctrine;High;LHarald_Sjursen_Risnes;X
14161;Chief of Navy;Folke Hauger Johannessen;1964;1970;1999;SL;Power Projection Doctrine;High;LFolke_Hauger_Johannessen;X
14162;Chief of Navy;Aimar Sørenssen;1962;1970;1999;ML;Decisive Naval Battle Doctrine;High;LAimar_August_Sorenssen;X
14163;Chief of Navy;Olav Bergersen;1936;1945;1999;SC;Coastal Defence Doctrine;High;L9632;X
14164;Chief of Navy;Boy Roald Rist;1951;1970;1999;SC;Base Control Doctrine;High;LBoy_Roald_Rist;X
14165;Chief of Air Force;Johan Koren Christie;1952;1970;1999;SD;Aviation Organizer;High;L9656;X
14166;Minister of Armament;Johan Koren Christie;1952;1970;1999;SD;Air Superiority Proponent;High;L9656;X
14167;Chief of Air Force;Leif Husjord;1945;1964;1999;SL;Air Defence Doctrine;High;LLeif_Husjord;X
14168;Chief of Air Force;Odd Bull;1951;1970;1999;SL;Tactical Aviation Doctrine;High;LOdd_Bull;X
14169;Chief of Air Force;Kåre Stenwig;1958;1970;1999;SL;Carpet Bombing Doctrine;High;LKare_Johannes_Stenwig;X
14170;Chief of Air Force;Christian Roy Kaldager;1962;1970;1999;SL;Naval Aviation Doctrine;High;LChristian_Roy_Kaldager;X
14171;Chief of Air Force;Einar Tufte-Johnsen;1956;1970;1999;ML;Tactical Aviation Doctrine;High;LEinar_Tufte-Johnsen;X
14172;Chief of Air Force;Johannes B. Havig;1958;1970;1999;SC;Air Defence Doctrine;High;LJohannes_Bernhard_Havig;X
