INO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
577019;Foreign Minister;Sutan Sjahrir;1936;1964;1999;SD;Apologetic Clerk;Low;M577019;x
577020;Foreign Minister;Sukarjo Wiryopranato;1944;1964;1999;SD;Great Compromiser;Low;M577020;x
577021;Foreign Minister;Suryono Suripno;1936;1964;1999;LE;Iron Fisted Brute;High;M577021;x
577022;Minister of Armament;Sjarifudin Prawiranegara;1936;1964;1999;PA;Air to Sea Proponent;Low;M577022;x
577023;Minister of Armament;Dodechismo Djuanda;1944;1964;1999;PA;Tank Proponent;Low;M577023;x
577024;Minister of Armament;Haji Agus Salim;1945;1964;1999;PA;Administrative Genius;Low;M577024;x
577025;Minister of Armament;Hamengkubuwono VIII;1943;1964;1999;SC;Air Superiority Proponent;Medium;M577025;x
577026;Minister of Armament;Danudirjia Setiabudi;1936;1964;1999;SD;Infantry Proponent;Low;M577026;x
577027;Minister of Armament;Lukman Dan Sardjono;1936;1964;1999;LE;Military Entrepreneur;High;M577027;x
577028;Minister of Security;D.W. Cokroaminoto;1936;1964;1999;PA;Prince of Terror;Medium;M577028;x
577029;Minister of Security;Ngabehi van Jogakarta;1946;1964;1999;SC;Man of the People;High;M577029;x
577030;Minister of Security;Arie Frederick Lasut;1936;1964;1999;SD;Back Stabber;Medium;M577030;x
577031;Minister of Security;Adam Malik;1945;1964;1999;SD;Compassionate Gentleman;Medium;M577031;x
577032;Minister of Security;S.M. Kartosuwirjo;1936;1964;1999;LE;Efficient Sociopath;High;M577032;x
577033;Minister of Security;D.N. Aidit;1945;1964;1999;LE;Silent Lawyer;High;M577033;x
577034;Head of Military Intelligence;Sudirman;1936;1964;1999;PA;Logistics Specialist;High;M577034;x
577035;Head of Military Intelligence;Cipto Mangunkusomo;1938;1964;1999;PA;Technical Specialist;High;M577035;x
577036;Head of Military Intelligence;Mohammed Yamin;1936;1964;1999;SD;Industrial Specialist;High;M577036;x
577037;Head of Military Intelligence;T.N. Supratman;1936;1964;1999;LE;Political Specialist;Low;M577037;x
577038;Chief of Staff;Sudirman;1936;1964;1999;PA;School of Mass Combat;High;M577034;x
577039;Chief of Staff;Gerardus Berenschot;1939;1964;1999;SC;School of Defence;Very High;L7801;x
577040;Chief of Staff;Hein Ter Poorten;1941;1964;1999;SC;School of Fire Support;Very High;L7819;x
577041;Chief of Staff;Hamid II;1936;1964;1999;SD;School of Psychology;Low;M577041;x
577042;Chief of Staff;Tan Malaka;1936;1964;1999;LE;School of Mass Combat;High;M577042;x
577043;Chief of Army;Abdul Harris Nasution;1936;1964;1999;PA;Decisive Battle Doctrine;High;M577043;x
577044;Chief of Army;Hein Ter Poorten;1939;1964;1999;SC;Elastic Defence Doctrine;Very High;L7819;x
577045;Chief of Army;Rudolph Bakker;1941;1964;1999;SC;Armoured Spearhead Doctrine;Very High;L7800;x
577046;Chief of Army;Simon Spoor;1945;1964;1999;SC;Decisive Battle Doctrine;Very High;L7817;x
577047;Chief of Army;Uyrip Sumoharjo;1936;1964;1999;SD;Guns and Butter Doctrine;High;M577047;x
577048;Chief of Army;Tan Malaka;1936;1964;1999;LWR;Decisive Battle Doctrine;High;M577042;x
577049;Chief of Navy;Hamengkubuwono IX;1936;1964;1999;PA;Open Seas Doctrine;High;M577049;x
577050;Chief of Navy;We Yohannes;1936;1964;1999;SD;Indirect Approach Doctrine;Low;M577050;x
577051;Chief of Navy;Ahmad Alimin;1936;1964;1999;LE;Decisive Naval Battle Doctrine;Low;M577051;x
577052;Chief of Air Force;Achmed Sukarno;1936;1964;1999;PA;Naval Aviation Doctrine;High;M577011;x
577053;Chief of Air Force;Mohammed Jusf;1942;1964;1999;PA;Air Superiority Doctrine;High;M577053;x
577054;Chief of Air Force;R.M. Suryo;1936;1964;1999;SD;Vertical Envelopment Doctrine;High;M577054;x
577055;Chief of Air Force;I.M. Najoan;1936;1964;1999;LE;Carpet Bombing Doctrine;Low;M577055;x
577056;Head of Government;Abdul Halim;1950;1964;1999;PA;Naive Optimist;Very High;M577056;x
577057;Head of Government;Mohammed Natsir;1950;1964;1999;PA;Corporate Suit;Very High;M577057;x
577058;Head of Government;Sukoman Wirjosandjojo;1951;1964;1999;PA;Smiling Oilman;Very High;M577058;x
577059;Head of Government;Siswanto Wilopo;1952;1964;1999;PA;Ambitious Union Boss;Very High;M577059;x
577060;Head of Government;Ali Sastromidjojo;1953;1964;1999;PA;Silent Workhorse;Very High;M577060;x
577061;Foreign Minister;Muhammad Hatta;1951;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M577014;x
577062;Minister of Security;Abdul Halim;1949;1964;1999;PA;Crime Fighter;Medium;M577056;x
577063;Chief of Staff;Wakil Pakmehasan;1950;1964;1999;PA;School of Manoeuvre;Low;M577063;x
577064;Head of State;H.K.H. Wilhelmina;1936;1964;1999;PA;Popular Figurehead;Very High;M8001;x
577065;Head of State;H.K.H. Wilhelmina;1936;1964;1999;ML;Popular Figurehead;Very High;M8001;x
577066;Head of State;S.K.H. Juliana;1946;1964;1999;SD;Popular Figurehead;High;M8186;x
577067;Head of State;S.K.H. Juliana;1946;1964;1999;SC;Popular Figurehead;High;M8186;x
577068;Head of State;S.K.H. Juliana;1946;1964;1999;PA;Popular Figurehead;High;M8186;x
577071;Head of State;Dewan Kerajaan;1936;1964;1999;PA;Popular Figurehead;High;KR_INO_DEWAN;X
577069;Head of Government;Hamengkubowono IX;1936;1964;1999;PA;Flamboyant Tough Guy;Very High;M577018;x
577070;Head of State;Dewan Kerajaan;1936;1964;1999;ML;Popular Figurehead;High;KR_INO_DEWAN;X
