BOS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
546023;Minister of Security;Halid-beg Hrasnica;1936;1964;1999;SC;Silent Lawyer;High;BOS-KR_Halid-Beg_Hrasnica;X
546024;Minister of Security;Danilo Dimovic;1936;1964;1999;SC;Silent Lawyer;High;BOS-KR_Danilo_Dimovic;X
546025;Minister of Security;Fehim ef. Spaho;1936;1964;1999;SC;Compassionate Gentleman;High;M546025;X
546026;Minister of Security;Ibrahim ef. Fejic;1936;1964;1999;SC;Man of the People;High;M546006;X
546027;Head of Military Intelligence;Ibrahim Pjanic;1936;1964;1999;FA;Logistics Specialist;High;BOS-KR_Ibrahim_Pjanic;X
546028;Head of Military Intelligence;Muhamed Hadziefendic;1936;1964;1999;FA;Political Specialist;High;BOS-KR_Muhamed_Hadziefendic;X
546029;Head of Military Intelligence;Rodoljub Colakovic;1936;1964;1999;LE;Political Specialist;High;BOS-KR_Rodoljub_Colakovic;X
546030;Chief of Staff;Ivan Markulj;1936;1964;1999;FA;School of Psychology;High;BOS-KR_Ivan_Markulj;X
546031;Chief of Staff;Sulejman Filipovic;1936;1964;1999;LWR;School of Mass Combat;High;BOS-KR_Sulejman_Filipovic;X
546032;Chief of Army;Georg Dragicevic;1936;1964;1999;PA;Decisive Battle Doctrine;High;kaiserreich GeorgDragicevic;X
546034;Chief of Navy;Georg Dragicevic;1936;1964;1999;PA;Base Control Doctrine;High;kaiserreich GeorgDragicevic;X
546036;Chief of Air Force;Franjo Dzal;1936;1964;1999;FA;Air Superiority Doctrine;High;BOS-KR_Franjo_Dzal;X
546038;Head of State;Georg Dragicevic;1936;1964;1999;PA;Resigned Generalissimo;High;kaiserreich GeorgDragicevic;X
546039;Head of State;S.K.u.K.M. Otto I von Habsburg;1936;1964;1999;PA;Young Kaiser;High;kaiserreich ottoivh;X
546040;Head of State;Vladimir Laxa;1936;1964;1999;PA;Resigned Generalissimo;High;M30017;X
546041;Foreign Minister;Jovan Ducic;1936;1964;1999;SC;Ideological Crusader;High;kai_jvndc;X
546042;Head of Government;Vladimir Corovic;1936;1964;1999;SC;Silent Workhorse;High;kai_vdmcr;X
546043;Head of Government;Vladimir Laxa;1936;1964;1999;PA;Naive Optimist;High;M30017;X
546044;Head of State;Jovan Ducic;1936;1964;1999;SC;Stern Imperialist;High;kai_jvndc;X
546045;Minister of Security;Ivo Andric;1936;1964;1999;SL;Crime Fighter;Medium;kai_ivadr;X
546046;Foreign Minister;Ivo Andric;1936;1964;1999;SL;Biased Intellectual;High;kai_ivadr;X
546047;Minister of Armament;Dimitrije Mitrinovic;1936;1964;1999;ML;Administrative Genius;Medium;kai_dmtrmtrm;X
546048;Minister of Security;Nurija Pozderac;1936;1964;1999;SD;Man of the People;High;BOS-KR_Nurija_Pozderac;X
546049;Minister of Security;Dzemal Bijedic;1944;1964;1999;LE;Silent Lawyer;High;BOS-KR_Dzemal_Bijedic;X
546050;Chief of Army;Vlado Segrt;1936;1964;1999;LE;Decisive Battle Doctrine;High;BOS-KR_Vlado_Segrt;X
546051;Chief of Navy;Josip Mazar;1936;1964;1999;LE;Indirect Approach Doctrine;High;BOS-KR_Josip_Mazar;X
546052;Chief of Air Force;Rudi Cajavec;1936;1964;1999;LE;Army Aviation Doctrine;High;BOS-KR_Rudi_Cajavec;X
546053;Head of State;Rodoljub Colakovic;1936;1964;1999;LE;Powerhungry Demagogue;High;BOS-KR_Rodoljub_Colakovic;X
