PAK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
564065;Head of Government;Narasimha Chintaman Kelkar;1936;1947;1947;SL;Happy Amateur;High;PAKChi;X
564066;Foreign Minister;Sir Shah Nawaz Bhutto;1936;1964;1999;SL;Biased Intellectual;High;PAKBhu;X
564067;Minister of Security;M. R. Jayakar;1936;1964;1999;SL;Health and Safety;Very High;PAKJay;X
564068;Minister of Armament;Kanaiyalal Maneklal Munshi;1936;1971;1971;SL;Industrialiser;High;PAKMun;X
564138;Head of Government;Kanaiyalal Maneklal Munshi;1952;1971;1971;SL;Silent Workhorse;Very High;PAKMun;X
564069;Head of Government;Muhammad Ali Jinnah;1936;1949;1949;SD;Gentleman Politician;Very High;PAKJin2;X
564070;Foreign Minister;Huseyn Shaheed Suhrawardy;1936;1964;1999;SD;Biased Intellectual;High;PAKHus;X
564071;Minister of Security;K. P. Kesava Menon;1936;1964;1999;SD;Health and Safety;Very High;PAKMen;X
564072;Minister of Armament;Ghanshyam Das Birla;1936;1964;1983;SD;Keynesian Economy;High;PAKDas;X
564073;Head of Government;Sir Sikander Hayat Khan;1936;1964;1999;SC;Silent Workhorse;High;PAKSit;X
564074;Minister of Security;Sir Chhotu Ram;1936;1949;1949;SC;Man of the People;Very High;PAKRam;X
564075;Minister of Armament;Sir Mian Fazl-i-Husain;1936;1964;1999;SC;Planned Economy Proponent;Very High;PAKFaz;X
564076;Head of State;Chamber of Princes;1936;1964;1999;PA;Weary Stiffneck;High;PAKPrinces;X
564077;Head of State;H.I.M Edward VIII;1936;1964;1999;FA;Revanchist Monarch;High;M1011;X
564078;Head of State;H.I.M Edward VIII;1936;1964;1999;PA;Revanchist Monarch;High;M1011;X
564079;Head of State;H.I.M Edward VIII;1936;1964;1999;SC;Revanchist Monarch;High;M1011;X
564080;Head of State;H.I.M Edward VIII;1936;1964;1999;SL;Revanchist Monarch;High;M1011;X
564081;Head of State;H.I.M Edward VIII;1936;1964;1999;ML;Revanchist Monarch;High;M1011;X
564082;Head of State;H.I.M Edward VIII;1936;1964;1999;SD;Revanchist Monarch;High;M1011;X
564083;Head of State;Maharaja Ganga Singh;1936;1964;1999;SC;Weltkrieg Maharaja;Very High;PAKGanga;X
564084;Chief of Air Force;Cecil Bouchier;1936;1964;1999;ML;Carpet Bombing Doctrine;High;PAKBou;X
564085;Chief of Staff;Hugh Elles;1936;1964;1999;SC;School of Manoeuvre;High;PAKEll;X
564086;Minister of Armament;Walchand Hirachand Doshi;1936;1964;1999;SD;Administrative Genius;High;PAKWil;X
564087;Minister of Armament;B.R. Shenoy;1936;1964;1978;ML;Laissez-Faire Capitalist;High;PAKShe;X
564088;Minister of Security;Malik Amir Mohammad Khan;1936;1964;1999;SC;Compassionate Gentleman;Very High;PAKMoh;X
564089;Chief of Air Force;Hardutt Singh Malikr;1936;1964;1999;SL;Air Superiority Doctrine;High;PAKHar;X
564090;Minister of Security;Sir Cowasjee Jehangir;1936;1962;1962;SL;Man of the People;Very High;PAKJeh;X
564141;Foreign Minister;Sir Cowasjee Jehangir;1936;1962;1962;SL;Great Compromiser;Very High;PAKJeh;X
564091;Minister of Armament;Morarji Desai;1936;1964;1999;SD;Planned Economy Proponent;Very High;PAKMor;X
564092;Minister of Security;Morarji Desai;1936;1964;1999;SD;Compassionate Gentleman;Very High;PAKMor;X
564093;Chief of Army;Umed Singh II of Kotah;1936;1964;1999;SL;Static Defence Doctrine;High;PAKUme;X
564094;Chief of Staff;Umed Singh II of Kotah;1936;1964;1999;SL;School of Mass Combat;Very High;PAKUme;X
564095;Minister of Armament;Sir Shanti Swaroop Bhatnagar;1936;1964;1999;SD;Theoretical Scientist;Very High;PAKSwa;X
564096;Minister of Security;Karam Chand Jain;1936;1964;1999;SD;Crime Fighter;Very High;PAKKaram;X
564097;Chief of Navy;Krishna Kumarsinhji Bhavsinhji;1936;1964;1999;SC;Base Control Doctrine;Medium;PAKBha;X
564130;Chief of Navy;F.P.R. Noronha;1936;1965;1965;ML;Decisive Naval Battle Doctrine;Very High;PAKNoh;X
564131;Foreign Minister;Sir R. P. Paranjpe;1936;1966;1966;SL;Biased Intellectual;Very High;PAKPar;X
564098;Chief of Staff;Maharaja K. S. Digvijaysinhji;1936;1964;1965;SD;School of Psychology;High;PAKDigv;X
564099;Chief of Army;Sir Amarsinhji Sahib;1936;1964;1999;ML;Guns and Butter Doctrine;Very High;PAKAma;X
564100;Foreign Minister;V. S. Subramanya Iyer;1936;1964;1999;SC;Apologetic Clerk;High;INDIye;X
564101;Minister of Armament;Damodaran Asan A.S;1936;1964;1999;SC;Bank President;High;INDAsa;X
564102;Minister of Security;M.A. Chacko;1936;1964;1999;SC;Crime Fighter;Very High;INDChac;X
564103;Head of State;Maharaja Ganga Singh;1936;1964;1999;PA;Weltkrieg Maharaja;Very High;PAKGanga;X
564104;Head of State;Maharaja Ganga Singh;1936;1964;1999;ML;Weltkrieg Maharaja;Very High;PAKGanga;X
564105;Head of State;Maharaja Ganga Singh;1936;1964;1999;SL;Weltkrieg Maharaja;Very High;PAKGanga;X
564106;Head of State;Maharaja Ganga Singh;1936;1964;1999;SD;Weltkrieg Maharaja;Very High;PAKGanga;X
564107;Chief of Air Force;Shri Krishna Chandra Welingkar;1936;1964;1999;SC;Air Superiority Doctrine;High;INDWel;X
564108;Chief of Navy;D. N. Mukerji;1936;1964;1999;ML;Base Control Doctrine;High;INDMuk;X
564109;Chief of Navy;Adhar Kumar Chatterjee;1936;1964;1999;SC;Indirect Approach Doctrine;High;INDCha;X
564110;Chief of Navy;Ram Dass Katari;1936;1964;1999;SC;Indirect Approach Doctrine;High;INDRam;X
564111;Minister of Security;Ghazanfar Ali Khan;1936;1963;1963;SC;Crime Fighter;Very High;PAKGha;X
564112;Head of Government;Sir Chhotu Ram;1936;1949;1949;SC;Flamboyant Tough Guy;High;PAKRam;X
564113;Minister of Armament;Bhogaraju Pattabhi Sitaramayya;1936;1964;1999;LWR;Keynesian Economy;High;PRKBho;X
564136;Minister of Security;B. G. Kher;1936;1957;1957;SL;Health and Safety;Very High;PAKKhe;X
564137;Head of Government;B. G. Kher;1940;1957;1957;SL;Naive Optimist;Very High;PAKKhe;X
564114;Minister of Security;Rajkumari Amrit Kaur;1936;1964;1999;LWR;Health and Safety;High;PRKAmr;X
564115;Foreign Minister;Mahadev Desai;1936;1964;1999;LWR;Great Compromiser;High;PRKMah;X
564116;Minister of Security;Mohandas Karamchand Gandhi;1936;1948;1948;LWR;Great Soul;High;PRKGandhi;X
564117;Head of State;B. R. Ambedkar;1936;1964;1999;SD;Die-hard Reformer;High;PAKAmb;X
564118;Head of State;Sir Atul Chandra Chatterjee;1936;1964;1964;SC;Weary Stiffneck;High;PAKAtul;X
564119;Head of State;Jehangir Ratanji Dadabhoy Tata;1936;1993;1993;ML;Popular Figurehead;High;PAKTata;X
564120;Chief of Staff;Sir Claud Jacob;1936;1948;1948;PA;School of Fire Support;High;PAKJac;X
564121;Foreign Minister;Sachchidananda Sinha;1936;1964;1964;SD;Great Compromiser;High;PAKSac;X
564122;Head of Government;V. K. Krishna Menon;1945;1974;1974;SD;Flamboyant Tough Guy;High;PAKVkm;X
564123;Foreign Minister;V. K. Krishna Menon;1936;1974;1974;SD;Iron Fisted Brute;High;PAKVkm;X
564124;Chief of Army;Gopal Gurunath Bewoor;1945;1989;1989;ML;Doctrine of Autonomy;High;PAKGop;X
564128;Head of Military Intelligence;Kasturbhai Lalbhai;1936;1980;1980;SL;Industrial Specialist;Very High;PAKKas;X
564129;Minister of Armament;Kasturbhai Lalbhai;1936;1980;1980;SL;Industrialiser;Very High;PAKKas;X
564125;Chief of Staff;Gopal Gurunath Bewoor;1945;1989;1989;ML;School of Manoeuvre;Very High;PAKGop;X
564126;Minister of Security;H. N. Kunzru;1936;1978;1978;ML;Man of the People;High;PAKKun;X
564134;Chief of Staff;Maharaja Sadul Singh;1943;1953;1953;SC;School of Mass Combat;Very High;PAKSadulSingh;X
564135;Foreign Minister;N. Gopalaswami Ayyangar;1936;1953;1953;SD;Great Compromiser;Very High;PAKAyy;X
564146;Chief of Staff;Wamanrao Sawant;1936;1970;1999;ML;School of Fire Support;Very High;PAKWam;X
