CRO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
30037;Head of Government;Vladimir Copic;1936;1956;1999;LE;Flamboyant Tough Guy;High;CRO_vladimir_copic;X
30038;Head of Government;Kamilo Horvatin;1936;1966;1999;LWR;Happy Amateur;High;MKamilo_Horvatin;X
30039;Head of Government;Pavle Gregoric;1940;1970;1999;LWR;Pragmatic Statesman;High;MPavle_Gregoric;X
30040;Minister of Security;Pavle Gregoric;1936;1963;1999;LWR;Compassionate Gentleman;High;MPavle_Gregoric;X
30041;Head of Government;Vicko Krstulovic;1952;1970;1999;LWR;Silent Workhorse;High;MVicko_Krstulovic;X
30042;Chief of Navy;Vicko Krstulovic;1946;1970;1999;LWR;Merchant Navy Focus;High;MVicko_Krstulovic;X
30043;Head of Government;Djuro Basaricek;1930;1954;1999;SC;Political Protege;High;CRO-KR_Djuro_Basaricek;X
30044;Minister of Security;Djuro Basaricek;1930;1954;1999;SC;Compassionate Gentleman;High;CRO-KR_Djuro_Basaricek;X
30045;Head of Government;Ivo Pilar;1920;1939;1999;FA;Flamboyant Tough Guy;High;MIvo_Pilar;X
30046;Head of Government;Ivo Protulipac;1939;1970;1999;FA;Spiritual Leader;High;MIvan_Ivo_Protulipac;X
30047;Foreign Minister;Karlo Mrazovic;1940;1970;1999;LE;General Staffer;High;MKarlo_Mrazovic;X
30048;Foreign Minister;Bozidar Maslaric;1936;1960;1999;LWR;General Staffer;High;MBozidar_Maslaric;X
30049;Foreign Minister;Mladen Ivekovic;1945;1966;1999;LWR;Apologetic Clerk;High;MMladen_Ivekovic;X
30050;Foreign Minister;Ante Ciliga;1936;1968;1999;LWR;Biased Intellectual;High;CRO_ante_ciliga;X
30051;Foreign Minister;Stjepan Cvijic;1940;1970;1999;LWR;Ideological Crusader;High;MStjepan_Cvijic;X
30052;Head of Military Intelligence;Stjepan Cvijic;1938;1970;1999;LWR;Political Specialist;High;MStjepan_Cvijic;X
30053;Foreign Minister;Ljubo Ilic;1946;1970;1999;LWR;Great Compromiser;High;MLjubo_Ilic;X
30054;Foreign Minister;Vladimir Velebit;1946;1970;1999;LWR;The Cloak N Dagger Schemer;High;MVladimir_Velebit;X
30055;Head of Military Intelligence;Vladimir Velebit;1943;1970;1999;LWR;Dismal Enigma;High;MVladimir_Velebit;X
30056;Foreign Minister;Ivo Lola Ribar;1946;1970;1999;LWR;Ideological Crusader;High;MIvo_Lola_Ribar;X
30057;Foreign Minister;Milivoj Jambrisak;1928;1948;1999;SD;Apologetic Clerk;High;MMilivoj_Jambrisak;X
30058;Minister of Security;Milivoj Jambrisak;1928;1948;1999;SD;Health and Safety;High;MMilivoj_Jambrisak;X
30059;Foreign Minister;Ljubo Leontic;1936;1957;1999;SD;Ideological Crusader;High;MLjubo_Leontic;X
30060;Foreign Minister;Maksimilijan Bace;1946;1970;1999;SD;Great Compromiser;High;MMaksimilijan_Bace;X
30061;Minister of Security;Maksimilijan Bace;1946;1970;1999;SD;Crime Fighter;High;MMaksimilijan_Bace;X
30062;Foreign Minister;Aleksa Ivic;1928;1948;1999;SL;Biased Intellectual;High;MAleksa_Ivic;X
30063;Minister of Security;Aleksa Ivic;1928;1948;1999;SL;Silent Lawyer;High;MAleksa_Ivic;X
30064;Foreign Minister;Tugomir Alaupovic;1918;1940;1999;SC;Biased Intellectual;High;MTugomir_Alaupovic;X
30065;Minister of Security;Tugomir Alaupovic;1918;1940;1999;SC;Man of the People;High;MTugomir_Alaupovic;X
30066;Foreign Minister;Budislav Grga Angjelinovic;1928;1946;1999;SC;Iron Fisted Brute;High;MBudislav_Grga_Angjelinovic;X
30067;Minister of Security;Budislav Grga Angjelinovic;1928;1946;1999;SC;Prince of Terror;High;MBudislav_Grga_Angjelinovic;X
30068;Foreign Minister;Josip Djido Vukovic;1936;1950;1999;SC;Biased Intellectual;High;MJosip_Dido_Vukovic;X
30069;Foreign Minister;Ivan Andres;1936;1953;1999;SC;Apologetic Clerk;High;CRO-KR_Ivan_Andres;X
30070;Minister of Security;Ivan Andres;1936;1953;1999;SC;Crime Fighter;High;CRO-KR_Ivan_Andres;X
30071;Foreign Minister;Ivan Subasic;1936;1955;1999;SC;Great Compromiser;High;M20014;X
30072;Foreign Minister;Blasko Rajic;1920;1951;1999;PA;Ideological Crusader;High;MBlasko_Rajic;X
30073;Foreign Minister;Stijepo Peric;1936;1961;1999;PA;Biased Intellectual;High;MStijepo_Peric;X
30074;Foreign Minister;Josip Bombelles;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;MJosip_Bombelles;X
30075;Head of Military Intelligence;Josip Bombelles;1936;1964;1999;PA;Dismal Enigma;High;MJosip_Bombelles;X
30076;Foreign Minister;Antun Bonifacic;1941;1970;1999;FA;Ideological Crusader;High;MAntun_Bonifacic;X
30077;Foreign Minister;Ante Pavelic;1936;1964;1999;NS;Iron Fisted Brute;High;M30002;X
30078;Minister of Security;Ante Pavelic;1936;1964;1999;NS;Efficient Sociopath;High;M30002;X
30079;Foreign Minister;Mladen Lorkovic;1943;1970;1999;NS;The Cloak N Dagger Schemer;High;L44610;X
30080;Minister of Security;Mladen Lorkovic;1943;1970;1999;NS;Crooked Kleptocrat;High;L44610;X
30081;Foreign Minister;Vjekoslav Vrancic;1943;1970;1999;NS;Iron Fisted Brute;High;MVjekoslav_Vrancic;X
30082;Minister of Armament;Josip Cazi;1948;1970;1999;LE;Planned Economy Proponent;High;MJosip_Cazi;X
30083;Minister of Armament;Zvonimir Richtmann;1936;1970;1999;LWR;Theoretical Scientist;High;MZvonimir_Richtmann;X
30084;Minister of Armament;Boris Bakrac;1948;1970;1999;SD;Construction Magnate;High;MBoris_Bakrac;X
30085;Minister of Armament;Ivan Supek;1950;1970;1999;SD;Theoretical Scientist;High;MIvan_Supek;X
30086;Minister of Armament;Rikard Lang;1954;1970;1999;SD;Administrative Genius;High;MRikard_Lang;X
30087;Minister of Armament;Adam Armanda;1936;1958;1999;SL;Battle Fleet Proponent;High;MAdam_Armanda;X
30088;Minister of Armament;Jurica Drausnik;1947;1970;1999;SL;Mixed Economy;High;MJurica_Drausnik;X
30089;Minister of Armament;Rudolf Petovar;1952;1970;1999;SL;Reformer;High;LRudolf_Rudi_Petovar;X
30090;Minister of Armament;Samuel David Alexander;1920;1943;1999;ML;Administrative Genius;High;MSamuel_David_Alexander;X
30091;Minister of Armament;Aleksandar Ehrmann;1936;1949;1999;ML;Laissez-Faire Capitalist;High;MAleksandar_Ehrmann;X
30092;Minister of Armament;Zeljko Markovic;1936;1966;1999;ML;Theoretical Scientist;High;MZeljko_Markovic;X
30093;Minister of Armament;Josip Sretner;1940;1970;1999;ML;Submarine Proponent;High;MJosip_Sretner;X
30094;Minister of Armament;Rudolf Bicanic;1943;1970;1999;ML;Pioneer Of Econometrics;High;MRudolf_Bicanic;X
30095;Minister of Armament;Armin Schreiner;1928;1944;1999;SC;Laissez-Faire Capitalist;High;MArmin_Schreiner;X
30096;Minister of Armament;Ivan Rikard Ivanovic;1918;1949;1999;SC;Resource Industrialist;High;MIvan_Rikard_Ivanovic;X
30097;Minister of Armament;Leopold Sorta;1930;1956;1999;SC;Battle Fleet Proponent;High;MLeopold_Sorta;X
30098;Minister of Armament;Juraj Sutej;1939;1959;1999;SC;Mixed Economy;High;MJuraj_Sutej;X
30099;Minister of Armament;Vladimir Premrou;1942;1965;1999;SC;Laissez-Faire Capitalist;High;MVladimir_Premrou;X
30100;Minister of Armament;Stjepan Baric;1930;1945;1999;PA;Mixed Economy;High;MStjepan_Baric;X
30101;Minister of Armament;Stanko Sverljuga;1929;1950;1999;PA;Bank President;High;CRO-KR_Stanko_Sverljuga;X
30102;Minister of Armament;Barisa Smoljan;1936;1958;1999;PA;Balanced Budget Economy;High;BOS-KR_Barisa_Smoljan;X
30103;Minister of Armament;Dragutin Toth;1936;1960;1999;PA;Bank President;High;MDragutin_Toth;X
30104;Minister of Armament;Josip Balen;1942;1964;1999;PA;Mixed Economy;High;MJosip_Balen;X
30105;Minister of Armament;Lovro Susic;1941;1970;1999;PA;Military Entrepreneur;High;MLovro_Susic;X
30106;Minister of Security;Jakov Blazevic;1947;1970;1999;ST;Efficient Sociopath;High;MJakov_Blazevic;X
30107;Minister of Security;Ivan Krajacic;1944;1970;1999;LE;Secret Police Chief;High;MIvan_Krajacic;X
30108;Head of Military Intelligence;Ivan Krajacic;1944;1970;1999;LE;Counterintelligence Specialist;High;MIvan_Krajacic;X
30109;Minister of Security;Vicko Jelaska;1936;1957;1999;LWR;Man of the People;High;MVicko_Jelaska;X
30110;Minister of Security;Ivan Krndelj;1936;1958;1999;LWR;Media Magnate;High;MIvan_Krndelj;X
30111;Minister of Security;August Cesarec;1936;1958;1999;LWR;Media Magnate;High;CRO_august_cesarec;X
30112;Minister of Security;Bozidar Adzija;1936;1960;1999;LWR;Man of the People;High;M10000000007;X
30113;Minister of Security;Ivan Ivo Maric;1936;1964;1999;LWR;Back Stabber;High;MIvan_Ivo_Maric;X
30114;Minister of Security;Josip Hrncevic;1944;1970;1999;LWR;Silent Lawyer;High;MJosip_Hrncevic;X
30115;Minister of Security;Jefto Sasic;1944;1970;1999;LWR;Secret Police Chief;High;MJefto_Sasic;X
30116;Head of Military Intelligence;Jefto Sasic;1944;1970;1999;LWR;Counterintelligence Specialist;High;MJefto_Sasic;X
30117;Minister of Security;Albert Bazala;1927;1947;1999;SL;Man of the People;High;MAlbert_Bazala;X
30118;Minister of Security;Milan Marjanovic;1928;1949;1999;SL;Media Magnate;High;MMilan_Marjanovic;X
30119;Minister of Security;Svetozar Rittig;1920;1954;1999;SL;Compassionate Gentleman;High;MSvetozar_Rittig;X
30120;Minister of Security;Vuk Vrhovac;1940;1957;1999;SL;Health and Safety;High;MVuk_Vrhovac;X
30121;Minister of Security;Bozidar Magovac;1945;1964;1999;SL;Media Magnate;High;MBozidar_Magovac;X
30122;Minister of Security;Zlatan Sremec;1946;1970;1999;SL;Health and Safety;High;MZlatan_Sremec;X
30123;Minister of Security;Julije Budisavljevic;1918;1953;1999;ML;Health and Safety;High;MJulije_Budisavljevic;X
30124;Minister of Security;Augustin 'Tin' Ujevic;1936;1955;1999;ML;Media Magnate;High;MAugustin_Josip_Ujevic;X
30125;Minister of Security;Andrija Stampar;1930;1958;1999;ML;Health and Safety;High;MAndrija_Stampar;X
30126;Minister of Security;Ivo Krbek;1939;1966;1999;ML;Silent Lawyer;High;CRO-KR_Ivo_Krbek;X
30127;Minister of Security;Aleksandar Koharovic;1946;1970;1999;ML;Health and Safety;High;MAleksandar_Koharovic;X
30128;Minister of Security;Pavle Radic;1936;1950;1999;SC;Man of the People;High;MPavle_Radic;X
30129;Minister of Security;Zivan Kuvezdic;1936;1957;1999;SC;Efficient Sociopath;High;MZivan_Kuvezdic;X
30130;Minister of Security;Ivan Pernar;1936;1959;1999;SC;Silent Lawyer;High;CRO-KR_Ivan_Pernar;X
30131;Minister of Security;Tomo Jancikovic;1944;1969;1999;SC;Silent Lawyer;High;MTomo_Jancikovic;X
30132;Minister of Security;Nikola Zvonimir Bjelovucic;1920;1952;1999;PA;Crime Fighter;High;MNikola_Zvonimir_Bjelovucic;X
30133;Minister of Security;Viktor Ruzic;1940;1963;1999;PA;Silent Lawyer;High;MViktor_Ruzic;X
30134;Minister of Security;Stjepan Hefer;1943;1970;1999;PA;Efficient Sociopath;High;MStjepan_Hefer;X
30135;Minister of Security;Edo Bulat;1943;1970;1999;PA;Back Stabber;High;MEdo_Bulat;X
30136;Minister of Security;Julije Makanec;1944;1970;1999;FA;Media Magnate;High;MJulije_Makanec;X
30137;Minister of Security;Mile Budak;1936;1959;1999;NS;Prince of Terror;High;M30003;X
30138;Minister of Security;Andrija Artukovic;1941;1970;1999;NS;Efficient Sociopath;High;M30038;X
30139;Minister of Security;Eugen 'Dido' Kvaternik;1941;1970;1999;NS;Secret Police Chief;High;M30033;X
30140;Head of Military Intelligence;Djuro Salaj;1936;1958;1999;LE;Political Specialist;High;MDjuro_Salaj;X
30141;Head of Military Intelligence;Vjekoslav Klisanic;1945;1962;1999;ML;Logistics Specialist;High;LVjekoslav_Klisanic;X
30142;Head of Military Intelligence;Danilo Latas;1945;1965;1999;ML;Technical Specialist;High;LDanilo_Latas;X
30143;Head of Military Intelligence;Vladimir Vranic;1936;1970;1999;ML;Industrial Specialist;High;MVladimir_Vranic;X
30144;Head of Military Intelligence;Radoslav Duric;1946;1970;1999;ML;Logistics Specialist;High;LRadoslav_Duric;X
30145;Head of Military Intelligence;Jakov Jelasic;1936;1960;1999;SC;Political Specialist;High;MJakov_Jelasic;X
30146;Head of Military Intelligence;Ljudevit Tomasic;1943;1970;1999;SC;Political Specialist;High;MLjudevit_Tomasic;X
30147;Head of Military Intelligence;Branimir Jelic;1945;1970;1999;FA;Political Specialist;High;MBranimir_Jelic;X
30148;Chief of Staff;Marko Oreskovic;1936;1960;1999;LWR;School of Psychology;High;MMarko_Oreskovic;X
30149;Chief of Staff;Ivan Rukavina;1946;1970;1999;LWR;School of Manoeuvre;High;LIvan_Rukavina;X
30150;Chief of Army;Ivan Rukavina;1950;1970;1999;LWR;Guns and Butter Doctrine;High;LIvan_Rukavina;X
30151;Head of Military Intelligence;Ivan Rukavina;1945;1970;1999;LWR;Logistics Specialist;High;LIvan_Rukavina;X
30152;Chief of Staff;Pavle Jaksic;1948;1970;1999;LWR;School of Fire Support;High;LPavle_Jaksic;X
30153;Minister of Armament;Pavle Jaksic;1950;1970;1999;LWR;Reformer;High;LPavle_Jaksic;X
30154;Chief of Staff;Slavko Rodic;1948;1970;1999;LWR;School of Psychology;High;LSlavko_Rodic;X
30155;Chief of Army;Slavko Rodic;1948;1970;1999;LWR;Elastic Defence Doctrine;High;LSlavko_Rodic;X
30156;Chief of Staff;Milan Sakic;1950;1970;1999;LWR;School of Mass Combat;High;LMilan_Sakic_Micun;X
30157;Chief of Staff;Milutin Moraca;1950;1970;1999;LWR;School of Psychology;High;LMilutin_Moraca;X
30158;Chief of Army;Milutin Moraca;1950;1970;1999;LWR;Guerilla Warfare Doctrine;High;LMilutin_Moraca;X
30159;Chief of Staff;Rudolf Primorac;1944;1970;1999;SD;School of Defence;High;LRudolf_Primorac;X
30160;Chief of Army;Rudolf Primorac;1945;1970;1999;SD;Elastic Defence Doctrine;High;LRudolf_Primorac;X
30161;Chief of Staff;Mile Uzelac;1948;1970;1999;SD;Commando Doctrine Staff;High;LMile_Uzelac;X
30162;Chief of Army;Mile Uzelac;1948;1970;1999;SD;Commando Doctrine Army;High;LMile_Uzelac;X
30163;Chief of Staff;Mate Jerkovic;1950;1970;1999;SD;School of Defence;High;LMate_Jerkovic;X
30164;Chief of Staff;Ratko Martinovic;1950;1970;1999;SL;School of Defence;High;LRatko_Martinovic;X
30165;Chief of Army;Ratko Martinovic;1950;1970;1999;SL;Combat Engineering Doctrine;High;LRatko_Martinovic;X
30166;Chief of Staff;Rade Hamovic;1944;1970;1999;ML;School of Manoeuvre;High;LRatomir_Rade_Hamovic;X
30167;Chief of Army;Rade Hamovic;1944;1970;1999;ML;Elastic Defence Doctrine;High;LRatomir_Rade_Hamovic;X
30168;Head of Military Intelligence;Rade Hamovic;1944;1970;1999;ML;Logistics Specialist;High;LRatomir_Rade_Hamovic;X
30169;Chief of Staff;Djuro Dragicevic;1936;1955;1999;SC;School of Fire Support;High;kaiserreich GeorgDragicevic;X
30170;Chief of Army;Djuro Dragicevic;1941;1955;1999;SC;Decisive Battle Doctrine;High;kaiserreich GeorgDragicevic;X
30171;Chief of Air Force;Djuro Dragicevic;1937;1955;1999;SC;Air Defence Doctrine;High;kaiserreich GeorgDragicevic;X
30172;Chief of Staff;Tomislav Sertic;1944;1967;1999;SC;School of Psychology;High;LTomislav_Sertic;X
30173;Chief of Staff;Mihajlo Lukic;1941;1951;1999;PA;School of Psychology;High;CRO-KR_Mihajlo_Lukic;X
30174;Chief of Army;Mihajlo Lukic;1943;1951;1999;PA;Elastic Defence Doctrine;High;CRO-KR_Mihajlo_Lukic;X
30175;Chief of Staff;Viktor Pavicic;1944;1963;1999;PA;School of Mass Combat;High;CRO-KR_Viktor_Pavicic;X
30176;Minister of Armament;Viktor Pavicic;1939;1963;1999;PA;Infantry Proponent;High;CRO-KR_Viktor_Pavicic;X
30177;Chief of Staff;Marko Mesic;1944;1966;1999;PA;School of Fire Support;High;CRO-KR_Marko_Mesic;X
30178;Chief of Staff;Ivan Percevic;1936;1946;1999;FA;School of Defence;High;CRO-KR_Ivan_Percevic;X
30179;Chief of Staff;Fedor Dragojlov;1937;1946;1999;FA;School of Mass Combat;High;L44604;X
30180;Head of Military Intelligence;Fedor Dragojlov;1936;1946;1999;FA;Logistics Specialist;High;L44604;X
30181;Chief of Staff;Ivan Markulj;1936;1959;1999;FA;School of Psychology;High;BOS-KR_Ivan_Markulj;X
30182;Chief of Army;Ivan Gosnjak;1944;1970;1999;LE;Guerilla Warfare Doctrine;High;LIvan_Gosnjak;X
30183;Chief of Army;Kosta Nadj;1944;1970;1999;LWR;Doctrine of Autonomy;High;L46024;X
30184;Chief of Army;Ivan Haris;1945;1970;1999;LWR;Combat Engineering Doctrine;High;LIvan_Haris_Gromovnik;X
30185;Chief of Army;Lazar Radakovic;1950;1970;1999;SL;Decisive Battle Doctrine;High;LLazar_Lazo_Radakovic;X
30186;Chief of Army;Zvonimir Stimakovic;1941;1956;1999;SC;Old Cavalry General;High;LZvonimir_Stimakovic;X
30187;Chief of Army;Vladimir Laxa;1930;1943;1999;PA;Elastic Defence Doctrine;High;L44609;X
30188;Chief of Army;Stjepan Duic;1936;1942;1999;FA;Doctrine of Autonomy;High;LStjepan_Duic;X
30189;Chief of Army;Slavko Kvaternik;1936;1943;1999;FA;Static Defence Doctrine;High;L44608;X
30190;Chief of Army;Djuro Gruic;1941;1952;1999;FA;Guns and Butter Doctrine;High;LDjordje_Djuro_Gruic;X
30191;Chief of Army;Eduard Bona-Bunic;1944;1959;1999;FA;Old Cavalry General;High;LEduard_Bona-Bunic;X
30192;Chief of Army;Matija Canic;1944;1964;1999;FA;Decisive Battle Doctrine;High;LMatija_Canic;X
30193;Chief of Navy;Srecko Manola;1948;1970;1999;LWR;Merchant Navy Focus;High;LSrecko_Manola;X
30194;Head of Military Intelligence;Srecko Manola;1948;1970;1999;LWR;Naval Intelligence Specialist;High;LSrecko_Manola;X
30195;Chief of Navy;Bogdan Pecotic;1950;1970;1999;LWR;Decisive Naval Battle Doctrine;High;CRO-KR_Bogdan_Pecotic;X
30196;Chief of Navy;Ljubomir Truta;1951;1970;1999;LWR;Base Control Doctrine;High;LLjubomir_Ljubo_Truta;X
30197;Chief of Navy;Mate Jerkovic;1950;1970;1999;SD;Coastal Defence Doctrine;High;LMate_Jerkovic;X
30198;Chief of Navy;Stanko Parmac;1950;1970;1999;SD;Base Control Doctrine;High;LStanko_Parmac;X
30199;Chief of Navy;Luka Dancevic;1952;1970;1999;SD;Merchant Navy Focus;High;MLuka_Dancevic;X
30200;Chief of Navy;Uliks Stanger;1924;1952;1999;SL;Merchant Navy Focus;High;MUliks_Stanger;X
30201;Minister of Security;Uliks Stanger;1924;1952;1999;SL;Silent Lawyer;High;MUliks_Stanger;X
30202;Chief of Navy;Bozo Banac;1936;1945;1999;ML;Merchant Navy Focus;High;MBozo_Banac;X
30203;Chief of Navy;Miroslav Stumberger;1937;1958;1999;ML;Indirect Approach Doctrine;High;LMiroslav_Stumberger;X
30204;Chief of Navy;Petar Mardesic;1947;1970;1999;ML;Hydrographic Service Proponent;High;LPetar_Mardesic;X
30205;Chief of Navy;Ivan Krajac;1925;1947;1999;SC;Merchant Navy Focus;High;CRO-KR_Ivan_Krajac;X
30206;Chief of Navy;Vladimir Mariasevic;1936;1951;1999;SC;Coastal Defence Doctrine;High;LVladimir_Pavao_Mariasevic;X
30207;Head of Military Intelligence;Vladimir Mariasevic;1927;1951;1999;SC;Naval Intelligence Specialist;High;LVladimir_Pavao_Mariasevic;X
30208;Chief of Navy;Emil Domainko;1936;1954;1999;SC;Riverine Warfare Doctrine;High;LEmil_Dure_Domainko;X
30209;Chief of Navy;Vladimir Saskijevic;1943;1963;1999;SC;Open Seas Doctrine;High;L46048;X
30210;Chief of Navy;Mate Stanicic;1951;1970;1999;SC;Coastal Defence Doctrine;High;LMate_Stanicic;X
30211;Chief of Navy;Anton Simovic;1954;1970;1999;SC;Merchant Navy Focus;High;MAnton_Simovic;X
30212;Chief of Navy;Marijan Polic;1924;1941;1999;PA;Open Seas Doctrine;High;CRO-KR_Marijan_Polic;X
30213;Chief of Navy;Tomo Tijanic;1936;1952;1999;PA;Decisive Naval Battle Doctrine;High;L46051;X
30214;Chief of Navy;Armin Pavic;1936;1953;1999;PA;Hydrographic Service Proponent;High;LArmin_Armina_Pavic;X
30215;Chief of Navy;Edgar Angeli;1941;1957;1999;PA;Riverine Warfare Doctrine;High;L46042;X
30216;Chief of Navy;Andro Vrkljan;1947;1968;1999;PA;Indirect Approach Doctrine;High;LAndro_Vrkljan;X
30217;Head of Military Intelligence;Andro Vrkljan;1941;1968;1999;PA;Naval Intelligence Specialist;High;LAndro_Vrkljan;X
30218;Chief of Air Force;Viktor Bubanj;1950;1970;1999;LE;Army Aviation Doctrine;High;CRO-KR_Viktor_Bubanj;X
30219;Head of Military Intelligence;Viktor Bubanj;1946;1970;1999;LE;Logistics Specialist;High;CRO-KR_Viktor_Bubanj;X
30220;Chief of Air Force;Mile Pavicic;1941;1964;1999;SD;Air Superiority Doctrine;High;LMile_Pavicic;X
30221;Chief of Air Force;Zarko Vidovic;1947;1970;1999;SD;Air Defence Doctrine;High;LZarko_Vidovic;X
30222;Chief of Air Force;Zlatko Rendulic;1954;1970;1999;ML;Tactical Aviation Doctrine;High;LZlatko_Rendulic;X
30223;Minister of Armament;Zlatko Rendulic;1954;1970;1999;ML;Air to Ground Proponent;High;LZlatko_Rendulic;X
30224;Chief of Air Force;Ivan Mrak;1944;1965;1999;SC;Army Aviation Doctrine;High;LIvan_Mrak;X
30225;Chief of Air Force;Emil Uzelac;1930;1941;1999;PA;Aviation Organizer;High;CRO-KR_Emil-Uzelac2;X
30226;Chief of Air Force;Viktor Klobucar-Rukavina von Bunic;1931;1944;1999;PA;Naval Aviation Doctrine;High;LViktor_Klobucar-Rukavina_vonBunic;X
30227;Chief of Air Force;Miroslav Navratil;1936;1963;1999;PA;Air Superiority Doctrine;High;CRO-KR_Miroslav_Navratil;X
30228;Chief of Air Force;Adalbert Rogulja;1941;1963;1999;PA;Aviation Organizer;High;L44629;X
30229;Chief of Air Force;Vladimir Kren;1942;1970;1999;FA;Army Aviation Doctrine;High;L44628;X
30230;Chief of Air Force;Franjo Dzal;1945;1970;1999;FA;Air Superiority Doctrine;High;BOS-KR_Franjo_Dzal;X
30300;Head of State;Miha Marinko;1950;1970;1999;LE;Syndicalist Demagogue;High;MMiha_Marinko;X
30301;Head of Government;Miha Marinko;1945;1970;1999;LE;Ambitious Union Boss;High;MMiha_Marinko;X
30302;Head of Military Intelligence;Miha Marinko;1941;1970;1999;LE;Political Specialist;High;MMiha_Marinko;X
30303;Head of State;Lovro Klemencic;1920;1961;1999;LWR;Die-hard Reformer;High;SLV-KR_Lovro_Klemencic;X
