CZE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
24108;Head of Military Intelligence;Bohumil Krpec;1936;1964;1999;NS;Logistics Specialist;Very High;M24108;X
24110;Head of Military Intelligence;Rudolf Slánsky;1936;1964;1999;ST;Political Specialist;High;M24024;X
24111;Head of Government;Zdenek Fierlinger;1936;1964;1999;SD;Ambitious Union Boss;Very High;M24026;X
24112;Chief of Staff;Vladimir Kajdos;1936;1964;1999;ML;School of Fire Support;Very High;M24112;X
24114;Chief of Staff;Sergej Ján Ingr;1936;1964;1999;ML;School of Defence;Very High;M24114;X
24115;Chief of Staff;Jaroslav Cihak;1936;1964;1999;ML;School of Mass Combat;Very High;M24115;X
24116;Chief of Staff;Bruno Sklenovsky;1936;1964;1999;ML;School of Psychology;Very High;M24116;X
24120;Chief of Staff;Robert Rychtrmoc;1936;1945;1999;NS;School of Manoeuvre;Medium;M24017;X
24121;Chief of Staff;Ludvik Svoboda;1936;1964;1999;ST;School of Mass Combat;High;M24027;X
24123;Chief of Army;Frantisek Zaviska;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;M24123;X
24124;Chief of Army;Emil Fiala;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;M24124;X
24125;Chief of Army;Sergej Ján Ingr;1936;1964;1999;ML;Elastic Defence Doctrine;Very High;M24114;X
24126;Chief of Army;Bohumil Bosek;1936;1964;1999;SD;Elastic Defence Doctrine;Very High;M24126;X
24127;Chief of Army;Jan Syrovy;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M24034;X
24128;Chief of Army;Bedrich Homola;1936;1964;1999;PA;Doctrine of Autonomy;Very High;M24047;X
24131;Chief of Army;Jaroslav Behac;1936;1964;1999;NS;Elastic Defence Doctrine;Medium;M24131;X
24132;Chief of Army;Alois Elias;1936;1964;1999;PA;Guns and Butter Doctrine;High;M24040;X
24133;Chief of Army;Silvestr Bláha;1936;1947;1999;SC;Static Defence Doctrine;Medium;LSilvestr_Blaha;X
24134;Chief of Army;Ludvik Svoboda;1936;1964;1999;ST;Static Defence Doctrine;High;M24027;X
24138;Chief of Navy;Robert Rychtrmoc;1936;1945;1999;NS;Open Seas Doctrine;High;M24017;X
24139;Chief of Navy;Klement Gottwald;1936;1964;1999;ST;Base Control Doctrine;High;M24021;X
24140;Chief of Air Force;Joseph Frantisek;1942;1970;1999;ML;Air Superiority Doctrine;Low;M24140;X
24142;Chief of Air Force;Karel Kuttelwascher;1936;1964;1999;SC;Air Superiority Doctrine;Very High;M24142;X
24167;Foreign Minister;Antonín Kalina;1936;1964;1999;SD;Great Compromiser;High;M100000013;X
24145;Chief of Air Force;Jan Prokop;1936;1964;1999;ST;Vertical Envelopment Doctrine;High;M24030;X
24146;Minister of Security;Otakar Eischer;1936;1964;1999;NS;Compassionate Gentleman;Very High;M24087;X
24147;Head of Government;Klement Gottwald;1936;1964;1999;ST;Backroom Backstabber;High;M24021;X
24168;Minister of Security;Bruno Kohler;1936;1964;1999;ST;Prince of Terror;High;M100000014;X
24149;Head of Government;Karel Kalemcek;1936;1964;1999;PA;Happy Amateur;High;M24048;X
24150;Head of State;Petr Zenkl;1936;1964;1999;SC;Benevolent Gentleman;Very High;CZE_Zenkl;X
24024;Minister of Armament;Rudolf Slánsky;1936;1964;1999;ST;Theoretical Scientist;Medium;M24024;X
24156;Head of Government;Jan Cerny;1936;1964;1999;SC;Flamboyant Tough Guy;High;M100000002;X
24157;Minister of Armament;Petr Zenkl;1936;1964;1999;SC;Resource Industrialist;High;CZE_Zenkl;X
24158;Minister of Security;Jan Cerny;1936;1964;1999;SC;Compassionate Gentleman;High;M100000002;X
24154;Head of State;Felix zu Schwarzenberg;1936;1964;1999;PA;Autocratic Charmer;High;kaiserreich fvschwarzenberg;X
24155;Minister of Armament;Felix zu Schwarzenberg;1936;1964;1999;PA;Laissez-Faire Capitalist;High;kaiserreich fvschwarzenberg;X
24159;Chief of Staff;Jiri Stribrny;1936;1964;1999;FA;School of Manoeuvre;Medium;M100000004;X
24160;Head of Government;Milada Horáková;1936;1964;1999;SD;Happy Amateur;High;M100000005;X
24161;Head of Government;Jan Malypetr;1936;1964;1999;ML;Flamboyant Tough Guy;High;M100000006;X
24162;Minister of Armament;Rudolf Bechyne;1936;1964;1999;SD;Administrative Genius;High;M100000007;X
24163;Minister of Security;Richard Bienert;1936;1964;1999;NS;Silent Lawyer;Very High;M100000008;X
24169;Head of Military Intelligence;Vladimír Krajina;1936;1964;1999;SC;Industrial Specialist;Medium;M100000015;X
24170;Head of Government;Jaroslav Krejci;1936;1964;1999;NS;Political Protege;High;M100000016;X
24171;Foreign Minister;Artur London;1936;1964;1999;LE;Ideological Crusader;Very High;M100000017;X
24172;Minister of Armament;Rudolf Margolius;1940;1964;1999;LE;Theoretical Scientist;High;M100000018;X
24173;Head of Government;Rudolf Mlcoch;1936;1964;1999;ML;Political Protege;High;M100000019;X
24174;Minister of Armament;Frantiska Plaminkova;1936;1964;1999;LWR;Military Entrepreneur;Medium;M100000020;X
24175;Head of Government;Josef Bíly;1936;1964;1999;SC;Old General;High;M100000053;X
24176;Head of State;Alois Eliáš;1936;1964;1999;PA;Resigned Generalissimo;High;kaiserreich_Elias;X
24177;Head of Government;Alois Eliáš;1936;1964;1999;PA;Old General;High;kaiserreich_Elias;X
24178;Minister of Armament;Bedrich Reicin;1936;1964;1999;ST;Resource Industrialist;High;kaiserreich reicin;X
24179;Head of State;S.K.u.K.M. Otto I von Habsburg;1936;1964;1999;PA;Young Kaiser;High;kaiserreich ottoivh;X
24180;Head of State;J.K.V.Karel VII;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich fvschwarzenberg;X
24181;Head of State;J.K.V.Václav V;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich zdensternkai;X
24182;Chief of Army;Jaroslav Eminger;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;kai_CZEemgr;X
24183;Chief of Staff;Frantisek Bartos;1936;1964;1999;PA;School of Mass Combat;High;kai_CZEfrnbrt;X
24184;Head of State;J.K.V. Zikmund II;1936;1970;1999;PA;German Aristocrat;Very High;CZE_Zikmund;X
24185;Head of State;J.K.V. Zikmund II;1936;1970;1999;ML;German Aristocrat;Very High;CZE_Zikmund;X
24186;Head of State;J.K.V. Ottokar III;1936;1970;1999;PA;Russian Aristocrat;Very High;CZE_Ottokar;X
24187;Head of State;J.K.V. Ottokar III;1936;1970;1999;ML;Russian Aristocrat;Very High;CZE_Ottokar;X
24188;Chief of Staff;Emanuel Moravec;1936;1970;1999;SC;School of Defence;Very High;CZE_Moravec;X
24189;Chief of Air Force;Jaroslav Fajfr;1930;1964;1999;SL;Air Superiority Doctrine;High;9771;X
24190;Chief of Air Force;Alois Vicherek;1940;1964;1999;LWR;Army Aviation Doctrine;High;LAlois_Vicherek;X
24191;Chief of Air Force;Frantisek Weber;1944;1970;1999;SD;Air Superiority Doctrine;High;LFrantisek_Weber;X
24192;Chief of Staff;Bohumil Bosek;1936;1964;1999;SD;School of Fire Support;Very High;M24126;X
24193;Chief of Staff;Jaroslav Eminger;1936;1964;1999;SC;School of Manoeuvre;High;kai_CZEemgr;X
24194;Chief of Staff;Alois Elias;1936;1964;1999;PA;School of Defence;High;M24040;X
24195;Chief of Air Force;Karel Palecek;1946;1970;1999;SC;Vertical Envelopment Doctrine;High;LKarel_Palecek;X
24196;Chief of Staff;Vaclav Moravek;1948;1970;1999;SD;Commando Doctrine Staff;High;LVaclav_Moravek;X
24197;Chief of Army;Vaclav Moravek;1948;1970;1999;SD;Commando Doctrine Army;High;LVaclav_Moravek;X
24198;Chief of Staff;Vaclav Kratochvil;1950;1970;1999;LE;School of Fire Support;High;LVaclav_Kratochvil;X
24199;Chief of Army;Vaclav Kratochvil;1950;1970;1999;LE;Doctrine of Autonomy;High;LVaclav_Kratochvil;X
24200;Chief of Staff;Vladimir Janko;1948;1970;1999;LWR;School of Manoeuvre;High;LVladimir_Janko;X
24201;Chief of Army;Vladimir Janko;1948;1970;1999;LWR;Armoured Spearhead Doctrine;High;LVladimir_Janko;X
