MON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
94085;Chief of Army;Li Shouxin;1937;1964;1999;PA;Guns and Butter Doctrine;Medium;M94017;X
94086;Chief of Army;Dagva;1937;1964;1999;SD;Guns and Butter Doctrine;Medium;M94028;X
94088;Chief of Army;Ölziytrygyn Badrak;1937;1964;1999;PA;Static Defence Doctrine;Very High;M94082;X
94089;Chief of Army;Horloogiyn Choybalsan;1936;1964;1999;ST;Guns and Butter Doctrine;Very High;M94006;X
94091;Chief of Navy;Yundunwangcug;1937;1964;1999;PA;Open Seas Doctrine;Medium;M94011;X
94093;Chief of Navy;Haidav;1937;1964;1999;FA;Power Projection Doctrine;Medium;M94093;X
94094;Chief of Navy;Ganbaatar;1937;1964;1999;PA;Base Control Doctrine;Medium;M94029;X
94095;Chief of Navy;Gomgchigryn Bumtsend;1940;1964;1999;NS;Base Control Doctrine;Very High;M94034;X
94096;Chief of Navy;Dashdorj;1942;1964;1999;NS;Indirect Approach Doctrine;High;M94075;X
94098;Chief of Air Force;Sükhbaataryn Yanjmaa;1936;1964;1999;ST;Air Superiority Doctrine;Medium;M94020;X
94100;Chief of Air Force;Haidav;1937;1964;1999;FA;Army Aviation Doctrine;Medium;M94093;X
94101;Chief of Air Force;Ganbaatar;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M94029;X
94102;Chief of Air Force;Sükhbaataryn Yanjmaa;1936;1964;1999;ST;Naval Aviation Doctrine;Medium;M94020;X
94103;Chief of Air Force;Gomgchigryn Bumtsend;1942;1964;1999;NS;Vertical Envelopment Doctrine;Very High;M94034;X
94104;Chief of Air Force;Buyannmeh;1936;1964;1999;NS;Carpet Bombing Doctrine;Very High;M94064;X
94105;Head of State;Roman Ungern von Sternberg;1936;1964;1999;NS;Mad Baron;Very High;MONUvS;X
94106;Foreign Minister;Ferdynand Ossendowski;1936;1964;1999;PA;Biased Intellectual;Very High;MONOss;X
94107;Head of Military Intelligence;Ignaz Trebitsch-Lincoln;1936;1964;1999;NS;Dismal Enigma;Medium;Kaiserreich Ignaz Trebitsch-Lincoln;X
94108;Minister of Armament;Viktor A.F. Polinov;1936;1964;1999;PA;Administrative Genius;Medium;M72006;X
94109;Chief of Air Force;Piotr Orlov;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M72010;X
94110;Minister of Security;Kunimu Khan;1937;1964;1999;PA;Compassionate Gentleman;Very High;M72014;X
94111;Chief of Staff;Roman Ungern von Sternberg;1936;1964;1999;NS;School of Mass Combat;Very High;MONUvS;X
94112;Minister of Security;Roman Ungern von Sternberg;1936;1964;1999;NS;Prince of Terror;Very High;Mrus UvS;X
94113;Head of Government;Tögs-Ochiryn Namnansüren;1936;1964;1999;PA;Political Protege;High;MONTog;X
94115;Chief of Army;Tögs-Ochiryn Namnansüren;1936;1964;1999;PA;Elastic Defence Doctrine;High;MONTog;X
94116;Head of Government;Jalkhanz Khutagt Sodnomyn Damdinbazar;1936;1964;1999;FA;Flamboyant Tough Guy;High;MONDam;X
94117;Head of Military Intelligence;Jalkhanz Khutagt Sodnomyn Damdinbazar;1936;1964;1999;FA;Industrial Specialist;High;MONDam;X
94118;Chief of Army;Magsarjav;1936;1964;1999;PA;Decisive Battle Doctrine;High;MONMar;X
94119;Head of State;Yünsiyebü Byambyn Rinchen;1936;1964;1999;SL;Benevolent Gentleman;High;MONYun;X
94120;Head of Government;Borjigin Dashdorjiin Natsagdorj;1936;1964;1999;LE;Flamboyant Tough Guy;High;MONBorj;X
94121;Minister of Security;7th Changkya Khutukhtu;1936;1964;1999;FA;Man of the People;High;MONChang;X
94122;Head of Government;Wu Heling;1936;1964;1999;ML;Naive Optimist;High;MONWu;X
94123;Minister of Security;Wu Heling;1936;1964;1999;ML;Silent Lawyer;High;MONWu;X
94124;Foreign Minister;Tserendondovyn Navaanneren;1936;1964;1999;LE;Great Compromiser;High;MONNAv;X
94125;Chief of Army;Ulaan Khüü;1936;1964;1999;LE;Decisive Battle Doctrine;High;MONUla;X
94126;Chief of Staff;Ulaan Khüü;1936;1964;1999;LE;School of Mass Combat;High;MONUla;X
94127;Minister of Armament;Jamsrangiin Tseveen;1936;1964;1999;SL;Laissez-Faire Capitalist;High;MONJam;X
94128;Minister of Armament;Mikhail Diterikhs;1936;1964;1999;NS;Military Entrepreneur;High;MONDit;X
94129;Chief of Army;Mikhail Diterikhs;1936;1938;1999;NS;Decisive Battle Doctrine;High;MONDit;X
94130;Chief of Air Force;Vladimir Kislitsin;1936;1964;1999;NS;Air Superiority Doctrine;High;MONKis;X
94131;Head of State;The Tsar Of All Russians;1936;1964;1999;SC;Popular Figurehead;High;Mrus Tsar;X
94132;Head of State;The Tsar Of All Russians;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;X
94133;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;X
94134;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;X
94135;Head of State;Damdin Sükhbaatar;1936;1964;1999;LE;Ruthless Powermonger;High;M94020;X
94136;Head of State;T.K.Z. Genghis Khan II;1936;1964;1999;NS;Mad Baron;Very High;kai_Ungern_Khan;X
94137;Foreign Minister;Ivan Serebrennikov;1936;1964;1999;FA;General Staffer;High;kai_Ivan_Serebrennikov;X
94138;Minister of Security;Ivan Serebrennikov;1936;1964;1999;FA;Prince of Terror;High;kai_Ivan_Serebrennikov;X
94139;Minister of Armament;Ivan Serebrennikov;1936;1964;1999;FA;Resource Industrialist;High;kai_Ivan_Serebrennikov;X
94140;Head of Government;Boris Rezukhin;1936;1964;1999;NS;Flamboyant Tough Guy;High;Rezukhin;X
94141;Head of State;T.K.Z. Zhelne Khatun;1936;1964;1999;FA;Popular Figurehead;High;Princess_Zhulne;X
94142;Head of State;T.K.Z. Genghis Khan III;1936;1964;1999;FA;Popular Figurehead;Very High;UngernSon;X
94143;Head of State;7th Changkya Khutukhtu;1936;1964;1999;FA;Popular Figurehead;Very High;MONChang;X
94144;Head of State;Boris Rezukhin;1936;1964;1999;NS;Resigned Generalissimo;High;Rezukhin;X
94145;Head of Government;7th Changkya Khutukhtu;1936;1964;1999;FA;Spiritual Leader;Very High;MONChang;X
94146;Head of State;Tribal Council;1936;1964;1999;FA;Weary Stiffneck;Very High;kai_tribalcouncil;X
94147;Head of Government;Amagaiin Bajudai;1936;1964;1999;FA;Naive Optimist;Very High;kai_Amgaiinbajudai;X
94148;Chief of Army;Amagaiin Bajudai;1936;1964;1999;FA;Elastic Defence Doctrine;High;kai_Amgaiinbajudai;X
94149;Chief of Navy;Amagaiin Bajudai;1936;1964;1999;FA;Open Seas Doctrine;High;kai_Amgaiinbajudai;X
94150;Minister of Armament;Montoiin Ninjin;1936;1964;1999;FA;Resource Industrialist;High;kai_Montoiinninjin;X
94151;Foreign Minister;Ochiriin Dauletbai;1936;1964;1999;FA;Iron Fisted Brute;Very High;kai_Ochiriindauletbai;X
94152;Head of Military Intelligence;Anujiin Goroncho;1936;1964;1999;FA;Political Specialist;High;kai_Anujiingoroncho;X
94153;Minister of Security;Anujiin Goroncho;1936;1964;1999;FA;Compassionate Gentleman;High;kai_Anujiingoroncho;X
94154;Minister of Security;Yandagiin Tsagan;1936;1964;1999;FA;Prince of Terror;High;kai_Yandagiintsagan;X
94155;Chief of Army;Bumdaiin Gunga;1936;1964;1999;FA;Decisive Battle Doctrine;High;kai_Bumdaiingunga;X
94156;Chief of Staff;Bumdaiin Gunga;1936;1964;1999;FA;School of Defence;High;kai_Bumdaiingunga;X
94157;Chief of Air Force;Dodzamiin Shombon;1936;1964;1999;FA;Army Aviation Doctrine;High;kai_Dodzamiinshombon;X
94158;Head of State;Ma Zhongying;1936;1964;1999;PA;Weary Stiffneck;High;L153003;X
94159;Head of State;Ma Lin;1936;1964;1999;PA;Resigned Generalissimo;High;M750058;X
94160;Head of State;Ma Shaowu;1936;1964;1999;PA;Weary Stiffneck;High;M750062;X
94161;Chief of Staff;Mikhail Tornovsky;1936;1964;1999;PA;School of Manoeuvre;High;Tornovsky;X
94162;Minister of Security;Mikhail Tornovsky;1936;1964;1999;PA;Compassionate Gentleman;High;Tornovsky;X
94163;Head of Military Intelligence;Boris Yartsev;1936;1964;1999;PA;Logistics Specialist;High;Yartsev;X
94164;Chief of Staff;Andrey S. Bakich;1936;1970;1999;NS;School of Fire Support;Very High;MON_Bakich;X
94165;Minister of Armament;Andrey S. Bakich;1936;1970;1999;NS;Resource Industrialist;Very High;MON_Bakich;X
