SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
4568902;Chief of Air Force;Otto Smik;1942;1964;1999;SD;Army Aviation Doctrine;Medium;M100000035;x
4568903;Head of Government;Izabela Textorisová;1936;1964;1999;SD;Happy Amateur;High;M100000036;x
4568904;Minister of Security;Ondrej Klokoc;1936;1964;1999;LE;Back Stabber;High;M100000037;x
4568905;Head of Military Intelligence;Eugen Pavol Bohus;1936;1964;1999;LWR;Logistics Specialist;Medium;M100000038;x
4568906;Minister of Armament;Jur Hronec;1936;1964;1999;SD;Theoretical Scientist;High;M100000039;x
4568907;Minister of Armament;Vladimír Krno;1936;1964;1999;SC;Resource Industrialist;High;M100000040;x
4568908;Minister of Security;Olga Textorisová;1936;1964;1999;SD;Compassionate Gentleman;Medium;M100000041;x
4568909;Minister of Armament;Imrich Karvas;1936;1964;1999;PA;Military Entrepreneur;Medium;M100000042;x
4568910;Chief of Staff;Milan Rastislav Stefánik;1936;1964;1999;ML;School of Manoeuvre;High;L70014;x
4568911;Chief of Army;Milan Rastislav Stefánik;1936;1964;1999;ML;Guns and Butter Doctrine;High;L70014;x
4568912;Head of Military Intelligence;Frantisek Hrusovsky;1936;1964;1999;FA;Industrial Specialist;Medium;M100000043;x
4568913;Chief of Army;Stefan Hassík;1936;1964;1999;NS;Static Defence Doctrine;High;M100000044;x
4568914;Chief of Air Force;Rudolf Bozik;1944;1964;1999;ML;Air Superiority Doctrine;High;M100000045;x
4568915;Chief of Army;Aladar Ondrejovic;1942;1964;1999;ML;Armoured Spearhead Doctrine;High;M100000046;x
4568916;Minister of Security;Vladimír Fajnor;1936;1964;1999;ML;Man of the People;High;M100000047;x
4568917;Head of Military Intelligence;Pavol Carnogursky;1936;1964;1999;SC;Political Specialist;High;M100000048;x
4568918;Head of State;J.K.V. Rastislav II;1936;1964;1999;SC;russian aristocrat;High;M100000049;x
4568919;Head of State;J.K.V. Cyril I;1936;1964;1999;SC;Popular Figurehead;High;M100000050;x
4568920;Head of State;J.K.V. Matej I;1936;1964;1999;SC;german aristocrat;High;M100000051;x
4568921;Head of State;J.K.V. Juraj I;1936;1964;1999;SC;Popular Figurehead;High;M100000052;x
4568922;Head of State;Regency Council;1936;1964;1999;PA;Popular Figurehead;Very High;kaiserreich regencycouncilpoland;x
4568923;Head of State;J.K.V. Rastislav II;1936;1964;1999;PA;russian aristocrat;High;M100000049;x
