MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
36059;Foreign Minister;Juan G. Lascaran;1946;1964;1999;SC;Apologetic Clerk;Medium;M36055;X
36060;Foreign Minister;Alesso Melecio;1940;1964;1999;SC;Biased Intellectual;Medium;M36053;X
36061;Foreign Minister;Pedro Lascurain;1936;1952;1999;SC;Biased Intellectual;High;MEX_Lascuarain;X
36062;Foreign Minister;Ezequiel Padilla Penaloza;1936;1964;1999;ML;Iron Fisted Brute;Medium;M36050;X
36063;Foreign Minister;Candido Aguilar Vargas;1936;1960;1999;ML;General Staffer;Medium;923;X
36064;Foreign Minister;Hilario Medina;1936;1964;1999;ML;Apologetic Clerk;Medium;6657;X
36065;Foreign Minister;Jaime Torres Bodet;1940;1964;1999;ML;Biased Intellectual;Medium;M36052;X
36066;Foreign Minister;Isidro Fabela;1936;1964;1999;SD;Apologetic Clerk;Medium;7225;X
36067;Foreign Minister;Amelio Robles Avila;1936;1964;1999;SD;Ideological Crusader;Medium;909;X
36068;Foreign Minister;Lázaro Cárdenas;1936;1964;1999;SD;Ideological Crusader;Medium;M36001;X
36069;Foreign Minister;Manuel Tello Baurraud;1940;1970;1999;LWR;Great Compromiser;High;MEX_Barraud;X
36070;Foreign Minister;Mariano Ponton;1940;1964;1999;LE;The Cloak N Dagger Schemer;Very High;M36023;X
36071;Foreign Minister;Manuel C. Tellez;1946;1964;1999;LE;Apologetic Clerk;Medium;M36060;X
36072;Foreign Minister;Gildardo Magaña Cerda;1936;1940;1999;LE;Great Compromiser;Very High;MEX_Gildardo;X
36073;Foreign Minister;Alfredo Serratos Amador;1936;1955;1999;LE;Apologetic Clerk;High;MAlfredo_Serratos_Amador;X
36074;Foreign Minister;Vicente Lombardo Toledano;1936;1968;1999;LE;Ideological Crusader;High;Toledano;X
36075;Minister of Armament;Pedro Zuloaga Irigoiti;1940;1954;1999;NS;Theoretical Scientist;High;MEX_Zuluaga;X
36076;Minister of Armament;Luis G. Quintana;1936;1964;1999;FA;Military Entrepreneur;Low;M36012;X
36077;Minister of Armament;Miguel Palomar y Vizcarra;1936;1968;1999;FA;Mixed Economy;High;MEX_Palomar;X
36078;Minister of Armament;Pastor Castro Tinoco;1936;1964;1999;FA;Industrialiser;Low;MEX_Pastor;X
36079;Minister of Armament;Manuel C. Michel;1936;1938;1999;FA;Administrative Genius;High;MEX_ManuelMichel;X
36080;Minister of Armament;Francisco R. Serrano;1940;1961;1999;PA;Resource Industrialist;Medium;L4529;X
36081;Minister of Armament;Juan Andreu Almazán;1940;1965;1999;FA;Corrupt Kleptocrat;High;M36014;X
36082;Minister of Armament;Ernesto Madero Farías;1936;1958;1999;SL;Laissez-Faire Capitalist;Low;MEX_MaderoFarias;X
36083;Minister of Armament;Efrain Buenrostro Ochoa;1936;1970;1999;SL;Industrialiser;High;MEX_Ochoa;X
36084;Minister of Armament;Manuel M. Marquez;1943;1964;1999;SC;Laissez-Faire Capitalist;High;M36034;X
36085;Minister of Armament;Daniel Cosio Villegas;1936;1970;1999;SC;Mixed Economy;High;MEX_Villegas;X
36086;Minister of Armament;Florentino Santana;1946;1964;1999;SC;Laissez-Faire Capitalist;Medium;M36067;X
36087;Minister of Security;Emilio Portes Gil;1936;1970;1999;SD;Silent Lawyer;High;M36061;X
36088;Minister of Armament;Serafín M. Robles Morales;1936;1955;1999;SD;Military Entrepreneur;High;MEX_Serafin;X
36089;Minister of Armament;Alberto J. Pani;1936;1955;1999;SD;Bank President;Medium;903;X
36090;Minister of Armament;Roberto G. Maqueo;1940;1964;1999;LWR;Battle Fleet Proponent;Medium;M36062;X
36091;Minister of Armament;José Manuel Puig Casauranc;1936;1949;1999;LWR;Theoretical Scientist;High;M36063;X
36092;Minister of Armament;Antonio Castro Leal;1944;1964;1999;LWR;Tank Proponent;Medium;M36064;X
36093;Minister of Armament;Francisco J. Mujica;1936;1954;1999;LWR;Infantry Proponent;Medium;L4521;X
36094;Minister of Armament;Manuel Santillán;1936;1970;1999;SD;Resource Industrialist;High;MManuel_Santillan_Osorno;X
36095;Minister of Armament;Rafael Buelna;1936;1964;1999;LWR;Military Entrepreneur;Medium;8332;X
36096;Minister of Armament;Primo Villa Michel;1936;1970;1999;LWR;Resource Industrialist;Medium;MEX_Primo;X
36097;Minister of Security;Francisco L. Casian;1943;1950;1999;LE;Health and Safety;High;M36024;X
36098;Minister of Armament;Dolores Santapiavo;1940;1964;1999;LE;Air to Ground Proponent;Medium;M36071;X
36099;Minister of Armament;Saturnino Cedillo;1936;1964;1999;ST;Military Entrepreneur;High;MEX_Saturnino;X
36100;Minister of Armament;Enrique Estrada Reynoso;1936;1942;1999;ST;Infantry Proponent;High;M36004;X
36101;Minister of Armament;Marte R. Gomez;1936;1970;1999;ST;Bank President;High;MEX_Marte;X
36102;Minister of Armament;Luis L. Leon;1936;1970;1999;ST;Military Entrepreneur;High;MEX_Leon;X
36103;Minister of Security;Anacleto Gonzalez Flores;1936;1964;1999;FA;Compassionate Gentleman;Medium;MEX_Anacleto;X
36104;Minister of Security;José Reyes Vega;1936;1964;1999;FA;Efficient Sociopath;Medium;MEX_ReyesVega;X
36105;Minister of Security;Salvador Abascal;1940;1964;1999;FA;Back Stabber;Medium;MEX_Salvador;X
36106;Minister of Security;Juan Andreu Almazán;1940;1965;1999;FA;Crooked Kleptocrat;High;M36014;X
36107;Minister of Security;Felix Maragano Flores;1943;1964;1999;FA;Back Stabber;Medium;M36082;X
36108;Minister of Security;Maximino Avila Camacho;1936;1955;1999;FA;Crooked Kleptocrat;High;MEX_Maximino;X
36109;Minister of Security;Pedro Pena Cavazos;1946;1964;1999;PA;Man of the People;Medium;M36083;X
36110;Minister of Security;Efrain Gonzalez Luna;1936;1964;1999;PA;Man of the People;Medium;MEX_Luna;X
36111;Minister of Security;Enrique C. del Rio;1940;1964;1999;SC;Compassionate Gentleman;Medium;M36017;X
36112;Minister of Security;Manuel Gómez Morin;1936;1970;1999;SC;Man of the People;High;M36080;X
36113;Minister of Security;Alberto Vázquez del Mercado;1946;1964;1999;SC;Silent Lawyer;Medium;MEX_Mercado;X
36114;Minister of Security;Genaro Estrada;1936;1938;1999;SL;Compassionate Gentleman;High;M36074;X
36115;Minister of Security;Genaro G. Vazquez;1936;1964;1999;SL;Crime Fighter;High;MEX_Genaro;X
36116;Minister of Security;Miguel Alemán Valdés;1943;1970;1999;SD;Man of the People;High;M36033;X
36117;Minister of Security;Alberto J. Pani;1936;1955;1999;SD;Crooked Kleptocrat;High;903;X
36118;Minister of Security;Roque Estrada Reynoso;1936;1964;1999;SD;Compassionate Gentleman;High;MEX_RoqueReynoso;X
36119;Minister of Armament;Francisco L. Urquizo;1936;1969;1999;ML;Reformer;High;MEX_Urquizo;X
36120;Minister of Security;Andrés Figueroa Figueroa;1936;1940;1999;LWR;Crime Fighter;High;M36073;X
36121;Minister of Security;Joaquín Amaro Domínguez;1936;1952;1999;ST;Back Stabber;Very High;L4502;X
36122;Minister of Security;Adolfo Ruiz Cortines;1936;1970;1999;LWR;Silent Lawyer;High;M36065;X
36123;Minister of Security;Manuel Tello Baurraud;1946;1970;1999;LWR;Compassionate Gentleman;High;MEX_Barraud;X
36124;Minister of Security;Procopio Herrera;1940;1964;1999;LE;Efficient Sociopath;Very High;M36025;X
36125;Minister of Security;Manuel Palafox;1936;1959;1999;LE;Back Stabber;High;M36026;X
36126;Minister of Security;Francisco Gonzalez Vega;1945;1964;1999;LE;Silent Lawyer;Very High;MEX_GonzalesVega;X
36127;Minister of Security;Mariano Ponton;1946;1964;1999;LE;Back Stabber;Very Low;M36023;X
36128;Minister of Security;Alfredo Serratos Amador;1936;1955;1999;LE;Crime Fighter;High;MAlfredo_Serratos_Amador;X
36129;Minister of Security;Tomas Garrido Canabal;1936;1947;1999;ST;Prince of Terror;Very Low;MEX_Canabal;X
36130;Head of Military Intelligence;Alfonso Junco;1940;1964;1999;NS;Industrial Specialist;Medium;MEX_Junco;X
36131;Head of Military Intelligence;Jerónimo Siller;1936;1962;1999;SC;Logistics Specialist;High;L4513;X
36132;Head of Military Intelligence;Alberto B. Gutierrez;1936;1964;1999;PA;Technical Specialist;Medium;MEX_Alberto;X
36133;Head of Military Intelligence;Manuel Herrera y Lasso;1940;1964;1999;PA;Technical Specialist;Medium;MEX_Lasso;X
36134;Head of Military Intelligence;Victor Munoz Cardenas;1940;1964;1999;PA;Industrial Specialist;Medium;M36091;X
36135;Head of Military Intelligence;Jacinto Blas Treviño González;1936;1970;1999;PA;Logistics Specialist;High;MEX_Trevino;X
36136;Head of Military Intelligence;Luis Bustamante Benitez;1946;1964;1999;SC;Naval Intelligence Specialist;High;M36035;X
36137;Head of Military Intelligence;Eduardo Hay;1936;1941;1999;ML;Naval Intelligence Specialist;Medium;MEX_Hay;X
36138;Head of Military Intelligence;Antonio Díaz Soto y Gama;1936;1964;1999;SL;Political Specialist;High;MEX_Gama;X
36139;Head of Military Intelligence;Manuel Ávila Camacho;1940;1955;1999;SD;Political Specialist;High;M36087;X
36140;Head of Military Intelligence;Gonzalo Vazquez Vela;1936;1963;1999;SD;Logistics Specialist;High;MEX_Vela;X
36141;Head of Military Intelligence;Lázaro Cárdenas;1938;1964;1999;SD;Naval Intelligence Specialist;High;M36001;X
36142;Head of Military Intelligence;José Aguilar y Maya;1936;1964;1999;LWR;Political Specialist;Low;MEX_Maya;X
36143;Head of Military Intelligence;Manuel Palafox;1936;1959;1999;LE;Dismal Enigma;High;M36026;X
36144;Head of Military Intelligence;Miguel Collazzo;1946;1964;1999;LE;Political Specialist;Low;M36094;X
36145;Head of Military Intelligence;Enrique Estrada Reynoso;1936;1942;1999;ST;Dismal Enigma;High;M36004;X
36146;Head of Military Intelligence;David Alfaro Siqueiros;1936;1964;1999;ST;Dismal Enigma;High;MEX_Siqueiros;X
36147;Head of Military Intelligence;Narciso Bassols Garcia;1936;1960;1999;ST;Logistics Specialist;High;MEX_Bassols;X
36148;Chief of Staff;Enrique Goroztieta Velarde;1936;1960;1999;FA;School of Manoeuvre;High;MEX_Gorostiera;X
36149;Chief of Staff;Rene Capistrán Garza;1936;1964;1999;FA;School of Mass Combat;High;MEX_Rene;X
36150;Chief of Staff;Maximino Avila Camacho;1936;1955;1999;FA;School of Mass Combat;High;MEX_Maximino;X
36151;Chief of Staff;Jesus Ballestreros Miranda;1940;1964;1999;FA;School of Manoeuvre;Low;M36100;X
36152;Chief of Staff;Enrique C. del Rio;1946;1964;1999;PA;School of Psychology;Low;M36017;X
36153;Chief of Staff;Nicolás Rodríguez Carrasco;1936;1950;1999;PA;School of Defence;High;LNicolas_Rodriguez_Carrasco;X
36154;Chief of Staff;Francisco L. Urquizo;1936;1969;1999;ML;School of Fire Support;High;MEX_Urquizo;X
36155;Chief of Staff;Eduardo Hay;1936;1941;1999;ML;School of Defence;Medium;MEX_Hay;X
36156;Chief of Staff;Marcelino García Barragan;1942;1970;1999;ML;School of Psychology;High;MEX_Barragan;X
36157;Chief of Staff;Pablo Quiroga Escamillo;1936;1948;1999;SD;School of Defence;High;L4525;X
36158;Chief of Staff;Lázaro Cárdenas;1936;1964;1999;SD;School of Defence;High;M36001;X
36159;Chief of Staff;Gustavo Salinas Camiña;1946;1964;1999;LWR;Commando Doctrine Staff;High;L4557;X
36160;Chief of Staff;Augustin Mendoza Cais;1936;1964;1999;LWR;School of Defence;High;M36102;X
36161;Chief of Staff;Julian Medina Castillo;1936;1944;1999;LWR;School of Fire Support;High;7258;X
36162;Chief of Staff;Pancho Villa;1936;1964;1999;LWR;School of Psychology;High;Arambula;X
36163;Chief of Staff;Andrés Figueroa Figueroa;1936;1940;1999;LWR;School of Manoeuvre;High;M36073;X
36164;Chief of Staff;Ignacio L. Pesqueira;1936;1940;1999;LE;School of Manoeuvre;Low;MEX_Pesqueira;X
36165;Foreign Minister;Antonio I. Villareal;1936;1944;1999;SL;Ideological Crusader;High;MEX_Villareal;X
36166;Chief of Army;Victoriano Ramírez López;1936;1960;1999;NS;Guerilla Warfare Doctrine;High;MEX_Catorce;X
36167;Chief of Army;Jesús Degollado Guízar;1936;1964;1999;FA;Static Defence Doctrine;High;MEX_Guizar;X
36168;Chief of Army;José Gonzalo Escobar;1926;1969;1999;PA;Old Cavalry General;High;LJose_Gonzalo_Escobar_Beltran;X
36169;Chief of Army;Enrique Goroztieta Velarde;1936;1960;1999;FA;Elastic Defence Doctrine;High;MEX_Gorostiera;X
36170;Chief of Army;Jacinto Blas Treviño González;1936;1970;1999;PA;Static Defence Doctrine;High;MEX_Trevino;X
36171;Chief of Army;Plutarco Albarran López;1946;1970;1999;SD;Commando Doctrine Army;High;LPlutarco_Albarran_Lopez;X
36172;Chief of Army;Gilberto Limón Márquez;1940;1970;1999;SC;Static Defence Doctrine;High;L4519;X
36173;Chief of Army;Francisco L. Urquizo;1936;1969;1999;ML;Decisive Battle Doctrine;High;MEX_Urquizo;X
36174;Chief of Army;Jesus Agustín Castro;1936;1954;1999;SL;Elastic Defence Doctrine;Medium;7231;X
36175;Chief of Army;Salvador Alvarado;1936;1945;1999;SD;Static Defence Doctrine;High;MEX_Alvarado;X
36176;Chief of Army;Aureo Lino Calles Pardo;1932;1957;1999;SD;Doctrine of Autonomy;High;LAureo_Lino_Calles_Pardo;X
36177;Chief of Army;Adrián Castrejón;1936;1954;1999;SD;Old Cavalry General;High;MEX_Castrejon;X
36178;Chief of Army;Pablo Quiroga Escamillo;1936;1948;1999;SD;Guns and Butter Doctrine;High;L4525;X
36179;Chief of Army;Pablo M. Valenzuela;1938;1964;1999;LWR;Elastic Defence Doctrine;Medium;M36104;X
36180;Chief of Staff;Gildardo Magaña Cerda;1921;1940;1999;LE;School of Psychology;High;MEX_Gildardo;X
36181;Chief of Army;Heliodoro Charis;1936;1964;1999;LWR;Armoured Spearhead Doctrine;High;MEX_Charis;X
36182;Chief of Army;Miguel Collazzo;1946;1964;1999;LE;Armoured Spearhead Doctrine;High;M36094;X
36183;Chief of Army;Gildardo Magaña Cerda;1936;1940;1999;LE;Guns and Butter Doctrine;Medium;MEX_Gildardo;X
36184;Chief of Army;Genovevo de la O;1936;1952;1999;LE;Static Defence Doctrine;High;6073;X
36185;Chief of Army;Matías Ramos Santos;1940;1962;1999;LE;Guns and Butter Doctrine;High;L4526;X
36186;Chief of Army;Joaquín Amaro Domínguez;1936;1952;1999;ST;Doctrine of Autonomy;High;L4502;X
36187;Chief of Navy;Juan Manuel Zermeño Araico;1946;1970;1999;SD;Power Projection Doctrine;High;L4544;X
36188;Chief of Navy;Luís Schaufelberger Alatorre;1936;1958;1999;LWR;Decisive Naval Battle Doctrine;High;L4541;X
36189;Chief of Navy;Enrique Panizio Vargas;1940;1970;1999;SC;Merchant Navy Focus;High;M36115;X
36190;Chief of Navy;Eduardo Hay;1936;1941;1999;ML;Merchant Navy Focus;High;MEX_Hay;X
36191;Chief of Navy;Alberto J. Pawling;1930;1955;1999;SD;Merchant Navy Focus;High;MAlberto_Jose_Pawling;X
36192;Chief of Navy;Serafín M. Robles Morales;1936;1955;1999;SD;Base Control Doctrine;High;MEX_Serafin;X
36193;Chief of Navy;Héctor Meixueiro Alexandres;1942;1970;1999;LWR;Hydrographic Service Proponent;High;L4538;X
36194;Chief of Navy;Miguel S. Gonzalez;1926;1945;1999;LWR;Riverine Warfare Doctrine;High;8308;X
36195;Chief of Air Force;Pedro Caloca Larios;1936;1970;1999;SD;Army Aviation Doctrine;High;MEX_Caloca;X
36196;Chief of Navy;David Coello Ochoa;1937;1959;1999;ML;Coastal Defence Doctrine;High;L4533;X
36197;Chief of Army;Alfredo Serratos Amador;1936;1955;1999;LE;Old Cavalry General;High;MAlfredo_Serratos_Amador;X
36198;Chief of Air Force;Roberto Fierro Villalobos;1936;1970;1999;SC;Army Aviation Doctrine;High;L4550;X
36199;Chief of Air Force;Eduardo Aldasoro Suárez;1936;1968;1999;SC;Aviation Organizer;High;MEX_Aldosoro;X
36200;Chief of Air Force;Francisco L. Urquizo;1936;1969;1999;ML;Air Defence Doctrine;High;MEX_Urquizo;X
36201;Chief of Air Force;Lester Pence Barlow;1936;1967;1999;SD;Carpet Bombing Doctrine;High;MEX_Barlow;X
36202;Chief of Air Force;Alberto Salinas Carranza;1920;1970;1999;LWR;Aviation Organizer;High;L4558;X
36203;Minister of Armament;Luis Napoleón Morones;1936;1964;1999;ST;Corrupt Kleptocrat;High;MEX_Morones;X
36204;Head of State;Doña María I de Habsburgo-Itúrbide;1936;1964;1999;PA;Insignificant Layman;Medium;MEX_MariaAnna;X
36205;Head of State;Don Fernando I de Moctezuma;1936;1964;1999;PA;Weary Stiffneck;Medium;MEX_Moctezuma;X
36206;Head of State;Luis Napoleón Morones;1936;1964;1999;ST;Ruthless Powermonger;High;MEX_Morones;X
36207;Head of Government;Luis Napoleón Morones;1936;1964;1999;ST;Ambitious Union Boss;High;MEX_Morones;X
36208;Head of State;Amalia González Caballero;1936;1964;1999;LE;Benevolent Gentleman;High;MEX_Amalia;X
36209;Head of Government;Amalia González Caballero;1936;1964;1999;LE;Naive Optimist;High;MEX_Amalia;X
36210;Head of State;Adolfo Ruiz Cortines;1940;1970;1999;LWR;Benevolent Gentleman;High;M36065;X
36211;Head of Government;Adolfo Ruiz Cortines;1940;1970;1999;LWR;Silent Workhorse;High;M36065;X
36212;Head of Government;Manuel Gómez Morin;1939;1970;1999;SC;Pragmatic Statesman;High;M36080;X
36213;Minister of Armament;Manuel Gómez Morin;1939;1970;1999;SC;Bank President;High;M36080;X
36214;Foreign Minister;Adalberto Tejeda Olivares;1935;1960;1999;ST;Ideological Crusader;High;MAdalberto_Tejeda_Olivares;X
36215;Minister of Security;Adalberto Tejeda Olivares;1920;1960;1999;ST;Compassionate Gentleman;High;MAdalberto_Tejeda_Olivares;X
36216;Foreign Minister;Roberto Cruz;1936;1970;1999;LWR;General Staffer;High;LRoberto_Cruz;X
36217;Minister of Security;Roberto Cruz;1936;1970;1999;LWR;Crime Fighter;High;LRoberto_Cruz;X
36218;Foreign Minister;Gilberto Bosques Saldívar;1939;1970;1999;LWR;The Cloak N Dagger Schemer;High;MGilberto_Bosques_Saldivar;X
36219;Foreign Minister;Vito Alessio Robles;1925;1957;1999;SD;Great Compromiser;High;MVito_Alessio_Robles;X
36220;Minister of Armament;Vito Alessio Robles;1925;1957;1999;SD;Construction Magnate;High;MVito_Alessio_Robles;X
36221;Foreign Minister;Eduardo Suarez Aránzolo;1935;1970;1999;SL;Apologetic Clerk;High;MEduardo_Suarez_Aranzolo;X
36222;Minister of Armament;Eduardo Suarez Aránzolo;1935;1970;1999;SL;Bank President;High;MEduardo_Suarez_Aranzolo;X
36223;Foreign Minister;Gustavo Martínez Cabañas;1950;1970;1999;ML;Great Compromiser;High;MGustavo_Martinez_Cabanas;X
36224;Minister of Armament;Gustavo Martínez Cabañas;1950;1970;1999;ML;Keynesian Economy;High;MGustavo_Martinez_Cabanas;X
36225;Minister of Security;Gustavo Martínez Cabañas;1950;1970;1999;ML;Compassionate Gentleman;High;MGustavo_Martinez_Cabanas;X
36226;Foreign Minister;Miguel Estrada Iturbide;1940;1970;1999;PA;Great Compromiser;High;MMiguel_Estrada_Iturbide;X
36227;Minister of Security;Miguel Estrada Iturbide;1940;1970;1999;PA;Silent Lawyer;High;MMiguel_Estrada_Iturbide;X
36228;Minister of Armament;Francisco Zamora Padilla;1936;1970;1999;LE;Planned Economy Proponent;High;MFrancisco_Zamora_Padilla;X
36229;Minister of Armament;Matías Ramos Santos;1940;1962;1999;LE;Motorisation Proponent;High;L4526;X
36230;Minister of Armament;Gustavo Salinas Camiña;1936;1964;1999;LWR;Air Superiority Proponent;High;L4557;X
36231;Minister of Armament;Jesús Silva Herzog;1937;1970;1999;LWR;Oil Baron;High;MJesus_Silva_Herzog;X
36232;Head of Military Intelligence;Jesús Silva Herzog;1937;1970;1999;LWR;Industrial Specialist;High;MJesus_Silva_Herzog;X
36233;Minister of Armament;Carlos Ramírez Ulloa;1937;1970;1999;LWR;Construction Magnate;High;MCarlos_Ramirez_Ulloa;X
36234;Minister of Armament;Juan Francisco Azcárate Pino;1928;1970;1999;SD;Air to Ground Proponent;High;LJuan_Francisco_Azcarate_Pino;X
36235;Head of Military Intelligence;Juan Francisco Azcárate Pino;1934;1970;1999;SD;Technical Specialist;High;LJuan_Francisco_Azcarate_Pino;X
36236;Minister of Armament;Manuel Sandoval Vallarta;1939;1970;1999;SD;Theoretical Scientist;High;MManuel_Sandoval_Vallarta;X
36237;Minister of Armament;Gilberto Loyo;1950;1970;1999;SD;Administrative Genius;High;MGilberto_Loyo_Gonzalez;X
36238;Head of Military Intelligence;Gilberto Loyo;1940;1970;1999;SD;Industrial Specialist;High;MGilberto_Loyo_Gonzalez;X
36239;Minister of Armament;Alfonso Poire Ruelas;1943;1970;1999;SL;Battle Fleet Proponent;High;MAlfonso_Poire_Ruelas;X
36240;Minister of Armament;Antonio Ortiz Mena;1952;1970;1999;SL;Keynesian Economy;High;MAntonio_Ortiz_Mena;X
36241;Minister of Security;Antonio Ortiz Mena;1952;1970;1999;SL;Man of the People;High;MAntonio_Ortiz_Mena;X
36242;Minister of Armament;Eduardo Villaseñor;1936;1970;1999;ML;Bank President;High;MEduardo_Villasenor_Angeles;X
