NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55049;Minister of Armament;William J. Jordan;1939;1964;1999;SD;Laissez-Faire Capitalist;High;M55049;X
55050;Minister of Armament;L.M. Isitt;1936;1964;1999;SD;Air to Sea Proponent;High;M55050;X
55051;Minister of Armament;Keith J. Holyoake;1944;1964;1999;SC;Military Entrepreneur;High;M55051;X
55115;Foreign Minister;Keith J. Holyoake;1944;1964;1999;SC;Ideological Crusader;High;M55051;X
55136;Chief of Staff;Keith L. Stewart;1936;1964;1999;SC;Biased Engineer-Soldier;High;;X
55147;Chief of Air Force;Keith L. Caldwell;1936;1964;1999;SD;Naval Aviation Doctrine;High;;X
55052;Minister of Armament;W.E. Parry;1942;1964;1999;ML;Submarine Proponent;High;M55052;X
55053;Minister of Armament;R.A. Cochrane;1936;1964;1999;SC;Air Superiority Proponent;High;M55010;X
55137;Chief of Army;Harold E. Barrowclough;1936;1964;1999;SC;Static Defence Doctrine;High;;X
55054;Minister of Armament;Sydney Holland;1936;1964;1999;SC;Laissez-Faire Capitalist;High;M55039;X
55055;Minister of Armament;A. de Terrotte Neville;1939;1964;1999;SC;Strategic Air Proponent;High;M55055;X
55056;Minister of Armament;W.H. Stratton;1939;1964;1999;SC;Air to Ground Proponent;High;M55056;X
55057;Minister of Armament;Sir Frederick Field;1942;1964;1999;SC;Battle Fleet Proponent;High;M55057;X
55058;Minister of Armament;Ken MacKenzie;1943;1964;1999;SC;Theoretical Scientist;High;M55058;X
55059;Minister of Armament;Edward Puttick;1936;1964;1999;FA;Infantry Proponent;High;M55059;X
55131;Minister of Security;Edward Puttick;1936;1964;1999;FA;Man of the People;High;M55059;X
55113;Foreign Minister;Eruera Tirikatene;1936;1964;1999;SL;Ideological Crusader;High;;X
55123;Minister of Armament;Evan Parry;1936;1964;1999;NS;Planned Economy Proponent;High;;X
55060;Minister of Armament;J.E. Duigan;1945;1964;1999;SC;Tank Proponent;High;M55060;X
55061;Minister of Security;Edward Blundell;1938;1964;1999;SD;Silent Lawyer;High;M55061;X
55062;Minister of Security;Robert Semple;1936;1964;1999;SD;Man of the People;High;M55062;X
55106;Head of Government;Robert C. Begg;1936;1964;1999;NS;Happy Amateur;High;;X
55107;Head of Government;Sidney W. Scott;1936;1964;1999;LE;Backroom Backstabber;High;;X
55108;Head of Government;Stephen C.E. Weir;1936;1964;1999;FA;Reformist Soldierhog;High;;X
55063;Minister of Security;James Allen;1936;1964;1999;ML;Back Stabber;Very High;M55043;X
55118;Minister of Armament;John T. Paul;1936;1964;1999;ST;Artillery Proponent;Very High;;X
55146;Chief of Air Force;John G. Pattison;1936;1964;1999;SC;Army Aviation Doctrine;Very High;;X
55064;Minister of Security;E.R. Drummond;1943;1964;1999;ML;Efficient Sociopath;High;M55009;X
55065;Minister of Security;Gordon Coates;1938;1964;1999;SC;Silent Lawyer;High;M55046;X
55066;Minister of Security;Adam Hamilton;1939;1964;1999;SC;Crime Fighter;High;M55037;X
55067;Minister of Security;Sydney Holland;1936;1964;1999;SC;Prince of Terror;Very High;M55039;X
55068;Minister of Security;Kenneth Folkes;1945;1964;1999;SC;Compassionate Gentleman;Medium;M55006;X
55102;Minister of Security;Leonard De Caux;1936;1964;1999;LWR;Media Magnate;High;NZL Len De Caux;X
55069;Head of Military Intelligence;Hugo Philpott;1938;1964;1999;SD;Logistics Specialist;High;M55069;X
55126;Minister of Security;James O'Brien;1936;1964;1999;LWR;Compassionate Gentleman;High;;X
55134;Chief of Staff;James L. Findlay;1936;1964;1999;LWR;School of Fire Support;High;;X
55117;Foreign Minister;Herbert W. Lloyd;1936;1964;1999;NS;Great Compromiser;High;;X
55141;Chief of Army;Herbert W. Lloyd;1936;1964;1999;NS;Decisive Battle Doctrine;High;;X
55070;Head of Military Intelligence;Tom Stanley;1943;1964;1999;SD;Political Specialist;Low;M55021;X
55132;Chief of Staff;Tom Spiller;1936;1964;1999;SC;School of Mass Combat;Low;;X
55071;Head of Military Intelligence;Adam Hamilton;1937;1964;1999;SC;Dismal Enigma;High;M55037;X
55072;Head of Military Intelligence;Ken MacKenzie;1939;1964;1999;SC;Industrial Specialist;High;M55058;X
55073;Head of Military Intelligence;E.R. Drummond;1942;1964;1999;SC;Naval Intelligence Specialist;High;M55009;X
55074;Head of Military Intelligence;J.E. Duigan;1942;1964;1999;SC;Technical Specialist;High;M55060;X
55075;Chief of Staff;J.E. Duigan;1937;1964;1999;ML;School of Manoeuvre;High;M55060;X
55076;Chief of Staff;Ronald Park;1940;1964;1999;ML;School of Mass Combat;High;M55076;X
55148;Chief of Air Force;Robert V. Goddard;1936;1964;1999;FA;Air Superiority Doctrine;High;;X
55142;Chief of Army;Reginald Miles;1935;1964;1999;ML;Combat Engineering Doctrine;High;;X
55077;Chief of Staff;Edward Puttick;1941;1964;1999;ML;School of Defence;High;M55059;X
55078;Chief of Staff;William Stevens;1936;1964;1999;ML;School of Fire Support;High;M55078;X
55138;Chief of Army;William Stevens;1936;1964;1999;ML;Doctrine of Autonomy;High;M55078;X
55079;Chief of Staff;Norman W. M. Weir;1936;1964;1999;PA;School of Psychology;High;M55079;X
55080;Chief of Army;Norris Stephen Falla;1937;1964;1999;ML;Elastic Defence Doctrine;High;M55080;X
55081;Chief of Army;J.E. Duigan;1937;1964;1999;ML;Armoured Spearhead Doctrine;High;M55060;X
55082;Chief of Army;J.C. Nichols;1940;1964;1999;ML;Static Defence Doctrine;High;M55082;X
55083;Chief of Army;Edward Puttick;1936;1964;1999;FA;Decisive Battle Doctrine;High;M55059;X
55084;Chief of Army;Norman W. M. Weir;1936;1964;1999;PA;Guns and Butter Doctrine;High;M55079;X
55085;Chief of Navy;H.E. Horan;1936;1964;1999;PA;Open Seas Doctrine;High;M55085;X
55086;Chief of Navy;W.E. Parry;1940;1964;1999;ML;Indirect Approach Doctrine;High;M55052;X
55087;Chief of Navy;Sir Frederick Field;1942;1964;1999;ML;Decisive Naval Battle Doctrine;High;M55057;X
55088;Chief of Navy;W.H.Stratton;1939;1964;1999;SD;Power Projection Doctrine;High;M55056;X
55089;Chief of Navy;G.W.G. Simpson;1945;1964;1999;ML;Base Control Doctrine;High;M55089;X
55150;Chief of Air Force;George B. Bolt;1936;1964;1999;NS;Vertical Envelopment Doctrine;High;;X
55090;Chief of Air Force;W.H. Stratton;1939;1964;1999;ML;Army Aviation Doctrine;High;M55056;X
55091;Chief of Air Force;H.D. McGregor;1941;1964;1999;ML;Vertical Envelopment Doctrine;High;M55091;X
55092;Chief of Air Force;L.M. Isitt;1936;1964;1999;ML;Naval Aviation Doctrine;High;M55050;X
55093;Chief of Air Force;Gordon H. Steege;1944;1964;1999;ML;Air Superiority Doctrine;High;M55093;X
55103;Head of Government;Alexander Galbraith;1936;1959;1999;ST;Silent Workhorse;High;;X
55151;Head of State;Alexander Galbraith;1936;1959;1999;ST;Totalist President;High;;X
55011;Head of State;T.C.A. Hislop;1936;1964;1999;PA;Benevolent Gentleman;High;M55011;X
55012;Head of Government;A.E. Davy;1936;1964;1999;ML;Happy Amateur;NA;M55012;X
55013;Foreign Minister;A.E. Davy;1936;1964;1999;ML;Ideological Crusader;Very High;M55012;X
55014;Minister of Armament;A.J. Stallworthy;1936;1964;1999;PA;Air to Sea Proponent;High;M55014;X
55015;Minister of Security;W.A. Veitch-Milne;1936;1964;1999;PA;Prince of Terror;High;M55015;X
55016;Head of Military Intelligence;Arthur Dawes;1936;1964;1999;PA;Naval Intelligence Specialist;High;M55016;X
55109;Foreign Minister;Arthur R.D. Fairburn;1936;1964;1999;ST;Biased Intellectual;High;;X
55110;Minister of Armament;Arthur Rosser;1936;1964;1999;LWR;Industrialiser;High;;X
55139;Chief of Army;Arapeta M. Pitapitanuiarangi;1946;1964;1999;LWR;Decisive Battle Doctrine;High;;X
55129;Minister of Security;Arthur J. Stallworthy;1936;1964;1999;ML;Health and Safety;High;;X
55130;Minister of Security;Apirana T. Ngata;1936;1964;1999;SC;Compassionate Gentleman;High;;X
55124;Minister of Security;Arthur Cook;1936;1964;1999;ST;Media Magnate;High;;X
55114;Foreign Minister;Arthur C.A.Sexton;1936;1964;1999;ML;Apologetic Clerk;High;;X
55017;Chief of Staff;Seymour DeWitt;1936;1964;1999;PA;School of Manoeuvre;High;M55017;X
55018;Chief of Army;Seymour DeWitt;1936;1964;1999;PA;Elastic Defence Doctrine;High;M55017;X
55019;Chief of Navy;Trevor Handley;1936;1964;1999;FA;Base Control Doctrine;High;M55019;X
55020;Chief of Air Force;Margaret Whittington;1936;1964;1999;PA;Vertical Envelopment Doctrine;High;M55020;X
55122;Minister of Armament;Matthew H. Oram;1936;1964;1999;ML;Industrial Chemist;High;;X
55021;Head of State;Tom Stanley;1936;1964;1999;LE;Powerhungry Demagogue;High;M55021;X
55022;Head of Government;Victor Wilcox;1936;1964;1999;LE;Happy Amateur;High;M55022;X
55023;Foreign Minister;Victor Wilcox;1936;1964;1999;LE;Biased Intellectual;Very High;M55022;X
55024;Minister of Armament;Sid Scott;1936;1964;1999;LWR;Theoretical Scientist;High;M55024;X
55025;Minister of Security;Gordon Watson;1936;1964;1999;ST;Efficient Sociopath;High;M55025;X
55125;Minister of Security;Griff Maclaurin;1936;1964;1999;LE;Compassionate Gentleman;High;;X
55135;Chief of Staff;Howard K. Kippenberger;1936;1964;1999;SD;School of Manoeuvre;High;;X
55026;Head of Military Intelligence;Frederick Freeman;1936;1964;1999;LWR;Technical Specialist;High;M55026;X
55027;Chief of Staff;Henry Colthorpe;1936;1964;1999;ST;School of Psychology;High;M55027;X
55127;Minister of Security;Henry G.R. Mason;1936;1964;1999;SD;Man of the People;High;;X
55028;Chief of Army;Gordon Watson;1936;1964;1999;ST;Guns and Butter Doctrine;High;M55025;X
55029;Chief of Navy;Eric Prendergast;1936;1964;1999;LE;Decisive Naval Battle Doctrine;High;M55029;X
55104;Head of Government;Fintan P Walsh;1936;1964;1999;LWR;Flamboyant Tough Guy;High;;X
55105;Head of Government;Haami T. Ratana;1936;1964;1999;SL;Silent Workhorse;High;;X
55030;Chief of Air Force;L.P. Peterson;1936;1964;1999;ST;Air Superiority Doctrine;High;M55030;X
55144;Chief of Army;Lindsay M. Inglis;1936;1964;1999;ST;Static Defence Doctrine;High;;X
55145;Chief of Army;Leslie WIlton Andrew;1936;1964;1999;ML;Counter-Insurgency Doctrine;High;;X
55095;Head of State;Willoughby Baron Norrie;1952;1964;1999;ML;Weary Stiffneck;High;M55095;X
55096;Head of State;Willoughby Baron Norrie;1952;1964;1999;SD;Weary Stiffneck;High;M55095;X
55097;Head of Government;Walter Nash;1947;1964;1999;SD;Happy Amateur;High;M55004;X
55149;Chief of Air Force;William V. Crawford;1936;1964;1999;SL;Tactical Aviation Doctrine;High;;X
55098;Foreign Minister;Frederick W. Doidge;1949;1964;1999;SC;Biased Intellectual;Very High;M55098;X
55143;Chief of Army;Fredrick Baker;1936;1964;1999;SC;Commando Doctrine Army;Very High;;X
55099;Foreign Minister;Thomas C. Webb;1951;1964;1999;SC;Iron Fisted Brute;Very High;M55099;X
55100;Foreign Minister;Arnold H. Nordmeyer;1936;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M55100;X
55120;Minister of Armament;Arnold H. Nordmeyer;1936;1964;1999;SD;Mixed Economy;Very High;M55100;X
55101;Minister of Security;Thomas L. MacDonald;1951;1964;1999;SC;Efficient Sociopath;Medium;M55101;X
55140;Chief of Army;Thomas J. King;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;;X
