GAB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
536034;Minister of Security;Pierre Boisson;1938;1964;1999;SL;Prince of Terror;Medium;M536021;x
536035;Minister of Security;Numa Sadoul;1944;1964;1999;SL;Man of the People;Medium;M536018;x
536036;Minister of Security;Nkola Mbomo;1936;1964;1999;LWR;Efficient Sociopath;Medium;M536036;x
536037;Minister of Security;Gaston Flaubert;1936;1964;1999;PA;Back Stabber;Medium;M536031;x
536038;Head of Military Intelligence;Paul Vuillaume;1941;1964;1999;SL;Political Specialist;Medium;M536016;x
536039;Head of Military Intelligence;Maurice Kaouza;1944;1964;1999;SL;Industrial Specialist;Medium;M536039;x
536040;Head of Military Intelligence;David Mousseda;1936;1964;1999;LWR;Logistics Specialist;Medium;M536040;x
536041;Head of Military Intelligence;Pierre Boisson;1936;1964;1999;PA;Dismal Enigma;Medium;M536021;x
536042;Chief of Staff;Raymond Delange;1941;1964;1999;SL;School of Psychology;Medium;M536042;x
536043;Chief of Staff;Charles Mahango;1936;1964;1999;LWR;School of Manoeuvre;Medium;M536043;x
536044;Chief of Staff;Francois Reste;1936;1964;1999;PA;School of Psychology;Medium;M536002;x
536045;Chief of Army;Raphaël Folliot;1944;1964;1999;SL;Guns and Butter Doctrine;Medium;M536045;x
536046;Chief of Army;Fulbert Youlou;1936;1964;1999;LWR;Static Defence Doctrine;Medium;M536046;x
536047;Chief of Army;Jean l'Huillier;1936;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M536047;x
536048;Chief of Navy;Charles A.M. Assier de Perpigan;1944;1964;1999;SL;Power Projection Doctrine;Medium;M536006;x
536049;Chief of Navy;Felix Eboue;1936;1964;1999;LWR;Open Seas Doctrine;Medium;M536008;x
536050;Chief of Navy;Maurice Kaouza;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M536039;x
536051;Chief of Air Force;Roland Pré;1941;1964;1999;SL;Air Superiority Doctrine;Medium;M536017;x
536052;Chief of Air Force;Felix Eboue;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M536008;x
536053;Chief of Air Force;Jacques Andrieux;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M536053;x
536054;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
536055;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
