CSX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
503056;Head of Military Intelligence;Li Wenyi;1946;1970;1999;LWR;Industrial Specialist;High;MLi_Wenyi;X
503057;Head of Government;Xu Fulin;1940;1958;1999;SD;Happy Amateur;High;MXu_Fulin;X
503058;Minister of Security;Xu Fulin;1936;1958;1999;SD;Silent Lawyer;High;MXu_Fulin;X
503059;Head of Government;Du Bincheng;1940;1962;1999;SD;Silent Workhorse;High;MDu_Bincheng;X
503060;Head of Military Intelligence;Du Bincheng;1936;1962;1999;SD;Political Specialist;High;MDu_Bincheng;X
503061;Head of Government;Zhang Shizhao;1936;1959;1999;SL;Naive Optimist;High;CHIShizhao;X
503062;Minister of Security;Zhang Shizhao;1926;1959;1999;SL;Silent Lawyer;High;CHIShizhao;X
503063;Head of Government;Bao Zheqing;1936;1957;1999;ML;Silent Workhorse;High;MBao_Zheqing;X
503064;Foreign Minister;Bao Zheqing;1936;1957;1999;ML;Great Compromiser;High;MBao_Zheqing;X
503065;Head of Government;Wang Chonghui;1922;1958;1999;ML;Naive Optimist;High;CHIChung;X
503066;Foreign Minister;Wang Chonghui;1936;1958;1999;ML;Apologetic Clerk;High;CHIChung;X
503067;Minister of Security;Wang Chonghui;1922;1958;1999;ML;Silent Lawyer;High;CHIChung;X
503068;Head of Government;Zhao Zichen;1948;1970;1999;ML;Spiritual Leader;High;MZhao_Zichen;X
503069;Head of Government;Zhang Xiaoruo;1948;1970;1999;ML;Corporate Suit;High;Zhang Xiaoruo;X
503070;Minister of Armament;Zhang Xiaoruo;1940;1970;1999;ML;Mixed Economy;High;Zhang Xiaoruo;X
503071;Head of Military Intelligence;Zhang Xiaoruo;1936;1970;1999;ML;Industrial Specialist;High;Zhang Xiaoruo;X
503072;Head of Government;Zhang Shaozeng;1924;1949;1999;SC;Reformist Soldierhog;High;LZhang_Shaozeng;X
503073;Chief of Army;Zhang Shaozeng;1924;1944;1999;SC;Static Defence Doctrine;High;LZhang_Shaozeng;X
503074;Head of Government;Li Genyuan;1936;1959;1999;SC;Silent Workhorse;High;MLi_Genyuan;X
503075;Minister of Armament;Li Genyuan;1936;1959;1999;SC;Military Entrepreneur;High;MLi_Genyuan;X
503076;Head of Government;Zhang Ting'e;1944;1970;1999;SC;Silent Workhorse;High;MZhang_Tinge;X
503077;Minister of Security;Zhang Ting'e;1926;1970;1999;SC;Compassionate Gentleman;High;MZhang_Tinge;X
503078;Chief of Navy;Zhang Ting'e;1924;1970;1999;SC;Merchant Navy Focus;High;MZhang_Tinge;X
503079;Head of Government;Sa Zhenbing;1936;1952;1999;PA;Old Admiral;High;M750025;X
503080;Head of Government;Zhu Qiqian;1936;1958;1999;PA;Silent Workhorse;High;Zhu Qiqian;X
503081;Head of Government;Zheng Xiaoxu;1930;1938;1999;FA;Backroom Backstabber;High;M750039;X
503082;Head of Government;Zheng Chui;1938;1954;1999;FA;Political Protege;High;MZheng_Chui;X
503083;Head of Government;Qu Yingguang;1936;1970;1999;FA;Backroom Backstabber;High;Qu Yingguang;X
503084;Foreign Minister;Shen Bochun;1936;1970;1999;LWR;The Cloak N Dagger Schemer;High;MShen_Bochun;X
503085;Head of Military Intelligence;Shen Bochun;1936;1970;1999;LWR;Political Specialist;High;MShen_Bochun;X
503086;Foreign Minister;Liu Zunqi;1946;1970;1999;LWR;Biased Intellectual;High;MLiu_Zunqi;X
503087;Minister of Security;Liu Zunqi;1950;1970;1999;LWR;Media Magnate;High;MLiu_Zunqi;X
503088;Foreign Minister;Zhu Fangchun;1949;1970;1999;LWR;The Cloak N Dagger Schemer;High;MZhu_Fangchun;X
503089;Foreign Minister;Wang Guoquan;1949;1970;1999;LWR;Great Compromiser;High;MWang_Guoquan;X
503090;Foreign Minister;Shen Jian;1955;1970;1999;LWR;Ideological Crusader;High;MShen_Jian;X
503091;Head of Military Intelligence;Shen Jian;1946;1970;1999;LWR;Dismal Enigma;High;MShen_Jian;X
503092;Foreign Minister;Feng Youlan;1940;1966;1999;SD;Biased Intellectual;High;MFeng_Youlan;X
503093;Foreign Minister;Deng Yuzhi;1945;1970;1999;SD;Ideological Crusader;High;MDeng_Yuzhi;X
503094;Head of Military Intelligence;Deng Yuzhi;1938;1970;1999;SD;Industrial Specialist;High;MDeng_Yuzhi;X
503095;Foreign Minister;Chen Renbing;1950;1970;1999;SD;Apologetic Clerk;High;MChen_Renbing;X
503096;Foreign Minister;Sun Baogang;1952;1970;1999;SD;Biased Intellectual;High;MSun_Baogang_Sun_Paul_Kung;X
503097;Minister of Armament;Sun Baogang;1948;1970;1999;SD;Infantry Proponent;High;MSun_Baogang_Sun_Paul_Kung;X
503098;Foreign Minister;Wu Maosun;1949;1970;1999;SD;Great Compromiser;High;MWu_Maosun;X
503099;Foreign Minister;Wang Rumei;1954;1970;1999;SD;Great Compromiser;High;MWang_Rumei_Huang_Hua;X
503100;Foreign Minister;Ye Duyi;1954;1970;1999;SD;The Cloak N Dagger Schemer;High;MYe_Duyi;X
503101;Foreign Minister;Wang Shiming;1940;1966;1999;SL;General Staffer;High;MWang_Shiming;X
503102;Minister of Security;Wang Shiming;1940;1966;1999;SL;Crime Fighter;High;MWang_Shiming;X
503103;Foreign Minister;Ye Keliang;1936;1949;1999;ML;Biased Intellectual;High;MYe_Keliang;X
503104;Foreign Minister;Liu Chongjie;1936;1950;1999;ML;Great Compromiser;High;MLiu_Chongjie;X
503105;Foreign Minister;Xu Dongfan;1936;1952;1999;ML;Ideological Crusader;High;MXu_Dongfan;X
503106;Minister of Security;Xu Dongfan;1936;1952;1999;ML;Silent Lawyer;High;MXu_Dongfan;X
503107;Foreign Minister;Zhang Pengchun;1938;1952;1999;ML;Great Compromiser;High;MZhang_Pengchun_PengChun_Chang;X
503108;Foreign Minister;Xu Mo;1936;1956;1999;ML;Ideological Crusader;High;Hsu Mo;X
503109;Minister of Security;Xu Mo;1936;1956;1999;ML;Silent Lawyer;High;Hsu Mo;X
503110;Foreign Minister;Shui Junshao;1936;1958;1999;ML;Apologetic Clerk;High;Shi Junshao;X
503111;Foreign Minister;Yu Rixuan;1940;1958;1999;ML;Great Compromiser;High;MYu_Rixuan_Stewart_Yui;X
503112;Head of Military Intelligence;Yu Rixuan;1936;1958;1999;ML;Political Specialist;High;MYu_Rixuan_Stewart_Yui;X
503113;Foreign Minister;Li Daming;1945;1961;1999;ML;The Cloak N Dagger Schemer;High;MLi_Daming;X
503114;Minister of Security;Li Daming;1945;1961;1999;ML;Media Magnate;High;MLi_Daming;X
503115;Foreign Minister;Chang Yansheng;1942;1964;1999;ML;Biased Intellectual;High;MChang_Yansheng;X
503116;Minister of Security;Chang Yansheng;1936;1964;1999;ML;Media Magnate;High;MChang_Yansheng;X
503117;Foreign Minister;Xia Taosheng;1941;1968;1999;ML;Great Compromiser;High;MXia_Taosheng;X
503118;Foreign Minister;Xia Yiting;1928;1944;1999;SC;Apologetic Clerk;High;MXia_Yiting;X
503119;Foreign Minister;Gu Zhongxiu;1936;1944;1999;SC;The Cloak N Dagger Schemer;High;MGu_Zhongxiu;X
503120;Foreign Minister;Chen Jie;1936;1950;1999;SC;The Cloak N Dagger Schemer;High;Chen Jie;X
503121;Minister of Armament;Chen Jie;1936;1950;1999;SC;Industrialiser;High;Chen Jie;X
503122;Foreign Minister;Diao Zuoqian;1936;1950;1999;SC;Ideological Crusader;High;Diao Zuoqian;X
503123;Head of Military Intelligence;Diao Zuoqian;1916;1950;1999;SC;Political Specialist;High;Diao Zuoqian;X
503124;Foreign Minister;Jiang Kanghu;1926;1954;1999;SC;Biased Intellectual;High;Jiang Kanghu;X
503125;Head of Military Intelligence;Jiang Kanghu;1926;1954;1999;SC;Political Specialist;High;Jiang Kanghu;X
503126;Foreign Minister;Shi Zhaoji;1932;1954;1999;SC;Iron Fisted Brute;High;Alfred Sao-ke Sze;X
503127;Foreign Minister;Ding Shujing;1925;1955;1999;SC;Great Compromiser;High;MDing_Shujing;X
503128;Minister of Security;Ding Shujing;1925;1955;1999;SC;Compassionate Gentleman;High;MDing_Shujing;X
503129;Foreign Minister;Diao Minqian;1936;1958;1999;SC;Biased Intellectual;High;MDiao_Minqian;X
503130;Foreign Minister;Liu Yuwan;1946;1966;1999;SC;Apologetic Clerk;High;MLiu_Yuwan;X
503131;Foreign Minister;Hu Shize;1942;1968;1999;SC;The Cloak N Dagger Schemer;High;Victor Hoo Chi-tsai;X
503132;Foreign Minister;Yu Hangji;1946;1968;1999;SC;Great Compromiser;High;MYu_Hangji;X
503133;Foreign Minister;Chen Yiqing;1936;1970;1999;SC;Apologetic Clerk;High;MChen_Yiqing;X
503134;Minister of Security;Chen Yiqing;1940;1970;1999;SC;Silent Lawyer;High;MChen_Yiqing;X
503135;Foreign Minister;Dong Xianguang;1943;1970;1999;SC;Ideological Crusader;High;MHollington_K_Tong;X
503136;Minister of Security;Dong Xianguang;1937;1970;1999;SC;Media Magnate;High;MHollington_K_Tong;X
503137;Foreign Minister;Zhu Yanfeng;1946;1970;1999;SC;Biased Intellectual;High;MZhu_Yanfeng;X
503138;Foreign Minister;Lu Zhengxiang;1912;1946;1999;PA;Great Compromiser;High;M750019;X
503139;Foreign Minister;Luo Chang;1928;1951;1999;PA;Biased Intellectual;High;MLuo_Chang;X
503140;Foreign Minister;Jia Yuming;1936;1954;1999;PA;Ideological Crusader;High;MJia_Yuming;X
503141;Foreign Minister;Zeng Zongjian;1936;1958;1999;PA;Apologetic Clerk;High;MZeng_Zongjian;X
503142;Foreign Minister;Cheng Xigeng;1939;1964;1999;PA;Biased Intellectual;High;Cheng Xigeng;X
503143;Minister of Armament;Cheng Xigeng;1939;1964;1999;PA;Laissez-Faire Capitalist;High;Cheng Xigeng;X
503144;Foreign Minister;Yang Yunzhu;1949;1967;1999;PA;Apologetic Clerk;High;MYang_Yunzhu;X
503145;Foreign Minister;Zuo Shunsheng;1940;1969;1999;PA;The Cloak N Dagger Schemer;High;CHIZuo;X
503146;Minister of Security;Zuo Shunsheng;1936;1969;1999;PA;Back Stabber;High;CHIZuo;X
503147;Foreign Minister;Liu Siying;1926;1970;1999;PA;Ideological Crusader;High;MLiu_Siying;X
503148;Minister of Armament;Liu Siying;1936;1970;1999;PA;Mixed Economy;High;MLiu_Siying;X
503149;Foreign Minister;Duan Maolan;1949;1970;1999;PA;Iron Fisted Brute;High;Duan Maolan;X
503150;Foreign Minister;Luo Zhenyu;1928;1940;1999;FA;Ideological Crusader;High;Luo Zhenyu;X
503151;Foreign Minister;Lei Shourong;1928;1945;1999;FA;General Staffer;High;MLei_Shourong;X
503152;Foreign Minister;Chen Lu;1927;1947;1999;FA;Apologetic Clerk;High;Chen Lu;X
503153;Foreign Minister;Bai Jianwu;1936;1951;1999;FA;The Cloak N Dagger Schemer;High;Bai Jianwu;X
503154;Foreign Minister;Konggur Guanglu;1936;1970;1999;FA;Apologetic Clerk;High;MKongguoluo_Guanglu;X
503155;Foreign Minister;Wang Kemin;1928;1945;1999;NS;Iron Fisted Brute;High;Kaiserreich Wang Kemin;X
503156;Minister of Armament;Wang Kemin;1924;1945;1999;NS;Corrupt Kleptocrat;High;Kaiserreich Wang Kemin;X
503157;Minister of Armament;Zhang Pingzhi;1939;1970;1999;LE;Industrialiser;High;MZhang_Pingzhi;X
503158;Minister of Armament;Chen Xiyu;1949;1970;1999;LE;Bank President;High;MChen_Xiyu;X
503159;Minister of Armament;Yuan Baohua;1956;1970;1999;LE;Administrative Genius;High;MYuan_Baohua;X
503160;Minister of Armament;Guo Zechen;1946;1970;1999;LWR;Industrialiser;High;MGuo_Zechen;X
503161;Minister of Armament;Fu Jiaxuan;1946;1970;1999;LWR;Military Entrepreneur;High;LFu_Jiaxuan;X
503162;Minister of Armament;Zhu Huohua;1949;1970;1999;LWR;Air to Ground Proponent;High;MZhu_Huohua;X
503163;Minister of Armament;Zhao Feike;1949;1970;1999;LWR;Construction Magnate;High;MZhao_Feike;X
503164;Minister of Armament;Liu Su;1952;1970;1999;LWR;Infantry Proponent;High;LLiu_Su;X
503165;Minister of Armament;Shang Ming;1953;1970;1999;LWR;Bank President;High;MShang_Ming;X
503166;Minister of Armament;Kang Shien;1955;1970;1999;LWR;Oil Baron;High;MKang_Shien;X
503167;Minister of Armament;Zhang Caiqian;1955;1970;1999;LWR;Reformer;High;L76511;X
503168;Minister of Armament;Zhu Qinglai;1936;1950;1999;SD;Planned Economy Proponent;High;Zhu Qinglai;X
503169;Minister of Armament;Wang Yizhai;1940;1969;1999;SD;Planned Economy Proponent;High;MWang_Yizhai;X
503170;Minister of Armament;Li Siguang;1936;1970;1999;SD;Oil Baron;High;MLi_Siguang;X
503171;Minister of Armament;Cui Jingbo;1945;1970;1999;SD;Pioneer Of Econometrics;High;MCui_Jingbo;X
503172;Minister of Armament;Huo Bingquan;1946;1970;1999;SD;Theoretical Scientist;High;MHuo_Bingquan;X
503173;Minister of Armament;Lu Da;1954;1970;1999;SD;Steel Magnate;High;MLu_Da;X
503174;Minister of Armament;Gan Cisen;1954;1970;1999;SD;Bank President;High;MGan_Cisen;X
503175;Chief of Navy;Gan Cisen;1954;1970;1999;SD;Merchant Navy Focus;High;MGan_Cisen;X
503176;Minister of Armament;Hua Nangui;1929;1957;1999;SL;Construction Magnate;High;MHua_Nangui;X
503177;Minister of Armament;Li Zhuchen;1936;1965;1999;SL;Industrial Chemist;High;MLi_Zhuchen;X
503178;Head of Military Intelligence;Li Zhuchen;1936;1965;1999;SL;Industrial Specialist;High;MLi_Zhuchen;X
503179;Minister of Armament;Sun Jianchu;1946;1967;1999;SL;Oil Baron;High;MSun_Jianchu;X
503180;Minister of Armament;Zhang Zhonglu;1943;1968;1999;SL;Resource Industrialist;High;MZhang_Zhonglu;X
503181;Minister of Armament;Zhang Youyi;1947;1970;1999;SL;Bank President;High;MZhang_Youyi;X
503182;Minister of Armament;Tu Yuqing;1949;1970;1999;SL;Theoretical Scientist;High;MTu_Yuqing;X
503183;Minister of Armament;Zhang Wenqi;1952;1970;1999;SL;Steel Magnate;High;MZhang_Wenqi;X
503184;Minister of Armament;Wang Zhuting;1953;1970;1999;SL;Construction Magnate;High;MWang_Zhuting;X
503185;Minister of Armament;Wang Guangying;1957;1970;1999;SL;Administrative Genius;High;MWang_Guangying;X
503186;Minister of Armament;Yu Tongkui;1936;1946;1999;ML;Industrial Chemist;High;MYu_Tongkui;X
503187;Minister of Armament;Wang Zhichang;1924;1946;1999;ML;Administrative Genius;High;Wang Zhichang;X
503188;Foreign Minister;Wang Zhichang;1924;1946;1999;ML;Great Compromiser;High;Wang Zhichang;X
503189;Minister of Armament;He Yushi;1936;1948;1999;ML;Resource Industrialist;High;MHe_Yushi;X
503190;Minister of Armament;Ye Jingxin;1928;1951;1999;ML;Balanced Budget Economy;High;MYe_Jingxin;X
503191;Minister of Armament;Jin Houcheng;1936;1951;1999;ML;Balanced Budget Economy;High;MJin_Houcheng;X
503192;Minister of Armament;Wang Xunqing;1936;1951;1999;ML;Mixed Economy;High;MWang_Xunqing;X
503193;Minister of Armament;Zhou Zuomin;1936;1955;1999;ML;Bank President;High;MZhou_Zuomin;X
503194;Minister of Armament;Huang Boqiao;1936;1955;1999;ML;Scientific Management Proponent;High;MHuang_Boqiao;X
503195;Minister of Armament;Deng Cuiying;1936;1955;1999;ML;Theoretical Scientist;High;MDeng_Cuiying;X
503196;Minister of Armament;Zhang Yihui;1936;1956;1999;ML;Theoretical Scientist;High;MZhang_Yihui;X
503197;Minister of Armament;Sa Fujun;1938;1955;1999;ML;Construction Magnate;High;MSa_Fujun;X
503198;Minister of Armament;Xu Xinliu;1940;1955;1999;ML;Mixed Economy;High;MXu_Xinliu;X
503199;Minister of Armament;Zhou Cangbai;1945;1963;1999;ML;Bank President;High;MZhou_Cangbai;X
503200;Minister of Armament;Wu Shaozeng;1945;1964;1999;ML;Construction Magnate;High;MWu_Shaozeng;X
503201;Minister of Armament;Mei Yiqi;1946;1964;1999;ML;Theoretical Scientist;High;MMei_Yiqi;X
503202;Minister of Armament;Shen Jingyi;1940;1965;1999;ML;Carrier Proponent;High;MShen_Jingyi;X
503203;Minister of Armament;Zhang Qinglian;1940;1970;1999;ML;Steel Magnate;High;MZhang_Qinglian;X
503204;Minister of Armament;Zhang Wenzhi;1945;1970;1999;ML;Submarine Proponent;High;MZhang_Wenzhi;X
503205;Minister of Armament;Wang Zhixi;1945;1970;1999;ML;Steel Magnate;High;MWang_Zhixi;X
503206;Minister of Armament;Pan Zhongxiang;1946;1970;1999;ML;Oil Baron;High;MPan_Zhongxiang;X
503207;Minister of Armament;Wang Gongheng;1947;1970;1999;ML;Battle Fleet Proponent;High;MWang_Gongheng;X
503208;Minister of Armament;Ye Qisun;1949;1970;1999;ML;Theoretical Scientist;High;MYe_Qisun;X
503209;Minister of Armament;Xia Daoping;1949;1970;1999;ML;Laissez-Faire Capitalist;High;MXia_Daoping;X
503210;Minister of Armament;Wang Hansheng;1950;1970;1999;ML;Military Entrepreneur;High;MWang_Hansheng;X
503211;Minister of Armament;Liu Dazhong;1954;1970;1999;ML;Pioneer Of Econometrics;High;MLiu_Dazhong;X
503212;Head of Military Intelligence;Liu Dazhong;1948;1970;1999;ML;Industrial Specialist;High;MLiu_Dazhong;X
503213;Minister of Armament;Yan Deqing;1936;1942;1999;SC;Construction Magnate;High;MYan_Deqing;X
503214;Minister of Armament;Gao Enhong;1928;1943;1999;SC;Laissez-Faire Capitalist;High;Gao Enhong;X
503215;Minister of Armament;Zhuang Lefeng;1936;1943;1999;SC;Resource Industrialist;High;MZhuang_Lefeng;X
503216;Minister of Armament;Xiang Xiang;1928;1944;1999;SC;Balanced Budget Economy;High;MXiang_Xiang;X
503217;Minister of Armament;Ling Wenyuan;1928;1944;1999;SC;Mixed Economy;High;MLing_Wenyuan;X
503218;Minister of Armament;Jin Bangping;1926;1946;1999;SC;Mixed Economy;High;MJin_Bangping;X
503219;Minister of Armament;Gao Xingqiao;1928;1946;1999;SC;Resource Industrialist;High;MGao_Xingqiao;X
503220;Minister of Armament;Ye Jingkui;1936;1948;1999;SC;Bank President;High;MYe_Jingkui;X
503221;Minister of Armament;Guan Genglin;1936;1950;1999;SC;Construction Magnate;High;MGuan_Genglin;X
503222;Minister of Armament;Xu Shizhang;1936;1952;1999;SC;Industrialiser;High;MXu_Shizhang;X
503223;Minister of Armament;Jia Shiyi;1936;1957;1999;SC;Bank President;High;MJia_Shiyi;X
503224;Minister of Armament;Weng Wenhao;1936;1959;1999;SC;Administrative Genius;High;M750031;X
503225;Minister of Armament;Zhang Fuliang;1936;1959;1999;SC;Mixed Economy;High;MZhang_Fuliang;X
503226;Minister of Armament;Zeng Yuenong;1938;1963;1999;SC;Laissez-Faire Capitalist;High;Beauson Tseng;X
503227;Minister of Armament;Wang Junhao;1936;1963;1999;SC;Resource Industrialist;High;MWang_Junhao;X
503228;Minister of Armament;Li Shuhua;1936;1964;1999;SC;Theoretical Scientist;High;MLi_Shuhua;X
503229;Minister of Armament;Zhou Shutao;1938;1970;1999;SC;Laissez-Faire Capitalist;High;Zhou Shutao;X
503230;Minister of Armament;Tao Shuzeng;1945;1970;1999;SC;Construction Magnate;High;MTao_Shuzeng;X
503231;Minister of Armament;Yang Jizeng;1945;1970;1999;SC;Military Entrepreneur;High;MYang_Jizeng;X
503232;Minister of Armament;Hou Defeng;1946;1970;1999;SC;Industrial Chemist;High;MHou_Defeng;X
503233;Minister of Armament;Wei Shoukun;1946;1970;1999;SC;Steel Magnate;High;MWei_Shoukun;X
503234;Minister of Armament;Chen Zuyi;1946;1970;1999;SC;Mixed Economy;High;MChen_Zuyi;X
503235;Minister of Armament;Zhou Zhijun;1948;1970;1999;SC;Mixed Economy;High;MZhou_Zhijun;X
503236;Minister of Armament;Weng Xinyuan;1950;1970;1999;SC;Oil Baron;High;MWeng_Xinyuan;X
503237;Minister of Armament;Yuan Tiechen;1953;1970;1999;SC;Battle Fleet Proponent;High;MYuan_Tiechen;X
503238;Minister of Armament;Gong Xinzhan;1924;1943;1999;PA;Industrialiser;High;Gong Xinzhan;X
503239;Minister of Armament;Yu Renfeng;1926;1943;1999;PA;Construction Magnate;High;MYu_Renfeng;X
503240;Minister of Armament;Lu Xiangting;1926;1945;1999;PA;Infantry Proponent;High;Lu Xiangting;X
503241;Minister of Armament;Lao Zhichang;1928;1948;1999;PA;Construction Magnate;High;MLao_Zhichang;X
503242;Minister of Armament;Li Sihao;1926;1957;1999;PA;Bank President;High;Li Sihao;X
503243;Minister of Armament;Hu Boyuan;1936;1963;1999;PA;Resource Industrialist;High;MHu_Boyuan;X
503244;Minister of Armament;Chen Guangyuan;1926;1939;1999;FA;Laissez-Faire Capitalist;High;Chen Guangyun;X
503245;Minister of Armament;Zhang Yinghua;1926;1946;1999;FA;Balanced Budget Economy;High;MZhang_Yinghua;X
503246;Minister of Armament;Aisin-Gioro Zaizhen;1936;1947;1999;FA;Corrupt Kleptocrat;High;M750016;X
503247;Minister of Armament;Shi Xingchuan;1936;1948;1999;FA;Military Entrepreneur;High;Shi Xingchuan;X
503248;Minister of Armament;Zeng Yujun;1919;1950;1999;FA;Corrupt Kleptocrat;High;MZeng_Yujun;X
503249;Head of Military Intelligence;Zeng Yujun;1918;1950;1999;FA;Industrial Specialist;High;MZeng_Yujun;X
503250;Chief of Navy;Zeng Yujun;1919;1950;1999;FA;Merchant Navy Focus;High;MZeng_Yujun;X
503251;Minister of Armament;Mu Zibin;1941;1962;1999;FA;Corrupt Kleptocrat;High;MMu_Zibin;X
