MAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
58027;Minister of Security;Soume Tcheng;1938;1964;1999;FA;Crime Fighter;Medium;M58036;x
58028;Minister of Security;Tang Yulin;1938;1964;1999;FA;Crooked Kleptocrat;Medium;Kaiserreich Tang Yulin;x
58029;Head of Military Intelligence;Amleto Vespa;1936;1964;1999;FA;Dismal Enigma;Medium;Kaiserreich Amleto Vespa;x
58030;Head of Military Intelligence;Tang Yulin;1938;1964;1999;FA;Logistics Specialist;Medium;Kaiserreich Tang Yulin;x
58031;Head of Military Intelligence;Chang Su-lee;1936;1964;1999;PA;Industrial Specialist;High;M58048;x
58032;Chief of Staff;Zhang Zuolin;1936;1964;1999;FA;School of Fire Support;Very High;Zhang Zuolin;x
58033;Chief of Staff;Zhang Zongchang;1939;1964;1999;FA;School of Defence;High;Kaiserreich Zhang Zongchang;x
58034;Chief of Staff;Zhang Xueliang;1936;1964;1999;FA;School of Psychology;Very High;Kaiserreich Zhang Xueliang;x
58036;Chief of Army;Feng Yuxiang;1936;1964;1999;FA;Static Defence Doctrine;Medium;kaiserreich Feng Yuhsiang;x
58037;Chief of Army;Ma Zhanshan;1936;1964;1999;FA;Elastic Defence Doctrine;High;Kaiserreich Ma Zhanshan;x
58038;Chief of Army;Tang Juwu;1939;1964;1999;FA;Decisive Battle Doctrine;Medium;Kaiserreich Tang Juwu;x
58039;Chief of Navy;Liou Tcheng-fou;1936;1964;1999;FA;Open Seas Doctrine;Medium;M58014;x
58040;Chief of Navy;Yin Tsuo-chien;1938;1964;1999;FA;Base Control Doctrine;Medium;M58062;x
58041;Chief of Air Force;Ma Zhanshan;1936;1964;1999;FA;Vertical Envelopment Doctrine;High;Kaiserreich Ma Zhanshan;x
58042;Chief of Air Force;Loh Tcheng;1936;1964;1999;PA;Naval Aviation Doctrine;Very Low;M58019;x
58043;Head of Government;Nitobe Inazo;1936;1964;1999;NS;old airmarshal;High;M58018;x
58044;Foreign Minister;Nagai Matsuzo;1936;1964;1999;NS;Ideological Crusader;Medium;M58024;x
58045;Minister of Armament;Tsushima Juichi;1936;1964;1999;NS;laissez-faire capitalist;Medium;M58030;x
58046;Minister of Security;Hayashi Gonsuke;1936;1964;1999;NS;Crime Fighter;Low;M58038;x
58047;Head of Military Intelligence;Saito Hiroshi;1936;1964;1999;NS;Logistics Specialist;High;M58044;x
58048;Chief of Staff;Nakajima Kesago;1936;1964;1999;NS;School of Defence;Medium;M58051;x
58049;Chief of Army;Kawashima Yoshiko;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;M58006;x
58050;Chief of Navy;Oka Keijun;1936;1964;1999;NS;Indirect Approach Doctrine;Medium;M58063;x
58051;Chief of Air Force;Isono Yuzo;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M58068;x
58052;Head of State;The Tsar Of All Russians;1936;1964;1999;SC;Popular Figurehead;High;Mrus Tsar;x
58053;Head of State;The Tsar Of All Russians;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;x
58054;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;x
58055;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;x
58056;Head of Government;Konstantin Rodzaevsky;1936;1964;1999;SC;old general;Very High;ManRodzaevsky;x
58057;Head of Government;Konstantin Rodzaevsky;1936;1964;1999;PA;old general;Very High;ManRodzaevsky;x
58058;Head of State;D.H.D.B.X. Pu-Yi;1936;1964;1999;FA;Popular Figurehead;High;M58001;x
58059;Head of State;D.H.D.B.X. Pu-Yi;1936;1964;1999;SC;Popular Figurehead;High;M58001;x
58060;Head of Military Intelligence;Kang Sheng;1936;1964;1999;LE;Dismal Enigma;High;kai_kngshng;x
58061;Minister of Security;Kang Sheng;1936;1964;1999;LE;Efficient Sociopath;High;kai_kngshng;x
58062;Chief of Army;Zhou Baozhong;1936;1964;1999;LWR;Elastic Defence Doctrine;High;kai_zhoubaozh;x
58063;Chief of Staff;Zhou Baozhong;1936;1964;1999;LWR;School of Defence;High;kai_zhoubaozh;x
58064;Head of State;Zhou Baozhong;1936;1964;1999;LWR;Resigned Generalissimo;High;kai_zhoubaozh;x
58065;Head of State;Hu Hung-Hsing;1936;1964;1999;ML;Barking Buffoon;High;kai_hushi;x
58066;Head of Government;Gao Yihan;1936;1964;1999;ML;Silent Workhorse;High;Kai_gaoyinh;x
58067;Foreign Minister;Gao Yihan;1936;1964;1999;ML;Biased Intellectual;High;Kai_gaoyinh;x
58069;Head of State;Ma Shangde;1936;1964;1999;SD;Resigned Generalissimo;High;kai_mashangde;x
58071;Head of Government;Chen Duxiu;1936;1964;1999;SD;Flamboyant Tough Guy;High;kai_chenduxiu;x
58072;Minister of Armament;Zhao Shangzhi;1936;1964;1999;LWR;Military Entrepreneur;High;kai_zhaoshanxi;x
58073;Head of Military Intelligence;Lu Zhengcao;1936;1964;1999;SD;Logistics Specialist;High;kai_luzhegcao;x
58074;Chief of Staff;Hsiung Pin;1936;1964;1999;PA;School of Defence;High;Hsiung Pin;x
58075;Minister of Security;Hsiung Pin;1941;1964;1999;PA;Crime Fighter;Medium;Hsiung Pin;x
58076;Chief of Staff;Lu Zhonglin;1940;1964;1999;PA;School of Fire Support;High;Lu Zhonglin;x
58077;Chief of Army;Lu Zhonglin;1940;1964;1999;PA;Elastic Defence Doctrine;High;Lu Zhonglin;x
58078;Foreign Minister;Shen Jui-lin;1936;1964;1999;FA;Apologetic Clerk;Medium;Shen Juilin;x
58079;Foreign Minister;Li Shaogeng;1936;1964;1999;FA;Apologetic Clerk;High;Li Shaogeng;x
58080;Foreign Minister;Lv I Wen;1936;1964;1999;FA;Great Compromiser;High;Lv I Wen;x
58081;Foreign Minister;Lu Ronghuan;1936;1964;1999;FA;Iron Fisted Brute;High;Lu Ronghuan;x
58082;Chief of Army;Wu Kuang-hsin;1936;1964;1999;PA;Guns and Butter Doctrine;Low;L153001;x
58083;Chief of Navy;Shen Honglie;1936;1964;1999;PA;Open Seas Doctrine;Medium;MANShen Honglie;x
58084;Chief of Air Force;Gao Zhihang;1941;1964;1999;PA;Air Superiority Doctrine;Very high;Gao;x
