LAT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
27083;Head of Government;Nikolai Yudenich;1936;1964;1999;PA;Old General;Very High;LatYudenich;X
27084;Chief of Staff;Nikolai Yudenich;1936;1964;1999;PA;School of Fire Support;Very High;LatYudenich;X
27085;Head of Government;Nikolai Yudenich;1936;1964;1999;SC;Old General;Very High;LatYudenich;X
27086;Head of State;S.M. Adolf Friedrich I;1936;1964;1999;ML;German Aristocrat;High;kaiserreich adolffriedrich;X
27088;Minister of Armament;Hans Henrici;1940;1960;1999;FA;Military Entrepreneur;High;Kaiserreich Hans Henrici;X
27089;Minister of Armament;Erich Alt;1936;1967;1999;FA;Air to Ground Proponent;High;Kaiserreich Erich Alt;X
27090;Minister of Armament;Max Erwin von Scheubner-Richter;1936;1959;1999;FA;Oil Baron;High;MMax_Erwin_vonScheubner-Richter;X
27091;Minister of Armament;Bernhard Bielenstein;1936;1959;1999;SC;Construction Magnate;High;MBernhard_Bielenstein;X
27092;Minister of Armament;Arno Schickedanz;1936;1964;1999;FA;Industrialiser;High;MArno_Schickedanz;X
27093;Minister of Armament;Johan Laidoner;1936;1953;1999;PA;Reformer;Medium;M26008;X
27094;Minister of Armament;Hans-Joachim von Kruedener;1936;1970;1999;NS;Resource Industrialist;Medium;Mkruerader;X
27095;Minister of Armament;Erich Koch;1936;1970;1999;NS;Industrialiser;Medium;M27087;X
27096;Foreign Minister;Arno Schickedanz;1936;1964;1999;FA;Iron Fisted Brute;High;MArno_Schickedanz;X
27097;Foreign Minister;Rolf E.C. von Ungern-Sternberg;1936;1944;1999;SC;Biased Intellectual;High;MRolf_Edvard_Clemens_vonUngern-Sternberg;X
27098;Minister of Security;Otto von Kursell;1936;1968;1999;NS;Media Magnate;High;otto kursell;X
27099;Minister of Security;Axel de Vries;1936;1963;1999;SD;Compassionate Gentleman;High;MAxel_deVries;X
27100;Minister of Security;Oskar Angelus;1936;1970;1999;NS;Secret Police Chief;Medium;M26015;X
27101;Minister of Security;Edwin Magnus;1936;1970;1999;SC;Silent Lawyer;High;MEdwin_Magnus;X
27102;Foreign Minister;Edwin Magnus;1936;1970;1999;SC;Great Compromiser;High;MEdwin_Magnus;X
27103;Minister of Armament;Edwin Magnus;1936;1970;1999;SC;Bank President;High;MEdwin_Magnus;X
27104;Foreign Minister;Albert Hopman;1936;1942;1999;PA;General Staffer;High;albert hopman;X
27105;Head of Military Intelligence;Albert Hopman;1936;1942;1999;PA;Naval Intelligence Specialist;High;albert hopman;X
27106;Chief of Navy;Albert Hopman;1936;1942;1999;PA;Merchant Navy Focus;High;albert hopman;X
27107;Chief of Navy;Otto Schniewind;1936;1964;1999;FA;Open Seas Doctrine;High;LOtto_Schniewind;X
27108;Chief of Navy;Hans Adam;1936;1948;1999;SC;Indirect Approach Doctrine;High;LHans_Adam;X
27109;Chief of Navy;Friedrich Brutzer;1936;1958;1999;PA;Decisive Naval Battle Doctrine;High;LFriedrich_Brutzer;X
27110;Chief of Navy;Adam R.E. von Gernet;1936;1945;1999;PA;Hydrographic Service Proponent;High;MAdam_Richard_Ernst_vonGernet;X
27111;Chief of Air Force;Bernhard J.F. Gebauer;1936;1945;1999;PA;Aviation Organizer;High;MBernhard-Justus_Gebauer;X
27112;Chief of Air Force;Kurt Georg Andersen;1940;1970;1999;PA;Air Defence Doctrine;High;Kaiserreich Kurt Andersen;X
27113;Chief of Air Force;Heinrich Rauch;1940;1964;1999;SC;Aviation Organizer;High;L506401;X
27114;Chief of Air Force;Oskar Dinort;1944;1966;1999;SC;Army Aviation Doctrine;High;L435;X
27115;Chief of Air Force;Gerhard Buschmann;1948;1970;1999;SC;Air Superiority Doctrine;High;LGerhard_Buschmann;X
27116;Chief of Air Force;Hans-Armin Czech;1940;1970;1999;PA;Naval Aviation Doctrine;High;L506351;X
27117;Chief of Army;Kurt Jahn;1936;1967;1999;FA;Decisive Battle Doctrine;High;Kaiserreich Kurt Jahn;X
27118;Chief of Army;Heinrich Baron von Behr;1945;1970;1999;FA;Armoured Spearhead Doctrine;High;Kaiserreich Baron von Behr;X
27119;Chief of Staff;Johan Laidoner;1936;1953;1999;PA;School of Manoeuvre;Medium;M26008;X
27120;Chief of Staff;Walter von Unruh;1936;1957;1999;NS;School of Mass Combat;High;LWalter_vonUnruh;X
27121;Chief of Army;Walter von Unruh;1936;1957;1999;NS;Guns and Butter Doctrine;High;LWalter_vonUnruh;X
27122;Chief of Army;Alfred von Randow;1936;1959;1999;PA;Combat Engineering Doctrine;High;LAlfred_vonRandow;X
27123;Head of Military Intelligence;Alfred von Randow;1936;1959;1999;PA;Logistics Specialist;High;LAlfred_vonRandow;X
