CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
52077;Minister of Security;Chen Fake;1944;1964;1999;FA;Efficient Sociopath;High;M52077;X
52079;Head of Military Intelligence;He Yaozu;1939;1964;1999;PA;Industrial Specialist;Low;M52079;X
52080;Head of Military Intelligence;Mao Renfeng;1940;1964;1999;PA;Logistics Specialist;Very High;M52080;X
52081;Head of Military Intelligence;Jiang Yiying;1944;1964;1999;PA;Dismal Enigma;Very High;Jiang Yiying;X
52082;Head of Military Intelligence;Yang Xuancheng;1941;1964;1999;SC;Naval Intelligence Specialist;Very High;M52082;X
52083;Head of Military Intelligence;Zheng Jiemin;1942;1964;1999;PA;Technical Specialist;Very High;M52083;X
52084;Head of Military Intelligence;Sun Yu;1939;1964;1999;LWR;Logistics Specialist;High;CHISunyu;X
52085;Head of Military Intelligence;Li Shiqun;1939;1964;1999;FA;Political Specialist;Medium;M52016;X
52086;Head of Military Intelligence;Chen Fake;1943;1964;1999;FA;Logistics Specialist;High;M52077;X
52088;Chief of Staff;Wei Lihuang;1938;1964;1999;SC;School of Mass Combat;High;CHILihuang;X
52089;Chief of Staff;Jiang Baili;1936;1964;1999;PA;School of Psychology;High;M52089;X
52090;Chief of Staff;Qian Dajun;1941;1964;1999;PA;School of Defence;High;M52090;X
52091;Chief of Staff;Lin Wei;1943;1964;1999;PA;School of Manoeuvre;High;M52035;X
52092;Chief of Staff;Xiao Yishu;1945;1964;1999;PA;School of Fire Support;High;M52092;X
52093;Chief of Staff;Xu Zuyi;1939;1964;1999;SC;School of Defence;High;M52093;X
52095;Chief of Army;Li Zongren;1937;1964;1999;SC;Static Defence Doctrine;High;M52031;X
52096;Chief of Army;Jiang Baili;1938;1964;1999;PA;Guns and Butter Doctrine;High;M52089;X
52097;Chief of Army;Gu Zhutong;1939;1964;1999;PA;Decisive Battle Doctrine;Low;M52097;X
52098;Chief of Army;Xu Tingyao;1944;1964;1999;PA;Armoured Spearhead Doctrine;High;M52098;X
52099;Chief of Army;He Yingqin;1939;1964;1999;SC;Elastic Defence Doctrine;High;M52058;X
52100;Chief of Army;Bao Wenyue;1939;1964;1999;FA;Static Defence Doctrine;Low;M52018;X
52101;Chief of Navy;Ouyang Ge;1937;1964;1999;PA;Open Seas Doctrine;High;M52101;X
52102;Chief of Navy;Zeng Yiding;1939;1964;1999;PA;Base Control Doctrine;Medium;M52102;X
52103;Chief of Navy;Chen Jiliang;1943;1964;1999;PA;Indirect Approach Doctrine;Medium;M52103;X
52106;Chief of Navy;Ren Shouxu;1939;1964;1999;SC;Open Seas Doctrine;Low;M52106;X
52109;Chief of Air Force;Shen Honglie;1941;1964;1999;PA;Naval Aviation Doctrine;Very High;M52109;X
52111;Chief of Air Force;Wang Shuming;1945;1964;1999;PA;Vertical Envelopment Doctrine;High;M52054;X
52112;Chief of Air Force;Qian Dajun;1939;1964;1999;SC;Carpet Bombing Doctrine;Very High;M52090;X
52113;Chief of Air Force;Chen Changchu;1939;1964;1999;FA;Army Aviation Doctrine;Low;M52020;X
52115;Head of Government;Ch'en Ch'eng;1950;1964;1999;PA;Political Protege;High;M52115;X
183510;Head of State;Soong Ching-ling;1936;1964;1999;SD;Madame Sun;High;CHIMadame;X
183511;Head of State;V.K. Wellington Koo;1936;1964;1999;ML;Insignificant Layman;High;CHIWelling;X
183512;Head of State;Hu Shih;1936;1964;1999;ML;Die-hard Reformer;High;CHIHu;X
183513;Minister of Armament;Liao Zhongkai;1936;1964;1999;SD;Resource Industrialist;High;CHIZhongkai;X
183514;Minister of Security;Liu Xiao;1936;1964;1999;SL;Man of the People;High;CHILiu;X
183516;Head of Military Intelligence;Woo Tsin-hang;1936;1964;1999;SL;Industrial Specialist;High;CHIWoo;X
183517;Chief of Staff;Sun Li-Gen;1936;1964;1999;SL;School of Manoeuvre;High;Sun Li-Gen;X
183518;Chief of Army;Li Mi;1936;1964;1999;SL;Elastic Defence Doctrine;High;CHILimi;X
183519;Foreign Minister;Tan Kah Kee;1936;1964;1999;SD;General Staffer;High;CHITan;X
183520;Head of Military Intelligence;He Zhonghan;1936;1964;1999;PA;Logistics Specialist;High;M52084;X
183521;Head of Government;Zhou Shuren;1936;1964;1999;SL;Flamboyant Tough Guy;High;CHIXun;X
183522;Minister of Security;Sheng Shicai;1936;1964;1999;PA;Prince of Terror;High;CHISheng;X
183523;Minister of Armament;Chang Ching-kiang;1936;1964;1999;SD;Administrative Genius;Very High;Chang Ching-kiang;X
183524;Foreign Minister;Chang Chi-yun;1936;1964;1999;ML;Apologetic Clerk;High;CHIChi-yun;X
183525;Minister of Armament;Chen Yinque;1936;1964;1999;ML;Laissez-Faire Capitalist;High;CHIYinque;X
183526;Foreign Minister;Ch'ien Mu;1936;1964;1999;SC;Great Compromiser;High;CHIMu;X
183528;Head of Government;Chen Tanqui;1936;1964;1999;LWR;Corporate Suit;High;CHITanqui;X
183529;Foreign Minister;Jian Bozan;1936;1964;1999;LWR;Ideological Crusader;High;CHIBozan;X
183530;Foreign Minister;Chang Chun-mai;1936;1964;1999;SL;Great Compromiser;High;CHIJunmai;X
183531;Minister of Armament;Chiang Wei-kuo;1948;1964;1999;ML;Tank Proponent;High;Chiang Wei-kuo;X
183532;Head of Military Intelligence;Lin Yutang;1936;1964;1999;ML;Logistics Specialist;High;CHIYutang;X
183533;Foreign Minister;Chang Tung-sun;1936;1964;1999;ML;Ideological Crusader;High;CHIDongsun;X
183534;Foreign Minister;K. C. Wu;1936;1964;1999;SL;Biased Intellectual;High;CHIKC;X
183535;Minister of Security;Jiang Tingfu;1936;1964;1999;ML;Compassionate Gentleman;High;CHITingfu;X
183536;Head of Government;Soong Ching-ling;1936;1964;1999;SD;Flamboyant Tough Guy;High;CHIMadame;X
183537;Minister of Armament;Liu Chi-Sheng;1942;1964;1999;ML;Air Superiority Proponent;High;M52132;X
183538;Head of Government;Tang Shaoyi;1936;1964;1999;SC;Political Protege;High;CHIShaoyi;X
183539;Minister of Armament;Chang Chun;1936;1964;1999;SC;Military Entrepreneur;High;CHIQun;X
183540;Chief of Army;Tai Chi-tao;1936;1964;1999;SD;Decisive Battle Doctrine;High;CHITai;X
183542;Head of State;Zeng Qi;1937;1964;1999;SC;Stern Imperialist;High;CHIZeng;X
183543;Head of Government;Zuo Shunsheng;1937;1964;1999;SC;Backroom Backstabber;High;CHIZuo;X
183544;Foreign Minister;He Luzhi;1937;1964;1999;SC;Great Compromiser;High;CHILuzhi;X
183545;Minister of Armament;Luo Longji;1937;1964;1999;SC;Administrative Genius;High;CHILongji;X
183546;Head of Military Intelligence;Kang Ze;1936;1964;1999;PA;Political Specialist;Medium;M52085;X
183547;Minister of Security;Wu Dingchang;1936;1964;1999;ML;Back Stabber;High;CHIWuding;X
183548;Chief of Staff;Chen Mingshu;1936;1964;1999;SD;School of Mass Combat;High;CHIMingshu;X
183550;Foreign Minister;Quo Tai-chi;1937;1964;1999;ML;Apologetic Clerk;High;CHITaichi;X
183551;Head of Military Intelligence;Yu Youren;1936;1964;1999;SD;Technical Specialist;High;CHIYouren;X
183552;Minister of Armament;Robert Hotung;1936;1964;1999;SL;Laissez-Faire Capitalist;High;CHIHotung;X
183553;Minister of Security;Xu Shiying;1936;1964;1999;ML;Crime Fighter;High;CHIShiying;X
183554;Chief of Staff;Cai Tingkai;1936;1964;1999;LWR;School of Psychology;High;CHITingkai;X
183555;Chief of Army;Huang Qixiang;1936;1964;1999;ML;Static Defence Doctrine;High;CHIQixiang;X
183556;Minister of Security;Zhang Shizhao;1936;1964;1999;SC;Silent Lawyer;High;CHIShizhao;X
183557;Minister of Security;Shen Junru;1936;1964;1999;LWR;Efficient Sociopath;High;CHIJunru;X
183558;Minister of Security;Gu Zhenglun;1936;1964;1999;SD;Crime Fighter;High;CHIZhenglun;X
183559;Foreign Minister;Wang Ch'ung-hui;1936;1964;1999;SD;Apologetic Clerk;High;CHIChung;X
183560;Chief of Staff;Wang Jingwei;1937;1964;1999;SD;School of Fire Support;High;CHIWangjing;X
183561;Head of Government;Wang Jingwei;1937;1964;1999;SD;Old General;High;CHIWangjing;X
183562;Head of State;Chen Jiongming;1936;1964;1999;SC;Barking Buffoon;High;CHIMing;X
183563;Chief of Air Force;Feng Ru;1936;1964;1999;SD;Carpet Bombing Doctrine;High;CHIFeng;X
183564;Chief of Air Force;Chin Shui-Tin;1936;1964;1999;SL;Air Superiority Doctrine;High;CHIShui;X
183565;Chief of Air Force;Gao Zhihang;1936;1964;1999;SL;Vertical Envelopment Doctrine;High;CHIZhihang;X
183566;Chief of Air Force;Wang Kuang-Fu;1936;1964;1999;SC;Army Aviation Doctrine;High;CHIKuangfu;X
183567;Chief of Air Force;Wang Zhu;1936;1964;1999;ML;Naval Aviation Doctrine;High;CHIWangzhu;X
183568;Chief of Navy;Tang Xiangming;1936;1964;1999;SC;Base Control Doctrine;High;CHITangxiang;X
183569;Chief of Navy;Huang Tingxin;1936;1964;1999;SC;Indirect Approach Doctrine;High;CHIHuang;X
183570;Minister of Security;Kang Sheng;1936;1964;1999;LE;Prince of Terror;High;CHIKang;X
183571;Head of Military Intelligence;Deng Yanda;1936;1964;1999;LWR;Dismal Enigma;High;CHIYanda;X
183572;Chief of Air Force;Kwei-Tan Li;1936;1964;1999;SD;Air Superiority Doctrine;High;CHITsu;X
183573;Head of Military Intelligence;Lee Hoi-chuen;1936;1964;1999;ML;Technical Specialist;High;CHIBruce;X
183574;Chief of Army;Yip Kai-Man;1936;1964;1999;ML;Guns and Butter Doctrine;High;CHIYip;X
183575;Head of State;Liang Shuming;1940;1964;1999;SL;Popular Figurehead;High;CHIShuming;X
183576;Head of Government;Yan Yangchu;1940;1964;1999;SL;Ambitious Union Boss;High;CHIYangchu;X
183577;Foreign Minister;Tao Xingzhi;1940;1964;1999;SL;Great Compromiser;High;CHIXingzhi;X
183578;Minister of Armament;Fei Hsiao-Tung;1940;1964;1999;SL;Military Entrepreneur;High;CHIXiaotong;X
183579;Head of State;Liu Shaoqi;1936;1964;1999;LE;Powerhungry Demagogue;High;CHIShaoqi;X
183580;Head of Government;Xu Shichang;1920;1934;1935;PA;Backroom Backstabber;High;kaiserreich Xu Shichang;X
183581;Head of State;Hu Weide;1920;1934;1935;PA;Powerhungry Demagogue;High;kai_26huweide;X
183582;Head of State;Wang Jingwei;1925;1964;1999;SD;Popular Figurehead;Medium;Kaiserreich Wang Jingwei;X
183583;Head of Government;He Chengjun;1936;1964;1999;SC;Old General;Very High;He Chengjun;X
183585;Foreign Minister;Tsiang Tingfu;1940;1964;1999;SD;General Staffer;High;Tsiang Tingfu;X
183586;Foreign Minister;Wunsz King;1943;1964;1999;SC;Biased Intellectual;High;Wunsz King;X
183587;Foreign Minister;Hsu Mo;1936;1964;1999;ML;Ideological Crusader;High;Hsu Mo;X
183588;Chief of Staff;Bai Chongxi;1936;1964;1999;SC;School of Manoeuvre;High;L50247;X
183589;Chief of Army;He Chengjun;1936;1964;1999;SD;Guns and Butter Doctrine;Very High;He Chengjun;X
183590;Chief of Navy;Shen Honglie;1936;1964;1999;SC;Decisive Naval Battle Doctrine;High;CHIShen Honglie;X
183591;Chief of Air Force;Zhou Zhirou;1936;1964;1999;SC;Air Superiority Doctrine;Very High;L50372;X
183592;Chief of Army;Guan Linzheng;1945;1964;1999;SC;Decisive Battle Doctrine;Medium;L50154;X
183593;Chief of Army;Xu Yongchang;1945;1964;1999;SC;Guns and Butter Doctrine;High;CHIXu Yongchang;X
183594;Head of Government;Cheng Qian;1945;1964;1999;SD;Old General;Medium;CHICheng Qian;X
183595;Chief of Staff;Hsiung Shih-hui;1945;1964;1999;SD;School of Mass Combat;Very High;Xiong Shihui;X
183596;Chief of Army;Yu Hanmou;1945;1964;1999;PA;Static Defence Doctrine;High;Yu Hanmou;X
183597;Chief of Staff;Yang Chieh;1936;1964;1999;SD;School of Psychology;Medium;CHIYang Jie;X
183598;Chief of Staff;Zhu Shaoliang;1945;1964;1999;SC;School of Fire Support;Medium;L50066;X
183599;Head of Military Intelligence;Li Liejun;1936;1964;1999;SC;Logistics Specialist;Very High;Li Liejun;X
183600;Chief of Staff;Chiang Wei-kuo;1950;1964;1999;SD;School of Manoeuvre;High;Chiang Wei-kuo;X
183601;Chief of Army;Chiang Wei-kuo;1950;1964;1999;SD;Armoured Spearhead Doctrine;High;Chiang Wei-kuo;X
183602;Chief of Navy;Yang Shuzhuang;1936;1964;1999;SC;Base Control Doctrine;Medium;Yang Shuzhuang;X
183603;Minister of Armament;Lin Guogeng;1936;1964;1999;SC;Battle Fleet Proponent;Medium;Lin Guogeng;X
183604;Minister of Armament;She Zhenxing;1936;1964;1999;PA;Submarine Proponent;Medium;She Zhenxing;X
183605;Chief of Staff;Xue Yue;1940;1964;1999;SC;School of Mass Combat;Very High;Xue Yue;X
183606;Chief of Navy;Li Zhilong;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;Li Zhilong;X
183607;Chief of Navy;Gao Rufeng;1948;1964;1999;SC;Power Projection Doctrine;High;Gao Rufeng;X
183608;Chief of Navy;Chen Xunyong;1938;1964;1999;PA;Indirect Approach Doctrine;Medium;Chen Xunyong;X
183609;Chief of Army;Sun Li-Gen;1936;1964;1999;ML;Armoured Spearhead Doctrine;High;Sun Li-Gen;X
183610;Chief of Navy;Guo Faao;1948;1964;1999;SD;Power Projection Doctrine;High;Guo Faao;X
183611;Head of State;Sun Fo;1945;1964;1999;SC;Benevolent Gentleman;Medium;CHISunfo;X
183612;Head of Government;Liao Zhongkai;1925;1964;1999;SD;Silent Workhorse;High;CHIZhongkai;X
183613;Head of Military Intelligence;Liao Chengzhi;1939;1964;1999;LE;Political Specialist;Very High;LiaoChengzhi;X
183614;Chief of Army;Li Jishen;1936;1964;1999;LWR;Decisive Battle Doctrine;High;L502003;X
183615;Chief of Army;Chen Jitang;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M502008;X
183616;Head of State;Hu Hanmin;1936;1964;1999;PA;Stern Imperialist;High;CHIHu Hanmin;X
183617;Head of Government;Chang Chun-mai;1936;1964;1999;SD;Smiling Oilman;High;CHIJunmai;X
183618;Head of State;Chen Qiyou;1936;1964;1999;SC;Barking Buffoon;High;Chen Qiyou;X
183619;Head of Military Intelligence;Ye Gongchuo;1936;1964;1999;ML;Industrial Specialist;High;Ye Gongchuo;X
183620;Head of Military Intelligence;Li Shucheng;1936;1964;1999;SD;Technical Specialist;High;Li Shucheng;X
183621;Chief of Staff;Gao Kuiyuan;1942;1964;1999;SC;School of Defence;Very High;Gao Kuiyuan;X
183622;Chief of Staff;Li Jishen;1936;1964;1999;LWR;School of Fire Support;High;L502003;X
183623;Chief of Staff;Liao Yaoxiang;1940;1964;1999;PA;School of Defence;Medium;L50195;X
183624;Chief of Staff;Qiu Qingquan;1938;1964;1999;PA;School of Psychology;Very High;CHIQiu Qingquan;X
183625;Head of Government;Situ Meitang;1936;1964;1999;SC;Flamboyant Tough Guy;Medium;Situ Meitang;X
183626;Head of Government;Chen Mingshu;1936;1964;1999;SD;Smiling Oilman;High;Chen Mingshu;X
183627;Head of Government;Chen Yen-sheng;1936;1964;1999;SC;Political Protege;High;Chen Yen-sheng;X
183628;Head of Government;Chang Chun;1936;1964;1999;SC;Silent Workhorse;Very High;Chang Chun;X
183629;Head of Government;Wang Kunlun;1936;1964;1999;SD;Corporate Suit;High;Wang Kunlun;X
183630;Head of Government;Wang Shijie;1936;1964;1999;SL;Happy Amateur;High;Wang Shijie;X
183631;Head of Government;Lei Chen;1936;1964;1999;SL;Political Protege;Medium;Lei Chen;X
183632;Head of Government;Yen Chia-kan;1936;1964;1999;SC;Silent Workhorse;Very High;Yen Chia-kan;X
183633;Head of Government;Chen Lifu;1936;1964;1999;SC;Backroom Backstabber;Medium;M52006;X
183634;Head of Government;Li Jisen;1936;1964;1999;SD;Old General;High;L502003;X
183635;Head of State;Cheng Qian;1936;1964;1999;SD;Resigned Generalissimo;High;CHICheng Qian;X
183636;Head of State;Chang Tung-sun;1936;1964;1999;SD;Die-hard Reformer;Medium;CHIDongsun;X
183637;Head of State;Li Huang;1936;1964;1999;SC;Weary Stiffneck;High;Li Huang;X
183638;Head of Government;Chen Chi-tien;1936;1964;1999;SC;Smiling Oilman;Medium;Chen Chi-tien;X
183639;Foreign Minister;Eugene Chen;1936;1964;1999;LWR;Iron Fisted Brute;Very High;Eugene Chen;X
183640;Head of State;Li Liejun;1936;1964;1999;PA;Resigned Generalissimo;Very High;Li Liejun;X
183641;Chief of Staff;Li Liejun;1936;1964;1999;SD;School of Fire Support;Very High;Li Liejun;X
183642;Chief of Army;Li Liejun;1936;1964;1999;SD;Guns and Butter Doctrine;Very High;Li Liejun;X
183643;Chief of Army;Yu Ta-wei;1950;1964;1999;SC;Guns and Butter Doctrine;Very High;Yu Ta-wei;X
183644;Foreign Minister;V.K. Wellington Koo;1936;1964;1999;SL;Great Compromiser;Very High;CHIWelling;X
183645;Chief of Air Force;Zhang Jingyu;1936;1964;1999;SC;Army Aviation Doctrine;Medium;Zhang Jingyu;X
183646;Chief of Navy;Li Yuxi;1950;1964;1999;SC;Open Seas Doctrine;Very High;Li Yuxi;X
183647;Chief of Air Force;Lai Mingtang;1950;1964;1999;SC;Vertical Envelopment Doctrine;High;Lai Mingtang;X
183648;Foreign Minister;Frank W. Chinglun Lee;1936;1964;1999;ML;Ideological Crusader;High;Frank W. Chinglun Lee;X
183649;Foreign Minister;Chiang Tso-pin;1936;1964;1999;SC;General Staffer;Very High;Chiang Tso-pin;X
183650;Minister of Armament;Chiang Tso-pin;1936;1964;1999;SC;Infantry Proponent;Very High;Chiang Tso-pin;X
183651;Foreign Minister;C. T. Wang;1936;1964;1999;SL;Apologetic Clerk;High;C. T. Wang;X
183652;Foreign Minister;George K.C. Yeh;1945;1964;1999;SL;Iron Fisted Brute;High;George K.C. Yeh;X
183653;Head of Government;Hu Shih;1936;1964;1999;SL;Ambitious Union Boss;High;CHIhu;X
183654;Head of State;K. C. Wu;1945;1964;1999;SL;Die-hard Reformer;High;CHIKC;X
183655;Foreign Minister;Wei Tao-ming;1945;1964;1999;ML;Ideological Crusader;Medium;Wei Tao-ming;X
183656;Head of State;Liang Sou-ming;1936;1964;1999;SD;Autocratic Charmer;Medium;Liang Sou-ming;X
183657;Head of Government;Zhang Bojun;1936;1964;1999;SD;Political Protege;High;Zhang Bojun;X
183658;Head of State;Chen Chi-tien;1945;1964;1999;SD;Insignificant Layman;High;Chen Chi-tien;X
183659;Head of State;Wang Tsao-shih;1945;1964;1999;SC;Benevolent Gentleman;Medium;Wang Tsao-shih;X
183660;Head of Government;Chang Tao-fan;1945;1964;1999;SC;Corporate Suit;High;Chang Tao-fan;X
183661;Chief of Army;Huang Chieh;1950;1964;1999;SC;Decisive Battle Doctrine;Very High;Huang Chieh;X
183662;Head of Military Intelligence;Xu Enceng;1938;1964;1999;SC;Technical Specialist;Medium;Xu Enceng;X
183663;Minister of Security;Chu Cheng;1936;1964;1999;SD;Man of the People;Very High;Chu Cheng;X
183664;Head of Military Intelligence;Tang Wen-yi;1936;1964;1999;SC;Logistics Specialist;High;M52289;X
183665;Minister of Security;Peng Meng-ji;1945;1964;1999;FA;Prince of Terror;Very High;Peng Meng-ji;X
183666;Chief of Staff;Zhou Zhirou;1950;1964;1999;SC;School of Fire Support;High;CHIZhou Zhirou;X
183667;Chief of Staff;Gu Zhutong;1948;1964;1999;PA;School of Psychology;High;CHIGu Zhutong;X
183668;Chief of Staff;Peng Meng-ji;1954;1964;1999;FA;School of Mass Combat;High;Peng Meng-ji;X
183669;Chief of Staff;Wang Shuming;1957;1964;1999;PA;School of Mass Combat;High;Wang Shuming;X
183670;Head of State;Long Yun;1963;1964;1999;FA;Die-hard Reformer;High;M750056;X
183671;Head of Government;Long Yun;1963;1964;1999;FA;Political Protege;High;M750056;X
183672;Foreign Minister;Zhou Zhirou;1963;1964;1999;FA;Apologetic Clerk;High;M501003;X
183673;Minister of Armament;Liu Wenhui;1963;1964;1999;FA;Battle Fleet Proponent;Medium;M501004;X
183674;Minister of Security;Ding Zhipan;1963;1964;1999;FA;Crime Fighter;Medium;M501005;X
183675;Head of Military Intelligence;Mi Zaiming;1963;1964;1999;FA;Political Specialist;Medium;M501006;X
183676;Chief of Staff;Long Yun;1963;1964;1999;FA;School of Psychology;Medium;M750056;X
183677;Chief of Army;Long Yun;1963;1964;1999;FA;Guns and Butter Doctrine;Medium;M750056;X
183678;Chief of Navy;Lu Han;1963;1964;1999;FA;Open Seas Doctrine;Medium;M750055;X
183679;Chief of Air Force;Lu Han;1963;1964;1999;FA;Carpet Bombing Doctrine;Medium;M750055;X
183680;Head of State;Tang Jiyao;1962;1964;1999;PA;Die-hard Reformer;High;Tang Jiyao;X
183681;Head of Government;Tang Jiyao;1962;1964;1999;PA;Old General;High;Tang Jiyao;X
183682;Head of State;Lu Han;1964;1970;1999;FA;Resigned Generalissimo;Medium;M750055;X
183683;Head of Government;Lu Han;1964;1970;1999;FA;Old General;Medium;M750055;X
183684;Head of State;Chen Geng;1964;1970;1999;SL;Weary Stiffneck;Medium;CYN_geng;X
183685;Head of Government;Chen Geng;1964;1970;1999;SL;Happy Amateur;Medium;CYN_geng;X
183686;Chief of Staff;Chen Geng;1964;1970;1999;SL;School of Fire Support;Medium;CYN_geng;X
183687;Chief of Army;Chen Geng;1964;1970;1999;SL;Static Defence Doctrine;Medium;CYN_geng;X
183688;Head of State;Hu Ruoyu;1964;1970;1999;SC;Popular Figurehead;Medium;CYN_hu;X
183689;Head of Government;Hu Ruoyu;1964;1970;1999;SC;Naive Optimist;Medium;CYN_hu;X
183690;Head of Government;Chiang Kai-shek;1920;1928;1999;SC;Old General;Medium;Kaiserreich Jiang Jieshi;X
