VEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
38145;Head of State;Wolfgang Larrazábal Ugueto;1948;1964;1999;ML;Powerhungry Demagogue;Medium;L270011;X
38025;Head of Government;Isidoro Ruiz Tuerro;1936;1964;1999;FA;Old General;High;M38011;X
38026;Head of Government;Juan Bautista Fuenmayor;1936;1964;1999;LWR;Political Protege;High;Kaiserreich Juan Bautista Fuenmayor;X
38027;Head of Government;Eleazar López Contreras;1936;1964;1999;SC;Happy Amateur;High;Kaiserreich Eleazar López Contreras;X
38028;Head of Government;Isaías Medina Angarita;1936;1964;1999;ML;Old General;High;M38007;X
38029;Head of Government;Rómulo Betancourt;1936;1964;1999;SD;Flamboyant Tough Guy;High;L270001;X
38030;Head of Government;Rafael Caldera;1936;1964;1999;SC;Happy Amateur;High;VEN_Rafael_Antonio_Caldera_Rodriguez;X
38126;Minister of Security;Rafael Caldera;1936;1964;1999;SC;Efficient Sociopath;High;VEN_Rafael_Antonio_Caldera_Rodriguez;X
38031;Head of Government;Rómulo Gallegos Freire;1947;1964;1999;SD;Ambitious Union Boss;Medium;M38051;X
38032;Head of Government;Luis Felipe Llovera Paez;1936;1964;1999;PA;Old Airmarshal;High;M38086;X
38112;Chief of Army;Luis Felipe Llovera Paez;1936;1964;1999;PA;Guns and Butter Doctrine;High;M38086;X
38152;Minister of Security;Luis Felipe Llovera Paez;1936;1964;1999;PA;Health and Safety;High;M38086;X
38033;Head of Government;Marcos Perez Jimenez;1936;1964;1999;FA;Old General;High;L270021;X
38034;Head of Government;Wolfgang Larrazábal Ugueto;1936;1948;1999;LWR;Backroom Backstabber;Medium;L270011;X
38146;Head of Government;Wolfgang Larrazábal Ugueto;1948;1964;1999;ML;Backroom Backstabber;Medium;L270011;X
38035;Foreign Minister;Pedro Itriago Chacín;1936;1964;1999;PA;Biased Intellectual;Medium;M38081;X
38036;Foreign Minister;Ernesto Mayz Villanella;1936;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M38013;X
38037;Foreign Minister;Pedro Leon Castro;1936;1964;1999;SD;Biased Intellectual;Medium;M38023;X
38038;Foreign Minister;Caracciola Parra Peréz;1941;1964;1999;SC;Apologetic Clerk;Medium;M38035;X
38039;Foreign Minister;Gustavo Herrera Grau;1936;1964;1999;SC;Iron Fisted Brute;Medium;M38036;X
38130;Minister of Armament;Gustavo Herrera Grau;1936;1964;1999;SC;Mixed Economy;Medium;M38036;X
38131;Minister of Armament;Maria Cruz Salmeron Acosta;1936;1964;1999;SD;Corrupt Kleptocrat;Medium;VEN_Maria_Cruz_Salmeron_Acosta;X
38103;Foreign Minister;Humberto Tejera;1936;1964;1999;LE;Biased Intellectual;Medium;VEN_Humberto_Tejera;X
38104;Foreign Minister;Jose Antonio Ramos Sucre;1936;1964;1999;SD;Great Compromiser;Medium;VEN_Jose_Antonio_Ramos_Sucre;X
38105;Foreign Minister;Jose Rafael Pocaterra;1936;1964;1999;SD;The Cloak N Dagger Schemer;Medium;VEN_Jose_Rafael_Pocaterra;X
38106;Foreign Minister;Juan Pablo Perez Alfonso;1936;1964;1999;LE;Apologetic Clerk;Medium;VEN_Juan_Pablo_Perez_Alfonso;X
38137;Foreign Minister;Mario Briceno Iragorry;1936;1964;1999;PA;Ideological Crusader;Medium;VEN_Mario_Briceno_Iragorry;X
38107;Foreign Minister;Juan Oropeza Riera;1936;1964;1999;SL;Apologetic Clerk;Medium;VEN_Juan_Oropeza_Riera;X
38040;Foreign Minister;Carlos Morales Acorzia;1945;1964;1999;SD;Iron Fisted Brute;Medium;M38037;X
38041;Foreign Minister;Gonzalo Barrios;1936;1964;1999;SC;Iron Fisted Brute;Medium;M38038;X
38042;Foreign Minister;Germán Suárez Flamerich;1948;1964;1999;SC;Biased Intellectual;Medium;M38084;X
38043;Foreign Minister;Antonio Casas Gonzalez;1952;1964;1999;PA;General Staffer;Medium;M38057;X
38044;Minister of Armament;Ricardo Mendez Moreno;1936;1964;1999;PA;Infantry Proponent;Medium;M38014;X
38045;Minister of Armament;Don Pedro Grases;1938;1964;1999;PA;Laissez-Faire Capitalist;Medium;M38039;X
38046;Minister of Armament;Carlos Ramos Díaz;1941;1964;1999;SC;Submarine Proponent;Low;M38040;X
38047;Minister of Armament;Miguel Díaz Fraile;1942;1964;1999;SC;Strategic Air Proponent;Low;M38041;X
38048;Minister of Armament;Carlos Molina Talavayo;1942;1964;1999;ML;Battle Fleet Proponent;Low;M38042;X
38127;Minister of Armament;Alberto Romulo Adriani Mazzei;1936;1964;1999;SC;Resource Industrialist;Low;VEN_Alberto_Romulo_Adriani_Mazzei;X
38049;Minister of Armament;Eloy Lares Martinez;1936;1964;1999;LWR;Laissez-Faire Capitalist;Medium;M38043;X
38129;Minister of Armament;Eloy Tarazona;1936;1964;1999;LE;Keynesian Economy;Medium;VEN_Eloy_Tarazona;X
38099;Head of Government;Eloy Lares Martinez;1936;1964;1999;LWR;Ambitious Union Boss;Medium;M38043;X
38050;Minister of Armament;Julio Garcia Jarpa;1945;1964;1999;ML;Military Entrepreneur;Medium;M38044;X
38051;Minister of Armament;Jose Vicente Rangel;1946;1964;1999;SD;Resource Industrialist;Medium;M38045;X
38052;Minister of Security;Jesús Alcantara Borrego;1936;1964;1999;PA;Back Stabber;Medium;M38015;X
38053;Minister of Security;Francisco Pelliser;1936;1964;1999;PA;Crime Fighter;Medium;M38025;X
38138;Minister of Armament;Francisco Pelliser;1936;1964;1999;PA;Infantry Proponent;Medium;M38025;X
38054;Minister of Security;Jose Aguerre Vere;1936;1964;1999;SC;Efficient Sociopath;Medium;M38046;X
38139;Minister of Security;Jose Cipriano Castro Ruiz;1936;1964;1999;PA;Crime Fighter;Medium;VEN_Jose_Cipriano_Castro_Ruiz;X
38055;Minister of Security;Dr. Antonio Jose Villegas;1936;1964;1999;SL;Silent Lawyer;Medium;M38047;X
38153;Head of State;Elias Toro;1936;1964;1999;SL;Barking Buffoon;Medium;;X
38128;Minister of Armament;Dr. Antonio Jose Villegas;1936;1964;1999;SL;Balanced Budget Economy;Medium;M38047;X
38056;Minister of Security;Cesar Zumeta;1939;1964;1999;SC;Compassionate Gentleman;Medium;M38048;X
38098;Head of Government;Cesar Zumeta;1939;1964;1999;SC;Corporate Suit;Medium;M38048;X
38057;Minister of Security;Alejandro Armas;1941;1964;1999;SC;Prince of Terror;Medium;M38049;X
38058;Minister of Security;Antonio J. Diaz Martinez;1943;1964;1999;ML;Crime Fighter;Medium;M38050;X
38059;Minister of Security;Rómulo Gallegos Freire;1945;1964;1999;SD;Man of the People;Medium;M38051;X
38060;Minister of Security;José Sanguino Cárdenas;1946;1964;1999;LWR;Compassionate Gentleman;Medium;M38052;X
38061;Minister of Security;Concepcion Quijada Gonzalez;1936;1964;1999;ML;Compassionate Gentleman;Medium;M38053;X
38062;Minister of Security;Adolfo Gonzalez Aquilar;1947;1964;1999;LWR;Efficient Sociopath;Medium;M38054;X
38097;Head of Government;Lisandro Alverado;1936;1964;1999;SD;Happy Amateur;Medium;VEN_Juan_Oropeza_Riera;X
38063;Minister of Security;Isidoro Ruiz Tuerro;1936;1964;1999;FA;Prince of Terror;Medium;M38011;X
38064;Head of Military Intelligence;Carlos Casanova Leal;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M38016;X
38065;Head of Military Intelligence;Pedro Leon Castro;1936;1964;1999;SD;Dismal Enigma;Medium;M38023;X
38125;Minister of Security;Pedro Leon Castro;1936;1964;1999;SD;Crooked Kleptocrat;Medium;M38023;X
38066;Head of Military Intelligence;Diogenes Escalante;1936;1964;1999;SD;Industrial Specialist;Medium;M38056;X
38135;Head of State;Diogenes Escalante;1936;1964;1999;SD;Popular Figurehead;Medium;M38056;X
38140;Head of Government;Diogenes Escalante;1936;1964;1999;SD;Naive Optimist;Medium;M38056;X
38067;Head of Military Intelligence;Antonio Casas Gonzalez;1939;1964;1999;SC;Naval Intelligence Specialist;Medium;M38057;X
38115;Head of Military Intelligence;Augusto Salvador Mijares Izquierdo;1936;1964;1999;SL;Political Specialist;Medium;VEN_Augusto_Salvador_Mijares_Izquierdo;X
38116;Head of Military Intelligence;Fernando Paz Castillo;1936;1964;1999;SD;Industrial Specialist;Medium;VEN_Fernando_Paz_Castillo;X
38117;Head of Military Intelligence;Federico Carlos Brandt Casanova;1936;1964;1999;SC;Political Specialist;Medium;VEN_Federico_Carlos_Brandt_Casanova;X
38118;Head of Military Intelligence;Pedro Emillio Coll;1936;1964;1999;ML;Political Specialist;Medium;VEN_Pedro_Emilio_Coll;X
38119;Head of Military Intelligence;Ramon Diaz Sanchez;1936;1964;1999;LWR;Technical Specialist;Medium;VEN_Rafael_Antonio_Caldera_Rodriguez;X
38068;Head of Military Intelligence;Pedro Alcántara Laya;1941;1964;1999;SC;Industrial Specialist;Medium;M38058;X
38069;Head of Military Intelligence;Pedro P. Azpurua;1936;1964;1999;ML;Technical Specialist;Medium;M38059;X
38132;Minister of Armament;Pedro P. Azpurua;1936;1964;1999;ML;Construction Magnate;Medium;M38059;X
38133;Minister of Armament;Santiago Aguerrevere Michelena;1936;1964;1999;SL;Balanced Budget Economy;Medium;VEN_Santiago_Aguerrevere_Michelena;X
38070;Head of Military Intelligence;Luis Monsalvo Mareno;1945;1964;1999;SD;Logistics Specialist;Medium;M38060;X
38071;Head of Military Intelligence;Robert Letts Sanchez;1946;1964;1999;ML;Technical Specialist;Medium;M38061;X
38072;Head of Military Intelligence;Jovito Villalba;1947;1964;1999;LWR;Political Specialist;Medium;M38021;X
38073;Chief of Staff;Bernardo Jose Montilla;1936;1964;1999;PA;School of Fire Support;Medium;M38017;X
38113;Chief of Staff;Arturo Uslar Pietri;1936;1964;1999;FA;School of Fire Support;Medium;VEN_Arturo_Uslar_Pietri;X
38074;Chief of Staff;Antonio Casas Gonzalez;1936;1964;1999;LWR;School of Psychology;Medium;M38057;X
38075;Chief of Staff;Carlos Garcia Mendoza;1941;1964;1999;SC;School of Mass Combat;Medium;M38064;X
38076;Chief of Staff;Gustavo Gonzalez Lopez;1943;1964;1999;ML;School of Manoeuvre;Medium;M38065;X
38077;Chief of Staff;Raúl Leoni Otero;1945;1964;1999;SD;School of Psychology;Medium;M38027;X
38078;Chief of Army;Pedro Elías Gutierrez;1936;1964;1999;PA;Static Defence Doctrine;Medium;M38018;X
38079;Chief of Army;Carlos Delgado Chalbaud;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;L270004;X
38114;Chief of Staff;Carlos Delgado Chalbaud;1936;1964;1999;FA;School of Mass Combat;Medium;L270004;X
38151;Minister of Armament;Carlos Delgado Chalbaud;1936;1964;1999;FA;Military Entrepreneur;Medium;L270004;X
38149;Chief of Navy;Carlos Delgado Chalbaud;1936;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;L270004;X
38080;Chief of Army;Víctor Sánchez Croes;1940;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M38028;X
38154;Chief of Staff;Víctor Sánchez Croes;1940;1964;1999;PA;School of Manoeuvre;Medium;M38028;X
38081;Chief of Army;Tomas Contreras Villalobos;1941;1964;1999;NS;Decisive Battle Doctrine;Low;M38019;X
38082;Chief of Army;Nelson Verde Graterol;1947;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M38070;X
38083;Chief of Army;Marcos Perez Jimenez;1936;1964;1999;FA;Elastic Defence Doctrine;Medium;L270021;X
38084;Chief of Army;Wolfgang Larrazábal Ugueto;1936;1948;1999;LWR;Armoured Spearhead Doctrine;Medium;L270011;X
38147;Chief of Army;Wolfgang Larrazábal Ugueto;1948;1964;1999;ML;Armoured Spearhead Doctrine;Medium;L270011;X
38110;Chief of Navy;Wolfgang Larrazábal Ugueto;1936;1948;1999;LWR;Base Control Doctrine;Medium;L270011;X
38148;Chief of Navy;Wolfgang Larrazábal Ugueto;1948;1964;1999;ML;Base Control Doctrine;Medium;L270011;X
38085;Chief of Navy;Tomas Contreras Villalobos;1936;1964;1999;NS;Indirect Approach Doctrine;Low;M38019;X
38086;Chief of Navy;Pedro Beauperthuy Urich;1936;1964;1999;SC;Power Projection Doctrine;Medium;M38004;X
38087;Chief of Navy;Carlos Molina Talavayo;1941;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M38042;X
38088;Chief of Navy;Luis Alvárez Santiago;1939;1964;1999;ML;Open Seas Doctrine;Medium;M38073;X
38089;Chief of Navy;Carlos Ramos Díaz;1945;1964;1999;ML;Indirect Approach Doctrine;Medium;M38040;X
38090;Chief of Navy;Antonio Casas Gonzalez;1947;1964;1999;SD;Base Control Doctrine;Medium;M38057;X
38091;Chief of Air Force;Tomas Contreras Villalobos;1936;1964;1999;NS;Naval Aviation Doctrine;Medium;M38019;X
38134;Head of State;Tomas Contreras Villalobos;1936;1964;1999;NS;Resigned Generalissimo;Medium;M38019;X
38092;Chief of Air Force;Humberto S. Torres Vilera;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M38030;X
38093;Chief of Air Force;Roberto de Luca Varesano;1939;1964;1999;PA;Air Superiority Doctrine;Medium;M38020;X
38094;Chief of Air Force;Guillermo Griffiths Escardo;1936;1964;1999;SC;Army Aviation Doctrine;Medium;M38077;X
38122;Minister of Security;Guillermo Griffiths Escardo;1936;1964;1999;SC;Compassionate Gentleman;Medium;M38077;X
38123;Minister of Security;Issac Jose Pardo Soublette;1936;1964;1999;SD;Silent Lawyer;Medium;VEN_Isaac_Jose_Pardo_Soublette;X
38124;Minister of Security;Miguel Otero Silva;1936;1964;1999;LE;Media Magnate;Medium;VEN_Miguel_Otero_Silva;X
38100;Head of Government;Guillermo Tell Villegas Pulido;1936;1949;1999;ML;Naive Optimist;Medium;VEN_Guillermo_Tell_Villegas_Pulido;X
38142;Head of State;Guillermo Machado Morales;1942;1964;1999;LE;Syndicalist Demagogue;High;;X
38143;Minister of Armament;Guillermo Machado Morales;1942;1964;1999;LE;Resource Industrialist;High;;X
38144;Minister of Security;Guillermo Machado Morales;1942;1964;1999;LE;Back Stabber;High;VEN_Gustavo_Machado;X
38101;Head of Government;Rufino Blanco Fombona ;1936;1964;1999;SL;Flamboyant Tough Guy;Medium;VEN_Rufino_Blanco_Fombona;X
38102;Head of Government;Salvador de la Plaza;1936;1964;1999;LE;Silent Workhorse;Medium;VEN_Salvador_de_la_Plaza;X
38095;Chief of Air Force;Miguel Díaz Fraile;1945;1964;1999;ML;Carpet Bombing Doctrine;Medium;M38041;X
38096;Chief of Air Force;José Polares Pavon;1947;1964;1999;SD;Air Superiority Doctrine;Medium;M38080;X
38109;Chief of Air Force;Jose Antonio Olavirra Jimenez;1947;1964;1999;PA;Army Aviation Doctrine;Medium;VEN_Jose_Antonio_Olavarria_Jimenez;X
