PRU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
39031;Head of Government;David S. Ocampo;1945;1964;1999;SD;Ambitious Union Boss;High;M39044;X
39032;Head of Government;Rafel Belaunde Díez;1946;1964;1999;ML;Naive Optimist;High;M39045;X
39033;Head of Government;Julio Portugal Montero;1947;1964;1999;ML;Silent Workhorse;High;M39046;X
39034;Head of Government;José Alcamora;1947;1964;1999;SL;Corporate Suit;High;M39138;X
39035;Head of Government;Alberto Roque Saldías;1947;1964;1999;SC;Old Admiral;High;M39069;X
39036;Head of Government;Armando Reveredo Iglesias;1948;1964;1999;ML;Old Airmarshal;High;M39142;X
39037;Head of Government;Alberto Zenon Agüero;1948;1964;1999;PA;Old General;High;L260016;X
39038;Foreign Minister;Cesar de la Fuente;1936;1964;1999;SC;General Staffer;Medium;L260004;X
39143;Minister of Security;Ciro Alegria;1936;1964;1999;LE;Media Magnate;Medium;;X
39151;Chief of Army;Ciro Alegria;1936;1964;1999;LE;Combat Engineering Doctrine;Medium;;X
39134;Foreign Minister;Cesar Atahualpa;1936;1964;1999;ST;Apologetic Clerk;Medium;;X
39148;Chief of Army;Cesar Atahualpa;1936;1964;1999;ST;Guerilla Warfare Doctrine;Medium;;X
39149;Chief of Staff;Cesar Atahualpa;1936;1964;1999;ST;School of Mass Combat;Medium;;X
39136;Foreign Minister;Cesar Vallejo;1936;1964;1999;LE;Biased Intellectual;High;;X
39039;Foreign Minister;Eduardo Cantabria Gomez;1936;1964;1999;LE;Great Compromiser;Medium;M39023;X
39040;Foreign Minister;Felipe Tudela;1936;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M39013;X
39041;Foreign Minister;Carlos Concha;1936;1964;1999;SC;Apologetic Clerk;Medium;M39047;X
39142;Minister of Security;Carlos Manuel Cox Roose;1936;1964;1999;LE;Silent Lawyer;Medium;;X
39150;Chief of Navy;Carlos Manuel Cox Roose;1936;1964;1999;LE;Riverine Warfare Doctrine;Medium;;X
39144;Minister of Security;Carlos Miro Quesada;1936;1964;1999;NS;Prince of Terror;Medium;;X
39042;Foreign Minister;Rafael Escardo;1936;1964;1999;SD;General Staffer;Medium;M39048;X
39043;Foreign Minister;Enrique Goytisola Bolognesi;1939;1964;1999;SC;Iron Fisted Brute;Medium;M39049;X
39044;Foreign Minister;Reynaldo Vinatea;1939;1964;1999;SD;Ideological Crusader;Medium;M39035;X
39045;Foreign Minister;Adolfo Solf y Muro;1940;1964;1999;SC;The Cloak N Dagger Schemer;High;M39039;X
39164;Minister of Armament;Wilhelm Faupel;1936;1945;1999;PA;Reformer;Medium;PRU_Wilhelm_Faupel;X
39046;Foreign Minister;Manuel Gallagher;1944;1964;1999;SC;General Staffer;High;M39052;X
39138;Minister of Armament;Manuel Gonzalez Prada;1936;1964;1999;ST;Construction Magnate;High;;X
39146;Chief of Navy;Manuel Gonzalez Prada;1936;1964;1999;ST;Coastal Defence Doctrine;High;;X
39047;Foreign Minister;Manuel Gallagher;1945;1964;1999;SL;Biased Intellectual;High;M39052;X
39048;Foreign Minister;Javier Correa Elías;1945;1964;1999;ML;Iron Fisted Brute;High;M39054;X
39049;Foreign Minister;Oscar Miro Quesada;1945;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M39040;X
39050;Foreign Minister;Enrique García Sayan;1946;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M39043;X
39051;Foreign Minister;Manuel Prado y Ugarteche;1947;1964;1999;SD;Apologetic Clerk;Medium;M39032;X
39052;Minister of Armament;José Julio Bravo;1936;1964;1999;SC;Industrialiser;High;M39058;X
39053;Minister of Armament;Luis Sanchez Cerro;1936;1964;1999;SC;Infantry Proponent;Medium;M39005;X
39054;Minister of Armament;Teófilo Iglesias;1936;1964;1999;SD;Tank Proponent;High;M39060;X
39055;Minister of Armament;Augusto Leguia Swayne;1939;1964;1999;SC;Administrative Genius;High;M39034;X
39056;Minister of Armament;Manuel Vásquez Díaz;1939;1964;1999;SD;Air to Ground Proponent;High;M39062;X
39057;Minister of Armament;David S. Ocampo;1939;1964;1999;SD;Military Entrepreneur;Medium;M39044;X
39058;Minister of Armament;Eduardo Rebagliati Martins;1941;1964;1999;SC;Military Entrepreneur;High;M39064;X
39059;Minister of Armament;David Dasso;1942;1964;1999;SC;Laissez-Faire Capitalist;High;M39065;X
39060;Minister of Armament;Oscar Trelles Montés;1936;1964;1999;SC;Submarine Proponent;Medium;M39066;X
39061;Minister of Armament;Julio Portugal Montero;1944;1964;1999;ML;Theoretical Scientist;Medium;M39046;X
39062;Minister of Armament;Benjamín Roca;1944;1964;1999;ML;Theoretical Scientist;High;M39068;X
39063;Minister of Armament;Alberto Roque Saldías;1945;1964;1999;ML;Battle Fleet Proponent;Medium;M39069;X
39064;Minister of Armament;Guillermo Almenara Irigoyen;1945;1964;1999;ML;Administrative Genius;Medium;M39070;X
39065;Minister of Armament;Luis Ramírez Ortiz;1946;1964;1999;SD;Infantry Proponent;Medium;M39071;X
39066;Minister of Armament;Rómulo Ferrero;1946;1964;1999;ML;Laissez-Faire Capitalist;Medium;M39072;X
39067;Minister of Armament;Constantino Carvallo;1947;1964;1999;SD;Strategic Air Proponent;Medium;M39024;X
39068;Minister of Armament;Ernesto Scroth;1947;1964;1999;SD;Battle Fleet Proponent;Medium;M39004;X
39145;Minister of Armament;Felipe Sassone;1936;1964;1999;SD;Battle Fleet Proponent;Medium;;X
39069;Minister of Armament;Armando Reveredo Iglesias;1950;1964;1999;SC;Military Entrepreneur;Medium;M39142;X
39070;Minister of Security;Benigno Ballón Farfán;1936;1964;1999;SC;Crooked Kleptocrat;Medium;M39075;X
39071;Minister of Security;Eleodoro Romero;1937;1964;1999;SC;Silent Lawyer;Medium;M39076;X
39072;Minister of Security;Victor N. Benavente;1936;1964;1999;SD;Silent Lawyer;Medium;M39077;X
39073;Minister of Security;Antonio Rodríguez Ramírez;1939;1964;1999;SD;Compassionate Gentleman;Medium;M39079;X
39139;Minister of Armament;Antenor Orrego;1936;1964;1999;SD;Balanced Budget Economy;Medium;;X
39074;Minister of Security;Luis A. Flores;1940;1964;1999;NS;Prince of Terror;Low;M39015;X
39140;Minister of Armament;Luis A. Flores;1940;1964;1999;NS;Military Entrepreneur;Low;M39015;X
39126;Head of State;Luis Antonio Eguiguren;1936;1964;1999;SD;Autocratic Charmer;Medium;;X
39160;Chief of Army;Luis Edgardo Mercado Jarrín;1945;1964;1999;SC;Guns and Butter Doctrine;Medium;;X
39161;Foreign Minister;Luis Edgardo Mercado Jarrín;1945;1964;1999;SC;General Staffer;Medium;;X
39075;Minister of Security;Carlos Berninzon;1942;1964;1999;SC;Compassionate Gentleman;Low;M39081;X
39076;Minister of Security;Guillermo Landa Arisueño;1944;1964;1999;ML;Man of the People;Medium;M39082;X
39077;Minister of Security;Augusto Leguia Swayne;1945;1964;1999;SL;Man of the People;High;M39034;X
39078;Minister of Security;Juan Cortés Azar;1945;1964;1999;ML;Back Stabber;Medium;M39025;X
39079;Minister of Security;Maximó Silva;1945;1964;1999;SD;Crime Fighter;Medium;M39085;X
39080;Minister of Security;Juan F. Guabloche Rodrígues;1946;1964;1999;ML;Prince of Terror;Medium;M39086;X
39081;Minister of Security;Ildefonso Ballón Beltrán;1947;1964;1999;SD;Efficient Sociopath;Medium;M39087;X
39082;Minister of Security;Rocas Sanchez Mapás;1951;1964;1999;PA;Efficient Sociopath;Low;M39149;X
39083;Head of Military Intelligence;Horacio Patiño Cruzatti;1936;1964;1999;SC;Naval Intelligence Specialist;Medium;M39088;X
39084;Head of Military Intelligence;Alberto Ayala y Lacroix;1936;1964;1999;SD;Dismal Enigma;Medium;M39089;X
39085;Head of Military Intelligence;Benigno Ballón Farfán;1939;1964;1999;SC;Dismal Enigma;Medium;M39075;X
39086;Head of Military Intelligence;Juan Bautista de Lavalle;1942;1964;1999;SC;Industrial Specialist;Medium;M39091;X
39135;Foreign Minister;Jose Carlos Mariategui;1936;1964;1999;ST;Ideological Crusader;Medium;;X
39147;Chief of Air Force;Jose Carlos Mariategui;1936;1964;1999;ST;Aviation Organizer;Medium;;X
39087;Head of Military Intelligence;Alfredo Alvarez Calderón;1943;1964;1999;SC;Technical Specialist;Medium;M39092;X
39130;Head of State;Alfredo González Prada;1936;1964;1999;LWR;Die-hard Reformer;Medium;;X
39088;Head of Military Intelligence;Miguel Montero y Tirado;1939;1964;1999;SD;Political Specialist;Medium;M39093;X
39089;Head of Military Intelligence;Jorge T. de la Flor;1944;1964;1999;ML;Industrial Specialist;Medium;M39094;X
39090;Head of Military Intelligence;Enrique Torres Gonzalez;1945;1964;1999;SL;Political Specialist;Medium;M39095;X
39091;Head of Military Intelligence;Juan F. Guabloche Rodrígues;1945;1964;1999;ML;Dismal Enigma;Medium;M39086;X
39092;Head of Military Intelligence;Riccardo Barrea Laos;1945;1964;1999;SD;Technical Specialist;Medium;M39097;X
39093;Head of Military Intelligence;Armando Montes de Peralta;1946;1964;1999;ML;Logistics Specialist;Medium;M39026;X
39094;Head of Military Intelligence;Bernardo Palacios y Montecinos;1947;1964;1999;SD;Technical Specialist;Medium;M39016;X
39095;Chief of Staff;Luis Sánchez Cerro;1939;1964;1999;SC;School of Mass Combat;Medium;M39102;X
39096;Chief of Staff;Bernardo Palacios y Montecinos;1939;1964;1999;SD;School of Fire Support;Medium;M39016;X
39097;Chief of Staff;Riccardo P. Godoy;1944;1964;1999;ML;School of Manoeuvre;Medium;M39104;X
39098;Chief of Staff;Fortunato Quesada Larrea;1945;1964;1999;ML;School of Defence;Medium;M39106;X
39156;Minister of Armament;Francisco Morales-Bermúdez;1955;1964;1999;ML;Military Entrepreneur;Medium;;X
39157;Minister of Security;Francisco Morales-Bermúdez;1955;1964;1999;ML;Crooked Kleptocrat;Medium;;X
39158;Head of State;Francisco Morales-Bermúdez;1955;1964;1999;ML;Die-hard Reformer;Medium;;X
39159;Head of Government;Francisco Morales-Bermúdez;1955;1964;1999;ML;Naive Optimist;Medium;;X
39129;Head of State;Gamaliel Churata;1936;1964;1999;ST;Totalist President;Medium;;X
39133;Head of State;Jose Galevez Barrenchea;1936;1964;1999;ST;Totalist President;Medium;;X
39099;Chief of Staff;Juan Poncé Diaz;1945;1964;1999;SD;School of Psychology;Medium;M39027;X
39100;Chief of Staff;Alberto Hurtado Abadia;1947;1964;1999;SD;School of Defence;Medium;M39108;X
39101;Chief of Staff;Alberto Zenon Agüero;1948;1964;1999;SC;School of Psychology;Medium;L260016;X
39141;Minister of Security;Alejandro Peralta;1936;1964;1999;ST;Man of the People;Medium;;X
39102;Chief of Staff;Nicolas Lindley Lopez;1950;1964;1999;PA;School of Manoeuvre;Medium;L260036;X
39103;Chief of Army;Oscar Gilardi;1936;1964;1999;SD;Static Defence Doctrine;Low;M39006;X
39104;Chief of Army;Luis Saenz Diaz;1939;1964;1999;SC;Elastic Defence Doctrine;Medium;M39111;X
39105;Chief of Army;Eloy G. Ureta;1939;1964;1999;NS;Guns and Butter Doctrine;Medium;M39036;X
39106;Chief of Army;Eduardo Montero Rojas;1939;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M39113;X
39107;Chief of Army;Vladimiro Lopéz Trigoso;1945;1964;1999;ML;Decisive Battle Doctrine;Medium;M39028;X
39108;Chief of Army;Rafael Escardo;1947;1964;1999;SD;Elastic Defence Doctrine;Low;M39048;X
39109;Chief of Army;Manuel Odria Amoretti;1948;1964;1999;PA;Elastic Defence Doctrine;Medium;L260017;X
39110;Chief of Army;Riccardo Perez Godoy;1950;1964;1999;PA;Armoured Spearhead Doctrine;Medium;L260020;X
39111;Chief of Navy;Alberto Roque Saldías;1936;1964;1999;SC;Indirect Approach Doctrine;Medium;M39069;X
39112;Chief of Navy;Manuel R. Nieto;1939;1964;1999;SD;Open Seas Doctrine;Medium;M39120;X
39113;Chief of Navy;José de la Riva Agüero;1941;1964;1999;NS;Base Control Doctrine;Medium;M39011;X
39114;Chief of Navy;Nicolas Lindley Lopez;1936;1964;1999;ML;Decisive Naval Battle Doctrine;Low;M39019;X
39115;Chief of Navy;Luis Navarreté;1945;1964;1999;ML;Power Projection Doctrine;High;M39124;X
39116;Chief of Navy;Juan Poncé Diaz;1945;1964;1999;SD;Base Control Doctrine;Medium;M39027;X
39117;Chief of Navy;Felipe Tudela;1936;1964;1999;FA;Merchant Navy Focus;Medium;M39013;X
39118;Chief of Air Force;Victor Solano;1939;1964;1999;SC;Army Aviation Doctrine;High;M39129;X
39128;Head of State;Victor R. Haya de la Torre;1936;1964;1999;LE;Syndicalist Demagogue;High;;X
39119;Chief of Air Force;Romulo Frias;1939;1964;1999;SD;Air Superiority Doctrine;High;M39130;X
39120;Chief of Air Force;Manuel Montero y Tirada;1936;1964;1999;SC;Naval Aviation Doctrine;Medium;M39131;X
39121;Chief of Air Force;Fernando M. Quesada Blanco;1944;1964;1999;ML;Carpet Bombing Doctrine;Medium;M39020;X
39122;Chief of Air Force;Luis Navarreté;1945;1964;1999;ML;Naval Aviation Doctrine;High;M39124;X
39123;Chief of Air Force;Alberto Lopez Flores;1945;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M39030;X
39124;Chief of Air Force;Eduardo Cantabria Gomez;1947;1964;1999;SD;Army Aviation Doctrine;Medium;M39023;X
