MAD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
538017;Head of Government;H.R.M. Ranavalona IV;1936;1964;1999;PA;Flamboyant Tough Guy;Low;MAD_ranavalona_IV;x
538018;Head of Government;H.R.M. Andriamanantena Razafinkarefo;1936;1964;1999;SC;Happy Amateur;Low;MAD_andriamanantena_paul_razafinkarefo;x
538019;Head of Government;Mahasumpo Raveloson;1936;1964;1999;PA;Naive Optimist;Low;MAD_mahasumpo_raveloson;x
538020;Head of Government;Philibert Tsiranana;1936;1964;1999;SC;Naive Optimist;High;MAD_philibert_tsiranana;x
538021;Head of Government;Paul Le Gentilhomme;1940;1964;1999;SC;Flamboyant Tough Guy;High;L24108;x
538022;Head of Government;Leon Cayla;1936;1964;1999;SC;Old General;High;M538001;x
538023;Head of Government;Michel Randria;1936;1964;1999;SL;Naive Optimist;Low;MAD_michel_randria;x
538024;Head of Government;Armand Annet;1939;1964;1999;SL;Political Protege;High;M538006;x
538025;Head of Government;Pierre de Saint-Mart;1943;1964;1999;SL;Smiling Oilman;High;M535007;x
538026;Head of Government;Stanislas Rakotonirina;1936;1964;1999;SL;Corporate Suit;High;MAD_stanislas_rakotonirina;x
538027;Head of Government;Marcel de Coppet;1946;1964;1999;SL;Backroom Backstabber;High;M538014;x
538028;Head of Government;Jacques Rabemananjara;1936;1964;1999;SD;Political Protege;High;MAD_jacques_rabemananjara;x
538029;Head of Government;Joseph Ravoahangy-Andrianavalona;1936;1964;1999;SD;Silent Workhorse;High;MAD_joseph_ravoahangy_andrianavalona;x
538030;Head of Government;Monja Jaona;1936;1964;1999;LWR;Ambitious Union Boss;High;MAD_monja_jaona;x
538031;Head of Government;Joseph Raseta;1936;1964;1999;LWR;Flamboyant Tough Guy;High;MAD_joseph_raseta;x
538032;Head of Government;Jean Ralaimongo;1936;1964;1999;LE;Naive Optimist;High;MAD_jean_ralaimongo;x
538033;Foreign Minister;Jean Jores Razafindrakoto;1936;1964;1999;PA;Biased Intellectual;High;M538022;x
538034;Foreign Minister;Ramamonjy Raherivelo;1936;1964;1999;PA;Ideological Crusader;Low;MAD_ramamonjy_raherivelo;x
538035;Foreign Minister;Félix Totolehibe;1936;1964;1999;SC;Great Compromiser;High;MAD_felix_totolehibe;x
538036;Foreign Minister;Pierre Jean Herbinger;1936;1964;1999;SC;Apologetic Clerk;High;M538003;x
538037;Foreign Minister;Joseph Jonah Ranaivo;1936;1964;1999;SC;General Staffer;High;MAD_joseph_jonah_ranaivo;x
538038;Foreign Minister;André Liotard;1936;1964;1999;SC;Great Compromiser;Low;MAD_andre_liotard;x
538039;Foreign Minister;Albert Sylla;1936;1964;1999;SL;Iron fisted brute;High;MAD_albert_sylla;x
538040;Foreign Minister;René Lemoine;1942;1964;1999;SL;Great Compromiser;High;M538021;x
538041;Foreign Minister;Jean Joseph Rabearivelo;1936;1964;1999;SD;Biased Intellectual;High;MAD_jean_joseph_rabearivelo;x
538042;Foreign Minister;Joseph Ravoahangy-Andrianavalona;1936;1964;1999;SD;Ideological Crusader;High;MAD_joseph_ravoahangy_andrianavalona;x
538043;Foreign Minister;Joseph Raseta;1936;1964;1999;LWR;Iron fisted brute;High;MAD_joseph_raseta;x
538044;Minister of Armament;Ramamonjy Raherivelo;1936;1964;1999;PA;Infantry Proponent;Low;MAD_ramamonjy_raherivelo;x
538045;Minister of Armament;Ramilison Randriamampianina;1936;1964;1999;PA;Tank Proponent;Medium;M538024;x
538046;Minister of Armament;Liva Raharison;1943;1964;1999;PA;laissez-faire capitalist;Medium;M538025;x
538047;Minister of Armament;Pierre Ramampy;1936;1964;1999;SC;Resource Industrialist;Low;MAD_pierre_ramampy;x
538048;Minister of Armament;Félix Totolehibe;1936;1964;1999;SC;Corrupt Kleptocrat;High;MAD_felix_totolehibe;x
538049;Minister of Armament;Francois de Menthon;1936;1964;1999;SC;Resource Industrialist;Medium;M538004;x
538050;Minister of Armament;André Liotard;1936;1964;1999;SC;Administrative Genius;Low;MAD_andre_liotard;x
538051;Minister of Armament;Paul Vibert;1941;1964;1999;SL;Submarine Proponent;Medium;M538023;x
538052;Minister of Armament;Stanislas Rakotonirina;1936;1964;1999;SL;Laissez-Faire Capitalist;High;MAD_stanislas_rakotonirina;x
538053;Minister of Armament;Ralijaona Laingo;1936;1964;1999;SD;Administrative Genius;Low;MAD_ralijaona_laingo;x
538054;Minister of Security;Eugene Rakotondramary;1936;1964;1999;PA;Silent Lawyer;Medium;M538027;x
538055;Minister of Security;Norbert Zafimahova;1936;1964;1999;SC;Silent Lawyer;Medium;MAD_norbert_zafimahova;x
538056;Minister of Security;Henri Manigart;1936;1964;1999;SC;Crime Fighter;Medium;M538005;x
538057;Minister of Security;Jeaqn Pierre Gabriel;1943;1964;1999;SL;Efficient Sociopath;Medium;M538026;x
538058;Minister of Security;Laurent Botokeky;1936;1964;1999;SD;Crime Fighter;Medium;MAD_laurent_botokeky;x
538059;Head of Military Intelligence;Ramilison Randriamampianina;1936;1964;1999;PA;Dismal Enigma;Medium;M538024;x
538060;Head of Military Intelligence;Norbert Zafimahova;1936;1964;1999;SC;Political Specialist;Medium;MAD_norbert_zafimahova;x
538061;Head of Military Intelligence;Armand Annet;1936;1964;1999;SC;Industrial Specialist;Medium;M538006;x
538062;Head of Military Intelligence;Albert Sylla;1936;1964;1999;SL;Logistics Specialist;High;MAD_albert_sylla;x
538063;Head of Military Intelligence;Marcel de Coppet;1943;1964;1999;SL;Logistics Specialist;Medium;M538014;x
538064;Chief of Staff;Zanak'Itl Ratsimandrava;1936;1964;1999;FA;School of Defence;Low;MAD_zanakitl_ratsimandrava;x
538065;Chief of Staff;Joseph Rakotondrandria;1936;1964;1999;PA;School of Fire Support;Medium;M538031;x
538066;Chief of Staff;Paul Le Gentilhomme;1940;1964;1999;SC;School of Mass Combat;Medium;L24108;x
538067;Chief of Staff;Henri Amiel;1936;1964;1999;SC;School of Manoeuvre;Medium;M538007;x
538068;Chief of Staff;Gabriel Ramanantsoa;1936;1964;1999;SL;School of Manoeuvre;Medium;MAD_gabriel_ramanantsoa;x
538069;Chief of Army;Rafeno Fanjava;1936;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M538033;x
538070;Chief of Army;Henri Amiel;1936;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M538007;x
538071;Chief of Army;Gabriel Ramanantsoa;1936;1964;1999;SL;Decisive Battle Doctrine;Medium;MAD_gabriel_ramanantsoa;x
538072;Chief of Army;Pierre de Saint-Mart;1942;1964;1999;SL;Decisive Battle Doctrine;Medium;M535007;x
538073;Chief of Navy;Olivier Randrianantenaina;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M538035;x
538074;Chief of Navy;Georges de Barbezière;1936;1964;1999;SC;Base Control Doctrine;Medium;M538009;x
538075;Chief of Navy;Jean-Marie Querville;1942;1964;1999;SL;Open Seas Doctrine;Medium;M538034;x
538076;Chief of Air Force;Solomon Rabemanoela;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M538037;x
538077;Chief of Air Force;Max Guedj;1936;1964;1999;SC;Naval Aviation Doctrine;Medium;M538010;x
538078;Chief of Air Force;Max Andlauer;1944;1964;1999;SL;Carpet Bombing Doctrine;Medium;M538036;x
538079;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
538080;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
