UCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
98043;Foreign Minister;Qiu Changwei;1936;1963;1999;SC;Apologetic Clerk;High;MQiu_Changwei;X
98044;Head of Government;Chen Quzhen;1923;1952;1999;PA;Happy Amateur;High;MChen_Quzhen;X
98045;Foreign Minister;Geng Biao;1946;1970;1999;LE;Ideological Crusader;High;MGeng_Biao;X
98046;Foreign Minister;Luo Ronghuan;1943;1964;1999;LWR;General Staffer;High;L76328;X
98047;Head of Military Intelligence;Luo Ronghuan;1943;1964;1999;LWR;Political Specialist;High;L76328;X
98048;Foreign Minister;Zhou Gengsheng;1934;1970;1999;SD;The Cloak N Dagger Schemer;High;MZhou_Gengsheng;X
98049;Foreign Minister;Xiang Zhejun;1936;1970;1999;SD;Biased Intellectual;High;MXiang_Zhejun;X
98050;Minister of Security;Xiang Zhejun;1936;1970;1999;SD;Silent Lawyer;High;MXiang_Zhejun;X
98051;Foreign Minister;Sheng Zhongliang;1927;1970;1999;SL;Great Compromiser;High;MZhou_Gengsheng;X
98052;Foreign Minister;He Fengshan;1937;1970;1999;ML;Ideological Crusader;High;kaiserreich hefengshang;X
98053;Foreign Minister;Wang Dazhen;1928;1958;1999;SC;Biased Intellectual;High;MWang_Dazhen;X
98054;Foreign Minister;Liu Wendao;1931;1967;1999;SC;Great Compromiser;High;MLiu_Wendao;X
98055;Minister of Security;Liu Wendao;1927;1967;1999;SC;Crime Fighter;High;MLiu_Wendao;X
98056;Foreign Minister;Liu Pengjiu;1938;1970;1999;SC;Ideological Crusader;High;MLiu_Pengjiu;X
98057;Minister of Armament;Liu Pengjiu;1940;1970;1999;SC;Balanced Budget Economy;High;MLiu_Pengjiu;X
98058;Foreign Minister;Huang Shiheng;1936;1970;1999;SC;Apologetic Clerk;High;MHuang_Shiheng;X
98059;Foreign Minister;Tang Youren;1938;1964;1999;PA;Biased Intellectual;High;MTang_Youren;X
98060;Minister of Armament;Tang Youren;1931;1964;1999;PA;Bank President;High;MTang_Youren;X
98061;Head of Military Intelligence;Tang Youren;1927;1964;1999;PA;Industrial Specialist;High;MTang_Youren;X
98062;Foreign Minister;Deng Wenyi;1938;1970;1999;PA;Iron Fisted Brute;High;MDeng_Wenyi;X
98063;Minister of Security;Deng Wenyi;1938;1970;1999;PA;Efficient Sociopath;High;MDeng_Wenyi;X
98064;Foreign Minister;Wang Dongyuan;1940;1970;1999;PA;Iron Fisted Brute;High;L50324;X
98065;Foreign Minister;Feng Ti;1936;1970;1999;PA;The Cloak N Dagger Schemer;High;LFeng_Ti;X
98066;Minister of Security;Feng Ti;1936;1970;1999;PA;Back Stabber;High;LFeng_Ti;X
98067;Minister of Armament;Zhu Shaolian;1936;1962;1999;ST;Resource Industrialist;High;MZhu_Shaolian;X
98068;Minister of Armament;Luo Zhanglong;1931;1970;1999;LE;Planned Economy Proponent;High;MLuo_Zhanglong;X
98069;Minister of Armament;Mao Zemin;1934;1970;1999;LWR;Bank President;High;MMao_Zemin;X
98070;Minister of Security;Mao Zemin;1941;1970;1999;LWR;Compassionate Gentleman;High;MMao_Zemin;X
98071;Minister of Armament;Teng Daiyuan;1946;1970;1999;LWR;Construction Magnate;High;L76341;X
98072;Head of Military Intelligence;Teng Daiyuan;1942;1970;1999;LWR;Logistics Specialist;High;L76341;X
98073;Minister of Armament;Lao Junzhan ;1945;1970;1999;LWR;Theoretical Scientist;High;MLao_Junzhan;X
98074;Minister of Armament;Cao Dianqiu;1926;1960;1999;SD;Resource Industrialist;High;MCao_Dianqiu;X
98075;Minister of Security;Cao Dianqiu;1926;1960;1999;SD;Man of the People;High;MCao_Dianqiu;X
98076;Minister of Armament;Chen Guangzhong;1936;1970;1999;SD;Construction Magnate;High;LChen_Guangzhong;X
98077;Head of Military Intelligence;Chen Guangzhong;1936;1970;1999;SD;Technical Specialist;High;LChen_Guangzhong;X
98078;Minister of Armament;Ma Junwu;1928;1940;1999;SL;Theoretical Scientist;High;MMa_Junwu;X
98079;Minister of Armament;Liu Binglin;1936;1956;1999;SL;Keynesian Economy;High;MLiu_Binglin;X
98080;Minister of Armament;Li Chengqian;1927;1959;1999;SL;Military Entrepreneur;High;MLi_Chengqian;X
98081;Head of Military Intelligence;Li Chengqian;1927;1959;1999;SL;Industrial Specialist;High;MLi_Chengqian;X
98082;Minister of Armament;Yang Duanliu;1933;1966;1999;SL;Administrative Genius;High;MYang_Duanliu;X
98083;Minister of Armament;Pi Zongshi;1928;1967;1999;SL;Balanced Budget Economy;High;MPi_Zongshi;X
98084;Minister of Armament;Hu Shuhua;1928;1968;1999;SL;Steel Magnate;High;MHu_Shuhua;X
98085;Minister of Armament;Liu Shiying;1934;1970;1999;SL;Construction Magnate;High;MLiu_Shiying;X
98086;Minister of Armament;Bin Bucheng;1923;1945;1999;ML;Resource Industrialist;High;MBin_Bucheng;X
98087;Minister of Armament;Ren Kainan;1932;1950;1999;ML;Mixed Economy;High;MRen_Kainan;X
98088;Minister of Armament;Liu Dunzhen;1930;1968;1999;ML;Construction Magnate;High;MLiu_Dunzhen;X
98089;Minister of Armament;Zeng Zhaolan;1937;1968;1999;ML;Theoretical Scientist;High;Chao-Lun Tseng;X
98090;Minister of Armament;Liu Tingfang;1936;1970;1999;ML;Bank President;High;MLiu_Tingfang;X
98091;Minister of Armament;Kang Xinyuan;1942;1970;1999;ML;Industrial Chemist;High;MKang_Xinyuan;X
98092;Minister of Armament;Zhang Xiangpu;1945;1970;1999;ML;Laissez-Faire Capitalist;High;MZhang_Xiangpu;X
98093;Minister of Armament;Yang Zhuoxin;1930;1963;1999;SC;Theoretical Scientist;High;MYang_Zhuoxin;X
98094;Minister of Armament;He Lian;1936;1970;1999;SC;Administrative Genius;High;MFranklin_Lien_Ho;X
98095;Minister of Armament;Li Hong;1940;1970;1999;SC;Infantry Proponent;High;LLi_Hong;X
98096;Minister of Armament;Lai Lian;1944;1970;1999;SC;Planned Economy Proponent;High;MLai_Lian;X
98097;Minister of Armament;Zhou Dewei;1949;1970;1999;SC;Laissez-Faire Capitalist;High;MZhou_Dewei;X
98098;Minister of Armament;Lu Diping;1931;1952;1999;PA;Corrupt Kleptocrat;High;MLu_Diping;X
98099;Minister of Armament;Li Daichen;1928;1960;1999;PA;Military Entrepreneur;High;MLi_Daichen;X
98100;Head of Military Intelligence;Li Daichen;1928;1960;1999;PA;Industrial Specialist;High;MLi_Daichen;X
98101;Minister of Armament;He Haoruo;1935;1970;1999;PA;Laissez-Faire Capitalist;High;MHe_Haoruo;X
98102;Head of Military Intelligence;He Haoruo;1935;1970;1999;PA;Political Specialist;High;MHe_Haoruo;X
98103;Minister of Security;Xie Juezai;1933;1970;1999;ST;Media Magnate;High;M51005;X
98104;Minister of Security;Li Muan;1936;1959;1999;LWR;Silent Lawyer;High;MLi_Muan;X
98105;Minister of Security;Xu Teli;1931;1968;1999;LWR;Man of the People;High;MXu_Teli;X
98106;Minister of Security;Cao Bowen;1929;1970;1999;SD;Man of the People;High;MCao_Bowen;X
98107;Head of Military Intelligence;Cao Bowen;1929;1970;1999;SD;Dismal Enigma;High;MCao_Bowen;X
98108;Minister of Security;Huang Yong;1935;1970;1999;SD;Back Stabber;High;MHuang_Yong1900;X
98109;Head of Military Intelligence;Huang Yong;1935;1970;1999;SD;Dismal Enigma;High;MHuang_Yong1900;X
98110;Minister of Security;Zhou Weilong;1937;1970;1999;SD;Secret Police Chief;High;LZhou_Weilong;X
98111;Minister of Security;Chou Ao;1939;1970;1999;SD;Compassionate Gentleman;High;MChou_Ao;X
98112;Minister of Security;Zhu Hengbi;1939;1970;1999;SD;Health and Safety;High;MZhu_Hengbi;X
98113;Minister of Security;Li Ba;1922;1958;1999;SL;Silent Lawyer;High;MLi_Ba;X
98114;Minister of Security;Cheng Shewo;1935;1970;1999;SL;Media Magnate;High;MCheng_Shewo;X
98115;Minister of Security;Yan Fuqing;1914;1970;1999;ML;Health and Safety;High;MYan_Fuqing;X
98116;Minister of Security;Huang Youchang;1930;1970;1999;ML;Silent Lawyer;High;MHuang_Youchang;X
98117;Minister of Security;Zhang Zhen;1936;1951;1999;SC;Crime Fighter;High;L50002;X
98118;Minister of Security;Peng Guojun;1927;1952;1999;SC;Man of the People;High;MPeng_Guojun;X
98119;Minister of Security;Edward Hume;1914;1957;1999;SC;Health and Safety;High;MEdward_Hicks_Hume;X
98120;Minister of Security;Xie Guanyi;1943;1967;1999;SC;Crime Fighter;High;MXie_Guanyi;X
98121;Minister of Security;Xiao Tongzi;1936;1970;1999;SC;Media Magnate;High;MXiao_Tongzi;X
98122;Minister of Security;Wang Zhi;1937;1970;1999;SC;Secret Police Chief;High;LWang_Zhi1907;X
98123;Head of Military Intelligence;Wang Zhi;1941;1970;1999;SC;Technical Specialist;High;LWang_Zhi1907;X
98124;Minister of Security;Luo Junqiang;1938;1970;1999;SC;Back Stabber;High;MLuo_Junqiang;X
98125;Minister of Security;Xu Kexiang;1927;1964;1999;PA;Prince of Terror;High;LXu_Kexiang;X
98126;Minister of Security;Shen Zui;1949;1970;1999;PA;Prince of Terror;High;M52036;X
98127;Head of Military Intelligence;Shen Zui;1942;1970;1999;PA;Dismal Enigma;High;M52036;X
98128;Minister of Security;Tang Zong;1938;1970;1999;PA;Secret Police Chief;High;Tang Zong;X
98129;Head of Military Intelligence;Tang Zong;1938;1970;1999;PA;Counterintelligence Specialist;High;Tang Zong;X
98130;Head of Military Intelligence;Liu Zhixun;1930;1970;1999;LWR;Political Specialist;High;MLiu_Zhixun;X
98131;Chief of Navy;Liu Zhixun;1930;1970;1999;LWR;Merchant Navy Focus;High;MLiu_Zhixun;X
98132;Head of Military Intelligence;Zhu Jintang;1934;1966;1999;LWR;Industrial Specialist;High;MZhu_Jintang;X
98133;Head of Military Intelligence;Qin Chengzhi;1940;1970;1999;PA;Political Specialist;High;MQin_Chengzhi;X
98134;Chief of Staff;Song Shilun;1949;1970;1999;ST;School of Mass Combat;High;L76389;X
98135;Chief of Army;Song Shilun;1949;1970;1999;ST;Decisive Battle Doctrine;High;L76389;X
98136;Chief of Staff;Peng Dehuai;1940;1970;1999;LWR;School of Mass Combat;High;L76336;X
98137;Chief of Army;Peng Dehuai;1940;1970;1999;LWR;Decisive Battle Doctrine;High;L76336;X
98138;Minister of Armament;Peng Dehuai;1937;1970;1999;LWR;Infantry Proponent;High;L76336;X
98139;Chief of Staff;Qiu Chuangcheng;1944;1970;1999;LWR;School of Fire Support;High;L76507;X
98140;Minister of Armament;Qiu Chuangcheng;1947;1970;1999;LWR;Artillery Proponent;High;L76507;X
98141;Chief of Staff;Huang Kecheng;1946;1970;1999;LWR;School of Psychology;High;L76318;X
98142;Chief of Army;Huang Kecheng;1946;1970;1999;LWR;Doctrine of Autonomy;High;L76318;X
98143;Chief of Staff;Su Yu;1946;1970;1999;LWR;School of Manoeuvre;High;L76337;X
98144;Chief of Army;Su Yu;1946;1970;1999;LWR;Decisive Battle Doctrine;High;L76337;X
98145;Chief of Staff;Tang Xing;1936;1964;1999;SD;School of Fire Support;High;LTang_Xing;X
98146;Foreign Minister;Tang Xing;1936;1964;1999;SD;General Staffer;High;LTang_Xing;X
98147;Chief of Staff;Xiao Ke;1946;1970;1999;SD;School of Defence;High;L76377;X
98148;Chief of Army;Xiao Ke;1946;1970;1999;SD;Elastic Defence Doctrine;High;L76377;X
98149;Minister of Armament;Xiao Ke;1949;1970;1999;SD;Reformer;High;L76377;X
98150;Chief of Staff;Zhou Lan;1927;1953;1999;SL;School of Defence;High;L50060;X
98151;Minister of Security;Zhou Lan;1927;1953;1999;SL;Compassionate Gentleman;High;L50060;X
98152;Chief of Staff;Zhou Pan;1934;1963;1999;SL;School of Manoeuvre;High;LZhou_Pan;X
98153;Chief of Army;Zhou Pan;1934;1963;1999;SL;Old Cavalry General;High;LZhou_Pan;X
98154;Chief of Staff;Zhou Weiyin;1936;1965;1999;SL;School of Defence;High;LZhou_Weiyin;X
98155;Chief of Staff;Fang Dingying;1926;1970;1999;ML;School of Fire Support;High;LFang_Dingying;X
98156;Chief of Army;Fang Dingying;1926;1970;1999;ML;Decisive Battle Doctrine;High;LFang_Dingying;X
98157;Minister of Armament;Fang Dingying;1926;1970;1999;ML;Artillery Proponent;High;LFang_Dingying;X
98158;Chief of Staff;Ye Qi;1928;1970;1999;ML;School of Manoeuvre;High;LYe_Qi;X
98159;Chief of Army;Ye Qi;1928;1970;1999;ML;Old Cavalry General;High;LYe_Qi;X
98160;Chief of Staff;Dai Jian;1950;1970;1999;ML;School of Manoeuvre;High;LDai_Jian;X
98161;Foreign Minister;Dai Jian;1948;1970;1999;ML;General Staffer;High;LDai_Jian;X
98162;Chief of Staff;He Yaozu;1932;1961;1999;SC;School of Defence;High;L50096;X
98163;Chief of Army;He Yaozu;1932;1961;1999;SC;Static Defence Doctrine;High;L50096;X
98164;Foreign Minister;He Yaozu;1934;1961;1999;SC;General Staffer;High;L50096;X
98165;Head of Military Intelligence;He Yaozu;1934;1961;1999;SC;Logistics Specialist;High;L50096;X
98166;Chief of Air Force;He Yaozu;1942;1961;1999;SC;Air Defence Doctrine;High;L50096;X
98167;Chief of Staff;Liu Yongyao;1938;1970;1999;SC;School of Psychology;High;LLiu_Yongyao;X
98168;Foreign Minister;Liu Yongyao;1945;1970;1999;SC;General Staffer;High;LLiu_Yongyao;X
98169;Chief of Staff;Luo Shuren;1946;1969;1999;PA;School of Defence;High;L50223;X
98170;Chief of Staff;Huang Jie;1938;1970;1999;PA;School of Mass Combat;High;L50125;X
98171;Chief of Army;Huang Jie;1938;1970;1999;PA;Elastic Defence Doctrine;High;L50125;X
98172;Chief of Army;Zhou Yiqun;1927;1970;1999;LWR;Guerilla Warfare Doctrine;High;LZhou_Yiqun;X
98173;Chief of Army;Zhou Yucheng;1940;1970;1999;LWR;Guns and Butter Doctrine;High;L76595;X
98174;Head of Military Intelligence;Zhou Yucheng;1940;1970;1999;LWR;Logistics Specialist;High;L76595;X
98175;Chief of Army;Yao Zhe;1945;1970;1999;LWR;Old Cavalry General;High;L76543;X
98176;Minister of Armament;Yao Zhe;1950;1970;1999;LWR;Infantry Proponent;High;L76543;X
98177;Chief of Army;Chen Yuxin;1936;1970;1999;SD;Static Defence Doctrine;High;LChen_Yuxin;X
98178;Chief of Navy;Chen Yuxin;1936;1970;1999;SD;Coastal Defence Doctrine;High;LChen_Yuxin;X
98179;Chief of Army;Li Jukui;1946;1970;1999;SD;Combat Engineering Doctrine;High;L76382;X
98180;Chief of Army;Li Mo'an;1937;1970;1999;SL;Guerilla Warfare Doctrine;High;L50180;X
98181;Chief of Army;Li Jue;1943;1970;1999;SL;Commando Doctrine Army;High;L50172;X
98182;Chief of Army;Zheng Dongguo;1945;1970;1999;ML;Elastic Defence Doctrine;High;L50043;X
98183;Chief of Army;Song Da;1950;1970;1999;ML;Guns and Butter Doctrine;High;LSong_Da;X
98184;Head of Military Intelligence;Song Da;1944;1970;1999;ML;Logistics Specialist;High;LSong_Da;X
98185;Chief of Army;Shao Baichang;1938;1970;1999;SC;Innovative Artillery Officer;High;L50255;X
98186;Chief of Air Force;Shao Baichang;1937;1970;1999;SC;Air Defence Doctrine;High;L50255;X
98187;Minister of Armament;Shao Baichang;1937;1970;1999;SC;Artillery Proponent;High;L50255;X
98188;Chief of Army;Xia Chuzhong;1938;1970;1999;SC;Guns and Butter Doctrine;High;L50099;X
98189;Chief of Army;Song Xilian;1940;1970;1999;SC;Doctrine of Autonomy;High;LSong_Xilian;X
98190;Chief of Army;Yuan Pu;1944;1970;1999;PA;Static Defence Doctrine;High;LYuan_Pu;X
98191;Chief of Navy;Wu Zili;1941;1970;1999;LWR;Merchant Navy Focus;High;MWu_Zili;X
98192;Head of Military Intelligence;Wu Zili;1937;1970;1999;LWR;Logistics Specialist;High;MWu_Zili;X
98193;Chief of Navy;Zhou Renjie;1947;1970;1999;LWR;Base Control Doctrine;High;L76531;X
98194;Chief of Navy;Zeng Wanli;1941;1970;1999;ML;Coastal Defence Doctrine;High;LZeng_Wanli;X
98195;Chief of Navy;Yang Xuancheng;1922;1962;1999;SC;Riverine Warfare Doctrine;High;Yang Xuancheng;X
98196;Head of Military Intelligence;Yang Xuancheng;1922;1962;1999;SC;Naval Intelligence Specialist;High;Yang Xuancheng;X
98197;Chief of Navy;Yang Houcai;1946;1970;1999;SC;Base Control Doctrine;High;LYang_Houcai;X
98198;Chief of Air Force;He Zhigui;1942;1970;1999;SD;Air Defence Doctrine;High;LHe_Zhigui;X
98199;Minister of Security;He Zhigui;1938;1970;1999;SD;Crime Fighter;High;LHe_Zhigui;X
98200;Chief of Air Force;Zhu Jiaren;1936;1970;1999;SC;Aviation Organizer;High;MZhu_Jiaren;X
98201;Chief of Air Force;Shi Bangfan;1936;1970;1999;SC;Air Superiority Doctrine;High;LShi_Bangfan;X
98202;Chief of Air Force;Luo Ji;1937;1949;1999;PA;Army Aviation Doctrine;High;LLuo_Ji;X
98203;Chief of Air Force;Luo Ji;1949;1970;1999;PA;Tactical Aviation Doctrine;High;LLuo_Ji;X
