ARM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
515063;Chief of Army;Gaspar Voskanyan;1930;1962;1999;LWR;Guns and Butter Doctrine;High;LGaspar_Karapetovich_Voskanov;X
515064;Foreign Minister;Gaspar Voskanyan;1930;1962;1999;LWR;General Staffer;High;LGaspar_Karapetovich_Voskanov;X
515065;Minister of Armament;Gaspar Voskanyan;1930;1962;1999;LWR;Reformer;High;LGaspar_Karapetovich_Voskanov;X
515066;Head of Military Intelligence;Gaspar Voskanyan;1930;1962;1999;LWR;Logistics Specialist;High;LGaspar_Karapetovich_Voskanov;X
515067;Chief of Staff;Andrey Melik-Shakhnazarov;1936;1957;1999;LWR;School of Manoeuvre;High;LAndrey_Melik-Shakhnazarov;X
515068;Chief of Army;Andrey Melik-Shakhnazarov;1936;1957;1999;LWR;Elastic Defence Doctrine;High;LAndrey_Melik-Shakhnazarov;X
515069;Chief of Staff;Hmayak Babayan;1945;1970;1999;SD;School of Psychology;High;LHmayak_Babayan;X
515070;Chief of Army;Hmayak Babayan;1945;1970;1999;SD;Doctrine of Autonomy;High;LHmayak_Babayan;X
515071;Chief of Staff;Kristapor Araratyan;1936;1946;1999;SL;School of Mass Combat;High;ARMAra;X
515072;Chief of Army;Kristapor Araratyan;1936;1946;1999;SL;Decisive Battle Doctrine;High;ARMAra;X
515073;Head of Military Intelligence;Kristapor Araratyan;1936;1946;1999;SL;Logistics Specialist;High;ARMAra;X
515074;Chief of Staff;Hovhannes Baghramyan;1943;1970;1999;SL;School of Fire Support;High;L515002;X
515075;Chief of Army;Hovhannes Baghramyan;1943;1970;1999;SL;Decisive Battle Doctrine;High;L515002;X
515076;Chief of Staff;Gevorg Ter-Gasparyan;1943;1970;1999;SL;Commando Doctrine Staff;High;LGevork_Andreevich_Ter-Gasparyan;X
515077;Chief of Army;Gevorg Ter-Gasparyan;1945;1970;1999;SL;Commando Doctrine Army;High;LGevork_Andreevich_Ter-Gasparyan;X
515078;Chief of Staff;Movses Silikyan;1936;1940;1999;SC;School of Defence;High;ARMMov;X
515079;Chief of Staff;Hakob Atoyan;1936;1965;1999;SC;School of Psychology;High;LHakob_Tatevosovich_Atoyan;X
515080;Head of Military Intelligence;Hakob Atoyan;1936;1965;1999;SC;Political Specialist;High;LHakob_Tatevosovich_Atoyan;X
515081;Chief of Army;Hovhannes Hakhverdyan;1918;1943;1999;SC;Static Defence Doctrine;High;MHovhannes_Hakhverdyan;X
515082;Chief of Army;Hakob Bagratuni;1918;1949;1999;PA;Guns and Butter Doctrine;High;LYakov_Gerasimovich_Bagratuni;X
515083;Foreign Minister;Hakob Bagratuni;1918;1949;1999;PA;General Staffer;High;LYakov_Gerasimovich_Bagratuni;X
515084;Head of Military Intelligence;Hakob Bagratuni;1918;1949;1999;PA;Logistics Specialist;High;LYakov_Gerasimovich_Bagratuni;X
515085;Chief of Navy;Mihran Petrosyan;1942;1965;1999;SL;Coastal Defence Doctrine;High;LMihran_Karapetovich_Petrosyan;X
515086;Chief of Navy;Valerian Surabekyan;1942;1970;1999;ML;Indirect Approach Doctrine;High;LValerian_Ovsepovich_Surabekov;X
515087;Chief of Navy;Artavazd Saghoyan;1941;1970;1999;SC;Decisive Naval Battle Doctrine;High;LArtavazd_Aramovich_Saghoyan;X
515088;Chief of Air Force;Armenak Khanperiants;1936;1967;1999;LWR;Air Superiority Doctrine;High;L10473;X
515089;Chief of Air Force;Nelson Stepanyan;1946;1970;1999;SD;Army Aviation Doctrine;High;LNelson_Stepanyan;X
515090;Chief of Air Force;Gevorg Chaylakhyan;1940;1963;1999;ML;Air Defence Doctrine;High;LGeorgy_Khristoforovich_Chailakhyan;X
515091;Chief of Air Force;Sergey Sardarov;1948;1970;1999;ML;Air Superiority Doctrine;High;LSergey_Arkadevich_Sardarov;X
