CYN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
501066;Foreign Minister;Feng Sutao;1937;1970;1999;LWR;Apologetic Clerk;High;MFeng_Sutao;X
501067;Minister of Security;Feng Sutao;1945;1970;1999;LWR;Media Magnate;High;MFeng_Sutao;X
501068;Foreign Minister;Li Yiping;1942;1970;1999;SD;The Cloak N Dagger Schemer;High;MLi_Yiping;X
501069;Foreign Minister;Li Yuegai;1928;1944;1999;ML;Great Compromiser;High;MLi_Yuegai;X
501070;Minister of Security;Li Yuegai;1928;1944;1999;ML;Man of the People;High;MLi_Yuegai;X
501071;Foreign Minister;Albert Bodard;1936;1969;1999;ML;Apologetic Clerk;High;MAlbert_Bodard;X
501072;Foreign Minister;Gong Zizhi;1936;1967;1999;SC;Biased Intellectual;High;MGong_Zizhi;X
501073;Minister of Security;Gong Zizhi;1936;1967;1999;SC;Man of the People;High;MGong_Zizhi;X
501074;Minister of Armament;Hua Xiusheng;1936;1959;1999;SL;Mixed Economy;High;MHua_Xiusheng;X
501075;Minister of Armament;Li Zhuo'an;1936;1964;1999;SL;Laissez-Faire Capitalist;High;MLi_Zhuoan;X
501076;Minister of Armament;Cun Shusheng;1936;1970;1999;SL;Keynesian Economy;High;MCun_Shusheng;X
501077;Minister of Armament;Xiong Qinglai;1936;1969;1999;ML;Theoretical Scientist;High;MXiong_Qinglai;X
501078;Minister of Armament;Yang Kecheng;1945;1970;1999;ML;Bank President;High;MYang_Kecheng;X
501079;Minister of Armament;Wang Shaoyan;1945;1970;1999;ML;Mixed Economy;High;MWang_Shaoyan;X
501080;Minister of Armament;Jin Longzhang;1943;1970;1999;ML;Industrialiser;High;MJin_Longzhang;X
501081;Minister of Armament;Zhou Jiabin;1942;1970;1999;ML;Infantry Proponent;High;L50055;X
501082;Minister of Armament;Wang Jiuling;1927;1951;1999;SC;Resource Industrialist;High;MWang_Jiuling;X
501083;Minister of Armament;Liu Zhonghua;1920;1955;1999;SC;Industrial Chemist;High;MLiu_Zhonghua1875;X
501084;Minister of Armament;Zhao Shu;1940;1965;1999;SC;Laissez-Faire Capitalist;High;MZhao_Shu;X
501085;Minister of Armament;Dong Ze;1923;1970;1999;SC;Theoretical Scientist;High;MDong_Ze;X
501086;Head of Military Intelligence;Dong Ze;1923;1970;1999;SC;Industrial Specialist;High;MDong_Ze;X
501087;Minister of Armament;Liang Jinshan;1936;1970;1999;SC;Construction Magnate;High;MLiang_Jinshan;X
501088;Minister of Armament;Yang Jialin;1948;1970;1999;SC;Industrialiser;High;MYang_Jialin;X
501089;Minister of Armament;Yang Wenqing;1930;1950;1999;PA;Construction Magnate;High;MYang_Wenqing;X
501090;Minister of Armament;Lu Chongren;1927;1951;1999;PA;Balanced Budget Economy;High;MLu_Chongren;X
501091;Minister of Armament;Li Peiyan;1929;1955;1999;PA;Laissez-Faire Capitalist;High;MLi_Peiyan;X
501092;Minister of Armament;Yu Enxi;1930;1956;1999;PA;Laissez-Faire Capitalist;High;MFrankie_Yu;X
501093;Minister of Armament;Zhang Zizhu;1936;1970;1999;PA;Bank President;High;MZhang_Zizhu;X
501094;Minister of Security;Zhu Jiabi;1950;1970;1999;ST;Crime Fighter;High;LZhu_Jiabi;X
501095;Head of Military Intelligence;Zhu Jiabi;1947;1970;1999;ST;Dismal Enigma;High;LZhu_Jiabi;X
501096;Minister of Security;Yang Lixian;1936;1970;1999;LE;Man of the People;High;MYang_Yibo;X
501097;Minister of Security;Wu Cheng;1936;1970;1999;LE;Health and Safety;High;MWu_Cheng1900;X
501098;Minister of Security;Sun Bingwen;1926;1940;1999;LWR;Crime Fighter;High;MSun_Bingwen;X
501099;Head of Military Intelligence;Sun Bingwen;1926;1940;1999;LWR;Political Specialist;High;MSun_Bingwen;X
501100;Minister of Security;Zhang Jingchen;1936;1970;1999;LWR;Media Magnate;High;MZhang_Jingchen;X
501101;Minister of Security;Fang Guoyu;1944;1970;1999;LWR;Man of the People;High;MFang_Guoyu;X
501102;Minister of Security;Zeng Shuhuai;1930;1970;1999;SD;Crime Fighter;High;MZeng_Shuhuai;X
501103;Minister of Security;Zeng Shuhuai;1930;1970;1999;SC;Crime Fighter;High;MZeng_Shuhuai;X
501104;Chief of Navy;Zeng Shuhuai;1930;1970;1999;SD;Merchant Navy Focus;High;MZeng_Shuhuai;X
501105;Chief of Navy;Zeng Shuhuai;1930;1970;1999;SC;Merchant Navy Focus;High;MZeng_Shuhuai;X
501106;Minister of Security;Du Fen;1948;1970;1999;SL;Health and Safety;High;MDu_Fen;X
501107;Minister of Security;Fang Zhongbo;1948;1970;1999;SL;Compassionate Gentleman;High;MFang_Zhongbo;X
501108;Minister of Security;Zhang Yaozeng;1936;1940;1999;SC;Silent Lawyer;High;MZhang_Yaozeng;X
501109;Minister of Security;Lu Yafu;1927;1949;1999;SC;Crime Fighter;High;MLu_Yafu;X
501110;Minister of Security;Yang Honglie;1940;1970;1999;SC;Silent Lawyer;High;MYang_Honglie;X
501111;Minister of Security;Chen Yuke;1944;1970;1999;SC;Crime Fighter;High;MChen_Yuke;X
501112;Minister of Security;Xiong Tingquan;1921;1941;1999;PA;Prince of Terror;High;MXiong_Tingquan;X
501113;Minister of Security;Ding Zhaoguan;1924;1955;1999;PA;Crime Fighter;High;MDing_Zhaoguan;X
501114;Minister of Security;Yu Yunlong;1927;1961;1999;PA;Man of the People;High;MYu_Yunlong;X
501115;Minister of Security;Shen Yuan;1913;1962;1999;PA;Silent Lawyer;High;MShen_Yuan;X
501116;Minister of Security;Tang Shaoxiang;1943;1970;1999;PA;Back Stabber;High;LTang_Shaoxiang;X
501117;Minister of Security;Pei Cunfan;1944;1970;1999;FA;Secret Police Chief;High;MPei_Cunfan;X
501118;Minister of Security;An Zefa;1936;1955;1999;NS;Efficient Sociopath;High;MAn_Zefa;X
501119;Head of Military Intelligence;Zheng Yili;1942;1970;1999;LE;Technical Specialist;High;MZheng_Yili;X
501120;Head of Military Intelligence;Huang Luofeng;1945;1970;1999;LWR;Political Specialist;High;MHuang_Luofeng;X
501121;Head of Military Intelligence;Fu Zhaoqian;1940;1968;1999;SD;Logistics Specialist;High;LFu_Zhaoqian;X
501122;Head of Military Intelligence;Duan Kewu;1946;1968;1999;SC;Technical Specialist;High;LDuan_Kewu;X
501123;Head of Military Intelligence;Yang Boxun;1939;1960;1999;PA;Counterintelligence Specialist;High;MYang_Boxun;X
501124;Head of Military Intelligence;Dou Zijin;1945;1968;1999;PA;Political Specialist;High;MDou_Zijin;X
501125;Head of Military Intelligence;Wen Chaoji;1944;1970;1999;PA;Logistics Specialist;High;LWen_Chaoji;X
501126;Chief of Staff;Zhang Gongda;1945;1970;1999;SD;School of Psychology;High;LZhang_Gongda;X
501127;Chief of Staff;Li Zuo;1950;1970;1999;SD;School of Manoeuvre;High;LLi_Zuo;X
501128;Chief of Army;Li Zuo;1950;1970;1999;SD;Armoured Spearhead Doctrine;High;LLi_Zuo;X
501129;Chief of Staff;Zhou Tiren;1938;1954;1999;SL;School of Defence;High;LZhou_Tiren;X
501130;Chief of Army;Zhou Tiren;1938;1954;1999;SL;Combat Engineering Doctrine;High;LZhou_Tiren;X
501131;Chief of Staff;Yang Jie;1925;1963;1999;SL;School of Fire Support;High;CHIYang Jie;X
501132;Chief of Army;Yang Jie;1925;1963;1999;SL;Decisive Battle Doctrine;High;CHIYang Jie;X
501133;Foreign Minister;Yang Jie;1936;1963;1999;SL;General Staffer;High;CHIYang Jie;X
501134;Minister of Armament;Yang Jie;1936;1963;1999;SL;Reformer;High;CHIYang Jie;X
501135;Head of Military Intelligence;Yang Jie;1936;1963;1999;SL;Logistics Specialist;High;CHIYang Jie;X
501136;Chief of Staff;Li Rentao;1944;1970;1999;ML;School of Fire Support;High;LLi_Rentao;X
501137;Chief of Army;Li Rentao;1944;1970;1999;ML;Combat Engineering Doctrine;High;LLi_Rentao;X
501138;Chief of Staff;Zhao Zhongqi;1917;1948;1999;SC;School of Defence;High;LZhao_Zhongqi;X
501139;Foreign Minister;Zhao Zhongqi;1937;1970;1999;SC;General Staffer;High;LZhao_Zhongqi;X
501140;Minister of Armament;Zhao Zhongqi;1917;1948;1999;SC;Infantry Proponent;High;LZhao_Zhongqi;X
501141;Chief of Staff;Wang Zhaoxiang;1920;1952;1999;SC;School of Mass Combat;High;LWang_Zhaoxiang;X
501142;Minister of Armament;Wang Zhaoxiang;1920;1952;1999;SC;Infantry Proponent;High;LWang_Zhaoxiang;X
501143;Chief of Staff;Ruan Zhaochang;1939;1970;1999;SC;School of Psychology;High;LRuan_Zhaochang;X
501144;Chief of Staff;Wan Baobang;1930;1970;1999;SC;School of Fire Support;High;LWan_Baobang;X
501145;Minister of Armament;Wan Baobang;1930;1970;1999;SC;Artillery Proponent;High;LWan_Baobang;X
501146;Chief of Staff;Gao Yinhuai;1925;1970;1999;SC;School of Defence;High;LGao_Yinhuai;X
501147;Chief of Army;Gao Yinhuai;1936;1970;1999;SC;Static Defence Doctrine;High;LGao_Yinhuai;X
501148;Chief of Staff;Ma Zhen;1936;1963;1999;PA;School of Mass Combat;High;LMa_Zhen;X
501149;Minister of Security;Ma Zhen;1936;1963;1999;PA;Crime Fighter;High;LMa_Zhen;X
501150;Chief of Staff;Sun Du;1931;1967;1999;PA;School of Manoeuvre;High;L50268;X
501151;Chief of Army;Sun Du;1941;1967;1999;PA;Guns and Butter Doctrine;High;L50268;X
501152;Chief of Staff;Ye Peigao;1948;1970;1999;PA;Commando Doctrine Staff;High;L50347;X
501153;Minister of Armament;Ye Peigao;1948;1970;1999;PA;Infantry Proponent;High;L50347;X
501154;Chief of Staff;Ma Ying;1945;1970;1999;FA;School of Defence;High;LMa_Ying;X
501155;Chief of Army;Luo Binghui;1936;1946;1999;LWR;Commando Doctrine Army;High;L76329;X
501156;Chief of Army;Pan Shuoduan;1946;1970;1999;LWR;Commando Doctrine Army;High;LPan_Shuoduan;X
501157;Chief of Army;Zhao Rong;1936;1970;1999;LWR;Guns and Butter Doctrine;High;L76536;X
501158;Minister of Armament;Zhao Rong;1936;1970;1999;LWR;Military Entrepreneur;High;L76536;X
501159;Chief of Army;Jin Handing;1936;1967;1999;SD;Doctrine of Autonomy;High;LJin_Handing;X
501160;Minister of Armament;Jin Handing;1936;1967;1999;SD;Military Entrepreneur;High;LJin_Handing;X
501161;Minister of Security;Jin Handing;1936;1967;1999;SD;Crime Fighter;High;LJin_Handing;X
501162;Chief of Army;Huang Yucheng;1918;1949;1999;SC;Old Cavalry General;High;LHuang_Yucheng;X
501163;Chief of Army;Cun Xingqi;1927;1965;1999;SC;Elastic Defence Doctrine;High;L50297;X
501164;Chief of Army;Ye Jianxiong;1949;1969;1999;SC;Old Cavalry General;High;LYe_Jianxiong;X
501165;Chief of Army;Ma Chongliu;1937;1970;1999;SC;Combat Engineering Doctrine;High;L50234;X
501166;Head of Military Intelligence;Ma Chongliu;1946;1970;1999;SC;Technical Specialist;High;L50234;X
501167;Chief of Army;Zeng Zesheng;1948;1970;1999;SC;Decisive Battle Doctrine;High;L76578;X
501168;Chief of Army;Yang Hongguang;1941;1957;1999;PA;Guns and Butter Doctrine;High;LYang_Hongguang;X
501169;Head of Military Intelligence;Yang Hongguang;1927;1957;1999;PA;Logistics Specialist;High;LYang_Hongguang;X
501170;Chief of Army;Wang Jun;1931;1961;1999;FA;Decisive Battle Doctrine;High;LWang_Jun1891;X
501171;Chief of Army;Li Mi;1948;1970;1999;FA;Commando Doctrine Army;High;CHILimi;X
501172;Chief of Army;Lu Daoyuan;1948;1970;1999;FA;Counter-Insurgency Doctrine;High;L50230;X
501173;Chief of Navy;Lu Daoyuan;1936;1970;1999;FA;Base Control Doctrine;High;L50230;X
501174;Chief of Air Force;Tan Kun;1948;1970;1999;SL;Air Superiority Doctrine;High;LTan_Kun;X
501175;Chief of Air Force;Wang Shuming;1940;1948;1999;ML;Air Superiority Doctrine;High;Wang Shuming;X
501176;Chief of Air Force;Wang Shuming;1948;1970;1999;ML;Carpet Bombing Doctrine;High;Wang Shuming;X
501177;Minister of Armament;Wang Shuming;1943;1970;1999;ML;Air to Ground Proponent;High;Wang Shuming;X
501178;Chief of Air Force;Liu Peiquan;1920;1942;1999;SC;Aviation Organizer;High;Liu Peiquan;X
501179;Chief of Air Force;Yang Ruxuan;1936;1970;1999;SC;Air Defence Doctrine;High;LYang_Ruxuan;X
501180;Minister of Security;Yang Ruxuan;1936;1970;1999;SC;Back Stabber;High;LYang_Ruxuan;X
501181;Chief of Air Force;Chen Qixia;1942;1970;1999;SC;Aviation Organizer;High;L50368;X
501182;Chief of Navy;Tian Linxun;1950;1970;1999;LWR;Base Control Doctrine;High;LTian_Linxun;X
501183;Chief of Navy;Deng Taizhong;1922;1956;1999;PA;Coastal Defence Doctrine;High;LDeng_Taizhong;X
501184;Head of State;Wu Peifu;1920;1934;1935;PA;Die-hard Reformer;High;kaiserreich wupufei;X
501185;Head of Government;Wu Peifu;1920;1935;1935;PA;Old General;High;kaiserreich wupufei;X
