BEL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
15041;Head of Government;Achille Van Acker;1939;1964;1999;SD;Corporate Suit;Very High;M15041;X
15042;Head of Government;Gaston Eyskens;1945;1964;1999;SC;Corporate Suit;Very High;M15042;X
15043;Head of Government;Julien Lahaut;1945;1964;1999;ST;Backroom Backstabber;Very High;M15024;X
15044;Foreign Minister;Paul-Henri Spaak;1936;1964;1999;SL;Great Compromiser;Very High;M15034;X
15046;Foreign Minister;Leon Degrelle;1936;1964;1999;NS;Iron Fisted Brute;Very High;M15013;X
15047;Foreign Minister;Louis de Brouckère;1937;1964;1999;SD;Ideological Crusader;Very High;M15047;X
15048;Foreign Minister;Eugène Soudan;1938;1964;1999;SL;Ideological Crusader;Very High;M15005;X
15049;Foreign Minister;Hubert Pierlot;1939;1964;1999;SC;Great Compromiser;Very High;M15037;X
15051;Foreign Minister;Jules Pire;1941;1964;1999;SD;General Staffer;Very High;M15051;X
15052;Foreign Minister;Jef van de Wiele;1942;1964;1999;NS;Iron Fisted Brute;Very High;M15011;X
15053;Foreign Minister;Edgar Lalmand;1943;1964;1999;ST;Biased Intellectual;Very High;M15022;X
15054;Foreign Minister;Julien Lahaut;1945;1964;1999;ST;Ideological Crusader;Very High;M15024;X
15055;Foreign Minister;Gaston Eyskens;1947;1964;1999;SC;Great Compromiser;Very High;M15042;X
15056;Minister of Armament;Hendrik de Man;1936;1964;1999;SL;Administrative Genius;Very High;M15056;X
15059;Minister of Armament;Camille Gutt;1937;1964;1999;ML;Administrative Genius;Very High;M15059;X
15060;Minister of Armament;Leon Degrelle;1937;1964;1999;NS;Infantry Proponent;Very High;M15013;X
15061;Minister of Armament;Jules Merlot;1938;1964;1999;SD;Resource Industrialist;Very High;M15061;X
15062;Minister of Armament;Emmanuel Michez;1939;1964;1999;ML;Tank Proponent;Very High;M15062;X
15063;Minister of Armament;Paul-Henri Spaak;1939;1964;1999;SD;Resource Industrialist;Very High;M15034;X
15064;Minister of Armament;Henri Denis;1940;1964;1999;SC;Infantry Proponent;Very High;M15064;X
15065;Minister of Armament;Edgar Lalmand;1944;1964;1999;LE;Resource Industrialist;Very High;M15022;X
15066;Minister of Armament;Gaston Eyskens;1940;1964;1999;ML;Administrative Genius;Very High;M15042;X
15067;Minister of Armament;Franz de Voghel;1945;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15067;X
15068;Minister of Armament;Marcel Vauthier;1946;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15068;X
15069;Minister of Armament;Albert de Vleeschauwer;1946;1964;1999;SC;Resource Industrialist;Very High;M15069;X
15070;Minister of Armament;Jean Duvieusart;1947;1964;1999;SC;Administrative Genius;Very High;M15070;X
15071;Minister of Security;Albert Janssen;1936;1964;1999;SC;Compassionate Gentleman;Very High;M15071;X
15072;Minister of Security;François Bovesse;1936;1964;1999;SC;Silent Lawyer;Very High;M15072;X
15073;Minister of Security;Paul Hymans;1936;1964;1999;SL;Compassionate Gentleman;Very High;M15073;X
15075;Minister of Security;Paul Ouwerx;1936;1964;1999;NS;Crime Fighter;Very High;M15075;X
15076;Minister of Security;Paul-Emile Janson;1937;1964;1999;ML;Crime Fighter;Very High;M15036;X
15077;Minister of Security;Leon Degrelle;1937;1964;1999;NS;Prince of Terror;Very High;M15013;X
15079;Minister of Security;Joseph Pholien;1938;1964;1999;SC;Silent Lawyer;Very High;M15079;X
15081;Minister of Security;Henri Comte Carton de Wiart;1939;1964;1999;ML;Crime Fighter;Very High;M15081;X
15083;Minister of Security;Jules Pire;1942;1964;1999;SD;Prince of Terror;Very High;M15051;X
15084;Minister of Security;Victor de Laveleye;1944;1964;1999;SL;Crime Fighter;Very High;M15084;X
15085;Minister of Security;Julien Lahaut;1944;1964;1999;ST;Prince of Terror;Very High;M15024;X
15086;Minister of Security;Adolphe Van Glabbeke;1945;1964;1999;SC;Man of the People;Very High;M15086;X
15087;Minister of Security;Auguste Buisseret;1945;1964;1999;SC;Silent Lawyer;Very High;M15087;X
15088;Minister of Security;Charles du Bus de Warnaffe;1945;1964;1999;SC;Crime Fighter;Very High;M15088;X
15089;Minister of Security;Albert Lilar;1946;1964;1999;ML;Compassionate Gentleman;Very High;M15089;X
15090;Minister of Security;Paul Struye;1947;1964;1999;SC;Man of the People;Very High;M15090;X
15091;Minister of Security;Jean Rey;1947;1964;1999;SC;Silent Lawyer;Very High;M15091;X
15092;Head of Military Intelligence;Victor de Laveleye;1936;1964;1999;SD;Logistics Specialist;Very High;M15084;X
15093;Head of Military Intelligence;Henri Denis;1936;1964;1999;SC;Logistics Specialist;Very High;M15064;X
15095;Head of Military Intelligence;Paul Ouwerx;1936;1964;1999;NS;Industrial Specialist;Very High;M15075;X
15096;Head of Military Intelligence;Jules Pire;1940;1964;1999;SD;Logistics Specialist;Very High;M15051;X
15097;Head of Military Intelligence;Léon Delsinne;1944;1964;1999;ML;Industrial Specialist;Very High;M15097;X
15098;Head of Military Intelligence;Auguste Buisseret;1944;1964;1999;SC;Technical Specialist;Very High;M15087;X
15099;Head of Military Intelligence;Herman Vos;1944;1964;1999;SD;Political Specialist;Very High;M15099;X
15100;Head of Military Intelligence;Léon Mundeleer;1945;1964;1999;ML;Dismal Enigma;Very High;M15100;X
15101;Head of Military Intelligence;B.E.M. de Fraiteur;1946;1964;1999;SC;Dismal Enigma;Very High;M15101;X
15102;Head of Military Intelligence;Pierre Vermeylen;1947;1964;1999;SC;Technical Specialist;Very High;M15102;X
15104;Chief of Staff;Leon Degrelle;1936;1964;1999;NS;School of Mass Combat;Very High;M15013;X
15105;Chief of Staff;Georges Deffontaine;1938;1964;1999;SC;School of Fire Support;Very High;M15105;X
15106;Chief of Staff;Victor van Strydonck de Burkel;1940;1964;1999;SC;School of Mass Combat;Very High;M15008;X
15107;Chief of Staff;Oscar Michiels;1940;1964;1999;SC;School of Mass Combat;Very High;M15107;X
15108;Chief of Army;Réné Lagrou;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;M15017;X
15109;Chief of Army;Leon Degrelle;1936;1964;1999;NS;Guns and Butter Doctrine;Very High;M15013;X
15110;Chief of Army;Raoul van Overstraeten;1938;1964;1999;SC;Guns and Butter Doctrine;Very High;M15110;X
15111;Chief of Army;Yvan Gérard;1940;1964;1999;ML;Elastic Defence Doctrine;Very High;M15111;X
15112;Chief of Army;Charles Bastin;1939;1964;1999;SD;Static Defence Doctrine;Very High;M15112;X
15113;Chief of Army;Jules Pire;1943;1964;1999;SD;Armoured Spearhead Doctrine;Very High;M15051;X
15114;Chief of Navy;Fritz Conrad;1936;1964;1999;NS;Indirect Approach Doctrine;Very High;M15018;X
15115;Chief of Air Force;Fritz Löb;1936;1964;1999;NS;Army Aviation Doctrine;Very High;M15019;X
15116;Chief of Air Force;Jules Iserentant;1937;1964;1999;SC;Air Superiority Doctrine;Very High;M15116;X
15117;Minister of Security;Auguste De Schrijver;1936;1964;1999;SC;Compassionate Gentleman;Very High;M15117;X
15118;Head of State;S.M.R. Baudouin I;1947;1964;1999;PA;Benevolent Gentleman;Very High;M15031;X
15119;Minister of Armament;Guy Bouthillier;1941;1964;1999;SD;Theoretical Scientist;Very High;M15119;X
15120;Minister of Armament;Emile Francqui;1936;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15120;X
15121;Minister of Armament;Albert-Edouard Janssen;1938;1964;1999;ML;Resource Industrialist;Very High;M15121;X
15122;Minister of Armament;Charles Pomaret;1938;1964;1999;SD;Infantry Proponent;Very High;M15122;X
15123;Minister of Armament;Charles Régnier;1936;1964;1999;SC;Air Superiority Proponent;Very High;M15123;X
15124;Minister of Armament;Edmond Rubbens;1936;1964;1999;SC;Resource Industrialist;Very High;M15124;X
15125;Minister of Armament;Albert Wauters;1939;1964;1999;SD;Military Entrepreneur;Very High;M15125;X
15126;Minister of Security;Antoine Delfosse;1942;1964;1999;ML;Compassionate Gentleman;Very High;M15126;X
15127;Minister of Security;Victor Maistriau;1937;1964;1999;ML;Silent Lawyer;Very High;M15127;X
15128;Minister of Armament;Louis Franck;1936;1964;1999;SC;Resource Industrialist;Very High;M15128;X
15129;Minister of Armament;Hendrik Heyman;1936;1964;1999;SC;Air to Ground Proponent;Very High;M15129;X
15130;Minister of Armament;Maurice Lippens;1936;1964;1999;ML;Resource Industrialist;Very High;M15130;X
15131;Minister of Security;Philippe Van Isacker;1936;1964;1999;SC;Crime Fighter;Very High;M15131;X
15132;Head of Government;Frans Van Cauwelaert;1936;1964;1999;SC;Naive Optimist;Very High;M15132;X
15133;Foreign Minister;Frans Van Cauwelaert;1936;1964;1999;SC;Ideological Crusader;Very High;M15132;X
15134;Head of State;S.M.R. Leopold III;1936;1964;1999;PA;Benevolent Gentleman;Very High;M15001;X
15020;Head of State;Joseph Jacquemotte;1936;1964;1999;LE;Weary Stiffneck;Very High;M15020;X
15021;Head of Government;Joseph Jacquemotte;1936;1964;1999;LE;Political Protege;Very High;M15020;X
15022;Foreign Minister;War van Overstraeten;1936;1964;1999;LE;Biased Intellectual;Very High;M15118;X
15023;Minister of Armament;Abraham Leon;1936;1964;1999;LE;Resource Industrialist;Very High;M15119;X
15024;Minister of Security;Adhemar Henneaut;1936;1964;1999;LE;Crime Fighter;Very High;M15120;X
15025;Head of Military Intelligence;Julien Lahaut;1936;1964;1999;LE;Political Specialist;Very High;M15024;X
15026;Chief of Staff;Georges Vereecken;1936;1964;1999;LE;School of Mass Combat;Very High;M15121;X
15027;Chief of Army;Georges Vereecken;1936;1964;1999;LE;Elastic Defence Doctrine;Very High;M15121;X
15028;Chief of Navy;Georges Vereecken;1936;1964;1999;LE;Undistinguished Suit;Very High;M15121;X
15029;Chief of Air Force;Georges Vereecken;1936;1964;1999;LE;Undistinguished Suit;Very High;M15121;X
15135;Head of State;S.M.R. Leopold III;1936;1964;1999;SL;Benevolent Gentleman;Very High;M15001;X
15136;Head of State;S.M.R. Baudouin I;1947;1964;1999;ML;Benevolent Gentleman;Very High;M15031;X
15137;Minister of Armament;Cyriel Van Overbergh;1937;1964;1999;SC;Theoretical Scientist;High;M15137;X
15138;Head of Government;Georges Theunis;1936;1964;1999;SC;Naive Optimist;High;M15138;X
15139;Minister of Armament;Georges Theunis;1936;1964;1999;SC;Laissez-Faire Capitalist;High;M15138;X
15140;Minister of Armament;Gustaaf Sap;1936;1964;1999;SC;Military Entrepreneur;High;M15140;X
15141;Head of Government;Joris Van Severen;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;M15141;X
15142;Head of Government;Charles Somville;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;M15142;X
15143;Foreign Minister;Emiel Thiers;1936;1964;1999;FA;Great Compromiser;Very High;M15143;X
15144;Foreign Minister;Ward Hermans;1936;1964;1999;FA;Biased Intellectual;Very High;M15144;X
15145;Foreign Minister;Pol Le Roy;1936;1964;1999;FA;Ideological Crusader;Very High;M15145;X
15146;Minister of Armament;René Lambrichts;1937;1964;1999;FA;Administrative Genius;Very High;M15146;X
15147;Minister of Armament;Joris Van Severen;1936;1964;1999;FA;Military Entrepreneur;Very High;M15141;X
15148;Minister of Armament;Charles Somville;1936;1964;1999;FA;Resource Industrialist;Very High;M15142;X
15149;Minister of Security;René Lambrichts;1937;1964;1999;FA;Efficient Sociopath;Very High;M15146;X
15150;Minister of Security;Emiel Thiers;1936;1964;1999;FA;Compassionate Gentleman;Very High;M15143;X
15151;Minister of Security;Jan Rijckoort;1936;1964;1999;FA;Man of the People;Very High;M15151;X
15152;Minister of Security;Ward Hermans;1936;1964;1999;FA;Silent Lawyer;Very High;M15144;X
15153;Head of Military Intelligence;Joris Van Severen;1936;1964;1999;FA;Logistics Specialist;Very High;M15141;X
15154;Head of Military Intelligence;Jan Rijckoort;1936;1964;1999;FA;Political Specialist;Very High;M15151;X
15155;Chief of Staff;Joris Van Severen;1936;1964;1999;FA;School of Psychology;Very High;M15141;X
15156;Minister of Armament;Alexandre Galopin;1936;1964;1999;ML;Administrative Genius;Very High;M15156;X
15157;Head of State;S.K.M. Adalbert I von Preußen;1936;1949;1950;PA;German Aristocrat;Very High;kaiserreich adalbertvH;X
15158;Head of State;Dr. August Borms;1936;1964;1999;FA;Powerhungry Demagogue;Very High;kaiserreich augustborms;X
15159;Head of Government;Dr. August Borms;1936;1964;1999;PA;Backroom Backstabber;Very High;kaiserreich augustborms;X
15160;Foreign Minister;Dr. August Borms;1936;1964;1999;FA;Biased Intellectual;Very High;kaiserreich augustborms;X
15161;Head of State;S.K.M. Adalbert I von Preußen;1936;1949;1950;SC;German Aristocrat;Very High;kaiserreich adalbertvH;X
15162;Head of Government;Aloys Van de Vyvere;1936;1964;1999;SC;Silent Workhorse;High;kai_alsvdvr;X
15163;Head of Government;Staf De Clercq;1936;1964;1999;FA;Naive Optimist;High;kai_stfdclr;X
15164;Head of Government;Victor de Laveleye;1936;1964;1999;SL;Corporate Suit;Very High;M15084;X
15165;Head of State;S.K.M. Wilhelm I von Preußen;1940;1964;1999;PA;German Aristocrat;Very High;;X
15166;Head of State;S.K.M. Wilhelm I von Preußen;1940;1964;1999;SC;German Aristocrat;Very High;;X
15167;Head of Government;Hendrik Elias;1936;1964;1999;PA;Backroom Backstabber;Very High;kai_belhndrkels;X
15168;Head of Government;Roger Motz;1936;1964;1999;ML;Flamboyant Tough Guy;Very High;kai_belrgrmtz;X
15169;Minister of Armament;Auguste Piccard;1936;1970;1999;SD;Theoretical Scientist;Very High;Kaiserreich Tournesol;X
15170;Head of State;S.K.M. Wilhelm II von Preußen;1919;1970;1999;PA;German Aristocrat;Very High;wilhelmiih;X
15171;Head of Government;Pieter Tack;1919;1970;1999;PA;Flamboyant Tough Guy;Medium;;X
