FLA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
510062;Head of Military Intelligence;Seraf Trio;1940;1964;1999;NS;Logistics Specialist;Very High;M510073;x
510063;Head of State;Alexander von Falkenhausen;1940;1964;1999;NS;Resigned Generalissimo;Very High;M510086;x
510064;Head of State;Dr. Schulze;1940;1964;1999;NS;Barking Buffoon;Very High;M510070;x
510065;Head of State;Gottlob Berger;1940;1964;1999;NS;Powerhungry Demagogue;Very High;M510027;x
510066;Head of State;Hendrik J. Elias;1942;1964;1999;FA;Stern Imperialist;Very High;M15039;x
510067;Head of State;Jef van de Wiele;1940;1964;1999;NS;Powerhungry Demagogue;Very High;M15011;x
510068;Minister of Armament;Alfons Wachtelaer;1942;1964;1999;NS;Infantry Proponent;Very High;M510089;x
510069;Minister of Armament;Edgard Delvo;1936;1964;1999;NS;Resource Industrialist;Very High;M510042;x
510070;Minister of Armament;Fritz-Jan Hendriks;1939;1964;1999;FA;Administrative Genius;Very High;M510043;x
510071;Minister of Armament;Jan Timmermans;1937;1964;1999;NS;Resource Industrialist;Very High;M15117;x
510072;Minister of Armament;Jef van de Wiele;1940;1964;1999;NS;Military Entrepreneur;Very High;M15011;x
510073;Minister of Armament;Joris Fassotte;1936;1964;1999;NS;Military Entrepreneur;Very High;M15057;x
510074;Minister of Armament;Jos Henskens;1939;1964;1999;NS;Infantry Proponent;Very High;M510044;x
510075;Minister of Armament;Marcel Mannaerts;1940;1964;1999;FA;Resource Industrialist;Very High;M510060;x
510076;Minister of Armament;Piet Wijndaele;1937;1964;1999;FA;laissez-faire capitalist;Very High;M510091;x
510077;Minister of Armament;Victor Leemans;1938;1964;1999;FA;laissez-faire capitalist;Very High;M510055;x
510078;Minister of Armament;Victor Matthys;1936;1964;1999;NS;Military Entrepreneur;Very High;M15058;x
510079;Minister of Security;A. De Bontridder;1936;1964;1999;FA;Silent Lawyer;Very High;M510039;x
510080;Minister of Security;Alfons Herten;1940;1964;1999;NS;Efficient Sociopath;Very High;M510046;x
510081;Minister of Security;Alfons Wachtelaer;1942;1964;1999;NS;Efficient Sociopath;Very High;M510089;x
510082;Minister of Security;Edgar Lehembre;1940;1964;1999;NS;Prince of Terror;Very High;M510056;x
510083;Minister of Security;Gottlob Berger;1940;1964;1999;NS;Prince of Terror;Very High;M510027;x
510084;Minister of Security;Hendrik J. Elias;1942;1964;1999;FA;Silent Lawyer;Very High;M15039;x
510085;Minister of Security;J. De Meyer;1936;1964;1999;NS;Man of the People;Very High;M510041;x
510086;Minister of Security;Joris Vansteenland;1940;1964;1999;NS;Prince of Terror;Very High;M510080;x
510087;Minister of Security;Karel Lambrechts;1939;1964;1999;NS;Compassionate Gentleman;Very High;M510049;x
510088;Minister of Security;Odiel Daem;1940;1964;1999;NS;Crime Fighter;Very High;M510037;x
510089;Minister of Security;Reimond Tollenaere;1939;1964;1999;NS;Prince of Terror;Very High;M15082;x
510090;Minister of Security;Richard Jungclaus;1941;1964;1999;NS;Efficient Sociopath;Very High;M510047;x
510091;Minister of Security;Seraf Trio;1940;1964;1999;NS;Man of the People;Very High;M510073;x
510092;Minister of Security;Walter Lampaert;1941;1964;1999;NS;Crime Fighter;Very High;M510052;x
510093;Head of State;S.K.M. Leopold III;1936;1964;1999;SC;Benevolent Gentleman;Very High;M15001;x
510094;Head of Government;Frans Van Cauwelaert;1936;1964;1999;SC;Naive Optimist;Very High;M15132;x
510095;Foreign Minister;Frans Van Cauwelaert;1936;1964;1999;SC;Ideological Crusader;Very High;M15132;x
510096;Head of State;S.K.M. Leopold III;1936;1964;1999;PA;Benevolent Gentleman;Very High;M15001;x
510097;Head of Government;Staf de Clercq;1936;1964;1999;PA;Flamboyant Tough Guy;Very High;M15033;x
510098;Foreign Minister;Staf de Clercq;1936;1964;1999;PA;Biased Intellectual;Very High;M15033;x
510099;Foreign Minister;August Borms;1936;1964;1999;FA;Ideological Crusader;Very High;M510099;x
510100;Foreign Minister;Clemens De Landtsheer;1936;1964;1999;SC;Ideological Crusader;Very High;M510100;x
510101;Head of State;Camille Huysmans;1936;1964;1999;LE;Benevolent Gentleman;Very High;M15038;x
510102;Head of Government;Camille Huysmans;1936;1964;1999;LE;Happy Amateur;Very High;M15038;x
510103;Head of Government;Achille Van Acker;1939;1964;1999;SD;Corporate Suit;Very High;M15041;x
510104;Minister of Armament;Hendrik de Man;1936;1964;1999;SL;Administrative Genius;Very High;M15056;x
510105;Minister of Armament;Franz de Voghel;1945;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15067;x
510106;Minister of Armament;Albert de Vleeschauwer;1946;1964;1999;SC;Resource Industrialist;Very High;M15069;x
510107;Minister of Security;Albert Janssen;1936;1964;1999;SC;Compassionate Gentleman;Very High;M15071;x
510108;Minister of Security;Paul Hymans;1936;1964;1999;SL;Compassionate Gentleman;Very High;M15073;x
510109;Minister of Security;Adolphe Van Glabbeke;1945;1964;1999;SC;Man of the People;Very High;M15086;x
510110;Minister of Security;Paul Struye;1947;1964;1999;SC;Man of the People;Very High;M15090;x
510111;Head of Military Intelligence;Herman Vos;1939;1964;1999;SD;Political Specialist;Very High;M15099;x
510112;Head of Military Intelligence;Pierre Vermeylen;1947;1964;1999;SC;Technical Specialist;Very High;M15102;x
510113;Chief of Staff;Oscar Michiels;1940;1964;1999;SC;School of Mass Combat;Very High;M15107;x
510114;Chief of Army;Raoul van Overstraeten;1938;1964;1999;SC;Guns and Butter Doctrine;Very High;M15110;x
510115;Minister of Armament;Edmond Rubbens;1936;1964;1999;SC;Resource Industrialist;Very High;M15124;x
510116;Minister of Armament;Albert Wauters;1939;1964;1999;SD;Military Entrepreneur;Very High;M15125;x
510117;Minister of Armament;Louis Franck;1936;1964;1999;SC;Resource Industrialist;Very High;M15128;x
510118;Minister of Armament;Hendrik Heyman;1936;1964;1999;SC;Air to Ground Proponent;Very High;M15129;x
510119;Minister of Armament;Maurice Lippens;1936;1964;1999;ML;Resource Industrialist;Very High;M15130;x
510120;Minister of Security;Philippe Van Isacker;1936;1964;1999;SC;Crime Fighter;Very High;M15131;x
510121;Minister of Armament;Cyriel Van Overbergh;1937;1964;1999;SC;Theoretical Scientist;High;M15137;x
510122;Minister of Armament;Gustaaf Sap;1936;1964;1999;SC;Military Entrepreneur;High;M15140;x
510123;Chief of Navy;G. Timmermans;1936;1964;1999;SC;Indirect Approach Doctrine;Very High;M15009;x
510124;Chief of Air Force;L.F.E. Wouters;1936;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M15010;x
510125;Head of State;S.K.M. Adalbert I von Preuﬂen;1936;1949;1950;PA;german aristocrat;Very High;kaiserreich adalbertvH;x
510126;Head of State;S.K.M. Adalbert I von Preuﬂen;1936;1949;1950;SC;german aristocrat;Very High;kaiserreich adalbertvH;x
510127;Head of State;Herman Vos;1939;1964;1999;SD;Benevolent Gentleman;Very High;M15099;x
510128;Head of Government;Henri de Man;1936;1964;1999;LE;Flamboyant Tough Guy;Very High;kai_henrdmn;x
510129;Foreign Minister;August Vermeylen;1936;1964;1999;LE;Ideological Crusader;Very High;kai_augstver;x
510130;Minister of Armament;Henri de Man;1936;1964;1999;LE;Resource Industrialist;Very High;kai_henrdmn;x
510131;Head of State;S.K.M. Wilhelm I von Preuﬂen;1940;1964;1999;PA;german aristocrat;Very High;;x
510132;Head of State;S.K.M. Wilhelm I von Preuﬂen;1940;1964;1999;SC;german aristocrat;Very High;;x
