USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
6187;Head of Government;Dennis Lawrence;1936;1964;1999;SC;Happy Amateur;Medium;M6187;X
6188;Minister of Security;Gerald K. Smith;1936;1964;1999;PA;Back Stabber;Low;M6040;X
6189;Head of State;Charles Lindbergh;1940;1964;1999;PA;Pig-headed Isolationist;Very High;M6020;X
573259;Head of Military Intelligence;Charles Willoughby;1936;1952;1999;FA;Political Specialist;Very High;USA_Charles Willoughby;X
6190;Head of Government;Robert E. Wood;1940;1964;1999;PA;Silent Workhorse;Very High;M6190;X
6191;Minister of Security;Gerald B. Winrod;1940;1964;1999;PA;Efficient Sociopath;Very High;M6191;X
6192;Chief of Staff;Robert E. Wood;1936;1964;1999;PA;School of Defence;High;M6190;X
6193;Chief of Staff;Walter Bedell-Smith;1942;1964;1999;SL;School of Fire Support;Very High;L60031;X
6194;Chief of Army;Mark Clark;1945;1964;1999;SL;Decisive Battle Doctrine;Very High;L60098;X
6195;Chief of Staff;Joe L. Collins;1945;1964;1999;SL;School of Manoeuvre;Very High;L60105;X
6196;Chief of Army;Joseph Stilwell;1944;1964;1999;SL;Decisive Battle Doctrine;Very High;L60341;X
6197;Chief of Navy;William Halsey;1944;1964;1999;SL;Power Projection Doctrine;Very High;L60414;X
6198;Minister of Armament;Dean Acheson;1944;1964;1999;SL;Laissez-Faire Capitalist;Very High;M6198;X
6199;Minister of Armament;Harold Ickes;1936;1964;1999;SL;Resource Industrialist;Very High;M6199;X
6200;Minister of Security;Archibald MacLeish;1939;1964;1999;LWR;Man of the People;Medium;M6200;X
6201;Foreign Minister;Archibald MacLeish;1939;1964;1999;LWR;Biased Intellectual;Medium;M6200;X
6202;Minister of Security;Burton K. Wheeler;1936;1964;1999;PA;Efficient Sociopath;Medium;M6202;X
6203;Foreign Minister;Thomas Connally;1941;1964;1999;SL;Ideological Crusader;High;M6203;X
6204;Minister of Security;Charles E. Hughes;1936;1964;1999;SC;Efficient Sociopath;Medium;M6204;X
6205;Minister of Security;Hugo Black;1937;1964;1999;SL;Compassionate Gentleman;High;M6205;X
6206;Minister of Armament;Robert F. Wagner;1936;1964;1999;SL;Laissez-Faire Capitalist;Very High;M6206;X
6207;Minister of Armament;Henry L. Stimson;1940;1964;1999;SL;Infantry Proponent;Very High;M6061;X
6208;Head of State;Douglas MacArthur;1936;1964;1999;PA;American Tyrant;High;L60250;X
6209;Head of State;Huey Long;1936;1964;1999;FA;Southern Demagogue;High;kaiserreich hueylong;X
6210;Head of State;Jack Reed;1936;1964;1999;LE;All-American Worker;High;kaiserreich JackReed;X
6211;Head of Government;Norman Thomas;1936;1964;1999;SD;Happy Amateur;Very High;M6021;X
6212;Head of Government;Max Shachtman;1936;1964;1999;LWR;Silent Workhorse;High;kaiserreich maxschachtman;X
6213;Head of Government;Paul Mattick;1936;1964;1999;LE;Ambitious Union Boss;High;kaiserreich paulmattick;X
6214;Head of Government;William Z. Foster;1936;1964;1999;ST;Totalist Chairman;High;M6055;X
6215;Head of Government;Charles Lindbergh;1936;1964;1999;SC;Happy Amateur;Very High;M6020;X
6216;Head of Government;Gerald K. Smith;1936;1964;1999;PA;Political Protege;High;M6040;X
6217;Head of Government;Father Charles Coughlin;1936;1964;1999;FA;Spiritual Leader;High;M6013;X
6219;Minister of Armament;Huey Long;1936;1964;1999;FA;Resource Industrialist;High;kaiserreich hueylong;X
6220;Foreign Minister;Jack Reed;1936;1964;1999;LE;Ideological Crusader;High;kaiserreich JackReed;X
6221;Head of Military Intelligence;Norman Thomas;1936;1964;1999;SD;Logistics Specialist;Very High;M6021;X
6222;Foreign Minister;Max Shachtman;1936;1964;1999;LWR;Great Compromiser;High;kaiserreich maxschachtman;X
6223;Minister of Armament;Paul Mattick;1936;1964;1999;LE;Administrative Genius;High;kaiserreich paulmattick;X
6224;Minister of Security;William Z. Foster;1936;1964;1999;ST;Silent Lawyer;High;M6055;X
6226;Head of Military Intelligence;Gerald K. Smith;1936;1964;1999;PA;Political Specialist;High;M6040;X
6229;Head of State;Herbert Hoover;1936;1964;1999;ML;Unpopular President;High;kaiserreich herberthoover;X
6230;Head of Government;Charles Curtis;1936;1964;1999;ML;Backroom Backstabber;High;kaiserreich charlescurtis;X
6231;Minister of Armament;Roy D. Chapin;1936;1964;1999;ML;Laissez-Faire Capitalist;High;kaiserreich robertchapin;X
6232;Minister of Security;Ray L. Wilbur;1936;1964;1999;ML;Compassionate Gentleman;Very High;kaiserreich raylwilbur;X
6233;Chief of Staff;Patrick J. Hurley;1936;1964;1999;ML;School of Defence;High;kaiserreich patrickjhurley;X
6234;Chief of Navy;Charles F. Adams;1936;1964;1999;ML;Decisive Naval Battle Doctrine;High;kaiserreich CharlesFAdams;X
6235;Head of State;Charles Curtis;1936;1964;1999;ML;Pig-headed Isolationist;High;kaiserreich charlescurtis;X
6236;Head of State;John Nance Garner;1936;1964;1999;SL;Weary Stiffneck;High;M6002;X
6237;Chief of Air Force;Edward V. Rickenbacher;1936;1964;1999;ML;Air Superiority Doctrine;High;Kaiserreich Rickenbacher 2;X
6238;Minister of Security;Douglas MacArthur;1936;1964;1999;SC;Man of the People;High;L60250;X
6239;Head of State;Frank Knox;1936;1964;1999;ML;Insignificant Layman;High;M6048;X
6240;Minister of Armament;Alf M. Landon;1936;1964;1999;ML;Military Entrepreneur;High;M6035;X
6241;Head of Government;Thomas E. Dewey;1936;1964;1999;ML;Flamboyant Tough Guy;High;M6038;X
6242;Head of State;Douglas MacArthur;1936;1964;1999;SC;President In Uniform;High;L60250;X
6243;Head of State;Cordell Hull;1936;1964;1999;SL;Benevolent Gentleman;High;M6003;X
6244;Head of State;Robert Taft;1936;1964;1999;ML;Benevolent Gentleman;High;kai_usrobttft;X
6245;Foreign Minister;John Foster Dulles;1936;1964;1999;ML;Apologetic Clerk;High;kai_jhnfstdll;X
6246;Minister of Security;Allan Dulles;1936;1964;1999;SL;Crime Fighter;Very High;kai_alldlls;X
6247;Head of Government;Averell H. Harriman;1946;1964;1999;SL;Silent Workhorse;High;M6177;X
6248;Minister of Armament;Harry S. Truman;1944;1964;1999;SL;Laissez-Faire Capitalist;High;M6034;X
6249;Minister of Security;William J. Donovan;1940;1964;1999;ML;Crime Fighter;High;M6128;X
6250;Head of State;John Bricker;1944;1964;1999;ML;Die-hard Reformer;High;M6050;X
6251;Head of Government;Adlai Stevenson;1940;1964;1999;SL;Political Protege;High;kai_adlstvn;X
6252;Head of State;Alben W. Barkley;1945;1964;1999;SL;Die-hard Reformer;High;M6047;X
6253;Minister of Security;Henry Cabot Lodge;1944;1964;1999;ML;Crime Fighter;High;M6131;X
6254;Head of State;Averell H. Harriman;1946;1964;1999;SL;Benevolent Gentleman;High;M6177;X
6255;Head of State;Strom Thurmond;1945;1964;1999;ML;Benevolent Gentleman;High;M6051;X
6256;Head of State;Dwight D. Eisenhower;1938;1964;1999;PA;Resigned Generalissimo;High;M6137;X
6257;Head of Government;Dwight D. Eisenhower;1938;1964;1999;PA;Political Protege;High;M6137;X
