JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55617;Foreign Minister;Saito Hiroshi;1936;1939;1939;ML;Ideological Crusader;High;MJAPSaito2;X
55618;Foreign Minister;Ishii Itaro;1940;1954;1954;ML;Great Compromiser;High;MJAPIshii;X
55619;Foreign Minister;Matsudaira Tsuneo;1944;1949;1949;ML;The Cloak N Dagger Schemer;High;MJAPMatsudaira;X
55620;Foreign Minister;Ishibashi Tanzan;1945;1964;1999;ML;Apologetic Clerk;High;MJAPIshibashi2;X
55621;Minister of Armament;Machida Chuji;1936;1946;1946;ML;Laissez-Faire Capitalist;High;MJAPMachida2;X
55622;Minister of Armament;Sakurauchi Yukio;1936;1947;1947;ML;Resource Industrialist;High;MJAPSakurauchi;X
55623;Minister of Armament;Tawara Magoichi;1938;1944;1944;ML;Laissez-Faire Capitalist;High;MJAPTawara;X
55624;Minister of Armament;Miki Bukichi;1940;1956;1956;ML;Administrative Genius;High;MJAPMiki;X
55625;Minister of Armament;Kimura Kozaemon;1944;1952;1952;ML;Construction Magnate;High;MJAPKimura2;X
55626;Minister of Armament;Matsumura Kenzo;1945;1964;1999;ML;Resource Industrialist;High;MJAPMatsumura;X
55627;Minister of Armament;Ishibashi Tanzan;1947;1964;1999;ML;Keynesian Economy;High;MJAPIshibashi2;X
55628;Minister of Security;Koyama Shoju;1936;1959;1959;ML;Media Magnate;High;MJAPKoyama;X
55629;Minister of Security;Kawasaki Takukichi;1936;1946;1946;ML;Silent Lawyer;High;MJAPKawasaki2;X
55630;Minister of Security;Izawa Takio;1936;1949;1949;ML;Compassionate Gentleman;High;MJAPIzawa;X
55631;Minister of Security;Kawasaki Katsu;1938;1949;1949;ML;Man of the People;High;MJAPKawasaki;X
55632;Minister of Security;Sakurai Hyogoro;1940;1951;1951;ML;Silent Lawyer;High;MJAPSakurai;X
55633;Minister of Security;Kimura Kozaemon;1944;1952;1952;ML;Man of the People;High;MJAPKimura2;X
55634;Head of Military Intelligence;Machida Chuji;1936;1946;1946;ML;Technical Specialist;High;MJAPMachida2;X
55635;Head of Military Intelligence;Noda Bunichiro;1940;1960;1960;ML;Technical Specialist;High;MJAPNoda;X
55636;Head of Military Intelligence;Tsurumi Yusuke;1944;1964;1999;ML;Political Specialist;High;MJAPTsurumi;X
55637;Head of Military Intelligence;Ishibashi Tanzan;1945;1964;1999;ML;Industrial Specialist;High;MJAPIshibashi2;X
55638;Head of Government;Aso Hisashi;1936;1940;1940;ST;Totalist Chairman;High;MJAPAso;X #Totalist - Nichirokei, communist hardliners, pro-military socialists
55639;Foreign Minister;Tokuda Kyuichi;1936;1953;1953;ST;Iron Fisted Brute;High;MJAPTokuda2;X
55640;Minister of Armament;Asanuma Inejiro;1936;1964;1999;ST;Planned Economy Proponent;High;MJAPAsanuma2;X
55641;Minister of Security;Fukumoto Kazuo;1936;1964;1999;ST;Prince of Terror;High;MJAPFukumoto;X
55642;Head of Military Intelligence;Ozaki Hotsumi;1936;1964;1999;ST;Logistics Specialist;High;MJAPOzaki;X
55643;Chief of Staff;Kitahara Taisaku;1936;1964;1999;ST;School of Mass Combat;High;MJAPKitahara;X
55644;Chief of Army;Kitahara Taisaku;1936;1964;1999;ST;Guns and Butter Doctrine;High;MJAPKitahara;X
55645;Chief of Navy;Watanabe Masanosuke;1936;1964;1999;ST;Base Control Doctrine;High;MJAPWatanabe;X
55646;Chief of Air Force;Watanabe Masanosuke;1936;1964;1999;ST;Army Aviation Doctrine;High;MJAPWatanabe;X
55647;Head of Government;Kawakami Jotaro;1936;1964;1999;ST;Ambitious Union Boss;High;MJAPJotaro;x
55648;Foreign Minister;Akamatsu Katsumaro;1936;1955;1955;ST;The Cloak N Dagger Schemer;High;MJAPAkamatsu;X
55649;Foreign Minister;Fukumoto Kazuo;1936;1964;1999;ST;Ideological Crusader;High;MJAPFukumoto;X
55650;Minister of Armament;Kono Mitsu;1936;1964;1999;ST;Resource Industrialist;High;MJAPKonomi;X
55651;Minister of Armament;Sugiyama Motojiro;1936;1964;1999;ST;Military Entrepreneur;High;MJAPSugiyama;X
55652;Minister of Security;Sano Manabu;1936;1964;1999;ST;Back Stabber;High;MJAPSano;X
55653;Minister of Security;Hayama Yoshiki;1936;1964;1999;ST;Man of the People;High;MJAPHayama;X
55654;Head of Military Intelligence;Hakamada Satomi;1936;1964;1999;ST;Dismal Enigma;High;MJAPHakamada;X
55655;Head of Government;Oyama Ikuo;1936;1955;1955;LE;Ambitious Union Boss;High;MJAPOyama;X #Syndicalist - Left-wing labour union leaders
55656;Foreign Minister;Tanahashi Kotora;1936;1964;1999;LE;Great Compromiser;High;MJAPTanahashi;X
55657;Minister of Armament;Kato Kanju;1936;1964;1999;LE;Resource Industrialist;High;MJAPKato;X
55658;Minister of Security;Nishio Suehiro;1936;1964;1999;LE;Crime Fighter;High;MJAPNishio;X
55659;Head of Military Intelligence;Oyama Ikuo;1936;1955;1955;LE;Political Specialist;High;MJAPOyama;X
55660;Head of Government;Nosaka Sanzo;1936;1964;1999;LE;Backroom Backstabber;High;MJAPNosaka2;x
55661;Foreign Minister;Nosaka Sanzo;1936;1964;1999;LE;Ideological Crusader;High;MJAPNosaka2;X
55662;Foreign Minister;Yamamoto Kenzo;1936;1964;1999;LE;The Cloak N Dagger Schemer;High;MJAPYamamoto;X
55663;Minister of Armament;Yamada Moritaro;1936;1964;1999;LE;Theoretical Scientist;High;MJAPYamada;X
55664;Minister of Armament;Yamamoto Kenzo;1936;1964;1999;LE;Resource Industrialist;High;MJAPYamamoto;X
55665;Minister of Security;Kaji Yoshio;1936;1964;1999;LE;Man of the People;High;MJAPKaji;X
55666;Minister of Security;Yamamoto Senji;1936;1964;1999;LE;Crime Fighter;High;MJAPYamasen;X
55667;Head of Military Intelligence;Sadaichi Kenmotsu;1936;1964;1999;LE;Technical Specialist;High;MJAPSadaichi;X
55668;Head of Government;Yamakawa Hitoshi;1936;1958;1958;LWR;Flamboyant Tough Guy;High;MJAPYamakawa;X #Radical Socialist - Ronoha, moderate communists
55669;Foreign Minister;Suzuki Mosaburo;1936;1964;1999;LWR;Apologetic Clerk;High;MJAPSuzumo2;X
55670;Minister of Armament;Arahata Kanson;1936;1964;1999;LWR;Theoretical Scientist;High;MJAPArahata;X
55671;Minister of Security;Kuroda Hisao;1936;1964;1999;LWR;Man of the People;High;MJAPKuroda;X
55672;Head of Military Intelligence;Arisawa Hiromi;1936;1964;1999;LWR;Industrial Specialist;High;MJAPArisawa;X
55673;Head of Government;Suzuki Mosaburo;1936;1964;1999;LWR;Ambitious Union Boss;High;MJAPSuzumo2;x
55674;Foreign Minister;Sakisaka Itsuro;1936;1964;1999;LWR;Biased Intellectual;High;MJAPSakisaka;X
55675;Foreign Minister;Minobe Ryokichi;1936;1964;1999;LWR;Ideological Crusader;High;MJAPMinobe;X
55676;Minister of Armament;Ouchi Hyoe;1936;1964;1999;LWR;Administrative Genius;High;MJAPOuchi;X
55677;Minister of Armament;Tsushima Tadayuki;1936;1964;1999;LWR;Theoretical Scientist;High;MJAPTsushima;X
55678;Minister of Security;Miyamoto Kenji;1936;1964;1999;LWR;Man of the People;High;MJAPMiyamoto2;X
55679;Minister of Security;Minobe Ryokichi;1936;1964;1999;LWR;Silent Lawyer;High;MJAPMinobe;X
55680;Head of Military Intelligence;Komaki Omi;1936;1964;1999;LWR;Technical Specialist;High;MJAPKomaki;X
55681;Head of Government;Abe Iso;1936;1949;1949;SD;Naive Optimist;High;MJAPAbe;X #Social Democrat - Shaminkei socialists
55682;Foreign Minister;Katayama Tetsu;1936;1964;1999;SD;Ideological Crusader;High;MJAPKatayama2;X
55683;Minister of Armament;Mizutani Chozaburo;1936;1960;1960;SD;Resource Industrialist;High;MJAPMizutani;X
55684;Minister of Security;Matsuoka Komakichi;1936;1958;1958;SD;Compassionate Gentleman;High;MJAPMatsuoka;X
55685;Head of Military Intelligence;Suzuki Bunji;1936;1946;1946;SD;Political Specialist;High;MJAPSuzuki;X
55686;Head of Government;Katayama Tetsu;1937;1964;1999;SD;Happy Amateur;High;MJAPKatayama2;x
55687;Foreign Minister;Takano Iwasaburo;1936;1949;1949;SD;Biased Intellectual;High;MJAPTakano;X
55688;Foreign Minister;Suzuki Bunji;1936;1946;1946;SD;Great Compromiser;High;MJAPSuzuki;X
55689;Minister of Armament;Matsuoka Komakichi;1936;1958;1958;SD;Laissez-Faire Capitalist;High;MJAPMatsuoka;X
55690;Minister of Armament;Kagawa Toyohiko;1936;1960;1960;SD;Resource Industrialist;High;MJAPKagawa;X
55691;Minister of Security;Matsumoto Jiichiro;1936;1964;1999;SD;Man of the People;High;MJAPMatsumoto;X
55692;Minister of Security;Sunaga Ko;1936;1946;1946;SD;Crime Fighter;High;MJAPSunaga;X #Was Nichirokei
55693;Head of Military Intelligence;Tagawa Daikichiro;1936;1947;1947;SD;Technical Specialist;High;MJAPTagawa;X
55694;Head of Government;Konoe Fumimaro;1936;1964;1999;NS;Corporate Suit;High;MJAPKonoe;X #National Populist - Konoe and co.
55695;Foreign Minister;Shiratori Toshio;1936;1949;1949;NS;Iron Fisted Brute;High;MJAPShiratori;X
55696;Minister of Armament;Arima Yoriyasu;1936;1957;1957;NS;Infantry Proponent;High;MJAPArima;X
55697;Minister of Security;Goto Fumio;1936;1964;1999;NS;Prince of Terror;High;MJAPGoto2;X
55698;Head of Military Intelligence;Kazami Akira;1936;1961;1961;NS;Technical Specialist;High;MJAPKazami;X
55699;Head of Government;Kido Koichi;1936;1964;1999;NS;Political Protege;High;MJAPKido;x
55700;Foreign Minister;Murata Shozo;1936;1957;1957;NS;Great Compromiser;High;MJAPMurata;X
55701;Foreign Minister;Miyazaki Ryusuke;1941;1964;1999;NS;Apologetic Clerk;High;MJAPMiyazaki;X
55702;Minister of Armament;Ishiwata Sotaro;1936;1950;1950;NS;Resource Industrialist;High;MJAPIshiwata;X
55703;Minister of Armament;Yoshino Shinji;1936;1964;1999;NS;Administrative Genius;High;MJAPYoshino;X #vanilla picture is wrong
55704;Minister of Armament;Kaya Okinori;1939;1964;1999;NS;Laissez-Faire Capitalist;High;MJAPKaya;X
55705;Minister of Armament;Murata Shozo;1941;1957;1957;NS;Battle Fleet Proponent;High;MJAPMurata;X
55706;Minister of Security;Kawarada Kakichi;1936;1955;1955;NS;Man of the People;High;MJAPKawarada;X
55707;Minister of Security;Taki Masao;1937;1964;1999;NS;Silent Lawyer;High;MJAPTaki;X
55708;Minister of Security;Yasui Eiji;1941;1964;1999;NS;Health and Safety;High;MJAPYasui;X
55709;Head of Military Intelligence;Shiina Etsusaburo;1936;1964;1999;NS;Industrial Specialist;High;MJAPShiina;X
55710;Head of Government;Araki Sadao;1936;1964;1999;NS;Flamboyant Tough Guy;High;MJAPAraki;X #National Populist - Military
55711;Foreign Minister;Okawa Shumei;1936;1957;1957;NS;Ideological Crusader;High;MJAPOkawa;x
55712;Minister of Armament;Suzuki Teiichi;1936;1964;1999;NS;Military Entrepreneur;High;MJAPSuzuki3;x
55713;Minister of Security;Suetsugu Nobumasa;1936;1944;1944;NS;Crime Fighter;High;MJAPSuetsugu;x
55714;Head of Military Intelligence;Hashimoto Kingoro;1936;1957;1957;NS;Dismal Enigma;High;MJAPHashimoto;X
55715;Head of Government;Masaki Jinzaburo;1936;1956;1956;NS;Happy Amateur;High;MJAPMasaki;x
55716;Foreign Minister;Ishihara Koichiro;1936;1964;1999;NS;The Cloak N Dagger Schemer;High;MJAPIshihara;x
55717;Foreign Minister;Suzuki Teiichi;1936;1964;1999;NS;General Staffer;High;MJAPSuzuki3;x
55718;Minister of Armament;Kishi Nobusuke;1939;1964;1999;NS;Planned Economy Proponent;High;MJAPKishi2;X
55719;Minister of Armament;Hoshino Naoki;1940;1964;1999;NS;Resource Industrialist;High;MJAPHoshino;X
55720;Minister of Security;Yanagawa Heisuke;1936;1945;1945;NS;Prince of Terror;High;MJAPYanagawa;x
55721;Minister of Security;Tachibana Kozaburo;1936;1964;1999;NS;Man of the People;High;MJAPTachibana;X
55722;Head of Military Intelligence;Nishida Mitsugi;1936;1964;1999;NS;Political Specialist;High;MJAPNishida;X
55723;Head of Military Intelligence;Tokugawa Yoshichika;1936;1964;1999;NS;Dismal Enigma;High;MJAPTokugawa;x
55724;Head of Military Intelligence;Onodera Makoto;1940;1964;1999;NS;Logistics Specialist;High;MJAPOnodera;x
55725;Chief of Staff;Masaki Jinzaburo;1936;1956;1956;NS;School of Psychology;High;MJAPMasaki;X
55726;Chief of Army;Masaki Jinzaburo;1936;1956;1956;NS;Static Defence Doctrine;High;MJAPMasaki;X
55727;Chief of Navy;Suetsugu Nobumasa;1936;1944;1944;NS;Indirect Approach Doctrine;High;MJAPSuetsugu;X
55728;Chief of Air Force;Yamashita Tomoyuki;1936;1955;1955;NS;Carpet Bombing Doctrine;High;MJAPYamashita;X
55729;Head of Government;Kuhara Fusanosuke;1936;1964;1999;NS;Smiling Oilman;High;MJAPKuhara;x #National Populist - Politicians
55730;Foreign Minister;Matsuoka Yosuke;1936;1946;1946;NS;Iron Fisted Brute;High;MJAPMatsuoka2;X
55731;Minister of Armament;Ogawa Heikichi;1936;1942;1942;NS;Corrupt Kleptocrat;High;MJAPOgawa;x
55732;Minister of Security;Hirano Rikizo;1936;1964;1999;NS;Crooked Kleptocrat;High;MJAPHirano;X
55733;Head of Government;Matsuoka Yosuke;1941;1946;1946;NS;Flamboyant Tough Guy;High;MJAPMatsuoka;x
55734;Foreign Minister;Nakano Seigo;1936;1964;1999;NS;Biased Intellectual;High;MJAPNakano;X
55735;Minister of Armament;Tojo Tadashi;1941;1950;1950;NS;Laissez-Faire Capitalist;High;MJAPTojo2;x
55736;Minister of Armament;Tsukumo Kunitoshi;1942;1964;1999;NS;Resource Industrialist;High;MJAPTsukumo;x
55737;Minister of Security;Okada Tadahiko;1936;1958;1958;NS;Back Stabber;High;MJAPOkada;x
55738;Head of Government;Hiranuma Kiichiro;1936;1952;1952;FA;Backroom Backstabber;High;MJAPHiranuma2;x #Paternal Autocrat - Politicians and bureaucrats
55739;Foreign Minister;Honda Kumataro;1936;1948;1948;FA;Iron Fisted Brute;High;MJAPHonda;x
55740;Minister of Armament;Shoda Kazue;1936;1948;1948;FA;Laissez-Faire Capitalist;High;MJAPShoda;x
55741;Minister of Security;Tanabe Harumichi;1936;1950;1950;FA;Crooked Kleptocrat;High;MJAPTanabe;x
55742;Head of Military Intelligence;Ota Kozo;1936;1964;1999;FA;Technical Specialist;High;MJAPOta;x
55743;Head of Government;Shoda Kazue;1937;1948;1948;FA;Naive Optimist;High;MJAPShoda;x
55744;Foreign Minister;Yamamoto Kumaichi;1940;1963;1963;FA;Ideological Crusader;High;MJAPYamamoto2;x
55745;Minister of Armament;Aoki Kazuo;1939;1964;1999;FA;Planned Economy Proponent;High;MJAPAoki;x
55746;Minister of Armament;Yoshida  Shigeru;1940;1954;1954;FA;Military Entrepreneur;High;MJAPYoshida;x
55747;Minister of Armament;Kobayashi Ichizo;1936;1957;1957;FA;Resource Industrialist;High;MJAPKobayashi;x
55748;Minister of Security;Shiono Suehiko;1936;1949;1949;FA;Efficient Sociopath;High;MJAPShiono;x
55749;Minister of Security;Abe Genki;1936;1964;1999;FA;Secret Police Chief;High;MJAPAbe2;x
55750;Minister of Security;Yuzawa Michio;1936;1963;1963;FA;Man of the People;High;MJAPYuzawa;x
55751;Minister of Security;Yamazaki Iwao;1942;1964;1999;FA;Prince of Terror;High;MJAPYamazaki2;x
55752;Head of Military Intelligence;Yamazaki Iwao;1936;1964;1999;FA;Industrial Specialist;High;MJAPYamazaki2;x
55753;Head of Government;Hayashi Senjuro;1936;1964;1999;FA;Old General;High;MJAPHayashi2;x #Paternal Autocrat - Military
55754;Foreign Minister;Tatekawa Yoshitsugu;1936;1945;1945;FA;General Staffer;High;MJAPTatekawa;x
55755;Minister of Armament;Godo Takuo;1936;1956;1956;FA;Steel Magnate;High;MJAPGodo;x
55756;Minister of Security;Fujie Keisuke;1936;1964;1999;FA;Prince of Terror;High;M5115;x
55757;Head of Military Intelligence;Iwakuro Hideo;1936;1964;1999;FA;Dismal Enigma;High;MJAPIwakuro;x
55758;Chief of Staff;Koiso Kuniaki;1936;1950;1950;FA;School of Defence;High;MJAPKoiso;x
55759;Chief of Army;Koiso Kuniaki;1936;1950;1950;FA;Guns and Butter Doctrine;High;MJAPKoiso;x
55760;Chief of Navy;Yamamoto Eisuke;1936;1941;1941;FA;Decisive Naval Battle Doctrine;High;MJAPYamasuke;x
55761;Chief of Air Force;Doihara Kenji;1936;1953;1953;FA;Army Aviation Doctrine;High;MJAPDoihara;x
55762;Head of Government;Tojo Hideki;1941;1964;1999;FA;Old General;High;MJAPTojo;x
55763;Head of Government;Nagata Tetsuzan;1941;1964;1999;FA;Old General;High;MJAPNagata;X
55764;Foreign Minister;Komai Tokuzo;1937;1961;1961;FA;The Cloak N Dagger Schemer;High;MJAPKomai;x
55765;Foreign Minister;Tojo Hideki;1942;1964;1999;FA;General Staffer;High;MJAPTojo;X
55766;Minister of Armament;Terauchi Hisaichi;1936;1946;1946;FA;Tank Proponent;High;MJAPTerauchi;x
55767;Minister of Armament;Tojo Hideki;1940;1964;1999;FA;Infantry Proponent;High;MJAPTojo;x
55768;Minister of Armament;Onishi Takijiro;1941;1964;1999;FA;Air to Sea Proponent;High;MJAPOnishi;x
55769;Minister of Armament;Akinaga Tsukizo;1942;1949;1949;FA;Military Entrepreneur;High;MJAPAkinaga;x
55770;Minister of Security;Nakajima Kesago;1937;1945;1945;FA;Man of the People;High;MJAPNakajima;x
55771;Minister of Security;Hirabayashi Morito;1939;1964;1999;FA;Compassionate Gentleman;High;MJAPHirabayashi;x
55772;Minister of Security;Teshima Fusataro;1940;1964;1999;FA;Prince of Terror;High;MJAPTeshima;x
55773;Minister of Security;Nakamura Aketo;1941;1964;1999;FA;Crime Fighter;High;MJAPNakamura;x
55774;Minister of Security;Tojo Hideki;1942;1964;1999;FA;Prince of Terror;High;MJAPTojo;x
55775;Minister of Security;Kato Hakujiro;1943;1951;1951;FA;Man of the People;High;M5124;x
55776;Minister of Security;Iimura Jo;1945;1964;1999;FA;Crime Fighter;High;MJAPIimura;x
55777;Head of Military Intelligence;Tanaka Ryukichi;1936;1964;1999;FA;Political Specialist;High;MJAPTanaka2;x
55778;Chief of Staff;Tojo Hideki;1941;1954;1954;FA;School of Psychology;High;MJAPTojo;x
55779;Chief of Army;Tojo Hideki;1941;1954;1954;FA;Elastic Defence Doctrine;High;MJAPTojo;x
55780;Head of Government;Nakajima Chikuhei;1936;1949;1949;PA;Old Airmarshal;High;MJAPNakajima2;x #Authoritarian Democrat - Pro-military politicians and bureaucrats
55781;Foreign Minister;Ogawa Gotaro;1936;1945;1945;PA;Iron Fisted Brute;High;MJAPOgawa2;x
55782;Minister of Armament;Maeda Yonezo;1936;1954;1954;PA;Resource Industrialist;High;MJAPMaeda;x
55783;Minister of Security;Adachi Kenzo;1936;1948;1948;PA;Man of the People;High;MJAPAdachi;x
55784;Head of Military Intelligence;Kawashima Shojiro;1936;1964;1999;PA;Industrial Specialist;High;MJAPKawashima;x
55785;Head of Government;Adachi Kenzo;1936;1948;1948;PA;Flamboyant Tough Guy;High;MJAPAdachi;x
55786;Foreign Minister;Arita Hachiro;1938;1964;1999;PA;Ideological Crusader;High;MJAPArita;x
55787;Foreign Minister;Horikiri Zenbee;1940;1946;1946;PA;Ideological Crusader;High;MJAPHorikiri;x
55788;Foreign Minister;Shimada Toshio;1940;1947;1947;PA;The Cloak N Dagger Schemer;High;MJAPShimada;x
55789;Minister of Armament;Ogawa Gotaro;1936;1945;1945;PA;laissez-faire capitalist;High;MJAPOgawa2;x
55790;Minister of Armament;Nakajima Chikuhei;1936;1949;1949;PA;Strategic Air Proponent;High;MJAPNakajima2;x
55791;Minister of Armament;Uchida Nobuya;1936;1964;1999;PA;Battle Fleet Proponent;High;MJAPUchida;x
55792;Minister of Armament;Miyoshi Hideyuki;1938;1956;1956;PA;Tank Proponent;High;MJAPMiyoshi;x
55793;Minister of Armament;Katsu Masanori;1938;1957;1957;PA;laissez-faire capitalist;High;MJAPKatsu;x
55794;Minister of Armament;Horikiri Zenbee;1939;1946;1946;PA;Military Entrepreneur;High;MJAPHorikiri;x
55795;Minister of Armament;Tsutsumi Yasujiro;1940;1964;1999;PA;laissez-faire capitalist;High;MJAPTsutsumi;x
55796;Minister of Armament;Inoue Tadashiro;1945;1959;1959;PA;Theoretical Scientist;High;MJAPInotada;x
55797;Minister of Armament;Ogasawara Sankuro;1946;1964;1999;PA;bank president;High;MJAPOgasawara;x
55798;Minister of Security;Nagai Ryutaro;1936;1944;1944;PA;Prince of Terror;High;MJAPNagai;x
55799;Minister of Security;Kanemitsu Tsuneo;1936;1955;1955;PA;Health and Safety;High;MJAPKanemitsu;x
55800;Minister of Security;Mochizuki Keisuke;1936;1941;1941;PA;Efficient Sociopath;High;MJAPMochizuki;x
55801;Minister of Security;Akita Kiyoshi;1936;1944;1944;PA;Media Magnate;High;MJAPAkita;x
55802;Minister of Security;Yamazaki Tatsunosuke;1938;1948;1948;PA;Compassionate Gentleman;High;MJAPYamazaki;x
55803;Minister of Security;Tago Kazutami;1939;1963;1963;PA;Compassionate Gentleman;High;MJAPTago;x
55804;Minister of Security;Oasa Tadao;1940;1957;1957;PA;Crime Fighter;High;MJAPOoasa;x
55805;Minister of Security;Horikiri Zenjiro;1945;1964;1999;PA;Crime Fighter;High;MJAPHorikiri2;x
55806;Head of Military Intelligence;Ogata Taketora;1936;1956;1956;PA;Political Specialist;High;MJAPOgata;x
55807;Head of Military Intelligence;Noda Takeo;1940;1964;1999;PA;Political Specialist;High;MJAPNodake;x
55808;Head of Military Intelligence;Inoue Tadashiro;1942;1959;1959;PA;Technical Specialist;High;MJAPInotada;x
55809;Head of Military Intelligence;Shimomura Hiroshi;1945;1957;1957;PA;Dismal Enigma;High;MJAPShimomura;x
55810;Head of Military Intelligence;Horikiri Zenjiro;1945;1964;1999;PA;Logistics Specialist;High;MJAPHorikiri2;x
55811;Head of Government;Suzuki Kisaburo;1936;1937;1937;SC;Happy Amateur;High;MJAPSuzuki2;x #Social Conservative - Rikken Seiyukai
55812;Foreign Minister;Yoshida Shigeru;1936;1964;1999;SC;Iron Fisted Brute;High;MJAPYoshida2;x
55813;Minister of Armament;Matsuno Tsuruhei;1936;1962;1962;SC;Resource Industrialist;High;MJAPMatsuno;x
55814;Minister of Security;Kawamura Takeji;1936;1955;1955;SC;Compassionate Gentleman;High;MJAPKawamura;x
55815;Head of Military Intelligence;Hatoyama Ichiro;1936;1959;1959;SC;Dismal Enigma;High;MJAPHatoyama;x
55816;Head of Government;Mizuno Rentaro;1936;1949;1949;SC;Happy Amateur;High;MJAPMizuno;x
55817;Foreign Minister;Uehara Etsujiro;1940;1962;1962;SC;Biased Intellectual;High;MJAPUehara;x
55818;Foreign Minister;Ashida Hitoshi;1942;1959;1959;SC;Ideological Crusader;High;MJAPAshida2;x
55819;Foreign Minister;Horinouchi Kensuke;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;MJAPHorinouchi;x
55820;Minister of Armament;Oguchi Kiroku;1936;1957;1957;SC;Theoretical Scientist;High;MJAPOguchi;x
55821;Minister of Armament;Yuki Toyotaro;1938;1951;1951;SC;Bank President;High;MJAPYuki;x
55822;Minister of Armament;Ikeda Shigeaki;1940;1950;1950;SC;Laissez-Faire Capitalist;High;MJAPIkeda2;x
55823;Minister of Armament;Hoshijima Niro;1944;1964;1999;SC;Resource Industrialist;High;MJAPHoshijima2;x
55824;Minister of Armament;Tsushima Juichi;1945;1964;1999;SC;Bank President;High;MJAPTsushima2;x
55825;Minister of Armament;Hirose Toyosaku;1945;1964;1999;SC;Laissez-Faire Capitalist;High;MJAPHirose;x
55826;Minister of Security;Matsuno Tsuruhei;1936;1962;1962;SC;Crime Fighter;High;MJAPMatsuno;x
55827;Minister of Security;Hatoyama Ichiro;1940;1959;1959;SC;Prince of Terror;High;MJAPHatoyama;x
55828;Minister of Security;Ando Masazumi;1942;1955;1955;SC;Compassionate Gentleman;High;MJAPAndo;x
55829;Minister of Security;Hayashi Joji;1945;1960;1960;SC;Silent Lawyer;High;MJAPHayashi;x
55830;Minister of Security;Inukai Takeru;1947;1964;1999;SC;Back Stabber;High;MJAPInukai;x
55831;Head of Military Intelligence;Izumiyama Sanroku;1937;1964;1999;SC;Technical Specialist;High;MJAPIzumiyama;x
55832;Head of Military Intelligence;Uehara Etsujiro;1940;1962;1962;SC;Industrial Specialist;High;MJAPUehara;x
55833;Head of Military Intelligence;Kono Ichiro;1944;1964;1999;SC;Dismal Enigma;High;MJAPKono;x
55834;Head of Military Intelligence;Inukai Takeru;1944;1964;1999;SC;Political Specialist;High;MJAPInukai;x
55835;Head of Military Intelligence;Tatsumi Eiichi;1946;1964;1999;SC;Logistics Specialist;High;MJAPTatsumi;x
55836;Foreign Minister;Sato Naotake;1937;1964;1999;ML;The Cloak N Dagger Schemer;High;MJAPSato2;x #Vanila leftovers
55837;Foreign Minister;Okada Keisuke;1938;1952;1952;PA;Iron Fisted Brute;High;MJAPOkada2;x
55838;Foreign Minister;Konoe Fumimaro;1938;1964;1999;NS;Apologetic Clerk;High;MJAPKonoe;x
55839;Foreign Minister;Abe Nobuyuki;1939;1953;1953;PA;Apologetic Clerk;High;MJAPAbe3;x
55840;Foreign Minister;Shigemitsu Mamoru;1941;1957;1957;SC;Great Compromiser;High;MJAPShigemitsu;x
55841;Foreign Minister;Togo Shigenori;1941;1950;1950;SC;Biased Intellectual;High;MJAPTogo;x
