LIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
69054;Foreign Minister;Momolu Dukuly;1936;1964;1999;PA;General Staffer;Low;LIB_momolu_dukuly;X
69055;Minister of Armament;Solomon Carter Fuller;1936;1964;1999;PA;Military Entrepreneur;Medium;LIB_solomon_carter_fuller;X
69056;Minister of Armament;Momolu Dukuly;1936;1964;1999;PA;Laissez-Faire Capitalist;Medium;LIB_momolu_dukuly;X
69057;Minister of Armament;Joseph Rudolph Grimes;1945;1964;1999;PA;Theoretical Scientist;Medium;M69005;X
69058;Minister of Armament;Louis Arthur Grimes;1936;1964;1999;PA;Administrative Genius;Low;LIB_louis_arthur_grimes;X
69059;Minister of Armament;Henry W. Grimes;1940;1964;1999;PA;Resource Industrialist;Very High;unknown;X
69060;Minister of Security;William Wadé Harris;1936;1964;1999;PA;Man of the People;Medium;LIB_william_wade_harris;X
69061;Minister of Security;Joseph Rudolph Grimes;1945;1964;1999;PA;Crooked Kleptocrat;Medium;M69005;X
69062;Minister of Security;Al-Haj Massaquoi;1936;1964;1999;PA;Crime Fighter;Low;LIB_alhaj_massaquoi;X
69063;Head of Military Intelligence;William Wadé Harris;1936;1964;1999;PA;Political Specialist;Medium;LIB_william_wade_harris;X
69064;Head of Military Intelligence;Momolu Dukuly;1936;1964;1999;PA;Logistics Specialist;Very High;LIB_momolu_dukuly;X
69065;Head of Military Intelligence;Henry W. Grimes;1940;1964;1999;PA;Industrial Specialist;Very High;unknown;X
69066;Chief of Staff;Momolu Dukuly;1936;1964;1999;PA;School of Defence;Medium;LIB_momolu_dukuly;X
69067;Chief of Staff;Solomon Carter Fuller;1936;1964;1999;PA;School of Manoeuvre;Medium;LIB_solomon_carter_fuller;X
69068;Chief of Army;Momolu Dukuly;1936;1964;1999;PA;Static Defence Doctrine;Medium;LIB_momolu_dukuly;X
69069;Chief of Army;Solomon Carter Fuller;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;LIB_solomon_carter_fuller;X
69070;Head of State;Clarence Lorenzo Simpson;1936;1964;1999;ML;Popular Figurehead;Medium;M69003;X
69071;Head of State;William Oliver Davies-Bright;1936;1964;1999;ML;Popular Figurehead;Medium;unknown;X
69072;Head of Government;Clarence Lorenzo Simpson;1936;1964;1999;ML;Corporate Suit;Medium;M69003;X
69073;Head of Government;William Oliver Davies-Bright;1936;1964;1999;ML;Corporate Suit;Medium;unknown;X
69074;Foreign Minister;Clarence Lorenzo Simpson;1936;1964;1999;ML;Ideological Crusader;Medium;M69003;X
69075;Foreign Minister;J. Max Bond, Sr.;1936;1964;1999;ML;Biased Intellectual;Medium;unknown;X
69076;Foreign Minister;Isaac Moart;1936;1964;1999;ML;General Staffer;Very High;unknown;X
69077;Minister of Armament;Isaac Moart;1936;1964;1999;ML;Military Entrepreneur;Medium;unknown;X
69078;Minister of Armament;Nete Sie Brownell;1936;1964;1999;ML;Laissez-Faire Capitalist;Medium;unknown;X
69079;Minister of Armament;J. Max Bond, Sr.;1936;1964;1999;ML;Theoretical Scientist;Medium;unknown;X
69080;Minister of Armament;Clarence Lorenzo Simpson;1936;1964;1999;ML;Administrative Genius;Medium;M69003;X
69081;Minister of Armament;William Oliver Davies-Bright;1936;1964;1999;ML;Resource Industrialist;Medium;unknown;X
69082;Minister of Security;Samuel David Coleman;1936;1964;1999;ML;Man of the People;Medium;unknown;X
69083;Minister of Security;Joseph Dennis;1936;1964;1999;ML;Crooked Kleptocrat;Very High;unknown;X
69084;Minister of Security;Nete Sie Brownell;1936;1964;1999;ML;Crime Fighter;Medium;unknown;X
69085;Head of Military Intelligence;Samuel David Coleman;1936;1964;1999;ML;Political Specialist;Medium;unknown;X
69086;Head of Military Intelligence;Isaac Moart;1936;1964;1999;ML;Logistics Specialist;Very High;unknown;X
69087;Head of Military Intelligence;William Oliver Davies-Bright;1936;1964;1999;ML;Industrial Specialist;Medium;unknown;X
69088;Chief of Staff;Isaac Moart;1936;1964;1999;ML;School of Defence;Very High;unknown;X
69089;Chief of Staff;Joseph Dennis;1936;1964;1999;ML;School of Manoeuvre;Very High;unknown;X
69090;Chief of Army;Isaac Moart;1936;1964;1999;ML;Static Defence Doctrine;Very High;unknown;X
69091;Chief of Army;Joseph Dennis;1936;1964;1999;ML;Elastic Defence Doctrine;Very High;unknown;X
69092;Head of State;Anthony Dash Wilson;1936;1964;1999;SL;Weary Stiffneck;Low;LIB_anthony_dash_wilson;X
69093;Head of Government;Anthony Dash Wilson;1936;1964;1999;SL;Happy Amateur;Low;LIB_anthony_dash_wilson;X
69094;Foreign Minister;Cornelius Bosman van Oudkarspel;1936;1964;1999;SL;Apologetic Clerk;Very High;unknown;X
69095;Foreign Minister;Fretus Africanus Russell;1937;1964;1999;SL;The Cloak N Dagger Schemer;Very High;unknown;X
69096;Foreign Minister;Charles Dunbar Burgess King;1936;1964;1999;SL;Great Compromiser;Very High;CharlesDunbarBurgessKing;X
69097;Foreign Minister;McKinley Alfred DeShield;1936;1964;1999;SL;Iron Fisted Brute;Medium;M69042;X
69098;Minister of Armament;George Toe Washington;1936;1964;1999;SL;Tank Proponent;Very High;GeorgeTWashington;X
69101;Minister of Armament;Thomas Nimene Botoe;1936;1964;1999;SL;Strategic Air Proponent;Very High;ThomasNimeneBotoe;X
69102;Minister of Armament;Joseph Nargba Cooper;1938;1964;1999;SL;Battle Fleet Proponent;Very High;unknown;X
69103;Minister of Armament;McKinley Alfred DeShield;1936;1964;1999;SL;Corrupt Kleptocrat;Medium;M69042;X
69104;Minister of Armament;Francis M. Dean;1936;1964;1999;SL;Submarine Proponent;Very High;unknown;X
69105;Minister of Armament;Daniel B. Warner;1936;1964;1999;SL;Air to Ground Proponent;Very High;DanielBWarner;X
69106;Minister of Armament;Harry A. Greaves Sr;1945;1964;1999;SL;Air to Sea Proponent;Very High;HarryAGreavesSr;X
69107;Minister of Security;Fretus Africanus Russell;1937;1964;1999;SL;Efficient Sociopath;Medium;unknown;X
69108;Minister of Security;McKinley Alfred DeShield;1936;1964;1999;SL;Prince of Terror;Medium;M69042;X
69109;Minister of Security;Charles Dunbar Burgess King;1936;1964;1999;SL;Silent Lawyer;Very High;CharlesDunbarBurgessKing;X
69110;Minister of Security;Cornelius Bosman van Oudkarspel;1936;1964;1999;SL;Compassionate Gentleman;Medium;unknown;X
69111;Minister of Security;Anthony Dash Wilson;1936;1964;1999;SL;Back Stabber;Medium;LIB_anthony_dash_wilson;X
69112;Head of Military Intelligence;Fretus Africanus Russell;1937;1964;1999;SL;Technical Specialist;Medium;unknown;X
69113;Head of Military Intelligence;Cornelius Bosman van Oudkarspel;1936;1964;1999;SL;Dismal Enigma;Medium;unknown;X
69114;Head of Military Intelligence;Sam Johnson;1936;1964;1999;SL;Naval Intelligence Specialist;Very High;SamJohnson;X
69116;Chief of Staff;George Toe Washington;1936;1964;1999;SL;School of Fire Support;Very High;GeorgeTWashington;X
69117;Chief of Staff;Daniel B. Warner;1936;1964;1999;SL;School of Psychology;Very High;DanielBWarner;X
69119;Chief of Army;George Toe Washington;1936;1964;1999;SL;Armoured Spearhead Doctrine;Very High;GeorgeTWashington;X
69120;Chief of Army;Daniel B. Warner;1936;1964;1999;SL;Guns and Butter Doctrine;Very High;DanielBWarner;X
69121;Chief of Navy;Francis M. Dean;1936;1964;1999;SL;Indirect Approach Doctrine;Very High;unknown;X
69122;Chief of Navy;Leroy Gibson, Sr.;1936;1964;1999;SL;Base Control Doctrine;Very High;LeroyGibsonSr;X
69123;Chief of Navy;Joseph Nargba Cooper;1938;1964;1999;SL;Decisive Naval Battle Doctrine;Very High;unknown;X
69124;Chief of Navy;Sam Johnson;1936;1964;1999;SL;Open Seas Doctrine;Very High;SamJohnson;X
69125;Chief of Navy;Harry A. Greaves Sr;1945;1964;1999;SL;Power Projection Doctrine;Very High;HarryAGreavesSr;X
69126;Chief of Air Force;Daniel B. Warner;1936;1964;1999;SL;Army Aviation Doctrine;Very High;DanielBWarner;X
69127;Chief of Air Force;Harry A. Greaves Sr;1945;1964;1999;SL;Naval Aviation Doctrine;Very High;HarryAGreavesSr;X
69129;Chief of Air Force;Thomas Nimene Botoe;1936;1964;1999;SL;Carpet Bombing Doctrine;Very High;ThomasNimeneBotoe;X
69130;Chief of Air Force;Leroy Gibson, Sr.;1936;1964;1999;SL;Vertical Envelopment Doctrine;Very High;LeroyGibsonSr;X
69131;Head of State;Albert Porte;1936;1964;1999;LWR;Benevolent Gentleman;High;M69033;X
69132;Head of Government;Albert Porte;1936;1964;1999;LWR;Ambitious Union Boss;High;M69033;X
69133;Foreign Minister;Albert Porte;1936;1964;1999;LWR;Great Compromiser;Medium;M69033;X
