LEB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
529045;Minister of Security;Slimane Naoufai;1945;1964;1999;SC;Efficient Sociopath;Medium;M529045;x
529046;Minister of Security;Ayoub Thabet;1936;1964;1999;PA;Compassionate Gentleman;Medium;M529002;x
529047;Head of Military Intelligence;Batriark al-Amoushi;1940;1964;1999;SL;Dismal Enigma;Medium;M529047;x
529048;Head of Military Intelligence;Fadi Ibrahim;1945;1964;1999;SL;Political Specialist;Medium;M529048;x
529049;Head of Military Intelligence;Ayoub Thabet;1936;1964;1999;SC;Industrial Specialist;Medium;M529002;x
529050;Head of Military Intelligence;Slimane Naoufai;1943;1964;1999;SC;Logistics Specialist;Medium;M529045;x
529051;Head of Military Intelligence;Saader al-Munla;1936;1964;1999;PA;Dismal Enigma;Medium;M529012;x
529052;Chief of Staff;Antoine Harb;1944;1964;1999;SL;School of Mass Combat;Medium;M529052;x
529053;Chief of Staff;Iskander Ghanem;1940;1964;1999;SC;School of Defence;Medium;M529053;x
529054;Chief of Staff;Nicolas Rouminatzoff;1936;1964;1999;PA;School of Psychology;Medium;M529054;x
529055;Chief of Army;Jamil Lahoud;1944;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M529055;x
529056;Chief of Army;Fouad Chehab;1940;1964;1999;SC;Guns and Butter Doctrine;Medium;M529056;x
529057;Chief of Army;Rashrash Azzam;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;M529057;x
529059;Chief of Navy;Nabil Jad;1943;1964;1999;SC;Open Seas Doctrine;Medium;M529059;x
529060;Chief of Navy;Abdallah Aref al-Yafi;1940;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M529003;x
529061;Chief of Air Force;Slimane Naoufai;1944;1964;1999;SL;Air Superiority Doctrine;Medium;M529045;x
529063;Chief of Air Force;Petro Trad;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M529022;x
529067;Foreign Minister;Hamid Faranjiyya;1938;1964;1999;PA;Iron Fisted Brute;Medium;M529067;x
529068;Minister of Armament;Kamil Sham'un;1938;1964;1999;PA;laissez-faire capitalist;Medium;M529068;x
529069;Head of Military Intelligence;Ahmad al-Husayni;1938;1964;1999;PA;Dismal Enigma;Medium;M529069;x
529070;Head of State;Camille Chamoun;1952;1964;1999;SC;Powerhungry Demagogue;High;M529070;x
529071;Head of Government;Hassan al-Oweini;1951;1964;1999;SC;Happy Amateur;High;M529071;x
529072;Head of Government;Nazim al-Akkari;1952;1964;1999;SC;Smiling Oilman;High;M529072;x
529073;Head of Government;Saeb Sallam;1952;1964;1999;ML;Naive Optimist;High;M529073;x
529074;Foreign Minister;Fouad Chehab;1950;1964;1999;SC;General Staffer;High;M529056;x
