PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
50060;Minister of Security;Teofilo Sison;1941;1964;1999;SC;Compassionate Gentleman;Medium;M50060;X
50061;Minister of Security;Jose P. Laurel;1941;1964;1999;SC;Silent Lawyer;Medium;M50061;X
50062;Minister of Security;José M.Crisol;1942;1964;1999;SD;Crooked Kleptocrat;Low;M50062;X
50064;Minister of Security;Alberto Ramos;1944;1964;1999;SL;Silent Lawyer;Medium;M50064;X
50065;Minister of Security;Serafin Fausto;1945;1964;1999;SC;Silent Lawyer;Medium;M50051;X
50066;Minister of Security;José G. Lukban;1945;1964;1999;SC;Efficient Sociopath;Medium;M50066;X
50067;Minister of Security;Ramon Quisumbing;1945;1964;1999;SL;Man of the People;Medium;M50067;X
50068;Chief of Staff;Basilio J. Valdez;1939;1964;1999;SC;School of Defence;Low;M50017;X
50069;Chief of Staff;Augusto Jurado;1944;1964;1999;SL;School of Mass Combat;Medium;M50069;X
50070;Chief of Staff;Quirinto P. Evangelista;1945;1964;1999;SL;School of Manoeuvre;High;M50070;X
50072;Chief of Army;Benito N. Ebuen;1937;1964;1999;SL;Decisive Battle Doctrine;High;M50006;X
50073;Chief of Army;Vicente P. Lim;1939;1964;1999;SL;Elastic Defence Doctrine;Medium;M50073;X
50074;Chief of Army;Heraclio Alano;1944;1964;1999;SL;Armoured Spearhead Doctrine;High;M50074;X
50075;Chief of Army;Mateo M. Capinpin;1945;1964;1999;SL;Guns and Butter Doctrine;Medium;M50075;X
50076;Chief of Army;Rafael Jalandoni;1946;1964;1999;SL;Guns and Butter Doctrine;Medium;M50076;X
50077;Head of Military Intelligence;James Wilson;1936;1964;1999;SL;Naval Intelligence Specialist;High;M50077;X
50078;Head of Military Intelligence;Leslie Ailen Wheeler;1938;1964;1999;SL;Technical Specialist;High;M50078;X
50079;Head of Military Intelligence;Fidel Segundo;1939;1964;1999;SL;Logistics Specialist;High;M50079;X
50080;Head of Military Intelligence;Benigno Ramos;1942;1964;1999;SL;Political Specialist;Very Low;M50016;X
50081;Head of Military Intelligence;John Gilbert Winant;1943;1964;1999;SL;Industrial Specialist;Medium;M50081;X
50082;Chief of Navy;Eustacio Orobia;1938;1964;1999;SC;Indirect Approach Doctrine;Very Low;M50019;X
50083;Chief of Navy;Jose V. Andrada;1938;1964;1999;SL;Open Seas Doctrine;Low;M50083;X
50084;Chief of Navy;Ramon A. Alcaraz;1942;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M50084;X
50085;Chief of Air Force;Basilio Fernando;1940;1964;1999;SL;Army Aviation Doctrine;High;M50085;X
50086;Chief of Air Force;Edwin Andrews;1944;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M50086;X
50087;Chief of Air Force;Victor H. Dizon;1946;1964;1999;SC;Naval Aviation Doctrine;High;M50087;X
50088;Head of Government;Manuel Roxas;1945;1964;1999;SL;Old General;High;M50035;X
50089;Minister of Security;Guillermo Capadocia;1936;1964;1999;LE;Efficient Sociopath;Medium;PHI_guillermo_capadocia;X
50090;Head of Military Intelligence;Guillermo Capadocia;1936;1964;1999;LE;Political Specialist;Medium;PHI_guillermo_capadocia;X
50091;Minister of Armament;Herminegildo Cruz;1936;1964;1999;LE;Administrative Genius;Medium;PHI_herminegildo_cruz;X
50092;Head of State;Basilio J. Valdez;1936;1964;1999;PA;Resigned Generalissimo;Medium;M50017;X
50093;Head of Government;Basilio J. Valdez;1936;1964;1999;PA;Flamboyant Tough Guy;Medium;M50017;X
