URO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
84024;Minister of Armament;Guido Giacometti;1921;1969;1999;SD;Mixed Economy;High;MGuido_Giacometti;X
84025;Head of Government;Giuseppe Zampieri;1948;1970;1999;SL;Silent Workhorse;High;MGiuseppe_Zampieri;X
84026;Minister of Security;Giuseppe Zampieri;1929;1970;1999;SL;Silent Lawyer;High;MGiuseppe_Zampieri;X
84027;Head of Government;Francesco Giusti del Giardino;1927;1946;1999;SC;Old General;High;MFrancesco_Giusti_del_Giardino;X
84028;Minister of Armament;Francesco Giusti del Giardino;1927;1946;1999;SC;Military Entrepreneur;High;MFrancesco_Giusti_del_Giardino;X
84029;Head of Government;Celeste Bastianetto;1940;1960;1999;SC;Pragmatic Statesman;High;MCeleste_Bastianetto;X
84030;Foreign Minister;Celeste Bastianetto;1940;1960;1999;SC;Great Compromiser;High;MCeleste_Bastianetto;X
84031;Head of Government;Giacomo Camillo De Carlo;1936;1968;1999;SC;Old Airmarshal;High;MGiacomo_Camillo_DeCarlo;X
84032;Head of Government;Icilio Bacci;1934;1954;1999;PA;Happy Amateur;High;MIcilio_Bacci;X
84033;Minister of Security;Icilio Bacci;1934;1954;1999;PA;Efficient Sociopath;High;MIcilio_Bacci;X
84034;Foreign Minister;Raffaele Cantoni;1936;1970;1999;LWR;Biased Intellectual;High;MRaffaele_Cantoni;X
84035;Foreign Minister;Vitale Giovanni Gallina;1936;1961;1999;ML;The Cloak N Dagger Schemer;High;MVitale_Giovanni_Gallina;X
84036;Foreign Minister;Antonio Ferrarese;1936;1960;1999;SC;The Cloak N Dagger Schemer;High;MAntonio_Ferrarese;X
84037;Foreign Minister;Ferruccio Stefenelli;1928;1970;1999;SC;Ideological Crusader;High;MFerruccio_Stefenelli;X
84038;Foreign Minister;Pietro Lizier;1945;1970;1999;SC;Apologetic Clerk;High;MPietro_Lizier;X
84039;Minister of Security;Pietro Lizier;1945;1970;1999;SC;Media Magnate;High;MPietro_Lizier;X
84040;Minister of Armament;Raffaele Cantoni;1936;1970;1999;LWR;Bank President;High;MRaffaele_Cantoni;X
84041;Minister of Armament;Bruno Rossi;1945;1970;1999;SL;Theoretical Scientist;High;MBruno_Benedetto_Rossi;X
84042;Minister of Armament;Giovanni Battista Cicogna;1913;1948;1999;ML;Administrative Genius;High;MGiovanni_Battista_Cicogna;X
84043;Minister of Armament;Gino Luzzatto;1922;1964;1999;ML;Balanced Budget Economy;High;MGino_Luzzatto;X
84044;Minister of Armament;Edoardo Agnelli;1936;1964;1999;ML;Motorisation Proponent;High;MEdoardo_Agnelli;X
84045;Minister of Armament;Marco Fanno;1920;1965;1999;ML;Mixed Economy;High;MMarco_Adriano_Fanno;X
84046;Minister of Armament;Giulio Krall;1939;1970;1999;ML;Theoretical Scientist;High;MGiulio_Krall;X
84047;Minister of Armament;Francesco Marzolo;1936;1970;1999;ML;Construction Magnate;High;MFrancesco_Marzolo;X
84048;Minister of Armament;Angelo Sullam;1936;1970;1999;ML;Resource Industrialist;High;MAngelo_Sullam;X
84049;Minister of Security;Angelo Sullam;1936;1970;1999;ML;Silent Lawyer;High;MAngelo_Sullam;X
84050;Minister of Armament;Giacomo Miari de Cumani;1929;1946;1999;SC;Motorisation Proponent;High;MGiacomo_Miari;X
84051;Minister of Armament;Emilio Bancale;1936;1952;1999;SC;Infantry Proponent;High;unknown;X
84052;Minister of Armament;Mario Giacomo Levi;1927;1955;1999;SC;Industrial Chemist;High;MMario_Giacomo_Levi;X
84053;Minister of Armament;Giovanni Pegna;1922;1961;1999;SC;Air to Sea Proponent;High;MGiovanni_Pegna;X
84054;Minister of Armament;Franco Marinotti;1930;1967;1999;SC;Bank President;High;MFranco_Marinotti;X
84055;Minister of Armament;Alberto De Stefani;1922;1969;1999;SC;Laissez-Faire Capitalist;High;MAlberto_De_Stefani;X
84056;Minister of Armament;Alberto Alpago-Novello;1924;1970;1999;SC;Construction Magnate;High;MAlberto_Alpago-Novello;X
84057;Minister of Armament;Gerolamo Lino Moro;1943;1970;1999;SC;Keynesian Economy;High;MGerolamo_Lino_Moro;X
84058;Minister of Armament;Prospero Gianferrari;1926;1954;1999;PA;Industrialiser;High;MProspero_Gianferrari;X
84059;Head of Military Intelligence;Prospero Gianferrari;1926;1954;1999;PA;Industrial Specialist;High;MProspero_Gianferrari;X
84060;Minister of Armament;Alessandro Marco Barnabò;1926;1970;1999;PA;Resource Industrialist;High;unknown;X
84061;Minister of Security;Egidio Meneghetti;1936;1961;1999;LWR;Health and Safety;High;MEgidio_Meneghetti;X
84062;Minister of Security;Tommaso Tonello;1919;1965;1999;LWR;Man of the People;High;MTommaso_Tonello;X
84063;Minister of Security;Guido Bergamo;1924;1960;1999;SD;Health and Safety;High;MGuido_Bergamo;X
84064;Minister of Security;Alcide Malagugini;1936;1966;1999;SD;Compassionate Gentleman;High;MAlcide_Malagugini;X
84065;Minister of Security;Lina Merlin;1936;1970;1999;SD;Man of the People;High;MLina_Merlin;X
84066;Minister of Security;Ernesto Pietriboni;1913;1950;1999;SL;Crime Fighter;High;MErnesto_Pietriboni;X
84067;Minister of Security;Bonaventura Ferrazzutto;1936;1962;1999;SL;Media Magnate;High;MBonaventura_Ferrazzutto;X
84068;Minister of Security;Enoch Peserico;1936;1970;1999;ML;Health and Safety;High;MEnoch_Peserico;X
84069;Minister of Security;Giuseppe Visco Gilardi;1914;1948;1999;SC;Crime Fighter;High;MGiuseppe_Visco_Gilardi;X
84070;Head of Military Intelligence;Giuseppe Visco Gilardi;1914;1948;1999;SC;Counterintelligence Specialist;High;MGiuseppe_Visco_Gilardi;X
84071;Minister of Security;Luigi Messedaglia;1924;1956;1999;SC;Health and Safety;High;MLuigi_Messedaglia;X
84072;Minister of Security;Giovanni Milani;1924;1961;1999;SC;Compassionate Gentleman;High;MGiovanni_Milani;X
84073;Minister of Security;Cesare Crescente;1936;1970;1999;SC;Compassionate Gentleman;High;MCesare_Crescente;X
84074;Minister of Security;Riccardo Maraffa;1938;1965;1999;PA;Crime Fighter;High;LRiccardo_Maraffa;X
84075;Head of Military Intelligence;Marcantonio Bragadin;1944;1970;1999;ML;Naval Intelligence Specialist;High;LMarcantonio_Bragadin;X
84076;Head of Military Intelligence;Ugo Luca;1939;1968;1999;PA;Counterintelligence Specialist;High;MUgo_Luca;X
84077;Chief of Staff;Arnaldo Azzi;1940;1958;1999;SD;School of Defence;High;LAzzi_Arnaldo;X
84078;Chief of Staff;Giuseppe Alberto Bassi;1924;1959;1999;SL;School of Psychology;High;LGiuseppe_Alberto_Bassi;X
84079;Chief of Army;Giuseppe Alberto Bassi;1924;1959;1999;SL;Doctrine of Autonomy;High;LGiuseppe_Alberto_Bassi;X
84080;Minister of Armament;Giuseppe Alberto Bassi;1924;1959;1999;SL;Infantry Proponent;High;LGiuseppe_Alberto_Bassi;X
84081;Chief of Staff;Armando Bachi;1936;1958;1999;ML;School of Fire Support;High;LArmando_Bachi;X
84082;Chief of Army;Armando Bachi;1936;1958;1999;ML;Decisive Battle Doctrine;High;LArmando_Bachi;X
84083;Chief of Staff;Federico Moro;1944;1964;1999;ML;School of Fire Support;High;LFederico_Moro;X
84084;Chief of Army;Federico Moro;1944;1964;1999;ML;Innovative Artillery Officer;High;LFederico_Moro;X
84085;Chief of Staff;Antonio Scaramuzza;1953;1964;1999;ML;School of Manoeuvre;High;LAntonio_Scaramuzza;X
84086;Chief of Army;Antonio Scaramuzza;1953;1970;1999;ML;Elastic Defence Doctrine;High;LAntonio_Scaramuzza;X
84087;Foreign Minister;Antonio Scaramuzza;1942;1970;1999;ML;General Staffer;High;LAntonio_Scaramuzza;X
84088;Head of Military Intelligence;Antonio Scaramuzza;1942;1970;1999;ML;Logistics Specialist;High;LAntonio_Scaramuzza;X
84089;Chief of Staff;Gabriele Nasci;1930;1953;1999;SC;School of Mass Combat;High;LGabriele_Nasci;X
84090;Chief of Army;Gabriele Nasci;1930;1953;1999;SC;Elastic Defence Doctrine;High;LGabriele_Nasci;X
84091;Head of Military Intelligence;Gabriele Nasci;1930;1953;1999;SC;Logistics Specialist;High;LGabriele_Nasci;X
84092;Chief of Staff;Fernando Gelich;1940;1964;1999;SC;School of Fire Support;High;LFernando_Gelich;X
84093;Chief of Staff;Roberto Lerici;1942;1970;1999;SC;School of Defence;High;LRoberto_Lerici;X
84094;Chief of Army;Roberto Lerici;1942;1970;1999;SC;Elastic Defence Doctrine;High;LRoberto_Lerici;X
84095;Chief of Staff;Eugenio de Renzi;1933;1947;1999;PA;School of Manoeuvre;High;LEugenio_De_Renzi;X
84096;Chief of Army;Eugenio de Renzi;1933;1947;1999;PA;Guns and Butter Doctrine;High;LEugenio_De_Renzi;X
84097;Chief of Staff;Quirino Armellini;1936;1970;1999;PA;School of Psychology;High;L6009;X
84098;Chief of Army;Quirino Armellini;1936;1970;1999;PA;Counter-Insurgency Doctrine;High;L6009;X
84099;Minister of Security;Quirino Armellini;1936;1970;1999;PA;Prince of Terror;High;L6009;X
84100;Chief of Army;Rodolfo Torresan;1940;1957;1999;ML;Guns and Butter Doctrine;High;LRodolfo_Torresan;X
84101;Chief of Army;Augusto Ugolini;1941;1970;1999;SC;Static Defence Doctrine;High;LAugusto_Ugolini;X
84102;Chief of Navy;Alberto da Zara;1936;1955;1999;ML;Open Seas Doctrine;High;L6162;X
84103;Minister of Armament;Alberto da Zara;1936;1955;1999;ML;Battle Fleet Proponent;High;L6162;X
84104;Chief of Navy;Lino Beccati;1948;1970;1999;ML;Hydrographic Service Proponent;High;LLino_Beccati;X
84105;Chief of Navy;Isidoro Wiel;1936;1970;1999;SC;Indirect Approach Doctrine;High;LIsidoro_Wiel;X
84106;Chief of Navy;Giovanni Barbini;1946;1970;1999;SC;Decisive Naval Battle Doctrine;High;LGiovanni_Barbini;X
84107;Chief of Navy;Augusto Capon;1923;1947;1999;PA;Coastal Defence Doctrine;High;LAugusto_Capon;X
84108;Head of Military Intelligence;Augusto Capon;1923;1947;1999;PA;Naval Intelligence Specialist;High;LAugusto_Capon;X
84109;Chief of Air Force;Pietro Piacentini;1939;1964;1999;SD;Army Aviation Doctrine;High;L6223;X
84110;Chief of Air Force;Vittorio Marchesi;1936;1967;1999;ML;Army Aviation Doctrine;High;LVittorio_Marchesi;X
84111;Chief of Air Force;Umberto Maddalena;1936;1969;1999;ML;Naval Aviation Doctrine;High;LUmberto_Maddalena;X
84112;Chief of Air Force;Mario Visintini;1947;1970;1999;ML;Tactical Aviation Doctrine;High;LMario_Visintini;X
84113;Chief of Air Force;Mario Calderara;1925;1944;1999;SC;Naval Aviation Doctrine;High;LMario_Calderara;X
84114;Minister of Armament;Mario Calderara;1925;1944;1999;SC;Air to Sea Proponent;High;LMario_Calderara;X
84115;Chief of Air Force;Umberto Gelmetti;1936;1963;1999;SC;Air Superiority Doctrine;High;LUmberto_Gelmetti;X
84116;Chief of Air Force;Ezio Maccani;1947;1970;1999;SC;Carpet Bombing Doctrine;High;LEzio_Maccani;X
84117;Chief of Air Force;Attilio Calderara;1931;1952;1999;PA;Carpet Bombing Doctrine;High;LAttilio_Calderara;X
84118;Chief of Air Force;Arrigo Tessari;1944;1970;1999;PA;Air Superiority Doctrine;High;L6283;X
