PER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
53108;Chief of Air Force;Ahmad Mira Khosravani;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M53009;X
53109;Chief of Air Force;Mir-Mohammed Mohanna;1943;1970;1999;SC;Naval Aviation Doctrine;Medium;M53029;X
53110;Chief of Air Force;Hedayat Gilanshah;1946;1970;1999;SC;Carpet Bombing Doctrine;Medium;M53100;X
53015;Minister of Security;Mohammad-Ali Foroughi;1936;1964;1999;ML;Crime Fighter;Very High;PERFor;X
53111;Head of Government;Abdol Hossein Hajir;1948;1964;1999;ML;Happy Amateur;High;M53111;X
53112;Head of Government;Mohammed Said Maraghei;1948;1964;1999;ML;Flamboyant Tough Guy;High;M53038;X
53113;Head of Government;Ali Mansour;1950;1964;1999;SC;Political Protege;High;M53034;X
53114;Head of Government;Ali Razmara;1950;1964;1999;PA;Old Airmarshal;High;M53114;X
53115;Head of Government;Hussein Khan Ala;1951;1964;1999;PA;Backroom Backstabber;High;M53073;X
53116;Chief of Staff;Mohammed Mosaddegh;1939;1964;1999;SL;School of Mass Combat;High;PERMos;X
53117;Head of Government;Fazlollah Zahedi;1953;1964;1999;PA;Old General;High;PERFaz;X
53118;Foreign Minister;Abdol Hossein Hajir;1951;1964;1999;ML;Ideological Crusader;Medium;M53111;X
53119;Chief of Staff;Haj Ali Razmara;1942;1970;1999;PA;School of Psychology;Medium;LHaj_Ali_Razmara;X
53120;Chief of Air Force;Sharafaldin Ghahremani;1943;1970;1999;ML;Air Superiority Doctrine;Medium;LSharafaldin_Ghahremani;X
53121;Chief of Army;Abdullah Hedayat;1953;1968;1999;SC;Guns and Butter Doctrine;Medium;LAbdullah_Hedayat;X
53122;Head of State;Haydar Amuogly;1936;1964;1999;LE;Barking Buffoon;High;PER_haydar_amuogly;X
53123;Head of State;Ardeshir Ovanessian;1936;1964;1999;LE;Weary Stiffneck;High;PER_ardeshir_ovanessian;X
53124;Head of State;Mirza Kuchik Khan;1936;1964;1999;LWR;Die-hard Reformer;High;PER_mirza_kuchik_khan;X
53125;Head of State;Taqi Arani;1936;1964;1999;LWR;Benevolent Gentleman;High;PER_taqi_arani;X
53126;Head of Government;Ardeshir Ovanessian;1936;1964;1999;LE;Naive Optimist;High;PER_ardeshir_ovanessian;X
53127;Head of Government;Haydar Amuogly;1936;1964;1999;LE;Backroom Backstabber;High;PER_haydar_amuogly;X
53128;Head of Government;Soleiman Mirza Eskandari;1936;1964;1999;LWR;Happy Amateur;High;PER_soleiman;X
53129;Head of Government;Mirza Kuchik Khan;1936;1964;1999;LWR;Naive Optimist;High;PER_mirza_kuchik_khan;X
53130;Head of Government;Mohsen Sadr;1936;1964;1999;SD;Silent Workhorse;High;PER_mohsen_sadr;X
53131;Foreign Minister;Ardeshir Ovanessian;1936;1964;1999;LE;Ideological Crusader;High;PER_ardeshir_ovanessian;X
53132;Foreign Minister;Maryam Firouz;1944;1964;1999;LWR;Biased Intellectual;High;PER_maryam_firouz;X
53133;Foreign Minister;Mohammad Farrokhi Yazdi;1936;1964;1999;LWR;Apologetic Clerk;High;PER_mohammad_farrokhi_yazdi;X
53134;Foreign Minister;Bozorg Alavi;1936;1964;1999;LWR;Great Compromiser;High;PER_bozorg_alavi;X
53135;Minister of Armament;Haydar Amuogly;1936;1964;1999;LE;Resource Industrialist;High;PER_haydar_amuogly;X
53136;Minister of Armament;Noureddin Kianouri;1945;1964;1999;LWR;Laissez-Faire Capitalist;High;PER_noureddin_kianouri;X
53137;Minister of Armament;Taqi Arani;1936;1964;1999;LWR;Resource Industrialist;High;PER_taqi_arani;X
53138;Minister of Armament;Iraj Eskandari;1938;1970;1999;LWR;Administrative Genius;High;PER_iraj_eskandari;X
53139;Minister of Security;Haydar Amuogly;1936;1964;1999;LE;Prince of Terror;High;PER_haydar_amuogly;X
53140;Minister of Security;Ehsan Tabari;1937;1964;1999;LWR;Back Stabber;Medium;PER_ehsan_tabari;X
53141;Minister of Security;Sattar Khan;1936;1964;1999;LWR;Man of the People;Low;PER_sattar_khan;X
53142;Minister of Security;Maryam Firouz;1944;1964;1999;LWR;Crime Fighter;High;PER_maryam_firouz;X
53143;Head of Military Intelligence;Ja'fer Pishevari;1936;1964;1999;ST;Dismal Enigma;Medium;M53023;X
53144;Head of Military Intelligence;Khosro Roozbeh;1945;1970;1999;LE;Logistics Specialist;Medium;PER_khosro_roozbeh;X
53145;Head of Military Intelligence;Heshmat Taleqani;1936;1964;1999;LWR;Dismal Enigma;Medium;PER_heshmat_taleqani;X
53146;Head of Military Intelligence;Noureddin Kianouri;1945;1964;1999;LWR;Technical Specialist;High;PER_noureddin_kianouri;X
53147;Head of Military Intelligence;Taqi Arani;1936;1964;1999;LWR;Technical Specialist;High;PER_taqi_arani;X
53148;Head of Military Intelligence;Sattar Khan;1936;1964;1999;LWR;Logistics Specialist;Low;PER_sattar_khan;X
53149;Chief of Staff;Khosro Roozbeh;1945;1970;1999;LE;School of Fire Support;Medium;PER_khosro_roozbeh;X
53150;Chief of Staff;Sattar Khan;1936;1964;1999;LWR;School of Psychology;Low;PER_sattar_khan;X
53151;Chief of Staff;Mirza Kuchik Khan;1936;1964;1999;LWR;School of Defence;High;PER_mirza_kuchik_khan;X
53152;Chief of Army;Khosro Roozbeh;1945;1970;1999;LE;Decisive Battle Doctrine;Medium;PER_khosro_roozbeh;X
53153;Chief of Army;Mirza Kuchik Khan;1936;1964;1999;LWR;Guns and Butter Doctrine;High;PER_mirza_kuchik_khan;X
53154;Chief of Army;Sattar Khan;1936;1964;1999;LWR;Elastic Defence Doctrine;Low;PER_sattar_khan;X
53155;Chief of Navy;Fyodor Raskolnikov;1936;1964;1999;LE;Base Control Doctrine;Low;PER_fyodor_raskolnikov;X
53156;Minister of Armament;Mehdi Bazargan;1937;1970;1999;SD;Oil Baron;High;PER_mehdi_bazargan;X
53157;Head of State;Ayatollah Mahmoud Taleghani;1941;1964;1999;SD;Insignificant Layman;High;PER_mahmoud_taleghani;X
53158;Minister of Security;Ayatollah Mahmoud Taleghani;1941;1964;1999;SD;Man of the People;High;PER_mahmoud_taleghani;X
53159;Minister of Armament;Yadollah Sahabi;1936;1970;1999;SD;Industrial Chemist;High;PER_yadollah_sahabi;X
53160;Head of Military Intelligence;Yadollah Sahabi;1936;1964;1999;SD;Industrial Specialist;High;PER_yadollah_sahabi;X
53161;Head of State;Ahmad Shah Qajar;1936;1964;1999;PA;Popular Figurehead;High;2930;X
53162;Head of Government;Abdul Husayn Farman Farma;1936;1964;1999;PA;Silent Workhorse;High;kai_abdhssfrm;X
53163;Head of State;Mahmud Djam;1936;1969;1999;PA;Benevolent Gentleman;High;M53002;X
53164;Head of State;Mohsen Sadr;1936;1964;1999;SD;Benevolent Gentleman;High;PER_mohsen_sadr;X
53165;Head of Government;Firouz M. Nosrat-ed-Dowleh Qajar;1936;1964;1999;SC;Naive Optimist;High;PERFir;X
53166;Foreign Minister;Abbas Mirza Farman Farmaian Qajar;1936;1964;1999;SC;Great Compromiser;High;PERAbb;X
53167;Minister of Armament;Mohammad Mosaddegh;1936;1964;1999;SL;Administrative Genius;High;PERMos;X
53168;Minister of Security;Mohammad Hassan Mirza Qajar;1936;1964;1999;SC;Crooked Kleptocrat;High;PERMoh;X
53169;Head of Military Intelligence;Mohammad Taqi-Khan Pessian;1936;1964;1999;PA;Logistics Specialist;High;PERPess;X
53170;Chief of Staff;Mahmoud Afshartous;1942;1970;1999;SD;School of Fire Support;High;LMahmoud_Afshartous;X
53171;Chief of Navy;Yadollah Bayandor;1938;1970;1999;SC;Base Control Doctrine;High;LYadollah_Bayandor;X
53172;Chief of Air Force;Mohammad Amir Khatami;1946;1970;1999;SC;Vertical Envelopment Doctrine;High;LMohammad_Amir_Khatami;X
53173;Chief of Air Force;Yadollah Azam Zangeneh;1936;1964;1999;SC;Army Aviation Doctrine;High;PERAza;X
53174;Minister of Security;Abdol-Hossein Mirza Qajar;1936;1964;1999;SC;Man of the People;High;PERMir;X
53175;Minister of Security;Vosough od-Dowleh;1936;1964;1999;SC;Crime Fighter;High;PERVos;X
53176;Foreign Minister;Samad Khan Momtaz os-Saltaneh;1936;1964;1999;SC;Biased Intellectual;High;PERMom;X
53177;Foreign Minister;Mozaffar Alam;1936;1964;1999;PA;General Staffer;High;PERAal;X
53178;Foreign Minister;Moussa Nazm Al Saltaneh;1936;1945;1999;SC;Ideological Crusader;High;PERMou;X
53179;Foreign Minister;Abdol Hossein Sardari;1936;1964;1999;SC;Ideological Crusader;High;PERHos;X
53180;Minister of Security;Fathollah Khan Akbar;1936;1964;1999;SC;Silent Lawyer;High;PERFat;X
53181;Minister of Security;Masoud Keyhan;1936;1964;1999;PA;Crime Fighter;High;PERKey;X
53182;Chief of Army;Moussa Nazm Al Saltaneh;1936;1945;1999;SC;Elastic Defence Doctrine;Medium;PERMou;X
53183;Chief of Army;Amanullah Jahanbani;1936;1970;1999;SC;Combat Engineering Doctrine;Medium;PERJah;X
53184;Chief of Army;Fazlollah Zahedi;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;PERFaz;X
53185;Chief of Army;Assadollah Hosseinpoor;1936;1954;1999;PA;Old Cavalry General;Medium;PERPoo;X
53186;Chief of Army;Azizollah Khan Zarghami;1936;1964;1999;PA;Static Defence Doctrine;Medium;PERZar;X
53187;Chief of Staff;Wilhelm Wassmuss;1936;1945;1999;PA;School of Psychology;Very High;PERWas;X
53188;Chief of Staff;Muhammad-Husayn Ayrom;1936;1948;1999;FA;School of Psychology;Very High;PERAyr;X
53189;Minister of Security;Hossein Pirnia;1936;1964;1999;ML;Compassionate Gentleman;High;PERPir;X
53190;Head of Military Intelligence;Muhammad-Husayn Ayrom;1936;1948;1999;FA;Political Specialist;High;PERAyr;X
53191;Minister of Security;Ahmad Kasravi;1936;1964;1999;ML;Man of the People;High;PERKas;X
53192;Foreign Minister;Ahmad Kasravi;1936;1964;1999;ML;Biased Intellectual;High;PERKas;X
53193;Head of Government;Abdolhossein Teymourtash;1936;1964;1999;ML;Flamboyant Tough Guy;High;PERTey;X
53194;Foreign Minister;Abdolhossein Teymourtash;1936;1964;1999;ML;Great Compromiser;High;PERTey;X
53195;Foreign Minister;Mohammad-Ali Foroughi;1936;1964;1999;ML;Apologetic Clerk;High;PERFor;X
53196;Minister of Armament;Ali-Akbar Davar;1936;1964;1999;ML;Administrative Genius;High;PERAli;X
53197;Head of Government;Mohammad Mosaddegh;1936;1964;1999;SL;Naive Optimist;High;PERMos;X
53198;Foreign Minister;Ali Shayegan;1936;1964;1999;SL;Biased Intellectual;High;PERShay;X
53199;Minister of Armament;Ahmad Zirakzadeh;1936;1970;1999;SL;Industrialiser;High;PERZir;X
53200;Minister of Security;Abol-Ghasem Kashani;1936;1964;1999;SL;Compassionate Gentleman;High;PERAbo;X
53201;Head of State;Ahmad Shah Qajar;1936;1964;1999;ML;Insignificant Layman;Very High;2930;X
53205;Chief of Staff;Vsevolod Starosselsky;1936;1940;1999;PA;School of Manoeuvre;Very High;PERVse;X
53206;Minister of Armament;Ali Amini;1942;1970;1999;ML;Keynesian Economy;High;MAli_Amini;X
53207;Minister of Armament;Mahmud Djam;1936;1969;1999;PA;Resource Industrialist;High;M53002;X
53208;Head of Military Intelligence;Ahmad Zirakzadeh;1941;1970;1999;SL;Industrial Specialist;High;PERZir;X
53209;Minister of Armament;Abdolhossein Hazhir;1939;1970;1999;SC;Bank President;High;MAbdolhossein_Hazhir;X
53210;Minister of Armament;Mahmoud Hessabi;1936;1970;1999;SL;Theoretical Scientist;High;MMahmoud_Hessabi;X
53211;Minister of Armament;Mohammad Ali Saffari;1936;1970;1999;SC;Administrative Genius;High;MMohammad_Ali_Saffari;X
53212;Chief of Navy;Mohammad Ali Saffari;1936;1970;1999;SC;Merchant Navy Focus;High;MMohammad_Ali_Saffari;X
53213;Chief of Navy;Habibollah Shahandeh;1947;1970;1999;PA;Open Seas Doctrine;High;LHabibollah_Shahandeh;X
53214;Chief of Navy;Farajollah Rasai;1950;1970;1999;SC;Power Projection Doctrine;High;LFarajollah_Rasai;X
53215;Chief of Navy;Jamshid Pourzand;1945;1970;1999;ML;Hydrographic Service Proponent;High;LJamshid_Pourzand;X
53216;Chief of Air Force;Amir Hossein Rabii;1954;1970;1999;SC;Army Aviation Doctrine;High;LAmir_Hossein_Rabii;X
53217;Chief of Air Force;Nader Jahanbani;1951;1970;1999;SC;Air Superiority Doctrine;High;LNader_Jahanbani;X
53218;Chief of Army;Hassan Arfa;1936;1970;1999;FA;Armoured Spearhead Doctrine;High;LHassan_Arfa;X
53219;Head of Military Intelligence;Hassan Arfa;1941;1970;1999;FA;Logistics Specialist;High;LHassan_Arfa;X
53220;Foreign Minister;Hassan Arfa;1953;1970;1999;FA;Ideological Crusader;High;LHassan_Arfa;X
53221;Minister of Armament;Hassan Arfa;1936;1970;1999;FA;Tank Proponent;High;LHassan_Arfa;X
53222;Minister of Security;Ahmad Amir-Ahmadi;1936;1964;1999;FA;Prince of Terror;High;LAhmad_Amir-Ahmadi;X
53223;Minister of Armament;Abdullah Hedayat;1953;1968;1999;SC;Reformer;High;LAbdullah_Hedayat;X
53224;Minister of Armament;Houshang Khanshaghaqi;1944;1970;1999;ML;Construction Magnate;High;MHoushang_Khanshaghaqi;X
53225;Chief of Staff;Amanullah Jahanbani;1936;1970;1999;SC;School of Fire Support;High;PERJah;X
53226;Head of Military Intelligence;Amanullah Jahanbani;1936;1970;1999;SC;Technical Specialist;High;PERJah;X
53227;Minister of Armament;Nader Batmanghelich;1940;1970;1999;FA;Military Entrepreneur;High;LNader_Batmanghelich;X
53228;Minister of Armament;Kazem Hassibi;1941;1970;1999;LWR;Oil Baron;High;MKazem_Hassibi;X
53229;Minister of Security;Ali Asghar Nafisi;1936;1950;1999;PA;Health and Safety;High;MAli_Asghar_Nafisi;X
53230;Minister of Armament;Habib Nafisi;1943;1970;1999;SC;Theoretical Scientist;High;MHabib_Nafisi;X
53231;Minister of Armament;Mohammad Taghi Riahi;1952;1970;1999;LWR;Military Entrepreneur;High;LMohammad_Taghi_Riahi;X
53232;Head of Military Intelligence;Teymur Bakhtiar;1952;1970;1999;PA;Dismal Enigma;High;LTeymur_Bakhtiar;X
53233;Minister of Security;Nematollah Nassiri;1953;1970;1999;NS;Secret Police Chief;High;LNematollah_Nassiri;X
53234;Head of State;Fereydoun Mirza Qajar;1936;1964;1999;PA;Popular Figurehead;High;Fereydoun_Mirza;X
53235;Head of State;Mohammad Hassan Mirza Qajar;1936;1964;1999;SC;Ruthless Powermonger;High;PERMoh;X
53236;Head of Government;Mohammad Hassan Mirza Qajar;1936;1964;1999;SC;Corporate Suit;High;PERMoh;X
53237;Head of State;Fazlollah Zahedi;1953;1964;1999;PA;Resigned Generalissimo;High;PERFaz;X
53238;Head of State;Fereydoun Mirza Qajar;1936;1964;1999;PA;Insignificant Layman;High;Fereydoun_Mirza_young;X
