BEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
533047;Head of Military Intelligence;Oswald Durand;1944;1964;1999;SL;Political Specialist;Medium;M533026;x
533048;Head of Military Intelligence;Robert Joany;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M533048;x
533049;Head of Military Intelligence;Hamani Diori;1936;1964;1999;LWR;Naval Intelligence Specialist;Medium;M533049;x
533050;Head of Military Intelligence;Babacar Ba;1943;1964;1999;LWR;Industrial Specialist;Medium;M533050;x
533051;Chief of Staff;Andre Latrille;1943;1964;1999;SL;School of Manoeuvre;Medium;M533024;x
533052;Chief of Staff;Francis d'Oultre Seille;1936;1964;1999;PA;School of Defence;Medium;M533009;x
533053;Chief of Staff;Akira Jomo;1936;1964;1999;LWR;School of Psychology;Medium;M533053;x
533054;Chief of Staff;Ali Saibou;1941;1964;1999;LWR;School of Defence;Medium;M533054;x
533055;Chief of Army;Pierre Salceti;1942;1964;1999;SL;Elastic Defence Doctrine;Medium;M533014;x
533056;Chief of Army;Roger Podeur;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M533056;x
533057;Chief of Army;Habib al-Aziz;1936;1964;1999;LWR;Elastic Defence Doctrine;Medium;M533057;x
533058;Chief of Army;Yorgui Koli;1941;1964;1999;LWR;Guns and Butter Doctrine;Medium;M533058;x
533059;Chief of Navy;Edmond Louveau;1942;1964;1999;SL;Base Control Doctrine;Medium;M533059;x
533060;Chief of Navy;Jean Lassere;1936;1964;1999;PA;Base Control Doctrine;Medium;M533060;x
533061;Chief of Navy;Francois Tombalbaye;1936;1964;1999;LWR;Power Projection Doctrine;Medium;M533061;x
533062;Chief of Air Force;Fred Scamaroni;1941;1964;1999;SL;Army Aviation Doctrine;Medium;M533062;x
533063;Chief of Air Force;Augustino de Souza;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;M533063;x
533064;Chief of Air Force;Auguste Denise;1936;1964;1999;LWR;Air Superiority Doctrine;Medium;M533064;x
533065;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
533066;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
