POR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
9040;Chief of Air Force;Antonio Sergo;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M9036;x
9080;Head of State;Francisco Craveiro Lopes;1951;1964;1999;PA;Resigned Generalissimo;High;M9080;x
9081;Foreign Minister;Paulo Cunha;1950;1964;1999;PA;Apologetic Clerk;Very High;M9081;x
9093;Head of Government;António de Fragosa Carmona;1925;1964;1999;PA;Backroom Backstabber;High;M9001;x
9094;Head of State;Neno Vasco;1936;1964;1999;LE;Die-hard Reformer;Low;POR_neno_vasco;x
9095;Head of Government;António Pinto Quartim;1936;1964;1999;LE;Silent Workhorse;Low;POR_pinto_quartim;x
9096;Head of State;José Carlos Rates;1936;1964;1999;ST;Popular Figurehead;Low;POR_rates;x
9097;Head of State;A. Oliveira Salazar;1936;1964;1999;PA;Pig-headed Isolationist;High;M9002;x
9098;Minister of Security;Manuel Ribeiro;1936;1964;1999;LE;Crime Fighter;Low;POR_manuel_ribeiro;x
9099;Head of State;Francisco Rolão Preto;1936;1964;1999;NS;Ruthless Powermonger;Low;POR_rolao_preto;x
90100;Head of Government;Francisco Rolão Preto;1936;1964;1999;NS;Happy Amateur;Low;POR_rolao_preto;x
90101;Minister of Security;José Hipólito Vaz Raposo;1936;1964;1999;FA;Crime Fighter;Medium;M9049;x
90102;Head of Government;Alberto Monsaraz;1936;1964;1999;FA;Corporate Suit;Medium;POR_alberto_monsaraz;x
90103;Head of State;S.A.R. Duarte II;1936;1964;1999;PA;Stern Imperialist;High;kai_nunobrag;x
90104;Head of Government;João Tamagnini Barbosa;1936;1964;1999;SC;Corporate Suit;Medium;POR_joao_tamagnini_barbosa;x
90105;Foreign Minister;Quintão Meireles;1936;1964;1999;SC;General Staffer;Very High;M9029;x
90106;Head of Government;Sidónio Pais;1936;1964;1999;PA;Naive Optimist;High;kai_sidpai;x
90107;Head of State;Tasso Miranda Cabral;1936;1964;1999;PA;Resigned Generalissimo;Very High;M9007;x
90108;Head of Government;Jaime Afreixo;1936;1964;1999;PA;Old Admiral;Very High;M9009;x
90109;Minister of Armament;José Gomes Ferreira;1936;1964;1999;LWR;Administrative Genius;Low;POR_jose_gomes_ferreira;x
90110;Foreign Minister;Maria da Cunha Lamas;1936;1964;1999;LWR;Great Compromiser;Very High;POR_maria_lamas;x
90111;Head of State;José Ricardo Pereira Cabral;1936;1964;1999;PA;Resigned Generalissimo;Very High;POR_pereira_cabral;x
90112;Head of Government;António Lopes Mateus;1936;1964;1999;PA;Old General;Very High;POR_lopes_mateus;x
90113;Foreign Minister;Abel de Abreu Sotto Mayor;1936;1964;1999;PA;General Staffer;Very High;POR_sotto_mayor;x
