VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
57059;Head of State;S.M.R. Henri VI;1939;1970;1999;PA;King Of France;Medium;kaiserreich_henriVI;X
57060;Head of Government;Charles Maurras;1936;1953;1999;FA;Flamboyant Tough Guy;High;kaiserreich_maurras;X
57061;Head of Government;Paul Reynaud;1936;1966;1999;SC;Silent Workhorse;High;M2038;X
57062;Chief of Staff;Philippe de Hauteclocque;1940;1970;1999;SC;School of Manoeuvre;High;L24116;X
57063;Chief of Army;Jean de Lattre de Tassigny;1939;1955;1999;PA;Elastic Defence Doctrine;Medium;M2047;X
57064;Chief of Navy;Georges Thierry d'Argenlieu;1940;1964;1999;PA;Coastal Defence Doctrine;High;L24173;X
57065;Head of State;Paul Reynaud;1936;1966;1999;SC;Die-hard Reformer;High;M2038;X
57066;Head of Government;François de la Rocque;1940;1964;1999;PA;Old General;Medium;kaiserreich francoisdelarocque;X
57067;Head of Government;Henri Mordacq;1936;1943;1999;SC;Reformist Soldierhog;High;VICMor;X
57068;Foreign Minister;George Bidault;1936;1964;1999;SC;General Staffer;Medium;M2039;X
57069;Minister of Armament;Robert Schuman;1936;1963;1999;ML;Resource Industrialist;High;M2088;X
57070;Minister of Security;Louis-Georges Mandel;1936;1964;1999;ML;Crime Fighter;Medium;M2108;X
57071;Head of Government;Robert Schuman;1940;1963;1999;ML;Pragmatic Statesman;High;M2088;X
57072;Head of State;Jean-Francois Darlan;1940;1947;1999;PA;Barking Buffoon;Medium;M57002;X
57073;Head of State;S.M.R. Jean III;1936;1941;1999;SC;Bourbon Restorer;High;kaiserreich_jeanIII;X
57074;Head of State;S.M.I. Louis Napoleon VI;1936;1964;1999;SC;Emperor Of The French;High;M582001;X
57075;Head of State;S.M.R. Henri VI;1939;1970;1999;SC;King Of France;Medium;kaiserreich_henriVI;X
57076;Chief of Army;Joseph de Goislard de Monsabert;1944;1970;1999;SC;Elastic Defence Doctrine;High;VICMon;X
57077;Head of Military Intelligence;Henri d'Astier de La Vigerie;1936;1964;1999;FA;Logistics Specialist;High;VICVig;X
57078;Foreign Minister;Maurice Pujo;1936;1964;1999;FA;Biased Intellectual;High;VICPuj;X
57079;Chief of Army;Antoine Béthouart;1939;1970;1999;SC;Commando Doctrine Army;High;VICAnt;X
57080;Minister of Security;Théodore Steeg;1936;1950;1999;SC;Compassionate Gentleman;High;VICSte;X
57081;Minister of Armament;Maurice Palmade;1936;1964;1999;SL;Resource Industrialist;High;VICPal;X
57082;Minister of Security;René Besse;1936;1964;1999;SL;Crime Fighter;High;VICBes;X
57083;Chief of Army;Jean Touzet du Vigier;1936;1970;1999;SC;Armoured Spearhead Doctrine;High;VICTou;X
57084;Chief of Staff;Henri Albert Niessel;1936;1956;1999;PA;School of Mass Combat;High;VICNie;X
57085;Chief of Staff;Bernard Serrigny;1936;1954;1999;PA;School of Defence;High;VICSer;X
57086;Chief of Air Force;Marie Charles Duval;1936;1944;1999;SC;Army Aviation Doctrine;High;VICDuv;X
57087;Chief of Air Force;Antonin Brocard;1936;1950;1999;ML;Air Superiority Doctrine;High;VICBro;X
57088;Chief of Air Force;Auguste Lahoulle;1938;1959;1999;FA;Air Superiority Doctrine;High;LAuguste_Lahoulle;X
57089;Minister of Armament;René Renoult;1936;1964;1999;SL;Laissez-Faire Capitalist;High;VICRen;X
57090;Chief of Navy;François Piétri;1936;1966;1999;SC;Merchant Navy Focus;High;VICPie;X
57091;Chief of Army;Alphonse Juin;1939;1962;1999;SC;Doctrine of Autonomy;High;VICJui;X
57092;Head of Government;Édouard Herriot;1936;1964;1999;SL;Silent Workhorse;High;VICEdo;X
57093;Chief of Navy;Georges Durand-Viel;1931;1959;1999;SC;Decisive Naval Battle Doctrine;High;LGeorges_Durand-Viel;X
57094;Minister of Security;François Piétri;1936;1946;1999;SC;Silent Lawyer;High;VICPie;X
57095;Chief of Army;Maurice Janin;1936;1946;1999;PA;Static Defence Doctrine;High;VICJan;X
57096;Head of Government;Joachim Prince de Murat;1937;1964;1999;SC;Political Protege;High;VICMur;X
57097;Minister of Security;Joachim Prince de Murat;1936;1964;1999;SC;Man of the People;High;VICMur;X
57098;Head of Government;Pierre Costantini;1936;1964;1999;FA;Flamboyant Tough Guy;High;VICCos;X
57099;Minister of Security;Pierre Costantini;1936;1964;1999;FA;Prince of Terror;High;VICCos;X
57100;Foreign Minister;Albert Sarraut;1936;1964;1999;SL;Great Compromiser;High;VICSar;X
57101;Head of Military Intelligence;Laurent Eynac;1936;1964;1999;SL;Industrial Specialist;High;VICEyn;X
57102;Head of Military Intelligence;Damien Comte de Martel;1936;1964;1999;SL;Logistics Specialist;Medium;M528002;X
57103;Chief of Staff;Henri Amiel;1942;1970;1999;SC;School of Manoeuvre;Medium;M528007;X
57104;Chief of Army;Gabriel Puaux;1936;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M528008;X
57105;Chief of Navy;François Carré de Lusançay;1936;1964;1999;SL;Base Control Doctrine;High;M528009;X
57106;Minister of Security;Yves Morandat;1936;1964;1999;SL;Crooked Kleptocrat;Medium;M528005;X
57107;Head of Government;Damien Comte de Martel;1936;1964;1999;SL;Ambitious Union Boss;High;M528002;X
57108;Minister of Security;Henri Mordacq;1936;1943;1999;SC;Crime Fighter;High;VICMor;X
57109;Head of Government;Gabriel Puaux;1938;1964;1999;SL;Silent Workhorse;High;M528008;X
57110;Head of Government;Georges Catroux;1941;1964;1999;SL;Old General;High;L24029;X
57111;Head of Government;Yves Chataigneau;1943;1969;1999;SL;Naive Optimist;High;M528020;X
57112;Minister of Security;André Salvat;1941;1964;1999;SL;Crime Fighter;Medium;M528036;X
57113;Head of Military Intelligence;Gabriel Puaux;1938;1964;1999;SL;Industrial Specialist;Medium;M528008;X
57114;Head of Military Intelligence;Georges Catroux;1941;1964;1999;SL;Dismal Enigma;Medium;L24029;X
57115;Chief of Air Force;René Chambe;1936;1970;1999;SC;Army Aviation Doctrine;High;LRene_Chambe;X
57116;Chief of Staff;Henri Dentz;1936;1964;1999;PA;School of Fire Support;High;L380013;X
57117;Chief of Navy;Louis Finet;1941;1964;1999;SL;Indirect Approach Doctrine;Medium;M529058;X
57118;Foreign Minister;Jacques Baumel;1940;1964;1999;SC;Iron Fisted Brute;High;M529032;X
57119;Chief of Air Force;Jean de Laborde;1928;1970;1999;PA;Naval Aviation Doctrine;High;L380037;X
57120;Head of State;Andre Mallarme;1936;1964;1999;ML;Weary Stiffneck;High;kai_vicandml;X
57121;Head of Government;Laurent Bonnevay;1936;1964;1999;ML;Silent Workhorse;High;kai_viclrt;X
57122;Head of Government;Pierre Appell;1936;1964;1999;SD;Flamboyant Tough Guy;High;kai_vicprapl;X
57123;Foreign Minister;Paul Faure;1936;1964;1999;SD;Biased Intellectual;High;kai_vicplfr;X
57124;Minister of Armament;Emile Borel;1936;1956;1999;SD;Theoretical Scientist;High;kai_vicembr;X
57125;Head of State;Fernand Bouisson;1936;1964;1999;SD;Benevolent Gentleman;High;kai_vicfrnbis;X
57126;Minister of Security;Jean Hennessy;1936;1964;1999;SD;Crime Fighter;High;kai_vicjnhns;X
57127;Head of Military Intelligence;Vincent de Moro-Giafferi;1936;1964;1999;SD;Political Specialist;High;kai_vicvcdmrg;X
57128;Minister of Security;Louis Nogueres;1936;1964;1999;SD;Compassionate Gentleman;High;kai_viclsngr;X
57129;Foreign Minister;Maurice Viollette;1936;1964;1999;SD;Ideological Crusader;High;kai_vicmrcvlt;X
57130;Head of State;Pierre Etienne Flandin;1936;1964;1999;SC;Stern Imperialist;High;M2003;X
57152;Foreign Minister;Pierre Etienne Flandin;1936;1964;1999;SC;Ideological Crusader;Very High;M2003;X
57131;Head of Government;Maurice Pujo;1936;1955;1999;PA;Political Protege;High;VICPuj;X
57132;Head of State;Albert Chatelet;1940;1964;1999;SD;Die-hard Reformer;High;kai_vicalbrchtl;X
57133;Head of State;François Mitterrand;1946;1970;1999;SD;Die-hard Reformer;High;vic_frcmttr;X
57134;Head of State;Pierre Marcilhacy;1940;1964;1999;ML;Benevolent Gentleman;High;vic_prrmarhc;X
57135;Head of State;Jean Vignancour;1940;1964;1999;SC;Insignificant Layman;High;vic_jnvicgr;X
57136;Head of Government;Pierre Pflimlin;1945;1970;1999;SC;Flamboyant Tough Guy;High;vic_prrflmr;X
57137;Foreign Minister;Pierre Pflimlin;1945;1970;1999;SC;The Cloak N Dagger Schemer;High;vic_prrflmr;X
57138;Minister of Armament;Pierre-Henri Teitgen;1940;1964;1999;SC;Resource Industrialist;Medium;vic_prrhnrttg;X
57139;Minister of Security;Paul Coste-Floret;1940;1964;1999;SC;Silent Lawyer;High;vic_pllcstflr;X
57140;Minister of Armament;François de Menthon;1940;1970;1999;SL;Mixed Economy;High;vic_frcsdmth;X
57141;Head of Government;Antoine Pinay;1940;1964;1999;SL;Happy Amateur;High;vic_antpnnya;X
57142;Foreign Minister;René Pleven;1940;1964;1999;SL;Ideological Crusader;High;M2090;X
57143;Head of Government;Pierre Mendes France;1948;1970;1999;SD;Silent Workhorse;High;vic_prrmndsfr;X
57144;Foreign Minister;Louis Jacquinot;1940;1964;1999;SD;Apologetic Clerk;High;vic_lusjcqn;X
57145;Minister of Armament;André Philip;1940;1964;1999;SD;Resource Industrialist;Medium;vic_andrphlp;X
57146;Minister of Security;Édouard Depreux;1940;1964;1999;SD;Crime Fighter;High;vic_edurdpr;X
57147;Foreign Minister;Édouard de Castelnau;1936;1944;1999;FA;General Staffer;Very High;Kaiserreich Castelnau;X
57148;Minister of Armament;Paul Marchandeau;1936;1968;1999;SC;Balanced Budget Economy;High;M2083;X
57149;Minister of Security;Camille Chautemps;1936;1970;1999;ML;Compassionate Gentleman;Very High;M2036;X
57150;Minister of Security;Henri Roy;1936;1950;1999;SL;Man of the People;High;M2107;X
57151;Minister of Security;Jules Carde;1930;1949;1999;SC;Compassionate Gentleman;High;MJules_Gaston_Henri_Carde;X
57153;Chief of Staff;Maurice Gamelin;1936;1958;1999;SD;School of Fire Support;Very High;M2007;X
57154;Chief of Army;Maurice Gamelin;1936;1958;1999;SD;Static Defence Doctrine;Very High;M2007;X
57155;Chief of Navy;Gabriel Auphan;1936;1970;1999;PA;Indirect Approach Doctrine;High;VICAup;X
57156;Head of Military Intelligence;Gabriel Auphan;1936;1970;1999;PA;Naval Intelligence Specialist;High;VICAup;X
57157;Minister of Armament;Gabriel Auphan;1936;1970;1999;PA;Submarine Proponent;High;VICAup;X
57158;Chief of Navy;Emmanuel Ollive;1936;1951;1999;PA;Decisive Naval Battle Doctrine;High;LEmmanuel_Ollive;X
57159;Chief of Navy;Henri Nomy;1942;1970;1999;SC;Power Projection Doctrine;High;LHenri_Nomy;X
57160;Chief of Air Force;Henri Nomy;1942;1970;1999;SC;Naval Aviation Doctrine;High;LHenri_Nomy;X
57161;Minister of Armament;Henri Nomy;1942;1970;1999;SC;Air to Sea Proponent;High;LHenri_Nomy;X
57162;Chief of Navy;Charles Edouard La Haye;1953;1970;1999;ML;Power Projection Doctrine;High;LCharles_Edouard_LaHaye;X
57163;Chief of Air Force;Charles Edouard La Haye;1953;1970;1999;ML;Naval Aviation Doctrine;High;LCharles_Edouard_LaHaye;X
57164;Chief of Air Force;Victor Denain;1936;1952;1999;ML;Aviation Organizer;High;L24361;X
57165;Chief of Air Force;Edmond Jouhaud;1946;1970;1999;PA;Tactical Aviation Doctrine;High;LEdmond_Jouhaud;X
57166;Chief of Air Force;Pierre-Henri Clostermann;1946;1970;1999;PA;Air Superiority Doctrine;High;L380047;X
57167;Minister of Armament;Pierre-Henri Clostermann;1946;1970;1999;PA;Air Superiority Proponent;High;L380047;X
57168;Chief of Air Force;Gaston Venot;1947;1970;1999;ML;Army Aviation Doctrine;High;LGaston_Venot;X
57169;Chief of Air Force;Marcel Vigouroux;1944;1970;1999;ML;Carpet Bombing Doctrine;High;LMarcel_Vigouroux;X
57170;Chief of Army;Paul Grossin;1945;1970;1999;SC;Guns and Butter Doctrine;High;LPaul_Grossin;X
57171;Head of Military Intelligence;Paul Grossin;1945;1970;1999;SC;Logistics Specialist;High;LPaul_Grossin;X
57172;Minister of Armament;Paul Grossin;1945;1970;1999;SC;Military Entrepreneur;High;LPaul_Grossin;X
57173;Chief of Staff;René Olry;1936;1946;1999;PA;School of Fire Support;High;LRene_Olry;X
57174;Chief of Army;René Olry;1936;1946;1999;PA;Static Defence Doctrine;High;LRene_Olry;X
57175;Chief of Staff;Georges Barré;1940;1964;1999;PA;School of Defence;High;LGeorges_Barre;X
57176;Chief of Staff;Jean Vallette d'Osia;1940;1970;1999;FA;Commando Doctrine Staff;High;LJean_Vallette_d'Osia;X
57177;Head of Military Intelligence;Louis Baril;1936;1964;1999;SD;Dismal Enigma;High;LLouis_Baril;X
57178;Chief of Staff;André Laffargue;1936;1970;1999;FA;School of Mass Combat;High;LAndre_Laffargue;X
57179;Chief of Army;André Laffargue;1936;1970;1999;FA;Doctrine of Autonomy;High;LAndre_Laffargue;X
57180;Chief of Staff;Alphonse Juin;1939;1962;1999;SC;School of Psychology;High;VICJui;X
57181;Chief of Air Force;Félix Brunet;1950;1970;1999;PA;Vertical Envelopment Doctrine;High;LFelix_Brunet;X
57182;Chief of Staff;Marcel Bigeard;1946;1970;1999;PA;Commando Doctrine Staff;High;LMarcel_Bigeard;X
57183;Chief of Army;Marcel Bigeard;1946;1970;1999;PA;Commando Doctrine Army;High;LMarcel_Bigeard;X
57184;Minister of Armament;Pierre Marie Gallois;1948;1970;1999;SC;Theoretical Scientist;High;LPierre_Marie_Gallois;X
57185;Minister of Armament;André Beaufre;1950;1970;1999;SC;Reformer;High;LAndre_Beaufre;X
57186;Chief of Army;André Beaufre;1950;1970;1999;SC;Doctrine of Autonomy;High;LAndre_Beaufre;X
57187;Chief of Staff;André Beaufre;1950;1970;1999;SC;School of Psychology;High;LAndre_Beaufre;X
57188;Minister of Armament;Charles Spinasse;1936;1970;1999;SD;Mixed Economy;High;MCharles_Spinasse;X
57189;Foreign Minister;Charles Spinasse;1936;1970;1999;SD;Biased Intellectual;High;MCharles_Spinasse;X
57190;Minister of Armament;Jean Coutrot;1941;1965;1999;SL;Planned Economy Proponent;High;MJean_Coutrot;X
57191;Minister of Armament;Jules Mény;1928;1960;1999;SL;Oil Baron;High;MJules_Meny;X
57192;Minister of Armament;Léon Daum;1936;1966;1999;ML;Administrative Genius;High;MLeon_Daum;X
57193;Minister of Armament;Jean Monnet;1938;1970;1999;ML;Bank President;High;MJean_Monnet;X
57194;Foreign Minister;Jean Monnet;1938;1970;1999;ML;Great Compromiser;High;MJean_Monnet;X
57195;Minister of Armament;Pierre Auger;1945;1970;1999;ML;Theoretical Scientist;High;MPierre-Victor_Auger;X
57196;Minister of Armament;Pierre Guillaumat;1945;1970;1999;ML;Oil Baron;High;MPierre_Guillaumat;X
57197;Minister of Armament;Eugène Bloch;1934;1948;1999;SC;Theoretical Scientist;High;MEugene_Bloch;X
57198;Minister of Armament;Jules Aubrun;1936;1959;1999;SC;Steel Magnate;High;MJules_Aubrun;X
57199;Minister of Armament;Robert Gibrat;1948;1970;1999;SC;Theoretical Scientist;High;MRobert_Gibrat;X
57200;Head of Military Intelligence;Robert Gibrat;1940;1970;1999;SC;Technical Specialist;High;MRobert_Gibrat;X
57201;Minister of Armament;André Defline;1929;1945;1999;PA;Resource Industrialist;High;MAndre_Defline;X
57202;Minister of Armament;Auguste Detoeuf;1936;1947;1999;PA;Construction Magnate;High;MAuguste_Detoeuf;X
57203;Minister of Armament;Robert Touchon;1936;1960;1999;PA;Infantry Proponent;High;L24140;X
57204;Minister of Armament;Thibaut de Solages;1936;1970;1999;PA;Laissez-Faire Capitalist;High;MAlexis-Gabriel-Marie-Thibault_de_Solages;X
57205;Minister of Armament;Jean Bichelonne;1940;1970;1999;PA;Industrialiser;High;MJean_Bichelonne;X
57206;Head of Military Intelligence;Jean Bichelonne;1939;1970;1999;PA;Industrial Specialist;High;MJean_Bichelonne;X
57207;Minister of Armament;Victor de Metz;1941;1970;1999;PA;Oil Baron;High;MVictor_de_Metz;X
57208;Minister of Armament;Georges Painvin;1922;1970;1999;FA;Industrialiser;High;MGeorges_Painvin;X
57209;Head of Military Intelligence;Georges Painvin;1922;1970;1999;FA;Industrial Specialist;High;MGeorges_Painvin;X
57210;Minister of Security;Henry Chavin;1936;1965;1999;SL;Crime Fighter;High;MHenry_Chavin;X
57211;Minister of Security;Alfred Sauvy;1937;1970;1999;PA;Efficient Sociopath;High;MAlfred_Sauvy;X
57212;Head of Military Intelligence;Louis Rivet;1936;1958;1999;SC;Counterintelligence Specialist;High;MLouis_Rivet;X
57213;Head of Military Intelligence;Paul Paillole;1941;1970;1999;FA;Counterintelligence Specialist;High;MPaul_Paillole;X
57214;Minister of Security;Paul Paillole;1941;1970;1999;FA;Secret Police Chief;High;MPaul_Paillole;X
57215;Head of Military Intelligence;Jean Jardin;1942;1970;1999;FA;Political Specialist;High;MJean_Jardin;X
57216;Foreign Minister;Jean Jardin;1942;1970;1999;FA;The Cloak N Dagger Schemer;High;MJean_Jardin;X
57217;Chief of Staff;Charles Griveaud;1936;1956;1999;SC;School of Defence;High;LCharles_Griveaud;X
57218;Chief of Army;Charles Griveaud;1936;1956;1999;SC;Static Defence Doctrine;High;LCharles_Griveaud;X
57219;Chief of Staff;Paul Vauthier;1936;1970;1999;SC;School of Fire Support;High;LPaul_Vauthier;X
57220;Chief of Air Force;Paul Vauthier;1936;1970;1999;SC;Air Defence Doctrine;High;LPaul_Vauthier;X
57221;Minister of Armament;Paul Vauthier;1936;1970;1999;SC;Reformer;High;LPaul_Vauthier;X
57222;Chief of Staff;Pierre Marie Gallois;1953;1970;1999;SC;Strategic Missile Focus;High;LPierre_Marie_Gallois;X
57223;Chief of Staff;Alphonse Georges;1932;1951;1999;PA;School of Mass Combat;High;L24082;X
57224;Chief of Army;Alphonse Georges;1932;1951;1999;PA;Doctrine of Autonomy;High;L24082;X
57225;Head of Military Intelligence;Alphonse Georges;1932;1951;1999;PA;Logistics Specialist;High;L24082;X
57226;Chief of Staff;Paul-Marie-Joseph de la Porte du Theil;1935;1970;1999;PA;School of Fire Support;High;L24050;X
57227;Chief of Army;Paul-Marie-Joseph de la Porte du Theil;1935;1970;1999;PA;Innovative Artillery Officer;High;L24050;X
57228;Chief of Army;Antoine Huré;1936;1949;1999;SC;Combat Engineering Doctrine;High;LAntoine_Hure;X
57229;Chief of Army;Aubert Frère;1936;1951;1999;SC;Decisive Battle Doctrine;High;LAubert-Achille-Jules_Frere;X
57230;Chief of Army;Robert Altmayer;1932;1959;1999;SC;Old Cavalry General;High;LRobert_Altmayer;X
57231;Chief of Army;Charles-Gabriel-Renaud Massiet;1936;1947;1999;PA;Old Cavalry General;High;LCharles-Gabriel-Renaud_Massiet;X
57232;Chief of Army;Henri Giraud;1936;1949;1999;PA;Elastic Defence Doctrine;High;VICGir;X
57233;Minister of Armament;Henri Giraud;1932;1949;1999;PA;Infantry Proponent;High;VICGir;X
57234;Chief of Army;René Prioux;1936;1954;1999;FA;Armoured Spearhead Doctrine;High;VIC_René Prioux;X
57235;Chief of Navy;Jacques Trolley de Prévaux;1937;1963;1999;SL;Open Seas Doctrine;High;LJacques_Trolley_de_Prevaux;X
57236;Chief of Air Force;Jacques Trolley de Prévaux;1937;1963;1999;SL;Naval Aviation Doctrine;High;LJacques_Trolley_de_Prevaux;X
57237;Head of Military Intelligence;Jacques Trolley de Prévaux;1937;1963;1999;SL;Naval Intelligence Specialist;High;LJacques_Trolley_de_Prevaux;X
57238;Chief of Navy;Georges Hébert;1930;1957;1999;SC;Base Control Doctrine;High;MGeorges_Hebert;X
57239;Chief of Navy;Henri Cangardel;1931;1970;1999;PA;Merchant Navy Focus;High;MHenri_Cangardel;X
57240;Chief of Navy;Jean de Laborde;1932;1970;1999;PA;Power Projection Doctrine;High;L380037;X
57241;Head of Government;Georges Durand-Viel;1931;1959;1999;SC;Old Admiral;High;LGeorges_Durand-Viel;X
57242;Head of Government;Louis Franchet d'Espèrey;1936;1942;1999;PA;Respected War Hero;High;Kaiserreich d'Esperey;X
57243;Head of Government;Pierre Héring;1936;1963;1999;PA;Reformist Soldierhog;High;LPierre_Hering;X
57244;Chief of Staff;Pierre Héring;1936;1963;1999;PA;School of Manoeuvre;High;LPierre_Hering;X
57245;Chief of Army;Pierre Héring;1936;1963;1999;PA;Doctrine of Autonomy;High;LPierre_Hering;X
57246;Chief of Staff;François Sevez;1944;1961;1999;SC;School of Defence;High;L24136;X
57247;Chief of Navy;François Sevez;1943;1961;1999;SC;Base Control Doctrine;High;L24136;X
57248;Foreign Minister;Pierre Mendes France;1944;1970;1999;SD;Ideological Crusader;High;vic_prrmndsfr;X
57249;Minister of Armament;Pierre Mendes France;1944;1970;1999;SD;Keynesian Economy;High;vic_prrmndsfr;X
57250;Foreign Minister;Yves Chataigneau;1937;1969;1999;SL;Apologetic Clerk;High;M528020;X
57251;Minister of Armament;Antonin Brocard;1936;1950;1999;ML;Air Superiority Proponent;High;VICBro;X
57252;Minister of Armament;Victor Denain;1936;1952;1999;ML;Strategic Air Proponent;High;L24361;X
57253;Minister of Armament;Roger Pennès;1934;1965;1999;SC;Air to Ground Proponent;High;LRoger-Jean-Eugene_Pennes;X
