TEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
584216;Chief of Staff;Marvin Griffin;1936;1970;1999;NS;School of Fire Support;High;TEX Marvin Griffin;X
584217;Head of Military Intelligence;Rose McConnell Long;1936;1970;1999;PA;Counterintelligence Specialist;High;TEX Rose McConnell Long;X
584218;Minister of Armament;Dixie Bibb Graves;1936;1970;1999;PA;Planned Economy Proponent;High;TEX Dixie Bibb Graves;X
584164;Minister of Armament;Solomon Blatt Sr.;1936;1964;1999;SC;Laissez-Faire Capitalist;High;TEX Solomon Blatt;X
584222;Minister of Security;Spessard Holland;1936;1964;1999;SC;Man of the People;High;TEX Spessard Holland;X
584223;Minister of Armament;Spessard Holland;1936;1964;1999;SC;Construction Magnate;High;TEX Spessard Holland;X
571098;Minister of Armament;Paul Hall;1936;1964;1999;SD;Battle Fleet Proponent;Medium;TEX Paul Hall;X
571002;Head of State;Huey Long;1936;1964;1999;PA;Southern Demagogue;High;kaiserreich hueylong;X
571003;Head of State;Earl Long;1940;1964;1999;PA;Autocratic Charmer;High;M573001;X
571004;Head of State;Charles Lindbergh;1936;1964;1999;SC;Pig-headed Isolationist;Very High;M6020;X
571005;Head of State;William Dudley Pelley;1936;1964;1999;NS;His Eyes Have Seen The Glory;High;Pelley;X
571006;Head of State;Gerald K. Smith;1936;1964;1999;PA;Powerhungry Demagogue;High;M6040;X
584225;Minister of Armament;Gladys Pyle;1936;1964;1999;SC;Laissez-Faire Capitalist;High;TEX Gladys Pyle;X
584226;Minister of Security;John Little McClellan;1936;1964;1999;SC;Crime Fighter;High;TEX John Little McClellan;X
571007;Head of State;William F. Lemke;1936;1964;1999;PA;Barking Buffoon;Medium;M6097;X
571008;Head of Government;Charles Lindbergh;1936;1964;1999;SC;Happy Amateur;Very High;M6020;X
571009;Head of Government;Gerald K. Smith;1936;1964;1999;PA;Political Protege;High;M6040;X
571010;Head of Government;Father Charles Coughlin;1936;1964;1999;FA;Spiritual Leader;High;M6013;X
571011;Head of Government;William Dudley Pelley;1936;1964;1999;NS;Flamboyant Tough Guy;High;Pelley;X
571012;Head of Government;William F. Lemke;1936;1964;1999;FA;Happy Amateur;Medium;M6097;X
571013;Foreign Minister;Lawrence Dennis;1936;1964;1999;PA;Biased Intellectual;Very High;Kaiserreich Lawrence Dennis;X
571014;Foreign Minister;David I. Walsh;1936;1964;1999;SC;Apologetic Clerk;Very High;Kaiserreich Walsh;X
571015;Foreign Minister;Father Charles Coughlin;1936;1964;1999;FA;Ideological Crusader;High;M6013;X
571016;Foreign Minister;J.T. Renfrew;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;M571003;X
571017;Foreign Minister;Lee O. Willard;1936;1964;1999;PA;General Staffer;High;M571011;X
571018;Foreign Minister;Earl Long;1940;1964;1999;PA;Ideological Crusader;High;M573001;X
571019;Foreign Minister;H. L. Mencken;1936;1964;1999;FA;Biased Intellectual;High;kaiserreich_AUS_Mencken;X
571020;Foreign Minister;Oscar Allen;1936;1964;1999;PA;Biased Intellectual;High;kaiserreich_AUS_Oscar_Allen;X
571021;Minister of Armament;Henry Ford;1936;1964;1999;SC;Administrative Genius;Very High;M6014;X
571022;Minister of Armament;William F. Lemke;1936;1964;1999;PA;Theoretical Scientist;High;M6097;X
571023;Minister of Armament;Lawrence Dennis;1936;1964;1999;PA;Administrative Genius;Very High;Kaiserreich Lawrence Dennis;X
571024;Minister of Armament;Milo Reno;1936;1964;1999;PA;Laissez-Faire Capitalist;Very High;Kaiserreich Milo Reno;X
571025;Minister of Armament;Huey Long;1936;1964;1999;FA;Resource Industrialist;High;kaiserreich hueylong;X
571026;Minister of Armament;Prescott Sheldon Bush;1936;1964;1999;FA;Laissez-Faire Capitalist;High;Kaiserreich Prescott Bush;X
571027;Minister of Security;John Fournet;1936;1964;1999;PA;Crime Fighter;High;kaiserreich_AUS_John_Fournet;X
571028;Minister of Security;William Dudley Pelley;1936;1964;1999;NS;Prince of Terror;Medium;Pelley;X
571029;Minister of Security;Michael Alldredge Harlan;1936;1964;1999;PA;Crime Fighter;Medium;M571019;X
571030;Minister of Security;George Seargeant;1936;1964;1999;PA;Prince of Terror;Medium;M571020;X
571031;Minister of Security;Gerald K. Smith;1936;1964;1999;PA;Back Stabber;Low;M6040;X
571032;Minister of Security;Gerald B. Winrod;1936;1964;1999;PA;Efficient Sociopath;Very High;M6191;X
571033;Minister of Security;Burton K. Wheeler;1936;1964;1999;PA;Efficient Sociopath;Medium;M6202;X
571034;Minister of Security;Earl Williamson;1936;1964;1999;PA;Man of the People;High;kaiserreich_AUS_Earl_Williamson;X
571035;Minister of Security;William Bell Riley;1936;1964;1999;FA;Efficient Sociopath;High;kaiserreich_AUS_William_Riley;X
571036;Minister of Security;Billy Graham;1947;1964;1999;FA;Prince of Terror;High;kaiserreich_AUS_Billy_Graham;X
584167;Minister of Security;Walter F. George;1936;1957;1999;SC;Man of the People;High;TEX Walter George;X
584163;Minister of Armament;Joseph Emile Harley;1936;1942;1999;SC;Infantry Proponent;High;TEX Joseph Harley;X
571037;Minister of Security;Edsel Ford;1936;1964;1999;PA;Compassionate Gentleman;High;kaiserreich_AUS_Edsel_Ford;X
571038;Minister of Security;H. Keith Thompson;1940;1964;1999;SC;Crime Fighter;High;kaiserreich_AUS_Keith_Thompson;X
571039;Head of Military Intelligence;Gerald K. Smith;1936;1964;1999;PA;Political Specialist;High;M6040;X
571040;Head of Military Intelligence;Edwin Emerson;1936;1964;1999;FA;Political Specialist;Very High;unknown;X
571041;Head of Military Intelligence;Sam J. Ervin Jr.;1936;1964;1999;PA;Political Specialist;Medium;M571021;X
571042;Head of Military Intelligence;Robert Earl Sherman;1936;1964;1999;PA;Industrial Specialist;Medium;M571022;X
584227;Minister of Armament;Robert Maestri;1936;1964;1999;PA;Administrative Genius;Medium;TEX Robert Maestri;X
571043;Head of Military Intelligence;George Sylvester Viereck;1936;1964;1999;NS;Political Specialist;Medium;kaiserreich_AUS_George_Sylvester_Viereck;X
571044;Head of Military Intelligence;Charles Sorensen;1936;1964;1999;SC;Industrial Specialist;Medium;kaiserreich_AUS_Charles_Sorensen;X
571045;Head of Military Intelligence;Francis Parker Yockey;1936;1964;1999;FA;Political Specialist;Medium;kaiserreich_AUS_Francis_Parker_Yockey;X
571046;Head of Military Intelligence;Simon Emil Koedel;1936;1964;1999;NS;Naval Intelligence Specialist;Medium;TEX Simon Emil Koedel;X
571047;Chief of Staff;George S. Patton;1938;1964;1999;PA;School of Manoeuvre;High;L60294;X
571048;Chief of Staff;Larry K. Arnold;1936;1964;1999;PA;School of Manoeuvre;Medium;M571023;X
571049;Chief of Staff;Lee O. Willard;1936;1964;1999;PA;School of Psychology;Medium;M571011;X
571050;Chief of Army;George S. Patton;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;L60294;X
571051;Chief of Army;John B. Ricketts;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M571008;X
571052;Chief of Army;R.J. Stockman;1936;1964;1999;PA;Static Defence Doctrine;Medium;M571025;X
571053;Chief of Army;Myron G. Ashcroft;1936;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M571026;X
571054;Chief of Navy;William Halsey;1936;1964;1999;PA;Power Projection Doctrine;High;L60414;X
571055;Chief of Navy;Lee Hugh Pollard III;1936;1964;1999;PA;Open Seas Doctrine;Medium;M571009;X
571056;Chief of Navy;Philip R. Bush;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M571027;X
571057;Chief of Air Force;Nathan B. Forrest III;1936;1964;1999;FA;Army Aviation Doctrine;High;M6173;X
584221;Minister of Security;Olin Johnston;1936;1964;1999;FA;Efficient Sociopath;High;TEX Olin Johnston;X
571058;Chief of Air Force;Curtis 'Bombs Away' LeMay;1936;1964;1999;PA;Carpet Bombing Doctrine;High;L60532;X
571059;Chief of Air Force;Donal W. Armington;1936;1964;1999;PA;Carpet Bombing Doctrine;Medium;M571010;X
571060;Chief of Air Force;Richard C. Collins;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M571028;X
584187;Head of Government;Richard Russel Jr.;1936;1964;1999;FA;Silent Workhorse;Medium;TEX Richard Russell JR;X
584162;Minister of Security;Richard Russel Jr.;1936;1964;1999;FA;Health and Safety;Medium;TEX Richard Russell JR;X
571061;Chief of Air Force;Charles Lindbergh;1936;1964;1999;PA;Air Superiority Doctrine;High;M6020;X
571062;Foreign Minister;Seward Collins;1936;1964;1999;FA;Iron Fisted Brute;High;kaiserreich_AUS_Seward_Collins;X
571063;Head of Military Intelligence;Robert Rice Reynolds;1936;1964;1999;PA;Technical Specialist;High;kaiserreich_AUS_Robert_Reynolds;X
571064;Head of State;Harry Leland Mitchell;1936;1964;1999;SD;Die-hard Reformer;Very High;M5573024;X
571065;Head of Government;Helen Adams Keller;1936;1964;1999;SD;Happy Amateur;Very High;M5573036;X
571066;Foreign Minister;Lee Elhardt Hays;1936;1964;1999;SD;Great Compromiser;Medium;M5573052;X
571067;Minister of Armament;C. Covington Hall;1936;1964;1999;SD;Theoretical Scientist;Very High;M5573070;X
571068;Minister of Security;Clay Fulks;1936;1964;1999;SD;Compassionate Gentleman;Very High;unknown;X
571069;Minister of Security;Helen Adams Keller;1936;1964;1999;SD;Compassionate Gentleman;Very High;M5573036;X
571070;Minister of Security;Stetson Kennedy;1940;1964;1999;SD;Back Stabber;Medium;M5573090;X
571071;Head of Military Intelligence;William March;1936;1964;1999;SD;Dismal Enigma;Very High;M5573097;X
571072;Head of Military Intelligence;Stetson Kennedy;1940;1964;1999;SD;Political Specialist;Medium;M5573090;X
571073;Head of State;Harry Flood Byrd Sr.;1936;1964;1999;SC;Stern Imperialist;High;M5573001;X
571074;Chief of Staff;Fox Conner;1936;1964;1999;ML;School of Manoeuvre;High;M5573000;X
571075;Chief of Army;Fox Conner;1936;1964;1999;ML;Guns and Butter Doctrine;High;M5573000;X
571076;Chief of Navy;Claude Augustus Swanson;1936;1964;1999;ML;Decisive Naval Battle Doctrine;High;M6009;X
571077;Chief of Air Force;Frank Maxwell Andrews;1936;1964;1999;ML;Carpet Bombing Doctrine;High;L60482;X
571078;Foreign Minister;J.O. Allen Tate;1936;1964;1999;ML;Apologetic Clerk;High;kai_joaltl;X
571079;Head of State;Carey Estes Kefauver;1936;1964;1999;SL;Die-hard Reformer;High;kai_creetcfu;X
571080;Head of Government;Sidney Sanders McMath;1936;1964;1999;SL;Happy Amateur;High;kai_sdsdrmct;X
571081;Head of State;Strom Thurmond;1946;1970;1999;PA;Stern Imperialist;High;M6051;X
571082;Head of Government;Strom Thurmond;1946;1970;1999;PA;Old General;High;M6051;X
571083;Chief of Army;Kenneth Althaus;1942;1970;1999;PA;Armoured Spearhead Doctrine;High;M6018;X
571084;Chief of Army;Roy Geiger;1940;1947;1999;PA;Decisive Battle Doctrine;High;L60516;X
571085;Chief of Air Force;Roy Geiger;1940;1947;1999;PA;Naval Aviation Doctrine;High;L60516;X
571086;Chief of Staff;Matthew Ridgway;1942;1970;1999;PA;School of Mass Combat;High;L60311;X
571087;Chief of Army;Matthew Ridgway;1942;1970;1999;PA;Elastic Defence Doctrine;High;L60311;X
571088;Foreign Minister;Francis Parker Yockey;1947;1970;1999;NS;Ideological Crusader;High;kaiserreich_AUS_Francis_Parker_Yockey;X
571089;Chief of Air Force;Claire Chennault;1937;1958;1999;PA;Air Superiority Doctrine;High;L50370;X
571090;Chief of Staff;Garrison H. Davidson;1948;1970;1999;ML;School of Defence;High;L60122;X
571091;Chief of Army;Garrison H. Davidson;1948;1970;1999;ML;Static Defence Doctrine;High;L60122;X
584228;Chief of Army;deLesseps Story Morrison;1936;1970;1999;SC;Guns and Butter Doctrine;High;TEX deLesseps Story Morrison;X
584229;Foreign Minister;deLesseps Story Morrison;1936;1970;1999;SC;Great Compromiser;High;TEX deLesseps Story Morrison;X
584206;Foreign Minister;George S. Long;1936;1958;1999;PA;Iron Fisted Brute;High;TEX George Long;X
584207;Head of Military Intelligence;George S. Long;1936;1958;1999;PA;Dismal Enigma;High;TEX George Long;X
571092;Chief of Staff;Roy Geiger;1941;1947;1999;PA;Commando Doctrine Staff;High;L60516;X
571093;Chief of Navy;Thomas H. Moorer;1948;1990;1999;PA;Open Seas Doctrine;High;Thomas_H_Moorer;X
571094;Chief of Air Force;Thomas H. Moorer;1948;1990;1999;PA;Naval Aviation Doctrine;High;Thomas_H_Moorer;X
571095;Chief of Air Force;Laura H. Ingalls;1936;1967;1999;NS;Air Superiority Doctrine;High;Laura_H_Ingalls;X
571096;Foreign Minister;Ezra Pound;1936;1972;1999;NS;Biased Intellectual;High;M6069;X
571097;Minister of Security;E. D. Nixon;1940;1987;1999;SD;Man of the People;High;TEX E D Nixon;X
584181;Minister of Security;Richard Webster Leche;1936;1964;1999;PA;Crooked Kleptocrat;High;M573002;X
584182;Head of Military Intelligence;Richard Webster Leche;1936;1964;1999;PA;Counterintelligence Specialist;High;M573002;X
584186;Foreign Minister;Eugene Talmadge;1936;1964;1999;NS;Iron Fisted Brute;High;M573013;X
584166;Head of Government;Eugene Talmadge;1936;1964;1999;NS;Backroom Backstabber;High;M573013;X
584180;Minister of Armament;Carl Bailey;1936;1948;1999;SC;Construction Magnate;Medium;M573019;X
584161;Head of Military Intelligence;Eurith Dickinson Rivers;1936;1964;1999;SC;Political Specialist;Medium;M573035;X
584175;Minister of Armament;Eurith Dickinson Rivers;1936;1964;1999;SC;Construction Magnate;Medium;M573035;X
584189;Minister of Armament;Homer M. Adkins;1936;1964;1999;SC;Keynesian Economy;Medium;M573039;X
584179;Head of State;George Wallace;1960;1964;1999;FA;Benevolent Gentleman;Medium;George_Wallace;X
584188;Head of Government;Herman Talmadge;1947;1964;1999;PA;Local Tyrant;Medium;Herman_Talmadge;X
584177;Minister of Security;Herman Talmadge;1947;1964;1999;PA;Crooked Kleptocrat;Medium;Herman_Talmadge;X
584191;Minister of Armament;James Francis Byrnes;1936;1964;1999;PA;Mixed Economy;Medium;James_Francis_Byrnes;X
584165;Foreign Minister;James Francis Byrnes;1936;1964;1999;PA;Biased Intellectual;Medium;James_Francis_Byrnes;X
584184;Head of State;Carl Edward Sanders;1960;1964;1999;SC;Benevolent Gentleman;Medium;Carl_Edward_Sanders;X
584173;Minister of Security;Carl Edward Sanders;1955;1964;1999;SC;Man of the People;Medium;Carl_Edward_Sanders;X
584193;Head of Government;George Wallace;1960;1964;1999;FA;Flamboyant Tough Guy;Medium;George_Wallace;X
584185;Head of Government;Ellis Arnall;1940;1964;1999;SL;Naive Optimist;Medium;Ellis_Arnall;X
584176;Head of State;Ellis Arnall;1940;1964;1999;SL;Benevolent Gentleman;Medium;Ellis_Arnall;X
584194;Head of Government;George Wallace;1960;1964;1999;SC;Flamboyant Tough Guy;Medium;George_Wallace;X
584160;Minister of Security;Bull Connor;1936;1964;1999;FA;Prince of Terror;Medium;Bull_Connor;X
584192;Minister of Security;Hattie Caraway;1936;1950;1999;PA;Prince of Terror;Medium;Hattie_Caraway;X
584178;Minister of Armament;Hattie Caraway;1936;1950;1999;PA;Resource Industrialist;Medium;Hattie_Caraway;X
584183;Minister of Security;George Wallace;1956;1964;1999;SC;Prince of Terror;Medium;George_Wallace;X
584195;Minister of Security;George Wallace;1956;1964;1999;FA;Man of the People;Medium;George_Wallace;X
584190;Head of Military Intelligence;Melvin Thompson;1940;1964;1999;ML;Technical Specialist;Medium;Melvin_Thompson;X
584174;Minister of Armament;Melvin Thompson;1940;1964;1999;ML;Industrialiser;Medium;Melvin_Thompson;X
584170;Foreign Minister;J. William Fulbright;1945;1964;1999;ML;Ideological Crusader;Medium;J_William_Fulbright;X
584224;Minister of Security;J. Lister Hill;1936;1964;1999;PA;Health and Safety;Medium;TEX Lister Hill;X
