UCS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
99031;Foreign Minister;Li Huang;1924;1970;1999;SC;Biased Intellectual;High;Li Huang;X
99032;Head of State;Liu Yuanxuan;1955;1970;1999;SC;Insignificant Layman;High;LLiu_Yuanxuan2;X
99033;Head of Government;Liu Yuanxuan;1953;1970;1999;SC;Political Protege;High;LLiu_Yuanxuan2;X
99034;Head of State;Lü Chao;1936;1955;1999;PA;Stern Imperialist;High;LLu_Chao;X
99035;Head of Government;Lü Chao;1936;1955;1999;PA;Happy Amateur;High;LLu_Chao;X
99036;Head of State;Deng Xihou;1924;1964;1999;PA;Resigned Generalissimo;High;Deng Xihou;X
99037;Chief of Army;Deng Xihou;1936;1964;1999;PA;Doctrine of Autonomy;High;Deng Xihou;X
99038;Head of State;Liu Wenhui;1929;1970;1999;FA;Die-hard Reformer;High;M501004;X
99039;Head of State;Yang Sen;1924;1970;1999;FA;Ruthless Powermonger;High;MYang_Sen;X
99040;Chief of Army;Yang Sen;1924;1950;1999;FA;Decisive Battle Doctrine;High;L50343;X
99041;Head of Government;Xiong Guobing;1936;1960;1999;LE;Silent Workhorse;High;MXiong_Guobing;X
99042;Minister of Security;Xiong Guobing;1936;1960;1999;LE;Man of the People;High;MXiong_Guobing;X
99043;Head of Government;Yang Angong;1936;1970;1999;LWR;Naive Optimist;High;MYang_Angong;X
99044;Foreign Minister;Yang Angong;1936;1970;1999;LWR;Ideological Crusader;High;MYang_Angong;X
99045;Head of Government;Cheng Zijian;1949;1970;1999;LWR;Silent Workhorse;High;MCheng_Zijian;X
99046;Head of Government;Fan Puzhai;1936;1970;1999;SD;Pragmatic Statesman;High;MFan_Puzhai;X
99047;Foreign Minister;Fan Puzhai;1936;1970;1999;SD;Great Compromiser;High;MFan_Puzhai;X
99048;Head of Government;Pan Dakui;1950;1970;1999;SD;Political Protege;High;MPan_Dakui;X
99049;Minister of Security;Pan Dakui;1943;1970;1999;SD;Silent Lawyer;High;MPan_Dakui;X
99050;Head of Government;Hu Ciwei;1950;1970;1999;ML;Naive Optimist;High;MHu_Ciwei;X
99051;Minister of Security;Hu Ciwei;1940;1970;1999;ML;Silent Lawyer;High;MHu_Ciwei;X
99052;Head of Government;Guo Changming;1934;1957;1999;SC;Old General;High;LGuo_Changming;X
99053;Chief of Staff;Guo Changming;1934;1957;1999;SC;School of Defence;High;LGuo_Changming;X
99054;Head of Government;Zhong Tiqian;1945;1962;1999;SC;Old General;High;LZhong_Tiqian;X
99055;Chief of Staff;Zhong Tiqian;1926;1962;1999;SC;School of Fire Support;High;LZhong_Tiqian;X
99056;Head of Government;Gan Jiyong;1934;1962;1999;SC;Silent Workhorse;High;MGan_Jiyong;X
99057;Head of Government;Dan Maoxin;1936;1965;1999;SC;Pragmatic Statesman;High;MDan_Maoxin;X
99058;Foreign Minister;Dan Maoxin;1936;1965;1999;SC;Great Compromiser;High;MDan_Maoxin;X
99059;Head of Government;Zheng Dongqin;1936;1965;1999;SC;Corporate Suit;High;MZheng_Dongqin;X
99060;Minister of Security;Zheng Dongqin;1918;1965;1999;SC;Crime Fighter;High;MZheng_Dongqin;X
99061;Chief of Navy;Zheng Dongqin;1927;1965;1999;SC;Merchant Navy Focus;High;MZheng_Dongqin;X
99062;Head of Government;Yang Shukan;1924;1942;1999;PA;Naive Optimist;High;MYang_Shukan;X
99063;Foreign Minister;Yang Shukan;1924;1942;1999;PA;Apologetic Clerk;High;MYang_Shukan;X
99064;Head of Government;Xiang Chu;1920;1961;1999;PA;Happy Amateur;High;MXiang_Chu;X
99065;Foreign Minister;Xiang Chu;1920;1961;1999;PA;Ideological Crusader;High;MXiang_Chu;X
99066;Head of Government;Huang Yin;1936;1968;1999;PA;Respected War Hero;High;LHuang_Yin;X
99067;Chief of Staff;Huang Yin;1924;1968;1999;PA;School of Defence;High;LHuang_Yin;X
99068;Chief of Army;Huang Yin;1938;1968;1999;PA;Static Defence Doctrine;High;LHuang_Yin;X
99069;Head of Government;Zhang Weijiong;1936;1970;1999;PA;Pragmatic Statesman;High;MZhang_Weijiong;X
99070;Head of Government;Huang Jilu;1952;1970;1999;PA;Political Protege;High;MHuang_Jilu;X
99071;Minister of Security;Huang Jilu;1943;1970;1999;PA;Media Magnate;High;MHuang_Jilu;X
99072;Head of Government;Deng Huamin;1950;1970;1999;PA;Happy Amateur;High;MDeng_Huamin;X
99073;Minister of Armament;Deng Huamin;1948;1970;1999;PA;Resource Industrialist;High;MDeng_Huamin;X
99074;Head of Government;Liu Cunhou;1917;1960;1999;FA;Local Tyrant;High;Liu Cunhou;X
99075;Head of Government;Wang Zanxu;1936;1960;1999;FA;Backroom Backstabber;High;LWang_Zanxu;X
99076;Minister of Security;Wang Zanxu;1936;1960;1999;FA;Back Stabber;High;LWang_Zanxu;X
99077;Chief of Army;Wang Zanxu;1936;1960;1999;FA;Guns and Butter Doctrine;High;LWang_Zanxu;X
99078;Head of Government;Yang Hanlie;1954;1970;1999;FA;Respected War Hero;High;LYang_Hanlie;X
99079;Chief of Army;Yang Hanlie;1948;1970;1999;FA;Old Cavalry General;High;LYang_Hanlie;X
99080;Foreign Minister;Li Zhuoran;1936;1970;1999;ST;Ideological Crusader;High;MLi_Zhuoran;X
99081;Minister of Security;Li Zhuoran;1936;1970;1999;ST;Media Magnate;High;MLi_Zhuoran;X
99082;Foreign Minister;Lai Yali;1940;1970;1999;LWR;Great Compromiser;High;MLai_Yali;X
99083;Foreign Minister;Zeng Yongquan;1949;1970;1999;LWR;Apologetic Clerk;High;MZeng_Yongquan;X
99084;Foreign Minister;Chen Baoyin;1936;1960;1999;SL;Great Compromiser;High;MChen_Qixiu;X
99085;Minister of Armament;Chen Baoyin;1936;1960;1999;SL;Planned Economy Proponent;Undying;MChen_Qixiu;X
99086;Foreign Minister;Guo Youshou;1938;1970;1999;SL;The Cloak N Dagger Schemer;High;MGuo_Youshou;X
99087;Head of Military Intelligence;Guo Youshou;1938;1970;1999;SL;Political Specialist;High;MGuo_Youshou;X
99088;Foreign Minister;Zhou Conghua;1936;1965;1999;ML;Ideological Crusader;High;LZhou_Conghua;X
99089;Foreign Minister;Wang Zhaorong;1936;1968;1999;ML;Apologetic Clerk;High;MWang_Zhaorong;X
99090;Minister of Security;Wang Zhaorong;1936;1968;1999;ML;Silent Lawyer;High;MWang_Zhaorong;X
99091;Foreign Minister;Bao Deming;1946;1970;1999;ML;Ideological Crusader;High;MBao_Deming;X
99092;Foreign Minister;Liu Jiaju;1946;1970;1999;ML;Biased Intellectual;High;MLiu_Jiaju;X
99093;Foreign Minister;Cao Du;1920;1945;1999;SC;Ideological Crusader;High;MCao_Du;X
99094;Foreign Minister;Xiang Chuanyi;1928;1955;1999;SC;The Cloak N Dagger Schemer;High;LXiang_Chuanyi;X
99095;Minister of Armament;Xiang Chuanyi;1928;1955;1999;SC;Construction Magnate;High;LXiang_Chuanyi;X
99096;Foreign Minister;Kang Baiqing;1936;1959;1999;SC;Apologetic Clerk;High;MKang_Baiqing;X
99097;Foreign Minister;Wang Youyu;1928;1965;1999;SC;General Staffer;High;LWang_Youyu;X
99098;Minister of Armament;Wang Youyu;1928;1965;1999;SC;Infantry Proponent;High;LWang_Youyu;X
99099;Foreign Minister;Leng Yindong;1936;1970;1999;SC;Great Compromiser;High;MLeng_Yindong;X
99100;Minister of Security;Leng Yindong;1943;1970;1999;SC;Compassionate Gentleman;High;MLeng_Yindong;X
99101;Foreign Minister;Li Tianmin;1947;1970;1999;SC;Great Compromiser;High;MLi_Tianmin;X
99102;Foreign Minister;Zhang Biguo;1928;1953;1999;PA;The Cloak N Dagger Schemer;High;MZhang_Biguo;X
99103;Minister of Security;Zhang Biguo;1928;1953;1999;PA;Prince of Terror;High;MZhang_Biguo;X
99104;Minister of Armament;Zheng Yizhai;1932;1970;1999;LE;Administrative Genius;High;MZheng_Yizhai;X
99105;Minister of Armament;Chen Xiuhe;1936;1970;1999;LWR;Artillery Proponent;High;MChen_Xiuhe;X
99106;Minister of Armament;Zhang Hongyuan;1942;1970;1999;LWR;Industrial Chemist;High;MZhang_Hongyuan;X
99107;Minister of Armament;Zeng Yuanrong;1945;1970;1999;LWR;Theoretical Scientist;High;MZeng_Yuanrong;X
99108;Minister of Armament;Jin Liqiu;1933;1957;1999;SD;Bank President;High;MJin_Liqiu;X
99109;Minister of Armament;Wei Shizhen;1935;1970;1999;SD;Theoretical Scientist;High;MWei_Shizhen;X
99110;Minister of Armament;Shui Xiheng;1936;1970;1999;SD;Construction Magnate;High;MShui_Xiheng;X
99111;Minister of Armament;Cao Renyuan;1937;1970;1999;SD;Industrial Chemist;High;MCao_Renyuan;X
99112;Minister of Armament;Peng Dixian;1945;1970;1999;SD;Planned Economy Proponent;High;MPeng_Dixian;X
99113;Minister of Armament;Hu Jichuang;1946;1970;1999;SD;Keynesian Economy;High;MHu_Jichuang;X
99114;Minister of Armament;Wu Jinhang;1936;1965;1999;SL;Laissez-Faire Capitalist;High;MWu_Jinhang;X
99115;Minister of Armament;Xian Ying;1936;1968;1999;SL;Administrative Genius;High;MXian_Ying;X
99116;Minister of Security;Xian Ying;1936;1968;1999;SL;Man of the People;High;MXian_Ying;X
99117;Minister of Armament;Yang Youzhi;1936;1970;1999;SL;Balanced Budget Economy;High;MYang_Youzhi;X
99118;Minister of Armament;Lin Damei;1947;1970;1999;SL;Construction Magnate;High;MLin_Damei;X
99119;Head of Military Intelligence;Lin Damei;1944;1970;1999;SL;Logistics Specialist;High;MLin_Damei;X
99120;Minister of Armament;Dong Shijin;1945;1970;1999;SL;Mixed Economy;High;MDong_Shijin;X
99121;Minister of Armament;Tan Qizhen;1936;1959;1999;ML;Mixed Economy;High;MTan_Qizhen;X
99122;Minister of Armament;Yang Cansan;1936;1962;1999;ML;Bank President;High;MYang_Cansan;X
99123;Minister of Armament;Huang Jiqing;1940;1970;1999;ML;Oil Baron;High;MHuang_Jiqing;X
99124;Minister of Armament;Shi Tiyuan;1942;1968;1999;ML;Mixed Economy;High;MShi_Tiyuan;X
99125;Minister of Armament;Xiong Zhefan;1944;1970;1999;ML;Construction Magnate;High;MXiong_Zhefan;X
99126;Minister of Armament;Hu Ziang;1938;1970;1999;ML;Industrialiser;High;MHu_Ziang;X
99127;Minister of Armament;Chang Longqing;1936;1970;1999;ML;Resource Industrialist;High;MChang_Longqing;X
99128;Minister of Armament;Pan Changyou;1938;1970;1999;ML;Bank President;High;MPan_Changyou;X
99129;Minister of Armament;Chen Jiayong;1952;1970;1999;ML;Steel Magnate;High;MChen_Jiayong;X
99130;Minister of Armament;Huang Jinao;1936;1951;1999;SC;Mixed Economy;High;MHuang_Jinao;X
99131;Minister of Security;Huang Jinao;1936;1951;1999;SC;Man of the People;High;MHuang_Jinao;X
99132;Minister of Armament;Ren Hongjun;1935;1961;1999;SC;Theoretical Scientist;High;MRen_Hongjun;X
99133;Minister of Armament;Kang Xinru;1936;1969;1999;SC;Industrialiser;High;MKang_Xinru;X
99134;Minister of Armament;Li Gongquan;1936;1970;1999;SC;Laissez-Faire Capitalist;High;MLi_Gongquan;X
99135;Minister of Security;Li Gongquan;1936;1970;1999;SC;Media Magnate;High;MLi_Gongquan;X
99136;Minister of Armament;Zhang Bolun;1937;1970;1999;SC;Construction Magnate;High;MZhang_Bolun;X
99137;Minister of Armament;Wu Gan;1937;1970;1999;SC;Keynesian Economy;High;MWu_Gan;X
99138;Minister of Armament;Chen Tiefu;1946;1970;1999;SC;Construction Magnate;High;MChen_Tiefu;X
99139;Minister of Armament;Zhao Tieqiao;1930;1956;1999;PA;Bank President;High;MZhao_Tieqiao;X
99140;Minister of Armament;Lü Kang;1940;1969;1999;PA;Infantry Proponent;High;LLu_Kang;X
99141;Minister of Armament;Xu Kan;1935;1969;1999;PA;Bank President;High;MXu_Kan;X
99142;Minister of Armament;Liu Hangchen;1927;1970;1999;PA;Balanced Budget Economy;High;MLiu_Hangchen;X
99143;Head of Military Intelligence;Liu Hangchen;1927;1970;1999;PA;Industrial Specialist;High;MLiu_Hangchen;X
99144;Minister of Armament;Mei Shuzeng;1936;1970;1999;PA;Laissez-Faire Capitalist;High;MMei_Shuzeng;X
99145;Minister of Armament;Zhao Juxu;1941;1970;1999;PA;Construction Magnate;High;LZhao_Juxu;X
99146;Head of Military Intelligence;Zhao Juxu;1936;1970;1999;PA;Industrial Specialist;High;LZhao_Juxu;X
99147;Minister of Armament;Chen Jiesheng;1948;1970;1999;PA;Administrative Genius;High;MChen_Jiesheng;X
99148;Head of Military Intelligence;Chen Jiesheng;1940;1970;1999;PA;Industrial Specialist;High;MChen_Jiesheng;X
99149;Minister of Armament;Du Qingqiu;1949;1970;1999;PA;Bank President;High;MDu_Qingqiu;X
99150;Minister of Security;Zhang Qinqiu;1936;1970;1999;ST;Compassionate Gentleman;High;L76301;X
99151;Minister of Security;Chen Changhao;1936;1970;1999;ST;Back Stabber;High;L76307;X
99152;Minister of Security;Ren Zhuoxuan;1941;1970;1999;ST;Media Magnate;High;MRen_Zhuoxuan;X
99153;Minister of Security;Yu Yuan;1936;1963;1999;LWR;Crime Fighter;High;LYu_Yuan;X
99154;Head of Military Intelligence;Yu Yuan;1936;1963;1999;LWR;Dismal Enigma;High;LYu_Yuan;X
99155;Minister of Security;Che Yaoxian;1936;1964;1999;LWR;Man of the People;High;MChe_Yaoxian;X
99156;Minister of Security;Zhou Taixuan;1936;1968;1999;LWR;Health and Safety;High;MZhou_Taixuan;X
99157;Minister of Security;Wang Bin;1950;1970;1999;LWR;Health and Safety;High;MWang_Bin1909;X
99158;Minister of Security;Xia Shouxun;1936;1969;1999;SL;Crime Fighter;High;LXia_Shouxun;X
99159;Minister of Security;Peng Shancheng;1944;1970;1999;ML;Crime Fighter;High;MPeng_Shancheng;X
99160;Minister of Security;Li Xiaoting;1936;1961;1999;SD;Crime Fighter;High;MLi_Xiaoting;X
99161;Minister of Security;Yan Deji;1936;1955;1999;SC;Secret Police Chief;High;MYan_Deji;X
99162;Minister of Security;Wang Ziye;1936;1970;1999;SC;Crime Fighter;High;MWang_Ziye1900;X
99163;Minister of Security;Wang Shizeng;1936;1970;1999;SC;Silent Lawyer;High;MWang_Shizeng;X
99164;Minister of Security;Tao Yuanzhen;1947;1970;1999;SC;Compassionate Gentleman;High;MTao_Yuanzhen;X
99165;Minister of Security;Liu Wencai;1922;1949;1999;PA;Crooked Kleptocrat;High;MLiu_Wencai;X
99166;Minister of Security;Li Zhaofu;1936;1951;1999;PA;Silent Lawyer;High;MLi_Zhaofu;X
99167;Minister of Security;Yin Changheng;1913;1953;1999;PA;Back Stabber;High;Yin Changheng;X
99168;Minister of Security;Luo Jie;1945;1965;1999;PA;Secret Police Chief;High;MLuo_Jie;X
99169;Head of Military Intelligence;Luo Jie;1945;1965;1999;PA;Political Specialist;High;MLuo_Jie;X
99170;Minister of Security;Xu Zhongqi;1938;1970;1999;PA;Crime Fighter;High;LXu_Zhongqi;X
99171;Head of Military Intelligence;Xu Zhongqi;1938;1970;1999;PA;Counterintelligence Specialist;High;LXu_Zhongqi;X
99172;Minister of Security;Zhao Yusong;1940;1970;1999;PA;Back Stabber;High;MZhao_Yusong;X
99173;Minister of Security;Long Wenzhi;1948;1970;1999;PA;Silent Lawyer;High;MLong_Wenzhi;X
99174;Minister of Security;Luo Zezhou;1936;1961;1999;FA;Prince of Terror;High;LLuo_Zezhou;X
99175;Minister of Security;Zeng Junchen;1935;1964;1999;FA;Efficient Sociopath;High;MZeng_Junchen;X
99176;Minister of Security;Wang Zejun;1933;1970;1999;FA;Crooked Kleptocrat;High;LWang_Zejun;X
99177;Head of Military Intelligence;Ni Zhiliang;1935;1965;1999;ST;Logistics Specialist;High;L76549;X
99178;Head of Military Intelligence;Yu Qiuli;1950;1970;1999;ST;Logistics Specialist;High;L76429;X
99179;Head of Military Intelligence;Liu Angong;1929;1969;1999;LWR;Technical Specialist;High;MLiu_Angong;X
99180;Head of Military Intelligence;Gao Xinya;1936;1970;1999;LWR;Industrial Specialist;High;MGao_Xinya;X
99181;Head of Military Intelligence;Chen Tongsheng;1945;1968;1999;LWR;Political Specialist;High;MChen_Tongsheng;X
99182;Head of Military Intelligence;Li Yongti;1949;1970;1999;LWR;Technical Specialist;High;MLi_Yongti;X
99183;Head of Military Intelligence;Zhang Zhihe;1936;1970;1999;SD;Political Specialist;High;LZhang_Zhihe;X
99184;Head of Military Intelligence;Yu Xiaoquan;1946;1962;1999;SC;Political Specialist;High;MYu_Xiaoquan;X
99185;Head of Military Intelligence;Zhao Weibin;1931;1963;1999;SC;Logistics Specialist;High;LZhao_Weibin;X
99186;Head of Military Intelligence;Tang Yi;1932;1970;1999;PA;Political Specialist;High;MTang_Yi1903;X
99187;Head of Military Intelligence;Bao Huaguo;1943;1963;1999;FA;Political Specialist;High;MBao_Huaguo;X
99188;Chief of Staff;Zhang Zongxun;1936;1970;1999;ST;School of Mass Combat;High;LZhang_Zongxun;X
99189;Chief of Army;Zhang Zongxun;1945;1970;1999;ST;Guns and Butter Doctrine;High;LZhang_Zongxun;X
99190;Chief of Staff;Cheng Shicai;1948;1970;1999;ST;School of Manoeuvre;High;L76437;X
99191;Chief of Staff;Liu Bocheng;1932;1970;1999;LWR;School of Fire Support;High;L76326;X
99192;Foreign Minister;Liu Bocheng;1936;1970;1999;LWR;General Staffer;High;L76326;X
99193;Minister of Armament;Liu Bocheng;1932;1970;1999;LWR;Reformer;High;L76326;X
99194;Chief of Staff;Xu Xiangqian;1936;1970;1999;LWR;School of Manoeuvre;High;L76316;X
99195;Chief of Army;Xu Xiangqian;1936;1970;1999;LWR;Elastic Defence Doctrine;High;L76316;X
99196;Minister of Armament;Xu Xiangqian;1945;1970;1999;LWR;Reformer;High;L76316;X
99197;Chief of Staff;Chen Bojun;1937;1970;1999;LWR;School of Mass Combat;High;L76381;X
99198;Minister of Armament;Chen Bojun;1937;1970;1999;LWR;Infantry Proponent;High;L76381;X
99199;Chief of Staff;Wang Shusheng;1944;1970;1999;LWR;School of Psychology;High;L76346;X
99200;Chief of Army;Wang Shusheng;1947;1970;1999;LWR;Decisive Battle Doctrine;High;L76346;X
99201;Chief of Staff;Bi Zhanyun;1941;1970;1999;LWR;School of Defence;High;L76470;X
99202;Chief of Army;Bi Zhanyun;1941;1970;1999;LWR;Guns and Butter Doctrine;High;L76470;X
99203;Chief of Staff;Luo Ruiqing;1945;1970;1999;LWR;School of Psychology;High;L76327;X
99204;Chief of Staff;Xiang Shouzhi;1963;1970;1999;LWR;Strategic Missile Focus;High;LXiang_Shouzhi;X
99205;Chief of Staff;Guo Rugui;1947;1970;1999;SD;School of Manoeuvre;High;LGuo_Rugui;X
99206;Chief of Army;Guo Rugui;1949;1970;1999;SD;Guns and Butter Doctrine;High;LGuo_Rugui;X
99207;Head of Military Intelligence;Guo Rugui;1945;1970;1999;SD;Logistics Specialist;High;LGuo_Rugui;X
99208;Chief of Staff;Han Quanpu;1936;1970;1999;SL;School of Psychology;High;LHan_Quanpu;X
99209;Chief of Staff;Luo Juntong;1937;1969;1999;ML;School of Mass Combat;High;LLuo_Juntong;X
99210;Chief of Staff;Yan Xiaohu;1948;1970;1999;ML;School of Defence;High;LYan_Xiaohu;X
99211;Minister of Armament;Yan Xiaohu;1948;1970;1999;ML;Infantry Proponent;High;LYan_Xiaohu;X
99212;Chief of Staff;Zhang Bangben;1923;1946;1999;SC;School of Fire Support;High;LZhang_Bangben;X
99213;Chief of Staff;Fu Chang;1933;1947;1999;SC;School of Defence;High;LFu_Chang;X
99214;Foreign Minister;Fu Chang;1933;1947;1999;SC;Great Compromiser;High;LFu_Chang;X
99215;Chief of Staff;Zeng Suyuan;1948;1961;1999;SC;School of Defence;High;LZeng_Suyuan;X
99216;Chief of Navy;Zeng Suyuan;1948;1961;1999;SC;Coastal Defence Doctrine;High;LZeng_Suyuan;X
99217;Chief of Staff;Xu Siping;1944;1965;1999;SC;School of Fire Support;High;LXu_Siping;X
99218;Minister of Armament;Xu Siping;1944;1965;1999;SC;Artillery Proponent;High;LXu_Siping;X
99219;Chief of Staff;Li Shuhua;1922;1966;1999;SC;School of Defence;High;LLi_Shuhua;X
99220;Chief of Air Force;Li Shuhua;1938;1966;1999;SC;Air Defence Doctrine;High;LLi_Shuhua;X
99221;Minister of Security;Li Shuhua;1927;1966;1999;SC;Back Stabber;High;LLi_Shuhua;X
99222;Chief of Staff;Xiao Yisu;1945;1970;1999;SC;School of Mass Combat;High;L50105;X
99223;Head of Military Intelligence;Xiao Yisu;1940;1970;1999;SC;Logistics Specialist;High;L50105;X
99224;Chief of Staff;Yue Xingming;1949;1970;1999;SC;School of Psychology;High;LYue_Xingming;X
99225;Foreign Minister;Yue Xingming;1949;1970;1999;SC;General Staffer;High;LYue_Xingming;X
99226;Chief of Staff;Wang Yunxiang;1929;1958;1999;PA;School of Psychology;High;LWang_Yunxiang;X
99227;Chief of Staff;Wang Lingji;1922;1958;1999;PA;School of Mass Combat;High;Wang Lingji;X
99228;Minister of Security;Wang Lingji;1922;1967;1999;PA;Efficient Sociopath;High;Wang Lingji;X
99229;Chief of Staff;Wang Shulin;1941;1959;1999;PA;School of Defence;High;LWang_Shulin;X
99230;Chief of Staff;Li Weiru;1938;1962;1999;PA;School of Manoeuvre;High;LLi_Weiru;X
99231;Chief of Staff;Cheng Zerun;1927;1965;1999;PA;School of Mass Combat;High;LCheng_Zerun;X
99232;Chief of Staff;Xie Chongjie;1945;1970;1999;PA;School of Psychology;High;LXie_Chongjie;X
99233;Chief of Staff;Luo Guangwen;1948;1970;1999;PA;School of Fire Support;High;L50220;X
99234;Chief of Army;Luo Guangwen;1948;1970;1999;PA;Decisive Battle Doctrine;High;L50220;X
99235;Chief of Army;Chen Xilian;1950;1970;1999;ST;Decisive Battle Doctrine;High;L76394;X
99236;Chief of Army;Kuang Jixun;1936;1967;1999;LWR;Combat Engineering Doctrine;High;LKuang_Jixun;X
99237;Chief of Army;Chen Yi;1936;1970;1999;LWR;Doctrine of Autonomy;High;L76310;X
99238;Foreign Minister;Chen Yi;1954;1970;1999;LWR;Great Compromiser;High;L76310;X
99239;Head of Military Intelligence;Chen Yi;1936;1970;1999;LWR;Logistics Specialist;High;L76310;X
99240;Chief of Army;Qin Jiwei;1950;1970;1999;LWR;Elastic Defence Doctrine;High;L76444;X
99241;Chief of Army;Guo Xunqi;1936;1960;1999;SD;Static Defence Doctrine;High;L50161;X
99242;Minister of Armament;Guo Xunqi;1948;1960;1999;SD;Military Entrepreneur;High;L50161;X
99243;Chief of Army;Chen Wanren;1942;1962;1999;SC;Elastic Defence Doctrine;High;L50037;X
99244;Chief of Army;Qiao Yifu;1921;1967;1999;SC;Static Defence Doctrine;High;LQiao_Yifu;X
99245;Chief of Army;Wang Weizhou;1931;1970;1999;LWR;Guerilla Warfare Doctrine;High;LWang_Weizhou;X
99246;Chief of Army;Sun Zhen;1936;1970;1999;PA;Old Cavalry General;High;L50263;X
99247;Chief of Army;Li Jiayu;1937;1962;1999;PA;Elastic Defence Doctrine;High;L50171;X
99248;Chief of Army;Chen Shunong;1934;1970;1999;PA;Decisive Battle Doctrine;High;LChen_Shunong;X
99249;Chief of Army;Guo Rudong;1928;1952;1999;FA;Decisive Battle Doctrine;High;L50162;X
99250;Chief of Navy;Wang Hongkun;1950;1970;1999;ST;Coastal Defence Doctrine;High;L76379;X
99251;Chief of Navy;Wu Ruilin;1948;1970;1999;LWR;Coastal Defence Doctrine;High;L76505;X
99252;Chief of Navy;Chen Fuzhang;1948;1970;1999;LWR;Base Control Doctrine;High;LChen_Fuzhang;X
99253;Chief of Navy;Zhou Junshi;1936;1962;1999;SD;Merchant Navy Focus;High;MZhou_Junshi;X
99254;Head of Military Intelligence;Zhou Junshi;1936;1962;1999;SD;Industrial Specialist;High;MZhou_Junshi;X
99255;Chief of Navy;Tong Shaosheng;1945;1970;1999;SD;Merchant Navy Focus;High;MTong_Shaosheng;X
99256;Chief of Navy;Lu Zuofu;1936;1952;1999;ML;Merchant Navy Focus;High;MLu_Zuofu;X
99257;Chief of Navy;Yu Anmin;1932;1950;1999;SC;Riverine Warfare Doctrine;High;LYu_Anmin;X
99258;Chief of Navy;Gou Jitang;1938;1970;1999;SC;Riverine Warfare Doctrine;High;LGou_Jitang;X
99259;Chief of Navy;Li Yuxi;1949;1970;1999;SC;Open Seas Doctrine;High;Li Yuxi;X
