UPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
97017;Minister of Armament;Tan Kah Kee;1920;1962;1999;SL;Laissez-Faire Capitalist;High;CHITan;X
97018;Minister of Security;Tan Kah Kee;1920;1962;1999;SL;Man of the People;High;CHITan;X
97019;Head of Government;Oskar Trautmann;1936;1951;1999;ML;Political Protege;High;MOskar_Trautmann;X
97020;Foreign Minister;Oskar Trautmann;1931;1951;1999;ML;Great Compromiser;High;MOskar_Trautmann;X
97021;Head of Government;Albert Hahl;1920;1946;1999;SC;Silent Workhorse;High;MAlbert_Hahl;X
97022;Head of Government;Alfred Kranzfelder;1950;1970;1999;SC;Old Admiral;High;MAlfred_Kranzfelder;X
97023;Head of Military Intelligence;Alfred Kranzfelder;1950;1970;1999;SC;Naval Intelligence Specialist;High;MAlfred_Kranzfelder;X
97024;Chief of Navy;Alfred Kranzfelder;1950;1970;1999;SC;Decisive Naval Battle Doctrine;High;MAlfred_Kranzfelder;X
97025;Head of Government;Karl Helfferich;1924;1950;1999;FA;Corporate Suit;High;MKarl_Helfferich;X
97026;Minister of Armament;Karl Helfferich;1924;1950;1999;FA;Bank President;High;MKarl_Helfferich;X
97027;Head of Government;Felix von Luckner;1936;1966;1999;FA;Old Admiral;High;LFelix_von_Luckner;X
97028;Foreign Minister;Felix von Luckner;1936;1966;1999;FA;Ideological Crusader;High;LFelix_von_Luckner;X
97029;Minister of Security;Felix von Luckner;1936;1966;1999;FA;Man of the People;High;LFelix_von_Luckner;X
97030;Chief of Navy;Felix von Luckner;1936;1966;1999;FA;Open Seas Doctrine;High;LFelix_von_Luckner;X
97031;Head of Government;Alfried Krupp von Bohlen und Halbach;1943;1968;1999;FA;Corporate Suit;High;MAlfried_Krupp;X
97032;Minister of Armament;Alfried Krupp von Bohlen und Halbach;1943;1968;1999;FA;Steel Magnate;High;MAlfried_Krupp;X
97033;Head of Government;Julius Dorpmüller;1936;1946;1999;NS;Corporate Suit;High;MJulius_Dorpmuller;X
97034;Foreign Minister;Dietrich Bonhoeffer;1936;1970;1999;SL;Ideological Crusader;High;MDietrich_Bonhoeffer;X
97035;Foreign Minister;Matthias Erzberger;1920;1950;1999;SC;Great Compromiser;High;MMatthias_Erzberger;X
97036;Minister of Armament;Matthias Erzberger;1920;1950;1999;SC;Keynesian Economy;High;MMatthias_Erzberger;X
97037;Minister of Security;Matthias Erzberger;1920;1950;1999;SC;Man of the People;High;MMatthias_Erzberger;X
97038;Foreign Minister;Ulrich von Hassell;1936;1957;1999;SC;Apologetic Clerk;High;MUlrich_von_Hassell;X
97039;Foreign Minister;Fritz von Twardowski;1936;1970;1999;SC;Biased Intellectual;High;MFritz_von_Twardowski;X
97040;Foreign Minister;Ewald von Kleist-Schmenzin;1936;1965;1999;PA;Ideological Crusader;High;MEwald_vonKleist-Schmenzin;X
97041;Head of Military Intelligence;Ewald von Kleist-Schmenzin;1936;1965;1999;PA;Political Specialist;High;MEwald_vonKleist-Schmenzin;X
97042;Foreign Minister;Manfred Freiherr von Killinger;1936;1961;1999;FA;Iron Fisted Brute;High;MManfred_Freiherr_vonKillinger;X
97043;Foreign Minister;Rudolph Firle;1936;1969;1999;FA;General Staffer;High;LRudolph_Firle;X
97044;Minister of Armament;Rudolph Firle;1936;1969;1999;FA;Battle Fleet Proponent;High;LRudolph_Firle;X
97045;Chief of Navy;Rudolph Firle;1936;1969;1999;FA;Merchant Navy Focus;High;LRudolph_Firle;X
97046;Foreign Minister;Heinrich Georg Stahmer;1941;1970;1999;FA;Apologetic Clerk;High;MHeinrich_Georg_Stahmer;X
97047;Foreign Minister;Herbert von Dirksen;1936;1956;1999;NS;Biased Intellectual;High;MHerbert_von_Dirksen;X
97048;Minister of Armament;Lee Choon Seng;1936;1966;1999;SL;Administrative Genius;High;MLee_Choon_Seng;X
97049;Minister of Armament;Lee Kong Chian;1936;1968;1999;ML;Administrative Genius;High;MLee_Kong_Chian;X
97050;Minister of Security;Lee Kong Chian;1936;1968;1999;ML;Man of the People;High;MLee_Kong_Chian;X
97051;Minister of Armament;Hans Walz;1936;1970;1999;ML;Laissez-Faire Capitalist;High;MHans_Walz;X
97052;Minister of Armament;Rudolf Kaulla;1936;1954;1999;ML;Bank President;High;MRudolf_Benedikt_Kaulla;X
97053;Minister of Armament;Eu Tong Sen;1920;1941;1999;SC;Laissez-Faire Capitalist;High;MEu_Tong_Sen;X
97054;Minister of Armament;Tan Ean Kiam;1932;1943;1999;SC;Bank President;High;MTan_Ean_Kiam;X
97055;Minister of Armament;Julius Fromm;1936;1946;1999;SC;Industrial Chemist;High;MJulius_Fromm;X
97056;Minister of Armament;Hans Hollmann;1936;1961;1999;SC;Theoretical Scientist;High;MHans_Hollmann;X
97057;Minister of Armament;Kurt Scheider;1936;1964;1999;SC;Industrialiser;High;MKurt_Heinrich_Max_Scheider;X
97058;Minister of Armament;Franz Weller;1943;1970;1999;SC;Infantry Proponent;High;LFranz_Weller;X
97059;Minister of Armament;Karl Blessing;1940;1970;1999;PA;Bank President;High;MKarl_Blessing;X
97060;Minister of Armament;Max Schenitski;1940;1970;1999;PA;Battle Fleet Proponent;High;L506310;X
97061;Minister of Armament;Gerd Suhren;1946;1970;1999;PA;Submarine Proponent;High;LGerd_Suhren;X
97062;Minister of Armament;Ewald Loeser;1936;1970;1999;FA;Laissez-Faire Capitalist;High;MEwald_Loeser;X
97063;Minister of Security;Ewald Loeser;1936;1970;1999;FA;Efficient Sociopath;High;MEwald_Loeser;X
97064;Minister of Security;Klaus Bonhoeffer;1936;1970;1999;SL;Silent Lawyer;High;MKlaus_Bonhoeffer;X
97065;Minister of Security;Song Ong Siang;1920;1941;1999;SC;Silent Lawyer;High;MSong_Ong_Siang;X
97066;Minister of Security;Emil Greul;1937;1970;1999;SC;Health and Safety;High;MEmil_Greul;X
97067;Minister of Security;Erwin Planck;1936;1968;1999;PA;Back Stabber;High;MErwin_Planck;X
97068;Minister of Security;Gottfried von Bismarck-Schönhausen;1940;1970;1999;PA;Silent Lawyer;High;MGottfried_vonBismarck-Schonhausen;X
97069;Minister of Security;Karl Kaufmann;1936;1970;1999;NS;Efficient Sociopath;High;MKarl_Kaufmann;X
97070;Chief of Navy;Karl Kaufmann;1936;1970;1999;NS;Merchant Navy Focus;High;MKarl_Kaufmann;X
97071;Head of Military Intelligence;Hermann Fahrig;1937;1947;1999;SC;Technical Specialist;High;LHermann_Fahrig;X
97072;Head of Military Intelligence;Ulrich Liss;1936;1969;1999;SC;Dismal Enigma;High;LUlrich_Liss;X
97073;Head of Military Intelligence;Georg Alexander Hansen;1942;1970;1999;SC;Counterintelligence Specialist;High;LGeorg_Alexander_Hansen;X
97074;Head of Military Intelligence;Erich Hüttenhain;1936;1970;1999;PA;Technical Specialist;High;MErich_Huttenhain;X
97075;Head of Military Intelligence;Walter Surén;1936;1970;1999;PA;Logistics Specialist;High;M524047;X
97076;Head of Military Intelligence;Albrecht Mertz von Quirnheim;1943;1970;1999;PA;Logistics Specialist;High;LAlbrecht_Mertz_vonQuirnheim;X
97077;Head of Military Intelligence;Alexis von Rönne;1942;1970;1999;FA;Dismal Enigma;High;LAlexis_von_Roenne;X
97078;Chief of Staff;Kurt Freiherr von Liebenstein;1943;1970;1999;ML;School of Manoeuvre;High;LKurt_Freiherr_vonLiebenstein;X
97079;Chief of Staff;Hellmuth Mäder;1947;1970;1999;ML;School of Mass Combat;High;LHellmuth_Mader;X
97080;Chief of Staff;Kurt von Tippelskirch;1935;1957;1999;SC;School of Mass Combat;High;L346;X
97081;Chief of Army;Kurt von Tippelskirch;1935;1957;1999;SC;Guns and Butter Doctrine;High;L346;X
97082;Foreign Minister;Kurt von Tippelskirch;1935;1957;1999;SC;General Staffer;High;L346;X
97083;Chief of Staff;Max-Josef Pemsel;1940;1970;1999;SC;School of Psychology;High;Pemsel;X
97084;Minister of Armament;Max-Josef Pemsel;1940;1970;1999;SC;Infantry Proponent;High;Pemsel;X
97085;Chief of Staff;Paul Reichelt;1941;1970;1999;SC;School of Defence;High;LPaul_Reichelt;X
97086;Chief of Staff;Hellmuth Stieff;1942;1970;1999;SC;School of Psychology;High;LHellmuth_Stieff;X
97087;Minister of Armament;Hellmuth Stieff;1942;1970;1999;SC;Reformer;High;LHellmuth_Stieff;X
97088;Chief of Staff;Bogislaw von Bonin;1944;1970;1999;SC;School of Manoeuvre;High;LBogislaw_von_Bonin;X
97089;Chief of Staff;Sigismund-Helmut von Dawans;1943;1970;1999;PA;School of Manoeuvre;High;LSigismund-Helmut_von_Dawans;X
97090;Chief of Staff;Joachim Schwatlo-Gesterding;1943;1970;1999;PA;School of Mass Combat;High;LJoachim_Schwatlo-Gesterding;X
97091;Chief of Staff;Friedrich Übelhack;1948;1970;1999;PA;School of Psychology;High;LFriedrich_Alfred_Ubelhack;X
97092;Chief of Army;Friedrich Übelhack;1948;1970;1999;PA;Doctrine of Autonomy;High;LFriedrich_Alfred_Ubelhack;X
97093;Chief of Staff;Anton Reichard von Bechtolsheim;1941;1962;1999;FA;School of Fire Support;High;LAnton_Reichard_vonBechtolsheim;X
97094;Chief of Army;Anton Reichard von Bechtolsheim;1941;1962;1999;FA;Decisive Battle Doctrine;High;LAnton_Reichard_vonBechtolsheim;X
97095;Chief of Staff;Josias zu Waldeck und Pyrmont;1936;1968;1999;FA;School of Psychology;High;L517030;X
97096;Chief of Army;Josias zu Waldeck und Pyrmont;1936;1968;1999;FA;Counter-Insurgency Doctrine;High;L517030;X
97097;Minister of Security;Josias zu Waldeck und Pyrmont;1936;1968;1999;FA;Prince of Terror;High;L517030;X
97098;Chief of Staff;Wolfgang Thomale;1942;1970;1999;FA;School of Manoeuvre;High;LWolfgang_Thomale;X
97099;Chief of Army;Wolfgang Thomale;1942;1970;1999;FA;Armoured Spearhead Doctrine;High;LWolfgang_Thomale;X
97100;Minister of Armament;Wolfgang Thomale;1938;1970;1999;FA;Motorisation Proponent;High;LWolfgang_Thomale;X
97101;Chief of Staff;Dietrich Witzel;1941;1970;1999;FA;Commando Doctrine Staff;High;LDietrich_Kirn_Witzel;X
97102;Chief of Army;Eberhard Finckh;1944;1970;1999;ML;Guns and Butter Doctrine;High;LEberhard_Finckh;X
97103;Head of Military Intelligence;Eberhard Finckh;1944;1970;1999;ML;Logistics Specialist;High;LEberhard_Finckh;X
97104;Chief of Army;Hans-Georg Lueder;1946;1970;1999;ML;Armoured Spearhead Doctrine;High;LHans-Georg_Lueder;X
97105;Chief of Army;Carl-Erik Koehler;1938;1959;1999;SC;Old Cavalry General;High;LCarl-Erik_Koehler;X
97106;Chief of Army;Fritz Koreuber;1936;1967;1999;SC;Guns and Butter Doctrine;High;LFritz_Koreuber;X
97107;Head of Military Intelligence;Fritz Koreuber;1936;1967;1999;SC;Logistics Specialist;High;LFritz_Koreuber;X
97108;Chief of Army;Johannes Haarde;1934;1964;1999;PA;Armoured Spearhead Doctrine;High;L98;X
97109;Minister of Armament;Johannes Haarde;1934;1964;1999;PA;Tank Proponent;High;L98;X
97110;Chief of Army;Kurt Versock;1940;1965;1999;PA;Elastic Defence Doctrine;High;LKurt_Versock;X
97111;Chief of Army;August Krakau;1940;1970;1999;PA;Doctrine of Autonomy;High;LAugust_Krakau;X
97112;Chief of Army;Ernst Otto Schaefer;1943;1970;1999;PA;Guns and Butter Doctrine;High;LErnst_Otto_Schaefer;X
97113;Chief of Army;Willy Langkeit;1945;1970;1999;PA;Decisive Battle Doctrine;High;LWilly_Langkeit;X
97114;Chief of Army;Erich Wüerst;1936;1958;1999;FA;Combat Engineering Doctrine;High;LErich_Wuerst;X
97115;Chief of Army;Erpo von Bodenhausen;1939;1970;1999;FA;Old Cavalry General;High;LErpo_Freiherr_vonBodenhausen;X
97116;Chief of Army;Wilhelm Walther;1941;1970;1999;FA;Commando Doctrine Army;High;LWilhelm_Walther;X
97117;Chief of Navy;Rudolf Wenninger;1936;1960;1999;SC;Power Projection Doctrine;High;L548026;X
97118;Chief of Navy;Thilo von Seebach;1938;1967;1999;SC;Coastal Defence Doctrine;High;L889;X
97119;Chief of Navy;Werner Fürbringer;1936;1970;1999;SC;Indirect Approach Doctrine;High;L506264;X
97120;Minister of Armament;Werner Fürbringer;1936;1970;1999;SC;Submarine Proponent;High;L506264;X
97121;Head of Military Intelligence;Werner Fürbringer;1936;1970;1999;SC;Naval Intelligence Specialist;High;L506264;X
97122;Chief of Navy;Friedrich Traugott Schmidt;1944;1970;1999;SC;Open Seas Doctrine;High;L508066;X
97123;Chief of Navy;Georg Schewe;1945;1970;1999;SC;Hydrographic Service Proponent;High;LGeorg_Schewe;X
97124;Chief of Navy;Rolf Thomsen;1950;1970;1999;SC;Power Projection Doctrine;High;LRolf_Thomsen;X
97125;Chief of Air Force;Rolf Thomsen;1950;1970;1999;SC;Naval Aviation Doctrine;High;LRolf_Thomsen;X
97126;Chief of Navy;Hans Walther;1936;1950;1999;PA;Indirect Approach Doctrine;High;LHans_Walther;X
97127;Minister of Armament;Hans Walther;1936;1950;1999;PA;Submarine Proponent;High;LHans_Walther;X
97128;Chief of Navy;Theodor Spiess;1938;1963;1999;PA;Base Control Doctrine;High;L524029;X
97129;Chief of Navy;Robin Schall-Emden;1940;1963;1999;PA;Coastal Defence Doctrine;High;L508063;X
97130;Chief of Navy;Friedrich Kurze;1939;1966;1999;PA;Hydrographic Service Proponent;High;M517050;X
97131;Chief of Navy;Friedrich von Arnauld de la Periére;1936;1969;1999;PA;Power Projection Doctrine;High;LFriedrich_vonArnauld_de_la_Periere;X
97132;Chief of Air Force;Friedrich von Arnauld de la Periére;1936;1969;1999;PA;Naval Aviation Doctrine;High;LFriedrich_vonArnauld_de_la_Periere;X
97133;Minister of Armament;Friedrich von Arnauld de la Periére;1936;1969;1999;PA;Air to Sea Proponent;High;LFriedrich_vonArnauld_de_la_Periere;X
97134;Chief of Navy;Hubert Schmundt;1936;1970;1999;PA;Open Seas Doctrine;High;L507175;X
97135;Chief of Navy;Viktor Schütze;1946;1970;1999;PA;Indirect Approach Doctrine;High;LViktor_Schutze;X
97136;Chief of Navy;Victor Oehrn;1946;1970;1999;PA;Decisive Naval Battle Doctrine;High;LVictor_Oehrn;X
97137;Head of Military Intelligence;Victor Oehrn;1946;1970;1999;PA;Naval Intelligence Specialist;High;LVictor_Oehrn;X
97138;Chief of Navy;Max Valentiner;1932;1949;1999;FA;Indirect Approach Doctrine;High;LMax_Valentiner;X
97139;Chief of Navy;Adolf Ahrens;1936;1957;1999;FA;Merchant Navy Focus;High;MAdolf_Ahrens;X
97140;Chief of Air Force;Günther Lützow;1944;1970;1999;ML;Air Superiority Doctrine;High;LGunther_Lutzow;X
97141;Chief of Air Force;Kurt Kuhlmey;1945;1970;1999;ML;Tactical Aviation Doctrine;High;LKurt_Kuhlmey;X
97142;Minister of Armament;Kurt Kuhlmey;1945;1970;1999;ML;Air to Ground Proponent;High;LKurt_Kuhlmey;X
97143;Chief of Air Force;Wolfgang Weese;1936;1962;1999;SC;Army Aviation Doctrine;High;LWolfgang_Weese;X
97144;Minister of Armament;Wolfgang Weese;1936;1962;1999;SC;Air to Ground Proponent;High;LWolfgang_Weese;X
97145;Chief of Air Force;Walter Schroeder;1941;1964;1999;SC;Vertical Envelopment Doctrine;High;LWalter_Schroeder;X
97146;Chief of Air Force;Herbert Sonnenburg;1938;1967;1999;SC;Carpet Bombing Doctrine;High;L507236;X
97147;Chief of Air Force;Oskar Vorbrugg;1941;1970;1999;SC;Carpet Bombing Doctrine;High;L502021;X
97148;Chief of Air Force;Karl Drewes;1939;1959;1999;PA;Vertical Envelopment Doctrine;High;LKarl_Drewes;X
97149;Chief of Air Force;Otto Wilhelm von Renz ;1936;1968;1999;PA;Air Defence Doctrine;High;L524021;X
97150;Minister of Armament;Otto Wilhelm von Renz ;1936;1968;1999;PA;Artillery Proponent;High;L524021;X
97151;Chief of Air Force;Gottlob Müller;1936;1970;1999;PA;Aviation Organizer;High;L507216;X
97152;Chief of Air Force;Josef Jacobs;1936;1970;1999;PA;Air Superiority Doctrine;High;LJosef_Jacobs;X
97153;Minister of Armament;Josef Jacobs;1936;1970;1999;PA;Air Superiority Proponent;High;LJosef_Jacobs;X
97154;Chief of Air Force;Walter Sigel;1944;1970;1999;PA;Army Aviation Doctrine;High;LWalter_Sigel;X
97155;Chief of Air Force;Ullrich Diesing;1944;1970;1999;PA;Tactical Aviation Doctrine;High;LUllrich_Diesing;X
97156;Minister of Armament;Ullrich Diesing;1944;1970;1999;PA;Air to Ground Proponent;High;LUllrich_Diesing;X
