MTN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
544029;Chief of Army;Radomir Vesovic;1936;1964;1999;PA;Decisive Battle Doctrine;High;MTN-KR_Radomir_Vesovic;X
544030;Chief of Army;Sava Kovacevic;1936;1964;1999;LE;Decisive Battle Doctrine;High;MTN-KR_Sava_Kovacevic;X
544031;Chief of Navy;Milo Matanovic;1936;1964;1999;PA;Indirect Approach Doctrine;High;MTN-KR_Milo_Matanovic;X
544032;Chief of Navy;Pero Popivoda;1936;1964;1999;LE;Indirect Approach Doctrine;High;MTN-KR_Pero_Popivoda;X
544033;Chief of Air Force;Zaharije Ostojic;1936;1964;1999;PA;Army Aviation Doctrine;High;MTN-KR_Zaharije_Ostojic;X
544034;Chief of Air Force;Bozo Lazarevic;1936;1964;1999;LE;Army Aviation Doctrine;High;MTN-KR_Lazarevic_Bozo;X
544035;Head of State;Nj.K.V. Mihailo I Petrovic-Njegos;1936;1964;1999;SC;Popular Figurehead;High;michaelpetronje kai;X
544036;Head of State;Nj.K.V. Danilo I Petrovic-Njegos;1936;1964;1999;PA;Autocratic Charmer;High;M544011;X
544037;Head of State;Nj.K.V. Mihailo I Petrovic-Njegos;1936;1964;1999;PA;Autocratic Charmer;High;michaelpetronje kai;X
544038;Foreign Minister;Jovan Plamenac;1936;1964;1999;PA;Iron Fisted Brute;High;MTN-KR_jovan_plamenac;X
544039;Minister of Armament;Andrija Radovic;1936;1964;1999;SC;Infantry Proponent;High;MTN-KR_Andrija_Radovic;X
544040;Minister of Armament;Sekula Drljevic;1936;1964;1999;PA;Military Entrepreneur;High;MTN-KR_Sekula_Drljevic;X
544041;Minister of Armament;Svetozar Vukmanovic;1936;1964;1999;LE;Infantry Proponent;High;MTN-KR_Svetozar_Vukmanovic;X
544042;Minister of Security;Jovan Plamenac;1936;1964;1999;PA;Back Stabber;High;MTN-KR_jovan_plamenac;X
544043;Minister of Security;Blazo Jovanovic;1936;1964;1999;LE;Silent Lawyer;High;MTN-KR_Jovanovic_Blazo;X
544044;Chief of Staff;Bajo Stanisic;1936;1964;1999;PA;School of Defence;High;MTN-KR_bajo_stanisic;X
544045;Chief of Navy;Radomir Vesovic;1936;1964;1999;PA;Indirect Approach Doctrine;High;MTN-KR_Radomir_Vesovic;X
544046;Minister of Security;Risto Popovic;1936;1964;1999;PA;Crime Fighter;High;MTN-KR_Risto_Popovic;X
