ANG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
568025;Chief of Staff;João Macedo é Brito;1936;1964;1999;PA;School of Psychology;Medium;M568007;x
568026;Chief of Army;Francesco Perreira de Eca;1936;1964;1999;PA;Static Defence Doctrine;Medium;M568008;x
568027;Chief of Army;Henrique Galvão;1936;1964;1999;LWR;Static Defence Doctrine;Medium;ANG_henrique_galvao;x
568028;Chief of Army;Francisco d'Aluz Ribeiro;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;M568028;x
568029;Chief of Navy;Francisco da Costa Andrade;1936;1964;1999;ML;Decisive Naval Battle Doctrine;High;M568030;x
568030;Chief of Navy;Mousinho de Albuquerque;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M568009;x
568031;Chief of Air Force;Joao Luís Carvalho;1936;1964;1999;ML;Air Superiority Doctrine;Medium;M568032;x
568032;Chief of Air Force;Manuel Tuluma;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M568016;x
568033;Chief of Air Force;Óscar Monteiro Torres;1936;1964;1999;LWR;Air Superiority Doctrine;Medium;ANG_oscar_monteiro_torres;x
568034;Chief of Air Force;Rogerio Fangueiro;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M568010;x
5680010;Head of State;Antonio Lopes Mateus;1936;1964;1999;PA;Insignificant Layman;High;M568001;x
5680020;Head of Government;Manoel Costa Marques Mano;1936;1964;1999;PA;Flamboyant Tough Guy;High;M568002;x
5680030;Foreign Minister;Alvaro de Freitas Morna;1936;1964;1999;PA;General Staffer;High;M568003;x
5680040;Minister of Armament;Vasco Lopes Alves;1936;1964;1999;PA;Tank Proponent;Medium;M568004;x
5680050;Minister of Security;Paulo Cordeiro;1936;1964;1999;PA;Man of the People;Medium;M568005;x
5680060;Head of Military Intelligence;Fernando Ferreira Mello;1936;1964;1999;PA;Dismal Enigma;Medium;M568006;x
5680070;Chief of Staff;João Macedo é Brito;1936;1964;1999;PA;School of Psychology;Medium;M568007;x
5680080;Chief of Army;Francesco Perreira de Eca;1936;1964;1999;PA;Static Defence Doctrine;Medium;M568008;x
5680090;Chief of Navy;Mousinho de Albuquerque;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M568009;x
5680100;Chief of Air Force;Rogerio Fangueiro;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M568010;x
5680110;Head of State;Eugenio Daõ Schneider;1936;1964;1999;ML;Pig-headed Isolationist;High;M568011;x
5680170;Minister of Armament;Fernando Cunha e Costa;1936;1964;1999;ML;Military Entrepreneur;Medium;M568017;x
5680190;Minister of Security;Manuel Gomes da Costa;1936;1964;1999;ML;Crooked Kleptocrat;Medium;M568019;x
5680200;Minister of Security;Wenceslau Borini;1943;1964;1999;ML;Silent Lawyer;Medium;M568020;x
5680220;Head of Military Intelligence;Horacio Silva e Silva;1936;1964;1999;ML;Industrial Specialist;Medium;M568022;x
5680240;Chief of Staff;Vasco Lopes Alves;1943;1964;1999;PA;School of Manoeuvre;Medium;M568004;x
5680250;Chief of Staff;Joaquim Placido Durate;1936;1964;1999;ML;School of Defence;Medium;M568025;x
5680260;Chief of Staff;Julio Goncalves de Campos;1936;1964;1999;LWR;School of Mass Combat;Medium;M568026;x
5680270;Chief of Army;Julio de Morais Sarmento;1941;1964;1999;PA;Elastic Defence Doctrine;Medium;M568027;x
5680280;Chief of Army;Francisco d'Aluz Ribeiro;1936;1964;1999;ML;Guns and Butter Doctrine;Medium;M568028;x
5680281;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
5680282;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
