BUL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
19132;Chief of Army;Ivan Marinov;1939;1964;1999;SC;Static Defence Doctrine;Low;M19017;X
19133;Chief of Army;Rajcho Slavkov;1944;1964;1999;SC;Guns and Butter Doctrine;Medium;M19018;X
19134;Chief of Army;Mikhail Mintchev;1944;1964;1999;LWR;Guns and Butter Doctrine;Medium;M19134;X
19135;Chief of Army;Tsvjatko Radojnov;1939;1964;1999;ST;Decisive Battle Doctrine;High;M19038;X
19136;Chief of Army;Ivan Kinov;1944;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M19136;X
19137;Chief of Navy;Ivan Variclechkov;1938;1964;1999;PA;Base Control Doctrine;High;M19137;X
19138;Chief of Navy;Asen Toshev;1939;1964;1999;PA;Open Seas Doctrine;High;M19138;X
19139;Chief of Navy;Atanas Shalapatov;1939;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M19029;X
19141;Chief of Navy;Racho Batanov;1944;1964;1999;LWR;Open Seas Doctrine;Medium;M19141;X
19142;Chief of Navy;Kiril Khalatchev;1939;1964;1999;ST;Indirect Approach Doctrine;Medium;M19039;X
19143;Chief of Navy;Stefan Tzanev;1945;1964;1999;ST;Decisive Naval Battle Doctrine;Very Low;M19143;X
19145;Chief of Air Force;Dimitar Ayrjanov;1941;1964;1999;PA;Air Superiority Doctrine;Medium;M19145;X
19146;Chief of Air Force;Chudomir Toplodolski;1939;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M19030;X
19147;Chief of Air Force;Stoyan Stoyanov;1939;1964;1999;SC;Air Superiority Doctrine;Medium;M19020;X
19148;Chief of Air Force;Georgi Drenikov;1944;1964;1999;SC;Carpet Bombing Doctrine;Medium;M19148;X
19149;Chief of Air Force;Vasil Vylkov;1944;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M19149;X
19150;Chief of Air Force;Zakhari Zakhariev;1939;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M19150;X
19151;Head of State;Vergil Dimov;1945;1964;1999;PA;Insignificant Layman;High;M19100;X
19152;Head of State;Vergil Dimov;1947;1964;1999;SC;Insignificant Layman;High;M19100;X
19153;Head of State;Georgi Kulichev;1945;1964;1999;LWR;Popular Figurehead;Very High;M19073;X
19154;Head of Government;Vergil Dimov;1945;1964;1999;PA;Silent Workhorse;High;M19100;X
19155;Head of Government;Vergil Dimov;1947;1964;1999;SC;Silent Workhorse;High;M19100;X
19156;Head of Government;Georgi Kulichev;1936;1964;1999;LWR;Happy Amateur;Very High;M19073;X
19019;Chief of Navy;Georgi Petsov;1936;1964;1999;SC;Base Control Doctrine;Medium;M19019;X
19033;Foreign Minister;Vasil Kolarov;1936;1964;1999;ST;Ideological Crusader;High;M19031;X
19038;Chief of Army;Tsvjatko Radojnov;1936;1964;1999;ST;Decisive Battle Doctrine;High;M19038;X
19039;Head of State;S.T.V. Symeon II;1953;1964;1999;ML;Popular Figurehead;High;M19039;X
19157;Foreign Minister;Vladimir Stoychev;1936;1964;1999;PA;General Staffer;High;KRStoy;X
19158;Chief of Staff;Nikola Zhekov;1936;1964;1999;PA;School of Psychology;High;KRZhekov;X
19159;Head of Military Intelligence;Pencho Zlatev;1936;1964;1999;PA;Logistics Specialist;High;KRZlatev;X
19160;Chief of Army;Vladimir Vazov;1936;1964;1999;PA;Elastic Defence Doctrine;High;KRVazov;X
19161;Minister of Security;Vladimir Nikolov Avramov;1936;1964;1999;SC;Man of the People;High;KRAvramov;X
19162;Minister of Armament;Stoyan Danev;1936;1964;1999;SC;Administrative Genius;High;KRDanev;X
19163;Head of State;S.T.V. Symeon II;1953;1964;1999;PA;Popular Figurehead;High;M19039;X
