ALG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
530018;Minister of Armament;Zodi Ikhia;1939;1964;1999;PA;Resource Industrialist;Very High;unknown;x
530019;Minister of Armament;Attaher ag Illi;1936;1964;1999;PA;Corrupt Kleptocrat;High;Illi;x
530020;Minister of Armament;`Umaru Agg-Ibrahim;1936;1964;1999;PA;Submarine Proponent;Very High;unknown;x
530021;Minister of Armament;Intalla ag Attaher;1936;1964;1999;PA;air to ground proponent;Very High;KaiserreichTuareg7;x
530022;Minister of Security;Intalla ag Attaher;1936;1964;1999;PA;Crime Fighter;High;KaiserreichTuareg5;x
530023;Minister of Security;Dassine Oult Yemma;1936;1964;1999;PA;Man of the People;High;Yemma;x
530024;Minister of Security;Rabnala Oult Lekal;1936;1964;1999;PA;Efficient Sociopath;High;KaiserreichRabnala;x
530025;Minister of Security;Zodi Ikhia;1939;1964;1999;PA;Prince of Terror;Very High;unknown;x
530026;Minister of Security;Akhemuk ag Ihemma;1936;1964;1999;PA;Silent Lawyer;Very High;Ihemma;x
530027;Minister of Security;Attaher ag Illi;1936;1964;1999;PA;Crooked Kleptocrat;High;Illi;x
530028;Minister of Security;Bayy ag Akhemuk;1936;1964;1999;PA;Compassionate Gentleman;Very High;KaiserreichTuareg6;x
530029;Minister of Security;Ag Mohammed Wau Teguidda Kaocen;1936;1964;1999;PA;Back Stabber;Very High;Kaocen;x
530030;Head of Military Intelligence;Dassine Oult Yemma;1936;1964;1999;PA;Political Specialist;Very High;Yemma;x
530031;Head of Military Intelligence;Bayy ag Akhemuk;1936;1964;1999;PA;Technical Specialist;High;KaiserreichTuareg6;x
530032;Head of Military Intelligence;Attaher ag Illi;1936;1964;1999;PA;Dismal Enigma;High;Illi;x
530033;Head of Military Intelligence;Rabnala Oult Lekal;1939;1964;1999;PA;Logistics Specialist;Very High;KaiserreichRabnala;x
530034;Head of Military Intelligence;Zodi Ikhia;1939;1964;1999;PA;Industrial Specialist;Very High;unknown;x
530035;Chief of Staff;Akhemuk ag Ihemma;1936;1964;1999;PA;School of Manoeuvre;High;Ihemma;x
530036;Chief of Staff;Meslar ag Amayas;1936;1964;1999;PA;School of Mass Combat;Very High;KaiserreichTuareg3;x
530037;Chief of Staff;Ag Mohammed Wau Teguidda Kaocen;1936;1964;1999;PA;School of Fire Support;Very High;Kaocen;x
530038;Chief of Staff;Intalla ag Attaher;1936;1964;1999;PA;School of Defence;Very High;KaiserreichTuareg7;x
530039;Chief of Staff;Rabnala Oult Lekal;1939;1964;1999;PA;School of Psychology;High;KaiserreichRabnala;x
530040;Chief of Army;Akhemuk ag Ihemma;1936;1964;1999;PA;Elastic Defence Doctrine;High;Ihemma;x
530041;Chief of Army;Meslar ag Amayas;1936;1964;1999;PA;Decisive Battle Doctrine;Very High;KaiserreichTuareg3;x
530042;Chief of Army;Ag Mohammed Wau Teguidda Kaocen;1936;1964;1999;PA;Armoured Spearhead Doctrine;Very High;Kaocen;x
530043;Chief of Army;Intalla ag Attaher;1936;1964;1999;PA;Static Defence Doctrine;Very High;KaiserreichTuareg7;x
530044;Chief of Army;Rabnala Oult Lekal;1939;1964;1999;PA;Guns and Butter Doctrine;Very High;KaiserreichRabnala;x
530045;Chief of Navy;`Umaru Agg-Ibrahim;1936;1964;1999;PA;Indirect Approach Doctrine;Very High;unknown;x
530046;Chief of Navy;Axamuk ag lhemma;1936;1964;1999;PA;Base Control Doctrine;High;KaiserreichTuareg8;x
530047;Chief of Air Force;Intalla ag Attaher;1936;1964;1999;PA;Army Aviation Doctrine;High;KaiserreichTuareg7;x
530048;Chief of Air Force;Mokhtar Kodogo;1936;1964;1999;PA;Carpet Bombing Doctrine;Very High;unknown;x
530049;Chief of Air Force;Axamuk ag lhemma;1936;1964;1999;PA;Vertical Envelopment Doctrine;High;KaiserreichTuareg8;x
