SCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
17018;Head of Government;Robert Grimm;1936;1958;1999;LWR;Ambitious Union Boss;High;MRobert_Grimm;X
17019;Minister of Security;Robert Grimm;1936;1958;1999;LWR;Man of the People;High;MRobert_Grimm;X
17020;Head of Government;Walther Bringolf;1950;1970;1999;LWR;Silent Workhorse;High;MWalther_Bringolf;X
17021;Minister of Security;Walther Bringolf;1950;1970;1999;LWR;Man of the People;High;MWalther_Bringolf;X
17022;Head of Government;Ernst Nobs;1936;1957;1999;SD;Ambitious Union Boss;High;M17074;X
17023;Minister of Armament;Ernst Nobs;1936;1957;1999;SD;Administrative Genius;High;M17074;X
17024;Head of Government;Hans Oprecht;1936;1957;1999;SD;Ambitious Union Boss;High;MHans_Oprecht;X
17025;Minister of Armament;Hans Oprecht;1936;1970;1999;SD;Keynesian Economy;High;MHans_Oprecht;X
17026;Head of Government;Willy Spühler;1955;1970;1999;SD;Silent Workhorse;High;MWilly_Spuhler;X
17027;Foreign Minister;Willy Spühler;1955;1970;1999;SD;Great Compromiser;High;MWilly_Spuhler;X
17028;Minister of Armament;Willy Spühler;1955;1970;1999;SD;Construction Magnate;High;MWilly_Spuhler;X
17029;Head of Military Intelligence;Willy Spühler;1942;1970;1999;SD;Industrial Specialist;High;MWilly_Spuhler;X
17030;Head of Government;Max Petitpierre;1944;1970;1999;SL;Political Protege;High;M17054;X
17031;Foreign Minister;Max Petitpierre;1944;1970;1999;SL;Apologetic Clerk;High;M17054;X
17032;Head of Government;Albert Meyer;1936;1954;1999;ML;Naive Optimist;High;M17001;X
17033;Minister of Armament;Albert Meyer;1936;1954;1999;ML;Laissez-Faire Capitalist;High;M17001;X
17034;Head of Government;Walter Stampfli;1940;1966;1999;ML;Pragmatic Statesman;High;M17038;X
17035;Foreign Minister;Walter Stampfli;1940;1966;1999;ML;Great Compromiser;High;M17038;X
17036;Minister of Armament;Walter Stampfli;1940;1966;1999;ML;Mixed Economy;High;M17038;X
17037;Head of Government;Karl Kobelt;1940;1968;1999;ML;Happy Amateur;High;M17040;X
17038;Minister of Armament;Karl Kobelt;1940;1968;1999;ML;Construction Magnate;High;M17040;X
17039;Head of Government;Paul Chaudet;1954;1970;1999;ML;Pragmatic Statesman;High;MPaul_Chaudet;X
17040;Minister of Armament;Paul Chaudet;1954;1970;1999;ML;Reformer;High;MPaul_Chaudet;X
17041;Head of Government;Rudolf Minger;1936;1956;1999;SC;Flamboyant Tough Guy;High;M17079;X
17042;Minister of Armament;Rudolf Minger;1936;1956;1999;SC;Military Entrepreneur;High;M17079;X
17043;Head of Government;Marcel Pilet-Golaz;1936;1958;1999;SC;Political Protege;High;M17034;X
17044;Foreign Minister;Marcel Pilet-Golaz;1936;1958;1999;SC;The Cloak N Dagger Schemer;High;M17034;X
17045;Head of Government;Enrico Celio;1940;1970;1999;SC;Silent Workhorse;High;M17037;X
17046;Minister of Security;Enrico Celio;1940;1970;1999;SC;Silent Lawyer;High;M17037;X
17047;Head of Government;Giuseppe Motta;1936;1940;1999;PA;Backroom Backstabber;High;M17003;X
17048;Foreign Minister;Giuseppe Motta;1936;1940;1999;PA;Ideological Crusader;High;M17003;X
17049;Head of Military Intelligence;Giuseppe Motta;1936;1940;1999;PA;Political Specialist;High;M17003;X
17050;Head of Government;Eduard von Steiger;1940;1962;1999;PA;Corporate Suit;High;M17039;X
17051;Minister of Security;Eduard von Steiger;1940;1962;1999;PA;Back Stabber;High;M17039;X
17052;Head of Government;Philipp Etter;1939;1970;1999;PA;Silent Workhorse;High;M17033;X
17053;Minister of Security;Philipp Etter;1936;1970;1999;PA;Crime Fighter;High;M17033;X
17054;Head of Government;Georges Oltramare;1936;1961;1999;FA;Flamboyant Tough Guy;High;MGeorges_Oltramare;X
17055;Minister of Security;Georges Oltramare;1936;1961;1999;FA;Media Magnate;High;MGeorges_Oltramare;X
17056;Foreign Minister;Jakob Herzog;1936;1966;1999;LE;Biased Intellectual;High;MJakob_Herzog;X
17057;Foreign Minister;Léopold Boissier;1943;1969;1999;SL;Great Compromiser;High;MLeopold_Boissier;X
17058;Minister of Security;Léopold Boissier;1943;1969;1999;SL;Silent Lawyer;High;MLeopold_Boissier;X
17059;Foreign Minister;August Lindt;1953;1970;1999;SL;Ideological Crusader;High;MAugust_Rudolf_Lindt;X
17060;Minister of Security;August Lindt;1953;1970;1999;SL;Compassionate Gentleman;High;MAugust_Rudolf_Lindt;X
17061;Head of Military Intelligence;August Lindt;1943;1970;1999;SL;Political Specialist;High;MAugust_Rudolf_Lindt;X
17062;Foreign Minister;Felix Calonder;1936;1942;1999;ML;Apologetic Clerk;High;M17088;X
17063;Foreign Minister;William Rappard;1936;1958;1999;ML;Ideological Crusader;High;M17096;X
17064;Head of Military Intelligence;William Rappard;1936;1958;1999;ML;Industrial Specialist;High;M17096;X
17065;Foreign Minister;Hans Max Huber;1936;1960;1999;ML;Biased Intellectual;High;M17100;X
17066;Minister of Security;Hans Max Huber;1936;1960;1999;ML;Silent Lawyer;High;M17100;X
17067;Foreign Minister;Hans Bracher;1940;1967;1999;ML;The Cloak N Dagger Schemer;High;LHans_Wilhelm_Bracher;X
17068;Head of Military Intelligence;Hans Bracher;1940;1967;1999;ML;Political Specialist;High;LHans_Wilhelm_Bracher;X
17069;Foreign Minister;Ruggero Dollfus;1936;1949;1999;SC;Great Compromiser;High;LRuggero_Dollfus;X
17070;Minister of Armament;Ruggero Dollfus;1936;1949;1999;SC;Military Entrepreneur;High;LRuggero_Dollfus;X
17071;Foreign Minister;Max Kauffmann;1936;1963;1999;SC;Biased Intellectual;High;M17064;X
17072;Foreign Minister;Edgar Schumacher;1943;1968;1999;SC;General Staffer;High;LEdgar_Schumacher;X
17073;Head of Military Intelligence;Edgar Schumacher;1943;1968;1999;SC;Political Specialist;High;LEdgar_Schumacher;X
17074;Foreign Minister;Jean-Daniel de Montenach;1936;1959;1999;PA;The Cloak N Dagger Schemer;High;M17107;X
17075;Foreign Minister;Carl Jacob Burckhardt;1936;1964;1999;PA;Iron Fisted Brute;High;M17109;X
17076;Minister of Security;Carl Jacob Burckhardt;1936;1964;1999;PA;Efficient Sociopath;High;M17109;X
17077;Foreign Minister;Jacob Lorenz;1936;1947;1999;FA;Iron Fisted Brute;High;M17013;X
17078;Minister of Armament;Heinrich Abegg;1946;1970;1999;LE;Construction Magnate;High;M17086;X
17079;Minister of Armament;Maurice Braillard;1936;1965;1999;LWR;Construction Magnate;High;MMaurice_Braillard;X
17080;Minister of Armament;Max Weber;1939;1970;1999;SD;Administrative Genius;High;MMax_Weber1897;X
17081;Minister of Security;Max Weber;1939;1970;1999;SD;Health and Safety;High;MMax_Weber1897;X
17082;Minister of Armament;Gottlieb Duttweiler;1936;1962;1999;SD;Administrative Genius;High;MGottlieb_Duttweiler;X
17083;Minister of Armament;Eduard Stiefel;1943;1970;1999;SL;Theoretical Scientist;High;MEduard_Stiefel;X
17084;Minister of Armament;Hermann Obrecht;1936;1941;1999;ML;Administrative Genius;High;MHermann_Obrecht;X
17085;Minister of Armament;Edmund Schulthess;1936;1944;1999;ML;Bank President;High;M17089;X
17086;Minister of Armament;Ernst Wetter;1936;1944;1999;ML;Balanced Budget Economy;High;M17035;X
17087;Minister of Armament;Rodolphe Rubattel;1945;1962;1999;ML;Mixed Economy;High;MRodolphe_Rubattel;X
17088;Minister of Armament;Paul Scherrer;1936;1969;1999;ML;Theoretical Scientist;High;MPaul_Scherrer;X
17089;Minister of Armament;Alfred Stucky;1940;1969;1999;ML;Construction Magnate;High;MAlfred_Stucky;X
17090;Minister of Armament;Adolf Schaedler;1936;1970;1999;ML;Air Superiority Proponent;High;MAdolf_Schaedler;X
17091;Minister of Armament;Balthasar Zimmermann;1936;1970;1999;ML;Air to Ground Proponent;High;MBalthasar_Zimmermann;X
17092;Minister of Armament;Paul Schläpfer;1937;1970;1999;ML;Oil Baron;High;MPaul_Schlapfer;X
17093;Minister of Armament;Paul Rossy;1950;1970;1999;ML;Bank President;High;M17105;X
17094;Minister of Armament;Rudolf von Erlach;1936;1945;1999;SC;Reformer;High;LRudolf_vonErlach;X
17095;Minister of Armament;Jean-Marie Musy;1936;1952;1999;SC;Balanced Budget Economy;High;MJean-Marie_Musy;X
17096;Minister of Armament;Alfred Sarasin-Iselin;1936;1953;1999;SC;Bank President;High;M17016;X
17097;Head of Military Intelligence;Alfred Sarasin-Iselin;1936;1953;1999;SC;Industrial Specialist;High;M17016;X
17098;Minister of Armament;Adolf Jöhr;1936;1953;1999;SC;Laissez-Faire Capitalist;High;MAdolf_Johr;X
17099;Minister of Armament;Thomas Holenstein;1942;1963;1999;SC;Laissez-Faire Capitalist;High;MThomas_Holenstein;X
17100;Minister of Armament;Eduard Gruner;1936;1970;1999;SC;Construction Magnate;High;MEduard_Gruner;X
17101;Minister of Armament;Eduard Amstutz;1943;1970;1999;SC;Theoretical Scientist;High;MEduard_Amstutz;X
17102;Minister of Armament;Robert Durrer;1939;1970;1999;SC;Steel Magnate;High;MRobert_Durrer;X
17103;Minister of Armament;Hugo Gschwind;1945;1970;1999;SC;Bank President;High;M17091;X
17104;Minister of Armament;Friedrich Traugott Wahlen;1949;1970;1999;SC;Resource Industrialist;High;M17066;X
17105;Minister of Security;Friedrich Traugott Wahlen;1949;1970;1999;SC;Man of the People;High;M17066;X
17106;Minister of Armament;Gustav Däniker;1940;1948;1999;PA;Artillery Proponent;High;LGustav_Daniker;X
17107;Minister of Armament;Claudio Caroni;1948;1970;1999;PA;Laissez-Faire Capitalist;High;MClaudio_Caroni;X
17108;Minister of Armament;Emil Georg Bührle;1936;1957;1999;FA;Military Entrepreneur;High;MEmil_Georg_Buhrle;X
17109;Minister of Armament;Max Leo Keller;1939;1962;1999;FA;Industrialiser;High;MMax_Leo_Keller;X
17110;Minister of Armament;Walter Adolf Jöhr;1937;1970;1999;FA;Planned Economy Proponent;High;MWalter_Adolf_Johr;X
17111;Head of Military Intelligence;Walter Adolf Jöhr;1937;1970;1999;FA;Industrial Specialist;High;MWalter_Adolf_Johr;X
17112;Minister of Security;Ernest-Paul Graber;1936;1956;1999;LE;Compassionate Gentleman;High;MErnest-Paul_Graber;X
17113;Minister of Security;Jakob Mosimann;1936;1967;1999;SL;Man of the People;High;M17069;X
17114;Minister of Security;Oscar Adolf Germann;1936;1970;1999;SL;Crime Fighter;High;MOscar_Adolf_Germann;X
17115;Minister of Security;Paul Grüninger;1938;1970;1999;SL;Compassionate Gentleman;High;MPaul_Gruninger;X
17116;Minister of Security;Hans Leupin;1942;1970;1999;SL;Back Stabber;High;M17083;X
17117;Minister of Security;Johannes Baumann;1936;1945;1999;ML;Crime Fighter;High;M17005;X
17118;Minister of Security;Guido Miescher;1936;1962;1999;ML;Health and Safety;High;M17085;X
17119;Minister of Security;Heinrich Rothmund;1936;1961;1999;SC;Secret Police Chief;High;M17082;X
17120;Minister of Security;Paul Vollenweider;1936;1962;1999;SC;Health and Safety;High;MPaul_Vollenweider;X
17121;Minister of Security;Paul Anton Gürtler;1950;1970;1999;SC;Crime Fighter;High;M17102;X
17122;Minister of Security;Robert Tobler;1936;1964;1999;FA;Silent Lawyer;High;MRobert_Tobler;X
17123;Minister of Security;Hans Oehler;1936;1967;1999;FA;Media Magnate;High;M17014;X
17124;Minister of Security;André Béguin;1936;1970;1999;FA;Crooked Kleptocrat;High;MAndre_Beguin;X
17125;Head of Military Intelligence;Hans Konrad Sonderegger;1936;1964;1999;SD;Industrial Specialist;High;M17098;X
17126;Head of Military Intelligence;Hans Hausamann;1936;1970;1999;SD;Technical Specialist;High;MHans_Hausamann;X
17127;Head of Military Intelligence;Charles Daniel;1949;1963;1999;ML;Counterintelligence Specialist;High;LCharles_Daniel;X
17128;Head of Military Intelligence;Max Waibel;1943;1970;1999;ML;Dismal Enigma;High;M17093;X
17129;Head of Military Intelligence;Bernard Cuénoud;1943;1970;1999;ML;Technical Specialist;High;MBernard_Cuenoud;X
17130;Head of Military Intelligence;Robert Frick;1945;1970;1999;ML;Logistics Specialist;High;LRobert_Frick;X
17131;Head of Military Intelligence;Otto Hilfiker;1924;1948;1999;SC;Technical Specialist;High;LOtto_Hilfiker;X
17132;Head of Military Intelligence;Gustave Combe;1936;1958;1999;SC;Logistics Specialist;High;LGustave_Combe;X
17133;Head of Military Intelligence;Roger Masson;1937;1968;1999;SC;Counterintelligence Specialist;High;L129021;X
17134;Head of Military Intelligence;Immanuel Roesler;1944;1970;1999;SC;Logistics Specialist;High;LCurt_Immanuel_Roesler;X
17135;Chief of Staff;Jakob Annasohn;1945;1970;1999;SD;School of Manoeuvre;High;LJakob_Annasohn;X
17136;Chief of Army;Jakob Annasohn;1945;1970;1999;SD;Decisive Battle Doctrine;High;LJakob_Annasohn;X
17137;Minister of Armament;Jakob Annasohn;1945;1970;1999;SD;Reformer;High;LJakob_Annasohn;X
17138;Chief of Staff;Jules Borel;1936;1963;1999;SL;School of Psychology;High;L129001;X
17139;Chief of Army;Jules Borel;1936;1963;1999;SL;Elastic Defence Doctrine;High;L129001;X
17140;Minister of Armament;Jules Borel;1936;1963;1999;SL;Infantry Proponent;High;L129001;X
17141;Chief of Staff;Marius Corbat;1950;1966;1999;SL;School of Mass Combat;High;LMarius_Corbat;X
17142;Chief of Staff;Marcel Montfort;1936;1970;1999;SL;School of Manoeuvre;High;LMarcel_Montfort;X
17143;Minister of Armament;Marcel Montfort;1936;1970;1999;SL;Tank Proponent;High;LMarcel_Montfort;X
17144;Chief of Staff;Samuel Gonard;1943;1970;1999;SL;School of Psychology;High;LSamuel_Gonard;X
17145;Chief of Army;Samuel Gonard;1943;1970;1999;SL;Doctrine of Autonomy;High;LSamuel_Gonard;X
17146;Foreign Minister;Samuel Gonard;1940;1970;1999;SL;General Staffer;High;LSamuel_Gonard;X
17147;Chief of Staff;Eugène Dénéréaz;1950;1970;1999;SL;School of Manoeuvre;High;LEugene_Denereaz;X
17148;Chief of Army;Eugène Dénéréaz;1950;1970;1999;SL;Armoured Spearhead Doctrine;High;LEugene_Denereaz;X
17149;Chief of Staff;Jakob Huber;1936;1953;1999;ML;School of Defence;High;L129010;X
17150;Chief of Army;Jakob Huber;1936;1953;1999;ML;Static Defence Doctrine;High;L129010;X
17151;Chief of Staff;Georges Marcuard;1936;1958;1999;ML;School of Fire Support;High;L129020;X
17152;Chief of Staff;Max Petry;1950;1970;1999;ML;School of Fire Support;High;LMax_Petry;X
17153;Chief of Army;Max Petry;1950;1970;1999;ML;Decisive Battle Doctrine;High;LMax_Petry;X
17154;Chief of Staff;Alfred Ernst;1953;1970;1999;ML;School of Defence;High;LAlfred_Ernst;X
17155;Chief of Army;Alfred Ernst;1953;1970;1999;ML;Static Defence Doctrine;High;LAlfred_Ernst;X
17156;Head of Military Intelligence;Alfred Ernst;1940;1970;1999;ML;Dismal Enigma;High;LAlfred_Ernst;X
17157;Chief of Staff;Henri Guisan;1936;1960;1999;SC;School of Defence;High;L129008;X
17158;Chief of Army;Henri Guisan;1936;1960;1999;SC;Elastic Defence Doctrine;High;L129008;X
17159;Foreign Minister;Henri Guisan;1936;1960;1999;SC;General Staffer;High;L129008;X
17160;Chief of Staff;Walter Maurer;1945;1968;1999;SC;School of Fire Support;High;LWalter_Maurer;X
17161;Chief of Army;Walter Maurer;1945;1968;1999;SC;Innovative Artillery Officer;High;LWalter_Maurer;X
17162;Chief of Staff;Louis de Montmollin;1945;1970;1999;SC;School of Manoeuvre;High;LLouis_deMontmollin;X
17163;Chief of Army;Louis de Montmollin;1945;1970;1999;SC;Doctrine of Autonomy;High;LLouis_deMontmollin;X
17164;Minister of Armament;Louis de Montmollin;1945;1970;1999;SC;Reformer;High;LLouis_deMontmollin;X
17165;Chief of Staff;Jakob Labhart;1936;1950;1999;PA;School of Manoeuvre;High;L129016;X
17166;Chief of Army;Jakob Labhart;1936;1950;1999;PA;Decisive Battle Doctrine;High;L129016;X
17167;Minister of Armament;Jakob Labhart;1936;1950;1999;PA;Motorisation Proponent;High;L129016;X
17168;Head of Military Intelligence;Jakob Labhart;1936;1950;1999;PA;Logistics Specialist;High;L129016;X
17169;Chief of Staff;Hans Bandi;1936;1956;1999;PA;School of Fire Support;High;L129040;X
17170;Chief of Air Force;Hans Bandi;1936;1956;1999;PA;Air Defence Doctrine;High;L129040;X
17171;Chief of Staff;Hans Berli;1946;1965;1999;PA;School of Mass Combat;High;LHans_Berli;X
17172;Chief of Staff;Hans Frick;1940;1970;1999;PA;School of Psychology;High;LHans_Frick2;X
17173;Chief of Staff;Georg Züblin;1947;1970;1999;PA;School of Manoeuvre;High;LGeorg_Zublin;X
17174;Chief of Army;Georg Züblin;1957;1970;1999;PA;Decisive Battle Doctrine;High;LGeorg_Zublin;X
17175;Chief of Staff;Arthur Fonjallaz;1936;1944;1999;FA;School of Psychology;High;LArthur_Fonjallaz;X
17176;Minister of Security;Arthur Fonjallaz;1936;1944;1999;FA;Prince of Terror;High;LArthur_Fonjallaz;X
17177;Chief of Staff;Ulrich Wille Jr.;1936;1959;1999;FA;School of Mass Combat;High;L129036;X
17178;Chief of Army;Ulrich Wille Jr.;1936;1959;1999;FA;Guns and Butter Doctrine;High;L129036;X
17179;Minister of Armament;Ulrich Wille Jr.;1936;1959;1999;FA;Infantry Proponent;High;L129036;X
17180;Chief of Army;Friedrich Rünzi;1950;1970;1999;SL;Guns and Butter Doctrine;High;L129028;X
17181;Head of Military Intelligence;Friedrich Rünzi;1950;1970;1999;SL;Industrial Specialist;High;L129028;X
17182;Chief of Army;Fritz Gubler;1935;1946;1999;ML;Combat Engineering Doctrine;High;LFritz_Gubler;X
17183;Chief of Army;Eduard Jordi;1937;1948;1999;ML;Armoured Spearhead Doctrine;High;LEduard_Jordi;X
17184;Chief of Army;Othmar Büttikofer;1946;1970;1999;ML;Combat Engineering Doctrine;High;LOthmar_Buttikofer;X
17185;Chief of Army;Marcel Tardent;1952;1970;1999;ML;Static Defence Doctrine;High;LMarcel_Tardent;X
17186;Chief of Army;Ernst Uhlmann;1954;1970;1999;ML;Elastic Defence Doctrine;High;LErnst_Uhlmann;X
17187;Minister of Security;Ernst Uhlmann;1936;1970;1999;ML;Crime Fighter;High;LErnst_Uhlmann;X
17188;Chief of Army;Herbert Constam;1936;1970;1999;SC;Elastic Defence Doctrine;High;L129004;X
17189;Minister of Armament;Herbert Constam;1936;1970;1999;SC;Infantry Proponent;High;L129004;X
17190;Chief of Army;Pièrre de Muralt;1948;1970;1999;SC;Armoured Spearhead Doctrine;High;LPierre_deMuralt;X
17191;Chief of Army;Fred Küenzy;1950;1970;1999;SC;Guns and Butter Doctrine;High;LFred_Kuenzy;X
17192;Head of Military Intelligence;Fred Küenzy;1950;1970;1999;SC;Industrial Specialist;High;LFred_Kuenzy;X
17193;Chief of Navy;Schweizer Hochseeschifffahrt;1938;1970;1999;LWR;Merchant Navy Focus;High;MSwiss_Merchant_Marine;X
17194;Chief of Navy;Schweizer Hochseeschifffahrt;1936;1970;1999;ML;Merchant Navy Focus;High;MSwiss_Merchant_Marine;X
17195;Chief of Navy;Schweizer Hochseeschifffahrt;1936;1970;1999;PA;Merchant Navy Focus;High;MSwiss_Merchant_Marine;X
17196;Chief of Air Force;Edgar Primault;1936;1970;1999;SL;Aviation Organizer;High;LEdgar_Primault;X
17197;Chief of Air Force;Etienne Primault;1947;1970;1999;SL;Air Superiority Doctrine;High;M17110;X
17198;Chief of Air Force;Robert Ackermann;1936;1964;1999;ML;Air Superiority Doctrine;High;LRobert_Ackermann;X
17199;Minister of Armament;Robert Ackermann;1941;1964;1999;ML;Motorisation Proponent;High;LRobert_Ackermann;X
17200;Chief of Air Force;Alfred Comte;1936;1966;1999;ML;Vertical Envelopment Doctrine;High;MAlfred_Comte;X
17201;Minister of Armament;Alfred Comte;1936;1966;1999;ML;Strategic Air Proponent;High;MAlfred_Comte;X
17202;Chief of Air Force;Charles Dubois;1939;1969;1999;ML;Air Defence Doctrine;High;LCharles_Dubois;X
17203;Head of Military Intelligence;Charles Dubois;1936;1969;1999;ML;Logistics Specialist;High;LCharles_Dubois;X
17204;Chief of Air Force;Walter Burkhard;1936;1970;1999;ML;Army Aviation Doctrine;High;LWalter_Burkhard;X
17205;Chief of Air Force;Fritz Gerber;1949;1970;1999;ML;Tactical Aviation Doctrine;High;LFritz_Gerber1903;X
17206;Chief of Air Force;Theodor Real;1917;1956;1999;SC;Aviation Organizer;High;L129045;X
17207;Chief of Air Force;Friedrich 'Fritz' Rihner;1936;1970;1999;SC;Air Superiority Doctrine;High;M17108;X
17208;Minister of Armament;Friedrich 'Fritz' Rihner;1943;1970;1999;SC;Air Superiority Proponent;High;M17108;X
17209;Chief of Air Force;Erich Münch;1947;1970;1999;SC;Air Defence Doctrine;High;LErich_Munch;X
17210;Chief of Air Force;René Dubois;1948;1970;1999;SC;Vertical Envelopment Doctrine;High;LRene_Dubois;X
17211;Chief of Air Force;Gottfried von Meiss;1946;1970;1999;PA;Army Aviation Doctrine;High;LGottfried_von_Meiss;X
17212;Head of Military Intelligence;Gottfried von Meiss;1944;1970;1999;PA;Technical Specialist;High;LGottfried_von_Meiss;X
