IRQ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
91060;Foreign Minister;Moussa al Alami;1941;1964;1999;SC;Great Compromiser;Low;M91043;x
91061;Foreign Minister;Azam Pasha;1936;1964;1999;PA;Apologetic Clerk;Medium;M91046;x
91062;Foreign Minister;Tawfiq al Suweidi;1937;1964;1999;PA;Apologetic Clerk;Low;M91056;x
91064;Foreign Minister;Ali Jawdat;1939;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M91064;x
91065;Foreign Minister;Jamil al Midfai;1940;1964;1999;PA;Apologetic Clerk;Medium;M91047;x
91066;Foreign Minister;Salih Jabr;1941;1964;1999;PA;Ideological Crusader;Medium;M91050;x
91067;Foreign Minister;Abdallah al Damluji;1942;1964;1999;PA;Iron Fisted Brute;Medium;M91067;x
91068;Foreign Minister;Abd al Illah al Hafiz;1942;1964;1999;PA;Great Compromiser;Medium;M91068;x
91069;Foreign Minister;Nasrat al Farisi;1943;1964;1999;PA;Iron Fisted Brute;Medium;M91069;x
91070;Foreign Minister;Tahsin al Askari;1943;1964;1999;PA;Ideological Crusader;Medium;M91070;x
91071;Foreign Minister;Mahmud Subhi al Daftari;1943;1964;1999;PA;Apologetic Clerk;High;M91071;x
91072;Foreign Minister;Arshad al Umari;1944;1964;1999;PA;General Staffer;Low;M91027;x
91073;Foreign Minister;Ahmad Abdul Baqi;1946;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M91073;x
91074;Foreign Minister;Muhammed Fadelfomali;1946;1964;1999;PA;Biased Intellectual;Medium;M91074;x
91075;Foreign Minister;Rashid Ali al Gaylani;1936;1964;1999;FA;The Cloak N Dagger Schemer;High;M91011;x
91076;Foreign Minister;Ali Mahmud al Shaykh;1940;1964;1999;FA;Great Compromiser;Medium;M91019;x
91077;Foreign Minister;Haj Amini al Husseini;1940;1964;1999;FA;Ideological Crusader;High;M91013;x
91078;Foreign Minister;Musa Bey al Shahbandar;1941;1964;1999;FA;Biased Intellectual;Medium;M91078;x
91080;Foreign Minister;Naji al Asil;1936;1964;1999;PA;Ideological Crusader;Medium;M91080;x
91081;Foreign Minister;Hikmet Suleyman;1936;1964;1999;PA;Great Compromiser;Medium;M91054;x
91082;Foreign Minister;Tawfiq al Suweidi;1946;1964;1999;LWR;Apologetic Clerk;Low;M91056;x
91083;Foreign Minister;Ali Mumtaz;1946;1964;1999;LWR;General Staffer;Medium;M91083;x
91084;Foreign Minister;Muhammed Fadelfomali;1946;1964;1999;LWR;Biased Intellectual;Medium;M91074;x
91085;Foreign Minister;Yahya Hamudeh;1947;1964;1999;LWR;Iron Fisted Brute;High;M91021;x
91086;Minister of Armament;Abdel Latif Salah;1936;1964;1999;SC;Resource Industrialist;High;M91086;x
91087;Minister of Armament;Moussa al Alami;1941;1964;1999;SC;laissez-faire capitalist;High;M91043;x
91088;Minister of Armament;Elie Mosseri;1946;1964;1999;SC;Administrative Genius;Medium;M91088;x
91089;Minister of Armament;Nuri as Said;1936;1964;1999;PA;Infantry Proponent;Medium;M91003;x
91090;Minister of Armament;Ya'goub Farraj;1938;1964;1999;PA;laissez-faire capitalist;High;M91090;x
91091;Minister of Armament;Jamil al Midfai;1941;1964;1999;PA;Theoretical Scientist;Medium;M91047;x
91093;Minister of Armament;Jamal Husseini;1943;1964;1999;PA;Air Superiority Proponent;High;M91093;x
91094;Minister of Armament;Tawfiq al Suweidi;1944;1964;1999;PA;Submarine Proponent;Low;M91056;x
91095;Minister of Armament;Ali Abn Hussein;1946;1964;1999;PA;Corrupt Kleptocrat;High;M91005;x
91097;Minister of Armament;Amir al Jahed;1936;1964;1999;FA;Military Entrepreneur;Medium;M91097;x
91098;Minister of Armament;Yahya al Najif;1937;1964;1999;FA;Submarine Proponent;Medium;M91098;x
91099;Minister of Armament;Azam Pasha;1941;1964;1999;FA;Infantry Proponent;Medium;M91046;x
91100;Minister of Armament;Fawsi al Kaukji;1940;1964;1999;FA;Corrupt Kleptocrat;Medium;M91014;x
91101;Minister of Armament;Khaled al Dalabeeh;1936;1964;1999;LWR;Theoretical Scientist;Medium;M91030;x
91102;Minister of Armament;Anwar Khatib;1946;1964;1999;LWR;Strategic Air Proponent;Medium;M91024;x
91104;Minister of Security;Ghulam Ali Allana;1940;1964;1999;SC;Compassionate Gentleman;Medium;M91104;x
91105;Minister of Security;Ragheb Nashashibi;1946;1964;1999;SC;Crime Fighter;Medium;M91045;x
91106;Minister of Security;Kamel Erekat;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M91106;x
91107;Minister of Security;Ahmad Abdul Baqi;1937;1964;1999;PA;Man of the People;Medium;M91073;x
91108;Minister of Security;Suleiman al Taji;1939;1964;1999;PA;Prince of Terror;Medium;M91108;x 
91111;Minister of Security;Nuri as Said;1946;1964;1999;PA;Efficient Sociopath;Medium;M91003;x
91112;Minister of Security;Jamil al Midfai;1936;1964;1999;FA;Crooked Kleptocrat;Low;M91047;x
91113;Minister of Security;Ali Rassakh;1937;1964;1999;FA;Man of the People;Medium;M91113;x 
91114;Minister of Security;Ahmed Amir Badi;1940;1964;1999;FA;Efficient Sociopath;Medium;M91114;x
91115;Minister of Security;Rashid Ali al Gaylani;1941;1964;1999;FA;Prince of Terror;High;M91011;x
91116;Minister of Security;Haj Amini al Husseini;1941;1964;1999;FA;Efficient Sociopath;High;M91013;x
91117;Minister of Security;Anwar Khatib;1936;1964;1999;LWR;Man of the People;Medium;M91024;x
91118;Minister of Security;Hikmet Suleyman;1941;1964;1999;LWR;Compassionate Gentleman;Medium;M91054;x
91120;Head of Military Intelligence;Mohammed al Azir;1941;1964;1999;SC;Logistics Specialist;Medium;M91120;x
91121;Head of Military Intelligence;Taha Pasha al Hashimi;1946;1964;1999;SC;Dismal Enigma;High;M91044;x
91122;Head of Military Intelligence;Emil Ghoury;1936;1964;1999;PA;Technical Specialist;Medium;M91122;x
91123;Head of Military Intelligence;Jamil al Midfai;1938;1964;1999;PA;Political Specialist;Medium;M91047;x
91128;Head of Military Intelligence;Nuri as Said;1947;1964;1999;PA;Logistics Specialist;Medium;M91003;x
91129;Head of Military Intelligence;Rifai al Fadel;1936;1964;1999;FA;Political Specialist;Medium;M91129;x
91130;Head of Military Intelligence;Rashid Ali al-Gaylani;1940;1964;1999;FA;Dismal Enigma;Medium;M91011;x
91131;Head of Military Intelligence;Azam Pasha;1940;1964;1999;FA;Logistics Specialist;Medium;M91046;x
91132;Head of Military Intelligence;Fawsi al Kaukji;1946;1964;1999;FA;Industrial Specialist;Medium;M91014;x
91133;Head of Military Intelligence;Taha al Ahmani;1936;1964;1999;LWR;Industrial Specialist;Medium;M91029;x
91134;Head of Military Intelligence;Abdallah Mumtaz;1940;1964;1999;LWR;Technical Specialist;Medium;M91026;x
91135;Head of Military Intelligence;Suleiman al Taji;1941;1964;1999;LWR;Political Specialist;Medium;M91108;x
91136;Head of Military Intelligence;Rifai al Fadel;1946;1964;1999;LWR;Dismal Enigma;Medium;M91129;x
91140;Chief of Staff;Nuri as-Said;1937;1964;1999;PA;School of Mass Combat;Medium;M91003;x
91143;Chief of Staff;Fawsi al Kaukji;1936;1964;1999;FA;School of Fire Support;Medium;M91014;x
91144;Chief of Staff;Bakr Sidqi;1936;1964;1999;LWR;School of Defence;Low;M91007;x
91145;Chief of Staff;Arshad al Umari;1939;1964;1999;LWR;School of Fire Support;Medium;M91027;x
91147;Chief of Army;John Bagot Glubb;1946;1964;1999;PA;Decisive Battle Doctrine;High;M91124;x
91149;Chief of Army;Nuri as Said;1939;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M91003;x
91151;Chief of Army;Amir al Illah;1944;1964;1999;PA;Static Defence Doctrine;Medium;M91035;x
91153;Chief of Army;Fawsi al Kaukji;1936;1964;1999;FA;Static Defence Doctrine;Medium;M91014;x
91155;Chief of Army;Arshad al Umari;1936;1964;1999;LWR;Guns and Butter Doctrine;Medium;M91027;x
91157;Chief of Navy;Hamdi al Pachachi;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Low;M91049;x
91159;Chief of Navy;Jamil al Midfai;1946;1964;1999;PA;Indirect Approach Doctrine;Medium;M91047;x
91160;Chief of Navy;Ali Mahmud al Shaykh;1936;1964;1999;FA;Indirect Approach Doctrine;Medium;M91019;x
91162;Chief of Navy;Taha al Ahmani;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M91029;x
91165;Chief of Air Force;Amir al Illah;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M91035;x
91166;Chief of Air Force;Abdullah al-Tell;1940;1964;1999;PA;Naval Aviation Doctrine;Medium;M91166;x
91168;Chief of Air Force;Jamil al Midfai;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M91047;x
91170;Chief of Air Force;Fahmi Sa'id;1936;1964;1999;FA;Air Superiority Doctrine;Medium;M91020;x
91171;Chief of Air Force;Khaled al Dalabeeh;1936;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M91030;x
91172;Head of State;Rashid Ali al-Gaylani;1941;1964;1999;FA;Powerhungry Demagogue;High;M91011;x
91173;Chief of Navy;Rashid Ali al-Gaylani;1946;1964;1999;FA;Power Projection Doctrine;Medium;M91011;x
91174;Head of Government;Hikmet Suleyman;1936;1964;1999;PA;Naive Optimist;High;M91054;x
91175;Head of Government;Rashid Ali al Gaylani;1940;1964;1999;PA;Smiling Oilman;High;M91011;x
91176;Head of Government;Jamil al Midfai;1941;1964;1999;PA;Smiling Oilman;High;M91047;x
91177;Head of Government;Nuri as Said;1941;1964;1999;PA;Ambitious Union Boss;High;M91003;x
91178;Head of Government;Nuri as Said;1946;1964;1999;PA;Flamboyant Tough Guy;High;M91003;x
91011;Head of State;Rashid Ali al-Gaylani;1936;1964;1999;FA;Powerhungry Demagogue;High;M91011;x
91012;Head of Government;Rashid Ali al-Gaylani;1936;1964;1999;FA;Smiling Oilman;High;M91011;x
91021;Head of State;Yahya Hamudeh;1936;1964;1999;ST;Barking Buffoon;High;M91021;x
91022;Head of Government;Yahya Hamudeh;1936;1964;1999;ST;Backroom Backstabber;High;M91021;x
91179;Head of Government;Muhammad as Sadr;1948;1964;1999;PA;Naive Optimist;High;M91179;x
91180;Head of Government;Muzahim al Bayyaji;1948;1964;1999;SC;Corporate Suit;High;M91180;x
91181;Head of Government;Ali Jawdat;1949;1964;1999;PA;Backroom Backstabber;High;M91064;x
91182;Head of Government;Tawfiq al Suweidi;1950;1964;1999;PA;Ambitious Union Boss;High;M91056;x
91183;Head of Government;Nurreddin Mahmud;1952;1964;1999;PA;Old General;High;M91183;x
91184;Head of Government;Mustafa al Umari;1952;1964;1999;ML;Silent Workhorse;High;M91184;x
91185;Head of Government;Muhamed Fadhel al-Jamali;1953;1964;1999;SC;Happy Amateur;High;M91185;x
91186;Head of Military Intelligence;Nurreddin Mahmud;1945;1964;1999;PA;Logistics Specialist;Medium;M91183;x
