CGX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
502081;Chief of Staff;Max Hermann Bauer;1936;1944;1999;FA;School of Fire Support;High;Kaiserreich MaxBauer;X
502082;Chief of Army;Max Hermann Bauer;1936;1944;1999;FA;Guns and Butter Doctrine;High;Kaiserreich MaxBauer;X
502083;Minister of Armament;Max Hermann Bauer;1936;1944;1999;FA;Artillery Proponent;High;Kaiserreich MaxBauer;X
502084;Chief of Staff;Hans Kratzert;1936;1959;1999;PA;School of Defence;High;LHans_Kratzert;X
502085;Chief of Army;Hans Kratzert;1936;1959;1999;PA;Elastic Defence Doctrine;High;LHans_Kratzert;X
502086;Chief of Staff;Hermann Voigt-Ruscheweyh;1933;1970;1999;PA;School of Fire Support;High;L953;X
502087;Chief of Army;Hermann Voigt-Ruscheweyh;1933;1970;1999;PA;Decisive Battle Doctrine;High;L953;X
502088;Chief of Air Force;Hermann Voigt-Ruscheweyh;1933;1970;1999;PA;Air Defence Doctrine;High;L953;X
502089;Chief of Army;Wen Yingxing;1924;1968;1999;ML;Combat Engineering Doctrine;High;LWen_Yingxing;X
502090;Minister of Security;Wen Yingxing;1931;1968;1999;ML;Crime Fighter;High;LWen_Yingxing;X
502091;Chief of Army;Ernst-August Lassen;1928;1950;1999;SC;Old Cavalry General;High;LErnst-August_Lassen;X
502092;Chief of Army;Hermann Kuprion;1928;1952;1999;SC;Combat Engineering Doctrine;High;LHermann_Kuprion;X
502093;Chief of Army;Erich Hauger;1940;1962;1999;SC;Guns and Butter Doctrine;High;L506132;X
502094;Minister of Armament;Erich Hauger;1940;1962;1999;SC;Reformer;High;L506132;X
502095;Head of Military Intelligence;Erich Hauger;1936;1962;1999;SC;Industrial Specialist;High;L506132;X
502096;Chief of Army;Walter Hollaender;1944;1970;1999;SC;Doctrine of Autonomy;High;LWalter_Hollaender;X
502097;Chief of Army;Karl Fabiunke;1944;1970;1999;SC;Decisive Battle Doctrine;High;L506096;X
502098;Minister of Armament;Karl Fabiunke;1944;1970;1999;SC;Artillery Proponent;High;L506096;X
502099;Head of Military Intelligence;Karl Fabiunke;1936;1970;1999;SC;Logistics Specialist;High;L506096;X
502100;Chief of Army;Friedrich von Kessinger;1920;1946;1999;PA;Static Defence Doctrine;High;MFriedrich_von_Kessinger;X
502101;Chief of Army;Egmont Lebsanft;1936;1955;1999;PA;Guns and Butter Doctrine;High;LEgmont_Lebsanft;X
502102;Chief of Army;Adolf von Kleist;1936;1958;1999;FA;Old Cavalry General;High;LAdolf_von_Kleist;X
502103;Chief of Navy;Leopold Ziegenbein;1936;1951;1999;SC;Merchant Navy Focus;High;MLeopold_Ziegenbein;X
502104;Chief of Navy;Fritz Sachsse;1922;1954;1999;SC;Base Control Doctrine;High;LFritz_Sachsse;X
502105;Chief of Navy;Gunther Plüschow;1936;1956;1999;SC;Power Projection Doctrine;High;Kaiserreich Plueschow;X
502106;Chief of Air Force;Gunther Plüschow;1936;1956;1999;SC;Naval Aviation Doctrine;High;Kaiserreich Plueschow;X
502107;Chief of Navy;Hellmuth von Mucke;1926;1958;1999;SC;Riverine Warfare Doctrine;High;Kaiserreich vonMucke;X
502108;Chief of Navy;Heinrich Ancker;1936;1960;1999;SC;Open Seas Doctrine;High;L506253;X
502109;Chief of Navy;Arno Schmidt;1940;1965;1999;SC;Coastal Defence Doctrine;High;L508065;X
502110;Chief of Navy;Gustav Siess;1935;1970;1999;SC;Indirect Approach Doctrine;High;L524028;X
502111;Chief of Navy;Karl von Müller;1926;1939;1999;PA;Open Seas Doctrine;High;LKarl_von_Mueller;X
502112;Chief of Navy;Conrad Patzig;1929;1970;1999;PA;Decisive Naval Battle Doctrine;High;L506300;X
502113;Head of Military Intelligence;Conrad Patzig;1929;1970;1999;PA;Naval Intelligence Specialist;High;L506300;X
502114;Chief of Navy;Wilhelm Kopp;1936;1964;1999;FA;Coastal Defence Doctrine;High;L506285;X
502115;Chief of Navy;Arno Spindler;1921;1967;1999;FA;Indirect Approach Doctrine;High;LArno_Spindler;X
502116;Minister of Armament;Arno Spindler;1921;1967;1999;FA;Submarine Proponent;High;LArno_Spindler;X
502117;Chief of Air Force;Wolfgang von Gronau;1940;1970;1999;ML;Naval Aviation Doctrine;High;L506427;X
502118;Chief of Air Force;Kurt-Bertram von Döring;1930;1961;1999;SC;Air Superiority Doctrine;High;L956;X
502119;Minister of Armament;Kurt-Bertram von Döring;1930;1961;1999;SC;Air Superiority Proponent;High;L956;X
502120;Chief of Air Force;Karl Kettembeil;1936;1970;1999;SC;Army Aviation Doctrine;High;L506372;X
502121;Minister of Armament;Karl Kettembeil;1936;1970;1999;SC;Air to Ground Proponent;High;L506372;X
502122;Chief of Air Force;Job-Heinrich von Dewall;1936;1951;1999;PA;Carpet Bombing Doctrine;High;LJob-Heinrich_vonDewall;X
502123;Chief of Air Force;Elard von Löwenstern;1936;1956;1999;PA;Aviation Organizer;High;L508084;X
502124;Chief of Air Force;Hans Boehmer;1939;1970;1999;PA;Vertical Envelopment Doctrine;High;LHans_Boehmer;X
502150;Head of State;Chen Jiongming;1923;1953;1999;SD;Federalist Patriot;High;CHIMing;X
502151;Foreign Minister;Chen Jiongming;1923;1953;1999;SD;Ideological Crusader;High;CHIMing;X
502152;Chief of Staff;Chen Jiongming;1923;1953;1999;SD;School of Psychology;High;CHIMing;X
502153;Head of State;Xu Fulin;1929;1958;1999;SD;Weary Stiffneck;High;MXu_Fulin;X
502154;Minister of Security;Xu Fulin;1929;1958;1999;SD;Silent Lawyer;High;MXu_Fulin;X
502155;Head of State;Chen Qiyou;1941;1970;1999;SD;Die-hard Reformer;High;Chen Qiyou;X
502156;Head of Government;Chen Qiyou;1941;1970;1999;SD;Silent Workhorse;High;Chen Qiyou;X
502157;Minister of Armament;Chen Qiyou;1941;1970;1999;SD;Planned Economy Proponent;High;Chen Qiyou;X
502158;Head of State;Chen Lianbo;1925;1960;1999;ML;Barking Buffoon;High;MChen_Lianbo;X
502159;Minister of Armament;Chen Lianbo;1925;1960;1999;ML;Laissez-Faire Capitalist;High;MChen_Lianbo;X
502160;Minister of Security;Chen Lianbo;1925;1960;1999;ML;Back Stabber;High;MChen_Lianbo;X
502161;Head of State;Lee Kong Chian;1936;1968;1999;ML;Benevolent Gentleman;High;MLee_Kong_Chian;X
502162;Head of State;Chen Jitang;1925;1955;1999;SC;Reformist Soldierhos;High;L50031;X
502163;Head of Government;Chen Jitang;1925;1955;1999;SC;Reformist Soldierhog;High;L50031;X
502164;Minister of Armament;Chen Jitang;1925;1955;1999;SC;Reformer;High;L50031;X
502165;Chief of Army;Chen Jitang;1925;1955;1999;SC;Guns and Butter Doctrine;High;L50031;X
502166;Head of State;Xu Chongzhi;1927;1965;1999;SC;Resigned Generalissimo;High;LXu_Chongzhi;X
502167;Head of Government;Xu Chongzhi;1927;1965;1999;SC;Respected War Hero;High;LXu_Chongzhi;X
502168;Minister of Armament;Xu Chongzhi;1936;1965;1999;SC;Military Entrepreneur;High;LXu_Chongzhi;X
502169;Head of State;Yang Yongtai;1935;1955;1999;PA;Autocratic Charmer;High;MYang_Yongtai;X
502170;Head of Government;Yang Yongtai;1935;1955;1999;PA;Pragmatic Statesman;High;MYang_Yongtai;X
502171;Foreign Minister;Yang Yongtai;1935;1955;1999;PA;The Cloak N Dagger Schemer;High;MYang_Yongtai;X
502172;Head of Military Intelligence;Yang Yongtai;1935;1955;1999;PA;Political Specialist;High;MYang_Yongtai;X
502173;Head of State;Ma Ji;1936;1963;1999;FA;Resigned Generalissimo;High;LMa_Ji;X
502174;Head of Government;Yao Yuping;1936;1970;1999;SD;Old General;High;LYao_Yuping;X
502175;Chief of Navy;Yao Yuping;1924;1970;1999;SD;Riverine Warfare Doctrine;High;LYao_Yuping;X
502176;Head of Government;Chen Yansheng;1925;1953;1999;SD;Silent Workhorse;High;Chen Yen-sheng;X
502177;Foreign Minister;Chen Yansheng;1925;1953;1999;SD;Biased Intellectual;High;Chen Yen-sheng;X
502178;Head of Government;Chen Mingshu;1931;1965;1999;SD;Naive Optimist;High;Chen Mingshu;X
502179;Chief of Staff;Chen Mingshu;1931;1965;1999;SD;School of Mass Combat;High;CHIMingshu;X
502180;Head of Government;Gan Naiguang;1936;1962;1999;SL;Pragmatic Statesman;High;MGan_Naiguang;X
502181;Foreign Minister;Gan Naiguang;1936;1962;1999;SL;Great Compromiser;High;MGan_Naiguang;X
502182;Minister of Armament;Gan Naiguang;1936;1962;1999;SL;Mixed Economy;High;MGan_Naiguang;X
502183;Head of Military Intelligence;Gan Naiguang;1936;1962;1999;SL;Political Specialist;High;MGan_Naiguang;X
502184;Head of Government;Chen Lianzhong;1925;1970;1999;ML;Corporate Suit;High;MChen_Lianzhong;X
502185;Minister of Armament;Chen Lianzhong;1925;1970;1999;ML;Bank President;High;MChen_Lianzhong;X
502186;Head of Government;Li Hanhun;1938;1970;1999;SC;Silent Workhorse;High;L50175;X
502187;Minister of Security;Li Hanhun;1938;1970;1999;SC;Compassionate Gentleman;High;L50175;X
502188;Chief of Army;Li Hanhun;1936;1970;1999;SC;Doctrine of Autonomy;High;L50175;X
502189;Head of Government;Shen Hongying;1925;1938;1999;PA;Old General;High;MShen_Hongying;X
502190;Foreign Minister;Shen Hongying;1925;1938;1999;PA;The Cloak N Dagger Schemer;High;MShen_Hongying;X
502191;Minister of Armament;Shen Hongying;1925;1938;1999;PA;Corrupt Kleptocrat;High;MShen_Hongying;X
502192;Head of Government;Lu Yugang;1938;1966;1999;PA;Reformist Soldierhog;High;LLu_Yugang;X
502193;Chief of Army;Lu Yugang;1936;1966;1999;PA;Elastic Defence Doctrine;High;LLu_Yugang;X
502194;Foreign Minister;Huang Dingchen;1941;1970;1999;SD;Great Compromiser;High;MHuang_Dingchen;X
502195;Minister of Security;Huang Dingchen;1941;1970;1999;SD;Health and Safety;High;MHuang_Dingchen;X
502196;Foreign Minister;Li Jinlun;1931;1956;1999;ML;Ideological Crusader;High;MChinglun_Frank_William_Lee;X
502197;Foreign Minister;Xu Liang;1936;1968;1999;ML;Apologetic Clerk;High;MXu_Liang;X
502198;Foreign Minister;Zhong Tianxin;1936;1970;1999;ML;Biased Intellectual;High;MZhong_Tianxin;X
502199;Foreign Minister;Gu Yingfen;1920;1943;1999;SC;Apologetic Clerk;High;MGu_Yingfen;X
502200;Minister of Armament;Gu Yingfen;1920;1943;1999;SC;Balanced Budget Economy;High;MGu_Yingfen;X
502201;Minister of Security;Gu Yingfen;1920;1943;1999;SC;Back Stabber;High;MGu_Yingfen;X
502202;Foreign Minister;Feng Ziyou;1925;1958;1999;SC;The Cloak N Dagger Schemer;High;MFeng_Ziyou;X
502203;Foreign Minister;Ye Gongchao;1945;1970;1999;SC;Iron Fisted Brute;High;Ye Gongchao;X
502204;Foreign Minister;Wen Zongyao;1920;1948;1999;PA;Ideological Crusader;High;MWen_Zongyao;X
502205;Foreign Minister;Wu Tiecheng;1937;1954;1999;PA;Iron Fisted Brute;High;MWu_Tiecheng;X
502206;Minister of Security;Wu Tiecheng;1925;1954;1999;PA;Secret Police Chief;High;MWu_Tiecheng;X
502207;Foreign Minister;Zheng Yanfen;1938;1970;1999;PA;Biased Intellectual;High;MZheng_Yanfen;X
502208;Minister of Security;Zheng Yanfen;1946;1970;1999;PA;Silent Lawyer;High;MZheng_Yanfen;X
502209;Head of Military Intelligence;Zheng Yanfen;1938;1970;1999;PA;Political Specialist;High;MZheng_Yanfen;X
502210;Minister of Armament;Zhong Xiunan;1921;1944;1999;SD;Mixed Economy;High;MZhong_Xiunan;X
502211;Minister of Armament;Liu Jiwen;1921;1957;1999;SD;Construction Magnate;High;MLiu_Jiwen;X
502212;Minister of Armament;Ye Zaifu;1926;1958;1999;SD;Battle Fleet Proponent;High;MYe_Zaifu;X
502213;Minister of Armament;Xu Chongqing;1925;1969;1999;SD;Theoretical Scientist;High;MXu_Chongqing;X
502214;Minister of Armament;Luo Mingyu;1936;1970;1999;SL;Theoretical Scientist;High;MLuo_Mingyu;X
502215;Minister of Armament;Lin Yungai;1927;1949;1999;ML;Administrative Genius;High;MLin_Yungai;X
502216;Minister of Security;Lin Yungai;1927;1949;1999;ML;Silent Lawyer;High;MLin_Yungai;X
502217;Minister of Armament;Robert Fan;1932;1970;1999;ML;Construction Magnate;High;MRobert_Fan_Wenzhao;X
502218;Minister of Armament;Wu Tingyang;1935;1950;1999;SC;Industrialiser;High;MWu_Tingyang;X
502219;Minister of Armament;Zeng Yangfu;1935;1969;1999;SC;Resource Industrialist;High;MZeng_Yangfu;X
502220;Head of Military Intelligence;Zeng Yangfu;1935;1969;1999;SC;Industrial Specialist;High;MZeng_Yangfu;X
502221;Minister of Armament;Ling Hongxun;1927;1970;1999;SC;Construction Magnate;High;MLing_Hongxun;X
502222;Head of Military Intelligence;Ling Hongxun;1927;1970;1999;SC;Industrial Specialist;High;MLing_Hongxun;X
502223;Minister of Armament;Cheng Tiangu;1935;1970;1999;SC;Planned Economy Proponent;High;MCheng_Tiangu;X
502224;Minister of Security;Cheng Tiangu;1935;1970;1999;SC;Silent Lawyer;High;MCheng_Tiangu;X
502225;Minister of Armament;Yang Guanyu;1936;1970;1999;SC;Air to Ground Proponent;High;LYang_Guanyu;X
502226;Minister of Armament;Huang Musong;1929;1940;1999;PA;Reformer;High;M52066;X
502227;Minister of Armament;Zeng Juzhi;1938;1970;1999;PA;Military Entrepreneur;High;LZeng_Juzhi;X
502228;Minister of Armament;Tan Haoming;1918;1941;1999;FA;Corrupt Kleptocrat;High;MTan_Haoming;X
502229;Minister of Security;Li Zhangda;1926;1954;1999;SD;Secret Police Chief;High;MLi_Zhangda;X
502230;Minister of Security;Chen Rutang;1936;1961;1999;SD;Health and Safety;High;MChen_Rutang;X
502231;Minister of Security;Yun Daiying;1927;1970;1999;SD;Media Magnate;High;MYun_Daiying;X
502232;Minister of Security;Ge Zhaohuang;1936;1953;1999;SL;Secret Police Chief;High;MGe_Zhaohuang;X
502233;Head of Military Intelligence;Ge Zhaohuang;1936;1953;1999;SL;Dismal Enigma;High;MGe_Zhaohuang;X
502234;Minister of Security;Mo Xiong;1932;1970;1999;SL;Crime Fighter;High;LMo_Xiong;X
502235;Head of Military Intelligence;Mo Xiong;1932;1970;1999;SL;Dismal Enigma;High;LMo_Xiong;X
502236;Minister of Security;Luo Xianxiang;1936;1968;1999;SC;Crime Fighter;High;MLuo_Xianxiang;X
502237;Minister of Security;Lu Zhide;1940;1970;1999;SC;Health and Safety;High;MLu_Zhide;X
502238;Head of Military Intelligence;Wen Yuqing;1932;1960;1999;ML;Technical Specialist;High;MWen_Yuqing;X
502239;Head of Military Intelligence;Zhong Hanbo;1947;1970;1999;ML;Naval Intelligence Specialist;High;LZhong_Hanbo;X
502240;Head of Military Intelligence;Zheng Jiemin;1941;1960;1999;PA;Counterintelligence Specialist;High;M52083;X
502241;Chief of Staff;Deng Shizeng;1933;1954;1999;SD;School of Defence;High;LDeng_Shizeng;X
502242;Chief of Staff;Deng Yancun;1933;1966;1999;SD;School of Fire Support;High;LDeng_Yancun;X
502243;Minister of Armament;Deng Yancun;1933;1966;1999;SD;Artillery Proponent;High;LDeng_Yancun;X
502244;Chief of Staff;Jiang Guangnai;1936;1968;1999;SD;School of Mass Combat;High;L50049;X
502245;Chief of Army;Jiang Guangnai;1936;1968;1999;SD;Elastic Defence Doctrine;High;L50049;X
502246;Chief of Staff;Zhang Yunyi;1936;1970;1999;SD;School of Manoeuvre;High;LZhang_Yunyi;X
502247;Chief of Army;Zhang Yunyi;1936;1970;1999;SD;Guns and Butter Doctrine;High;LZhang_Yunyi;X
502248;Head of Military Intelligence;Zhang Yunyi;1936;1970;1999;SD;Logistics Specialist;High;LZhang_Yunyi;X
502249;Chief of Staff;Huang Qixiang;1936;1970;1999;SD;School of Fire Support;High;CHIQixiang;X
502250;Chief of Army;Huang Qixiang;1936;1970;1999;SD;Decisive Battle Doctrine;High;CHIQixiang;X
502251;Foreign Minister;Huang Qixiang;1936;1970;1999;SD;General Staffer;High;CHIQixiang;X
502252;Chief of Staff;Zhou Shidi;1940;1970;1999;SD;School of Psychology;High;L76422;X
502253;Chief of Army;Zhou Shidi;1940;1970;1999;SD;Doctrine of Autonomy;High;L76422;X
502254;Chief of Staff;Lin Xunnan;1935;1970;1999;SL;School of Defence;High;LLin_Xunnan;X
502255;Chief of Air Force;Lin Xunnan;1941;1970;1999;SL;Air Defence Doctrine;High;LLin_Xunnan;X
502256;Chief of Staff;Fan Hanjie;1936;1970;1999;SL;School of Mass Combat;High;L50074;X
502257;Chief of Army;Fan Hanjie;1936;1970;1999;SL;Elastic Defence Doctrine;High;L50074;X
502258;Chief of Staff;Kan Weiyong;1940;1970;1999;SL;School of Defence;High;L50143;X
502259;Chief of Army;Kan Weiyong;1940;1970;1999;SL;Combat Engineering Doctrine;High;L50143;X
502260;Head of Military Intelligence;Kan Weiyong;1940;1970;1999;SL;Logistics Specialist;High;L50143;X
502261;Chief of Staff;Chen Cheng;1935;1965;1999;ML;School of Fire Support;High;Chen Cheng1926;X
502262;Chief of Army;Chen Cheng;1935;1965;1999;ML;Decisive Battle Doctrine;High;Chen Cheng1926;X
502263;Foreign Minister;Chen Cheng;1935;1965;1999;ML;General Staffer;High;Chen Cheng1926;X
502264;Minister of Armament;Chen Cheng;1935;1965;1999;ML;Reformer;High;Chen Cheng1926;X
502265;Chief of Staff;Xie Zhaoqi;1941;1970;1999;ML;School of Manoeuvre;High;LXie_Zhaoqi;X
502266;Chief of Army;Xie Zhaoqi;1941;1970;1999;ML;Armoured Spearhead Doctrine;High;LXie_Zhaoqi;X
502267;Chief of Staff;Huang Guoshu;1944;1970;1999;ML;School of Fire Support;High;LHuang_Guoshu;X
502268;Chief of Army;Huang Guoshu;1944;1970;1999;ML;Innovative Artillery Officer;High;LHuang_Guoshu;X
502269;Chief of Staff;Ma Xiaojun;1925;1959;1999;SC;School of Defence;High;LMa_Xiaojun;X
502270;Minister of Armament;Ma Xiaojun;1925;1959;1999;SC;Infantry Proponent;High;LMa_Xiaojun;X
502271;Minister of Security;Ma Xiaojun;1930;1959;1999;SC;Man of the People;High;LMa_Xiaojun;X
502272;Chief of Staff;Luo Zhuoying;1935;1961;1999;SC;School of Fire Support;High;L50219;X
502273;Chief of Army;Luo Zhuoying;1935;1961;1999;SC;Elastic Defence Doctrine;High;L50219;X
502274;Chief of Staff;Li Yangjing;1927;1970;1999;SC;School of Psychology;High;LLi_Yangjing;X
502275;Minister of Security;Li Yangjing;1938;1970;1999;SC;Man of the People;High;LLi_Yangjing;X
