UPE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
100036;Head of State;Dai Jitao;1936;1951;1999;NS;Autocratic Charmer;High;MDai_Jitao;X
100037;Foreign Minister;Dai Jitao;1936;1951;1999;NS;Iron Fisted Brute;High;MDai_Jitao;X
100038;Head of Military Intelligence;Dai Jitao;1936;1951;1999;NS;Political Specialist;High;MDai_Jitao;X
100039;Head of Government;Shao Shiping;1936;1965;1999;ST;Silent Workhorse;High;MShao_Shiping;X
100040;Head of Military Intelligence;Shao Shiping;1936;1965;1999;ST;Political Specialist;High;MShao_Shiping;X
100041;Chief of Staff;Shao Shiping;1936;1965;1999;ST;School of Psychology;High;MShao_Shiping;X
100042;Head of Government;Rao Shushi;1936;1970;1999;LE;Ambitious Union Boss;High;MRao_Shushi;X
100043;Head of Government;Guangming Fu;1936;1963;1999;LWR;Political Protege;High;MGuangming_Fu;X
100044;Head of Military Intelligence;Guangming Fu;1936;1963;1999;LWR;Political Specialist;High;MGuangming_Fu;X
100045;Head of Government;Zhou Xinmin;1949;1970;1999;LWR;Political Protege;High;MZhou_Xinmin;X
100046;Minister of Security;Zhou Xinmin;1942;1970;1999;LWR;Silent Lawyer;High;MZhou_Xinmin;X
100047;Head of Government;Leng Yu;1936;1956;1999;SL;Pragmatic Statesman;High;MLeng_Yu;X
100048;Foreign Minister;Leng Yu;1936;1956;1999;SL;Ideological Crusader;High;MLeng_Yu;X
100049;Minister of Security;Leng Yu;1936;1956;1999;SL;Man of the People;High;MLeng_Yu;X
100050;Head of Government;Hu Xiyuan;1945;1970;1999;SL;Silent Workhorse;High;MHu_Xiyuan;X
100051;Head of Government;Wu Yifang;1936;1970;1999;ML;Pragmatic Statesman;High;MWu_Yifang;X
100052;Foreign Minister;Wu Yifang;1936;1970;1999;ML;Great Compromiser;High;MWu_Yifang;X
100053;Head of Government;Yang Lianggong;1950;1970;1999;SC;Pragmatic Statesman;High;MYang_Lianggong;X
100054;Head of Military Intelligence;Yang Lianggong;1938;1970;1999;SC;Political Specialist;High;MYang_Lianggong;X
100055;Head of Government;Wang Ruikai;1936;1941;1999;PA;Backroom Backstabber;High;MWang_Ruikai;X
100056;Head of Government;Wang Pu;1936;1943;1999;PA;Happy Amateur;High;MWang_Pu_Anhui;X
100057;Head of Government;Chen Guofu;1936;1948;1999;PA;Corporate Suit;High;M52005;X
100058;Minister of Security;Chen Guofu;1936;1948;1999;PA;Back Stabber;High;M52005;X
100059;Head of Government;Wu Zhongxin;1936;1954;1999;PA;Old General;High;M52065;X
100060;Foreign Minister;Wu Zhongxin;1936;1954;1999;PA;Iron Fisted Brute;High;M52065;X
100061;Head of Government;Chen Yi;1936;1955;1999;PA;Corporate Suit;High;LChen_Yi1883;X
100062;Minister of Armament;Chen Yi;1936;1955;1999;PA;Military Entrepreneur;High;LChen_Yi1883;X
100063;Chief of Army;Chen Yi;1936;1955;1999;PA;Static Defence Doctrine;High;LChen_Yi1883;X
100064;Head of Government;Yu Jingtang;1948;1970;1999;PA;Pragmatic Statesman;High;MYu_Jingtang;X
100065;Minister of Security;Yu Jingtang;1944;1970;1999;PA;Man of the People;High;MYu_Jingtang;X
100066;Head of Government;Yang Wenkai;1936;1943;1999;FA;Old General;High;MYang_Wenkai;X
100067;Foreign Minister;Wang Jinxiang;1936;1970;1999;ST;The Cloak N Dagger Schemer;High;MWang_Jinxiang;X
100068;Minister of Security;Wang Jinxiang;1936;1970;1999;ST;Secret Police Chief;High;MWang_Jinxiang;X
100069;Foreign Minister;Gan Yetao;1950;1970;1999;LE;Apologetic Clerk;High;MGan_Yetao;X
100070;Foreign Minister;Qiao Guanhua;1949;1970;1999;LWR;Biased Intellectual;High;MQiao_Guanhua;X
100071;Foreign Minister;Gong Weihang;1949;1970;1999;LWR;Ideological Crusader;High;MGong_Peng;X
100072;Foreign Minister;Wang Daohan;1952;1970;1999;LWR;Great Compromiser;High;MWang_Daohan;X
100073;Minister of Armament;Wang Daohan;1945;1970;1999;LWR;Mixed Economy;High;MWang_Daohan;X
100074;Foreign Minister;Wang Liming;1943;1970;1999;SD;Ideological Crusader;High;MLiu-Wang_Liming;X
100075;Minister of Security;Wang Liming;1943;1970;1999;SD;Health and Safety;High;MLiu-Wang_Liming;X
100076;Foreign Minister;Hu Yuzhi;1938;1970;1999;SD;The Cloak N Dagger Schemer;High;MHu_Yuzhi;X
100077;Minister of Security;Hu Yuzhi;1936;1970;1999;SD;Media Magnate;High;MHu_Yuzhi;X
100078;Foreign Minister;Fei Zhendong;1949;1970;1999;SD;Apologetic Clerk;High;MFei_Zhendong;X
100079;Foreign Minister;Yang Weiyu;1936;1956;1999;SL;Great Compromiser;High;MYang_Weiyu;X
100080;Minister of Security;Yang Weiyu;1936;1956;1999;SL;Health and Safety;High;MYang_Weiyu;X
100081;Foreign Minister;Sun Qimeng;1949;1970;1999;SL;Biased Intellectual;High;MSun_Qimeng;X
100082;Foreign Minister;Peng Wenying;1949;1970;1999;SL;Great Compromiser;High;MPeng_Wenying;X
100083;Foreign Minister;Guo Taiqi;1936;1952;1999;ML;Apologetic Clerk;High;CHITaichi;X
100084;Foreign Minister;Zhang Wohua;1936;1956;1999;ML;Apologetic Clerk;High;MZhang_Wohua;X
100085;Minister of Security;Zhang Wohua;1936;1956;1999;ML;Silent Lawyer;High;MZhang_Wohua;X
100086;Foreign Minister;Jin Wensi;1936;1968;1999;ML;Biased Intellectual;High;MJin_Wensi;X
100087;Foreign Minister;Wei Daoming;1942;1970;1999;ML;Ideological Crusader;High;Wei Tao-ming;X
100088;Minister of Security;Wei Daoming;1937;1970;1999;ML;Silent Lawyer;High;Wei Tao-ming;X
100089;Foreign Minister;Yang Guangsheng;1942;1970;1999;ML;The Cloak N Dagger Schemer;High;MYang_Guangsheng;X
100090;Head of Military Intelligence;Yang Guangsheng;1937;1970;1999;ML;Political Specialist;High;MYang_Guangsheng;X
100091;Foreign Minister;Jiang Zuobin;1936;1942;1999;SC;Ideological Crusader;High;Chiang Tso-pin;X
100092;Foreign Minister;Cai Gongshi;1936;1951;1999;SC;General Staffer;High;MCai_Gongshi;X
100093;Foreign Minister;Xu Shiying;1936;1948;1999;SC;Biased Intellectual;High;CHIShiying;X
100094;Foreign Minister;Chen Bulei;1936;1965;1999;SC;Apologetic Clerk;High;MChen_Bulei;X
100095;Foreign Minister;Luo Jialun;1943;1968;1999;SC;Biased Intellectual;High;MLuo_Jialun;X
100096;Foreign Minister;Hu Jingan;1936;1970;1999;SC;General Staffer;High;LHu_Jingan;X
100097;Head of Military Intelligence;Hu Jingan;1936;1970;1999;SC;Dismal Enigma;High;LHu_Jingan;X
100098;Foreign Minister;Xie Shoukang;1942;1970;1999;SC;Apologetic Clerk;High;MXie_Shoukang;X
100099;Foreign Minister;Hang Liwu;1947;1970;1999;SC;Great Compromiser;High;MHang_Liwu;X
100100;Foreign Minister;Cai Pei;1941;1960;1999;PA;Biased Intellectual;High;Cai Pei;X
100101;Foreign Minister;Miao Bin;1936;1969;1999;PA;The Cloak N Dagger Schemer;High;MMiao_Bin;X
100102;Minister of Security;Miao Bin;1936;1969;1999;PA;Back Stabber;High;MMiao_Bin;X
100103;Foreign Minister;Apostolic Vicar Paul Yu Pin;1940;1970;1999;PA;Ideological Crusader;High;MYu_Bin;X
100104;Foreign Minister;Xue Guangqian;1946;1970;1999;PA;Great Compromiser;High;MXue_Guangqian;X
100105;Foreign Minister;Xie Renzhao;1949;1970;1999;PA;Iron Fisted Brute;High;MXie_Renzhao;X
100106;Foreign Minister;Wei Daofeng;1936;1943;1999;FA;General Staffer;High;MWei_Daofeng;X
100107;Minister of Armament;Zeng Shan;1936;1970;1999;ST;Military Entrepreneur;High;MZeng_Shan;X
100108;Minister of Security;Zeng Shan;1936;1970;1999;ST;Efficient Sociopath;High;MZeng_Shan;X
100109;Minister of Armament;Qin Liufang;1949;1970;1999;ST;Planned Economy Proponent;High;MQin_Liufang;X
100110;Minister of Armament;Wei Jinfei;1946;1970;1999;LE;Industrialiser;High;MWei_Jinfei;X
100111;Minister of Armament;Wang Shaoshao;1936;1970;1999;LWR;Mixed Economy;High;MWang_Shaoshao;X
100112;Minister of Armament;Wang Xuewen;1940;1970;1999;LWR;Planned Economy Proponent;High;MWang_Xuewen;X
100113;Minister of Armament;Liu Junxiu;1945;1970;1999;LWR;Construction Magnate;High;MLiu_Junxiu;X
100114;Minister of Armament;Shen Zhiyuan;1949;1970;1999;LWR;Planned Economy Proponent;High;MShen_Zhiyuan;X
100115;Minister of Armament;Ma Yinchu;1936;1970;1999;SD;Planned Economy Proponent;High;MMa_Yinchu;X
100116;Minister of Armament;Huang Jingwu;1947;1970;1999;SD;Bank President;High;MHuang_Jingwu;X
100117;Head of Military Intelligence;Huang Jingwu;1947;1970;1999;SD;Industrial Specialist;High;MHuang_Jingwu;X
100118;Minister of Armament;Zhou Xingjian;1948;1970;1999;SD;Steel Magnate;High;MZhou_Xingjian;X
100119;Minister of Armament;Wu Gengmei;1949;1970;1999;SD;Mixed Economy;High;MWu_Genmei;X
100120;Minister of Armament;Sun Xiaocun;1949;1970;1999;SD;Planned Economy Proponent;High;MSun_Xiaocun;X
100121;Minister of Armament;Zhou Youguang;1949;1970;1999;SD;Bank President;High;MZhou_Youguang;X
100122;Minister of Armament;Sha Qianli;1949;1970;1999;SD;Mixed Economy;High;MSha_Qianli;X
100123;Minister of Armament;Lu Shijia;1952;1970;1999;SD;Theoretical Scientist;High;MLu_Shijia;X
100124;Minister of Armament;Xie Weijie;1954;1970;1999;SD;Industrial Chemist;High;MXie_Weijie;X
100125;Minister of Armament;Qian Jiaju;1955;1970;1999;SD;Keynesian Economy;High;MQian_Jiaju;X
100126;Minister of Armament;Zhou Huazhang;1957;1970;1999;SD;Administrative Genius;High;MZhou_Huazhang;X
100127;Minister of Armament;Liu Yifeng;1936;1956;1999;SL;Construction Magnate;High;MLiu_Yifeng;X
100128;Minister of Armament;Lu Xiaobo;1936;1959;1999;SL;Bank President;High;MLu_Xiaobo;X
100129;Minister of Armament;Yu Huancheng;1936;1962;1999;SL;Laissez-Faire Capitalist;High;MYu_Huancheng;X
100130;Minister of Armament;Rao Yutai;1947;1968;1999;SL;Theoretical Scientist;High;MRao_Yutai;X
100131;Minister of Armament;Yang Junsheng;1936;1969;1999;SL;Battle Fleet Proponent;High;MYang_Junsheng1890;X
100132;Minister of Armament;Zhou Ren;1936;1970;1999;SL;Steel Magnate;High;MZhou_Ren;X
100133;Minister of Armament;Zhang Naiqi;1945;1970;1999;SL;Administrative Genius;High;MZhang_Naiqi;X
100134;Head of Military Intelligence;Zhang Naiqi;1940;1970;1999;SL;Industrial Specialist;High;MZhang_Naiqi;X
100135;Minister of Armament;Xue Mingjian;1942;1970;1999;SL;Laissez-Faire Capitalist;High;MXue_Mingjian;X
100136;Minister of Armament;Sun Faduan;1944;1970;1999;SL;Construction Magnate;High;MSun_Faduan;X
100137;Minister of Armament;Hang Hongzhi;1948;1970;1999;SL;Infantry Proponent;High;LHang_Hongzhi;X
100138;Minister of Armament;Li Jingsheng;1949;1970;1999;SL;Industrial Chemist;High;MLi_Jingsheng;X
100139;Minister of Armament;Wang Rongyu;1949;1970;1999;SL;Submarine Proponent;High;MWang_Rongyu;X
100140;Minister of Armament;Wu Baosan;1950;1970;1999;SL;Administrative Genius;High;MWu_Baosan;X
100141;Minister of Armament;Zhao Dihua;1936;1950;1999;ML;Administrative Genius;High;MZhao_Dihua;X
100142;Head of Military Intelligence;Zhao Dihua;1936;1950;1999;ML;Industrial Specialist;High;MZhao_Dihua;X
100143;Minister of Armament;Zhou Yichun;1936;1958;1999;ML;Mixed Economy;High;MZhou_Yichun;X
100144;Minister of Security;Zhou Yichun;1936;1958;1999;ML;Health and Safety;High;MZhou_Yichun;X
100145;Minister of Armament;Cheng Shifan;1936;1960;1999;ML;Construction Magnate;High;MCheng_Shifan;X
100146;Minister of Armament;Guan Songsheng;1937;1960;1999;ML;Construction Magnate;High;MGuan_Songsheng;X
100147;Minister of Armament;Yin Zhongrong;1947;1963;1999;ML;Mixed Economy;High;MYin_Zhongrong;X
100148;Minister of Armament;Yang Yinpu;1945;1966;1999;ML;Bank President;High;MYang_Yinpu;X
100149;Minister of Armament;Ye Yuanlong;1936;1967;1999;ML;Balanced Budget Economy;High;MYe_Yuanlong;X
100150;Minister of Armament;Peng Xinwei;1946;1967;1999;ML;Laissez-Faire Capitalist;High;MPeng_Xinwei;X
100151;Minister of Armament;Mao Yisheng;1946;1970;1999;ML;Construction Magnate;High;MMao_Yisheng;X
100152;Minister of Armament;Li Shouheng;1947;1970;1999;ML;Industrial Chemist;High;MLi_Shouheng;X
100153;Minister of Armament;Zhou Zhihong;1948;1970;1999;ML;Steel Magnate;High;MZhou_Zhihong;X
100154;Minister of Armament;Wang Ganchang;1950;1970;1999;ML;Theoretical Scientist;High;MWang_Ganchang;X
100155;Minister of Armament;Huang Xuyuan;1936;1942;1999;SC;Mixed Economy;High;MHuang_Xuyuan;X
100156;Minister of Armament;Wang Xinggong;1936;1949;1999;SC;Theoretical Scientist;High;MWang_Xinggong;X
100157;Minister of Armament;Chen Qicai;1936;1950;1999;SC;Bank President;High;MChen_Qicai;X
100158;Minister of Armament;Lu Xuepu;1936;1952;1999;SC;Bank President;High;MLu_Xuepu;X
100159;Minister of Armament;Dong Xiujia;1936;1961;1999;SC;Construction Magnate;High;MDong_Xiujia;X
100160;Minister of Armament;Li Ming;1936;1966;1999;SC;Administrative Genius;High;MLi_Ming;X
100161;Minister of Armament;Zhao Zunyue;1944;1966;1999;SC;Laissez-Faire Capitalist;High;MZhao_Zunyue;X
100162;Minister of Armament;Gong Xuesui;1945;1968;1999;SC;Resource Industrialist;High;MGong_Xuesui;X
100163;Minister of Armament;Qian Changzuo;1936;1970;1999;SC;Air to Ground Proponent;High;MQian_Changzuo;X
100164;Minister of Armament;Fu Rulin;1936;1970;1999;SC;Resource Industrialist;High;MFu_Rulin;X
100165;Minister of Armament;Si Li;1937;1970;1999;SC;Motorisation Proponent;High;LSi_Li;X
100166;Head of Military Intelligence;Si Li;1937;1970;1999;SC;Logistics Specialist;High;LSi_Li;X
100167;Minister of Armament;Cheng Xiaogang;1943;1970;1999;SC;Construction Magnate;High;MCheng_Xiaogang;X
100168;Head of Military Intelligence;Cheng Xiaogang;1936;1970;1999;SC;Industrial Specialist;High;MCheng_Xiaogang;X
100169;Minister of Armament;Wang Deyu;1945;1970;1999;SC;Bank President;High;MWang_Deyu;X
100170;Minister of Armament;Li Shouyong;1946;1970;1999;SC;Laissez-Faire Capitalist;High;MLi_Shouyong;X
100171;Minister of Armament;Fang Xianting;1947;1970;1999;SC;Mixed Economy;High;MFang_Xianting;X
100172;Minister of Armament;Wu Youxun;1949;1970;1999;SC;Theoretical Scientist;High;MWu_Youxun;X
100173;Minister of Armament;Liu Gongyun;1949;1970;1999;SC;Bank President;High;MLiu_Gongyun;X
100174;Minister of Armament;Ren Xianqun;1949;1970;1999;SC;Balanced Budget Economy;High;MRen_Xianqun;X
100175;Minister of Armament;Fei Hua;1953;1970;1999;SC;Construction Magnate;High;MFei_Hua;X
100176;Head of Military Intelligence;Fei Hua;1950;1970;1999;SC;Industrial Specialist;High;MFei_Hua;X
100177;Minister of Armament;Chen Wei;1936;1951;1999;PA;Bank President;High;MChen_Wei1880;X
100178;Minister of Armament;Qian Yongming;1936;1958;1999;PA;Industrialiser;High;MQian_Yongming;X
100179;Minister of Armament;Zhao Zhiyao;1936;1962;1999;PA;Military Entrepreneur;High;MZhao_Zhiyao;X
100180;Head of Military Intelligence;Zhao Zhiyao;1936;1962;1999;PA;Industrial Specialist;High;MZhao_Zhiyao;X
100181;Minister of Armament;Chen Jicheng;1936;1963;1999;PA;Infantry Proponent;High;LChen_Jicheng;X
100182;Minister of Armament;Wen Qun;1936;1964;1999;PA;Bank President;High;MWen_Qun;X
100183;Minister of Armament;Qin Fen;1936;1957;1999;PA;Balanced Budget Economy;High;MQin_Fen;X
100184;Minister of Armament;Yu Dawei;1933;1970;1999;PA;Military Entrepreneur;High;MYu_Dawei;X
100185;Head of Military Intelligence;Yu Dawei;1933;1970;1999;PA;Industrial Specialist;High;MYu_Dawei;X
100186;Minister of Armament;Guo Libo;1940;1970;1999;PA;Infantry Proponent;High;LGuo_Libo;X
100187;Minister of Armament;Chen Qingyu;1945;1970;1999;PA;Bank President;High;MChen_Qingyu;X
100188;Minister of Armament;Fu Shishuo;1940;1961;1999;FA;Construction Magnate;High;MFu_Shishuo;X
100189;Minister of Security;Zhu Zifan;1940;1967;1999;LWR;Crime Fighter;High;MZhu_Zifan;X
100190;Minister of Security;Gao Yihan;1936;1968;1999;LWR;Silent Lawyer;High;MGao_Yihan;X
100191;Head of Military Intelligence;Gao Yihan;1936;1968;1999;LWR;Political Specialist;High;MGao_Yihan;X
100192;Minister of Security;Zhu Kaiquan;1940;1970;1999;LWR;Efficient Sociopath;High;MZhu_Kaiquan;X
100193;Minister of Security;Li Buxin;1946;1970;1999;LWR;Crime Fighter;High;MLi_Buxin;X
100194;Minister of Security;Pan Zhenya;1946;1970;1999;LWR;Silent Lawyer;High;MPan_Zhenya;X
100195;Minister of Security;Pan Guangdan;1941;1967;1999;SD;Efficient Sociopath;High;MPan_Guangdan;X
100196;Minister of Security;Wu Han;1953;1969;1999;SD;Back Stabber;High;MWu_Han;X
100197;Minister of Security;He Gonggan;1936;1970;1999;SD;Secret Police Chief;High;MHe_Gonggan;X
100198;Minister of Security;Liu Zhanen;1936;1970;1999;SD;Compassionate Gentleman;High;MLiu_Zhanen;X
100199;Minister of Security;Shi Liang;1942;1970;1999;SD;Silent Lawyer;High;MShi_Liang;X
100200;Minister of Security;Zhang Zhirang;1946;1970;1999;SD;Silent Lawyer;High;MZhang_Zhirang;X
100201;Minister of Security;Min Ganghou;1949;1970;1999;SD;Crime Fighter;High;MMin_Ganghou;X
100202;Minister of Security;Luo Ziwei;1949;1970;1999;SD;Man of the People;High;MLuo_Ziwei;X
100203;Minister of Security;Chen Sisheng;1936;1953;1999;SL;Man of the People;High;MChen_Sisheng;X
100204;Minister of Security;Wang Kan;1936;1954;1999;SL;Silent Lawyer;High;MWang_Kan;X
100205;Minister of Security;Shen Suwen;1936;1958;1999;SL;Compassionate Gentleman;High;MShen_Suwen;X
100206;Minister of Security;Liu Yunzhao;1936;1962;1999;SL;Crime Fighter;High;MLiu_Yunzhao;X
100207;Minister of Security;Chen Yinnan;1949;1963;1999;SL;Crime Fighter;High;MChen_Yinnan;X
100208;Minister of Security;Wang Zigan;1936;1963;1999;SL;Health and Safety;High;MWang_Zigan;X
100209;Minister of Security;Zhang Yuanshan;1936;1970;1999;SL;Compassionate Gentleman;High;MZhang_Yuanshan;X
100210;Minister of Security;Chu Anping;1949;1970;1999;SL;Media Magnate;High;MChu_Anping;X
100211;Minister of Security;Tao Xingzhi;1936;1951;1999;ML;Man of the People;High;CHIXingzhi;X
100212;Minister of Security;Jiang Menglin;1936;1958;1999;ML;Man of the People;High;MJiang_Menglin;X
100213;Minister of Security;Li Zhongxiang;1941;1958;1999;ML;Compassionate Gentleman;High;MLi_Zhongxiang;X
100214;Minister of Security;Ruan Yicheng;1940;1970;1999;ML;Silent Lawyer;High;MRuan_Yicheng;X
100215;Minister of Security;Zhu Zhanggeng;1947;1970;1999;ML;Health and Safety;High;MZhu_Zhanggeng;X
100216;Minister of Security;Shi Meiyu;1949;1970;1999;ML;Crime Fighter;High;MShi_Meiyu;X
100217;Minister of Security;Chen Taoyi;1936;1946;1999;SC;Man of the People;High;MChen_Taoyi;X
100218;Minister of Security;Qin Zhen;1936;1947;1999;SC;Silent Lawyer;High;MQin_Zhen;X
100219;Minister of Security;Ju Zheng;1936;1948;1999;SC;Compassionate Gentleman;High;Chu Cheng;X
100220;Minister of Security;Gao Guanwu;1936;1952;1999;SC;Back Stabber;High;MGao_Guanwu;X
100221;Minister of Security;Lin Bin;1942;1958;1999;SC;Silent Lawyer;High;MLin_Bin1893;X
100222;Minister of Security;Xuan Tiewu;1936;1964;1999;SC;Efficient Sociopath;High;L50114;X
100223;Minister of Security;Duanmu Kai;1942;1970;1999;SC;Compassionate Gentleman;High;MDuanmu_Kai;X
100224;Minister of Security;Zhou Daiyin;1946;1970;1999;SC;Crime Fighter;High;MZhou_Daiyin;X
100225;Minister of Security;Zhang Qingzhen;1947;1970;1999;SC;Silent Lawyer;High;MZhang_Qingzhen;X
100226;Minister of Security;Yang Zhaolong;1948;1970;1999;SC;Silent Lawyer;High;MYang_Zhaolong;X
100227;Minister of Security;Ye Chucang;1936;1946;1999;PA;Media Magnate;High;MYe_Chucang;X
100228;Minister of Security;Wang Wenhan;1936;1959;1999;PA;Prince of Terror;High;MWang_Wenhan;X
100229;Minister of Security;Hu Jiafeng;1936;1962;1999;PA;Crooked Kleptocrat;High;MHu_Jiafeng;X
100230;Minister of Security;Li Shizhen;1936;1966;1999;PA;Crime Fighter;High;LLi_Shizhen;X
100231;Minister of Security;Cheng Tianfang;1936;1967;1999;PA;Back Stabber;High;MCheng_Tianfang;X
100232;Minister of Security;Xie Guansheng;1937;1970;1999;PA;Silent Lawyer;High;MXie_Guansheng;X
100233;Minister of Security;Mao Sen;1944;1970;1999;PA;Crime Fighter;High;MMao_Sen;X
100234;Minister of Security;Hong Lanyou;1944;1970;1999;PA;Silent Lawyer;High;MHong_Lanyou;X
100235;Minister of Security;Ye Xiufeng;1945;1970;1999;PA;Back Stabber;High;Ye Xiufeng;X
100236;Head of Military Intelligence;Ye Xiufeng;1936;1970;1999;PA;Dismal Enigma;High;Ye Xiufeng;X
100237;Minister of Security;Fang Zhi;1946;1970;1999;PA;Media Magnate;High;MFang_Zhi;X
100238;Minister of Security;Shi Shangkuan;1947;1970;1999;PA;Silent Lawyer;High;MShi_Shangkuan;X
100239;Minister of Security;Wang Yisheng;1948;1970;1999;PA;Compassionate Gentleman;High;MWang_Yisheng;X
100240;Minister of Security;Mao Renfeng;1945;1956;1999;FA;Secret Police Chief;High;M52080;X
100241;Head of Military Intelligence;Mao Renfeng;1941;1956;1999;FA;Counterintelligence Specialist;High;M52080;X
100242;Minister of Security;Yang Hu;1936;1959;1999;FA;Prince of Terror;High;L50339;X
100243;Minister of Security;Ren Yuandao;1936;1970;1999;FA;Crooked Kleptocrat;High;M52019;X
100244;Minister of Security;Wang Tianmu;1936;1970;1999;FA;Secret Police Chief;High;MWang_Tianmu;X
100245;Minister of Security;Ding Mocun;1936;1970;1999;FA;Back Stabber;High;Ding Mocun;X
100246;Minister of Security;Xiao Zanyu;1947;1970;1999;FA;Media Magnate;High;MXiao_Zanyu;X
100247;Minister of Security;Kang Ze;1938;1970;1999;NS;Prince of Terror;High;LKang_Ze;X
100248;Head of Military Intelligence;Liu Yin;1939;1970;1999;LE;Technical Specialist;High;MLiu_Yin1910;X
100249;Head of Military Intelligence;Cao Guanghua;1936;1970;1999;LWR;Logistics Specialist;High;MCao_Guanghua;X
100250;Head of Military Intelligence;Xu Mengqiu;1936;1970;1999;LWR;Dismal Enigma;High;MXu_Mengqiu;X
100251;Head of Military Intelligence;Wang Jinyuan;1945;1970;1999;LWR;Dismal Enigma;High;MWang_Jinyuan;X
100252;Head of Military Intelligence;Shen Zuoting;1951;1963;1999;SD;Logistics Specialist;High;MShen_Zuoting;X
100253;Head of Military Intelligence;Wu Bannong;1944;1970;1999;SD;Industrial Specialist;High;MWu_Bannong;X
100254;Head of Military Intelligence;Li Gongpu;1945;1970;1999;SD;Political Specialist;High;MLi_Gongpu;X
100255;Head of Military Intelligence;Wu Yunchu;1936;1953;1999;SL;Industrial Specialist;High;MWu_Yunchu;X
100256;Head of Military Intelligence;Zhu Binkui;1947;1963;1999;SL;Industrial Specialist;High;MZhu_Binkui;X
