Id;Name;Area;Region;Continent;Climate;Terrain;SizeModifier;AirCapacity;Infrastructure;City;Beaches;Port Allowed;Port Seazone;IC;Manpower;Oil;Metal;Energy;Rare Materials;City XPos;City YPos;Army XPos;Army YPos;Port XPos;Port YPos;Beach XPos;Beach YPos;Beach Icon;Fort XPos;Fort YPos;AA XPos;AA YPos;Counter x;Counter Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Fill coord X;Fill coord Y;;;;;;;;;
10;PROV10;South Scotland;Scotland;Europe;Temperate;Hills;;;60;;0;1;2708;7;0;0;0;10;0;14689;1790;14617;1797;14560;1856;14612;1853;1;14673;1801;14565;1799;14617;1797;;;;;;;;;;;14332;1784;-1;-1;;;;;;;
11;PROV11;South Scotland;Scotland;Europe;Temperate;Urban;;;90;;1;1;2708;4;2;0;0;60;0;14613;1688;14601;1709;14554;1704;14571;1734;1;14597;1682;14563;1678;14601;1709;;;;;;;;;;;14304;1676;-1;-1;;;;;;;
12;PROV12;South Scotland;Scotland;Europe;Temperate;Hills;;;80;;1;1;2683;3;2;0;0;140;5;14648;1656;14665;1749;14736;1682;14750;1733;1;14665;1721;14736;1753;14665;1749;;;;;;;;;;;26716;172;-1;-1;;;;;;;
13;PROV13;North England;England;Europe;Temperate;Clear;;;90;;0;1;2683;8;1;0;0;120;0;14766;1901;14763;1849;14794;1812;14796;1860;5;14751;1875;14772;1796;14763;1849;;;;;;;;;;;14436;1820;-1;-1;;;;;;;
14;PROV14;North England;England;Europe;Temperate;Hills;;;60;;0;0;0;0;0;0;24;15;0;14718;1909;14693;1889;14630;1890;14635;1928;1;14670;1870;14671;1918;14693;1889;;;;;;;;;;;21976;3276;-1;-1;;;;;;;
15;PROV15;North England;England;Europe;Temperate;Plains;;;80;;0;1;2682;4;1;0;25;10;0;14785;1941;14822;1977;14863;2011;14868;2042;5;14820;2017;14844;2026;14822;1977;;;;;;;;;;;14500;1908;-1;-1;;;;;;;
16;PROV16;North England;England;Europe;Temperate;Plains;;;80;;0;0;0;0;1;0;50;77;0;14761;2161;14812;2133;14885;2107;14869;2143;1;14833;2166;14838;2075;14812;2133;;;;;;;;;;;25000;1116;-1;-1;;;;;;;
17;PROV17;North England;England;Europe;Temperate;Clear;;;90;;1;1;2708;9;6;1;0;185;0;14678;1974;14677;2040;14642;1994;14640;2025;1;14703;2062;14664;2076;14677;2040;;;;;;;;;;;14432;1948;-1;-1;;;;;;;
18;PROV18;North England;England;Europe;Temperate;Hills;;;90;;0;0;0;15;4;0;0;226;0;14749;2091;14753;2017;14817;2045;14814;2048;13;14789;2058;14740;1958;14753;2017;;;;;;;;;;;14568;2064;-1;-1;;;;;;;
19;PROV19;West England;England;Europe;Temperate;Clear;;;90;;0;1;2709;5;1;0;0;100;1;14668;2240;14644;2287;14588;2294;14610;2286;11;14676;2289;14637;2319;14644;2287;;;;;;;;;;;14496;2288;-1;-1;;;;;;;
20;PROV20;West England;England;Europe;Temperate;Hills;;;80;;0;1;2700;4;1;0;0;10;1;14506;2330;14548;2339;14546;2386;14575;2388;7;14588;2337;14602;2378;14548;2339;;;;;;;;;;;14364;2368;-1;-1;;;;;;;
21;PROV21;West England;England;Europe;Temperate;Mountain;;;60;;0;1;2708;0;0;0;0;20;3;14584;2066;14570;2118;14566;2040;14598;2050;7;14554;2075;14615;2084;14570;2118;;;;;;;;;;;24784;1752;-1;-1;;;;;;;
22;PROV22;West England;England;Europe;Temperate;Hills;;;80;;1;1;2709;13;2;0;0;150;1;14461;2197;14530;2210;14483;2231;14518;2260;1;14574;2256;14543;2254;14530;2210;;;;;;;;;;;14380;2188;-1;-1;;;;;;;
23;PROV23;West England;England;Europe;Temperate;Hills;;;70;;1;1;2709;0;1;0;0;0;7;14427;2355;14452;2374;14446;2405;14352;2420;9;14488;2403;14371;2401;14452;2374;;;;;;;;;;;24196;988;-1;-1;;;;;;;
24;PROV24;West England;England;Europe;Temperate;Clear;;;90;;0;0;0;7;4;0;0;92;0;14615;2195;14661;2165;14671;2172;14671;2172;1;14659;2201;14715;2204;14661;2165;;;;;;;;;;;14452;2072;-1;-1;;;;;;;
25;PROV25;East England;England;Europe;Temperate;Clear;;;80;;1;1;2682;5;3;0;0;0;0;14904;2174;14911;2247;14896;2309;14942;2289;5;14891;2224;14867;2279;14911;2247;;;;;;;;;;;14688;2176;-1;-1;;;;;;;
26;PROV26;East England;England;Europe;Temperate;Clear;;;70;;1;1;2698;4;3;0;0;10;0;14779;2381;14849;2395;14922;2368;14884;2410;7;14818;2412;14899;2378;14849;2395;;;;;;;;;;;14668;2324;-1;-1;;;;;;;
27;PROV27;East England;England;Europe;Temperate;Clear;;;70;;1;1;2700;5;2;0;0;0;0;14707;2303;14703;2363;14658;2406;14697;2426;7;14662;2383;14738;2390;14703;2363;;;;;;;;;;;14560;2344;-1;-1;;;;;;;
28;PROV28;East England;England;Europe;Temperate;Plains;;;70;;0;0;0;0;4;0;72;0;0;14827;2214;14779;2247;14774;2251;14774;2251;0;14800;2278;14734;2256;14779;2247;;;;;;;;;;;14500;2200;-1;-1;;;;;;;
29;PROV29;East England;England;Europe;Temperate;Urban;;;100;;0;0;0;15;7;0;0;0;0;14780;2333;14810;2330;14849;2339;14844;2358;1;14811;2330;14793;2313;14810;2330;;;;;;;;;;;14620;2256;-1;-1;;;;;;;
30;PROV30;Eire;Ireland;Europe;Temperate;Hills;;;70;;1;1;2708;0;1;0;0;1;0;14314;1977;14326;2033;14387;2055;14366;2087;7;14298;2065;14329;2089;14326;2033;;;;;;;;;;;14052;2184;-1;-1;;;;;;;
31;PROV31;Eire;Ireland;Europe;Temperate;Hills;;;80;;0;1;2714;6;1;0;0;0;0;14106;2090;14168;2073;14200;2142;14232;2133;15;14122;2041;14232;2037;14168;2073;;;;;;;;;;;13988;2096;-1;-1;;;;;;;
32;PROV32;Eire;Ireland;Europe;Temperate;Plains;;;60;;1;1;2712;0;0;0;0;0;0;14218;1947;14215;1878;14160;1793;14202;1808;5;14242;1916;14274;1833;14215;1878;;;;;;;;;;;13992;1980;-1;-1;;;;;;;
33;PROV33;Eire;Ireland;Europe;Temperate;Hills;;;60;;0;1;2712;0;0;0;0;0;0;14284;1769;14325;1757;14324;1724;14354;1728;11;14339;1767;14385;1734;14325;1757;;;;;;;;;;;14056;1876;-1;-1;;;;;;;
34;PROV34;Eire;Ireland;Europe;Temperate;Plains;;;90;;1;1;2708;4;1;0;0;0;0;14358;1866;14341;1901;14411;1938;14407;1978;5;14359;1948;14383;1960;14341;1901;;;;;;;;;;;14132;2092;-1;-1;;;;;;;
35;PROV35;North Ireland;Ireland;Europe;Temperate;Hills;;;60;;0;1;2712;1;0;0;0;0;0;14325;1831;14379;1815;14384;1760;14408;1753;3;14344;1810;14405;1779;14379;1815;;;;;;;;;;;14108;1956;-1;-1;;;;;;;
36;PROV36;North Ireland;Ireland;Europe;Temperate;Plains;;;80;;1;1;2708;4;1;0;0;0;1;14433;1868;14444;1822;14467;1772;14477;1808;9;14432;1847;14444;1777;14444;1822;;;;;;;;;;;14176;1908;-1;-1;;;;;;;
37;PROV37;Brittany;France;Europe;Temperate;Hills;;;60;;1;1;2701;0;1;0;0;0;1;14361;2616;14404;2663;14349;2619;14355;2682;3;14405;2636;14389;2658;14404;2663;;;;;;;;;;;14333;2660;-1;-1;;;;;;;
38;PROV38;Brittany;France;Europe;Temperate;Clear;;;80;;0;1;2701;4;1;0;0;1;1;14517;2732;14569;2720;14568;2650;14597;2662;11;14610;2696;14585;2669;14569;2720;;;;;;;;;;;14469;2662;-1;-1;;;;;;;
39;PROV39;Brittany;France;Europe;Temperate;Clear;;;70;;1;1;2702;0;0;0;0;1;1;14479;2724;14447;2713;14418;2722;14460;2752;9;14448;2721;14447;2694;14447;2713;;;;;;;;;;;14415;2731;-1;-1;;;;;;;
40;PROV40;Brittany;France;Europe;Temperate;Clear;;;70;;0;1;2702;0;0;0;0;0;0;14565;2805;14544;2788;14507;2784;14515;2806;1;14550;2793;14556;2805;14544;2788;;;;;;;;;;;14415;2731;-1;-1;;;;;;;
41;PROV41;Brittany;France;Europe;Temperate;Hills;;;40;;0;1;2701;4;0;0;0;0;0;14429;2622;14479;2661;14495;2607;14510;2636;5;14525;2660;14509;2700;14479;2661;;;;;;;;;;;14469;2662;-1;-1;;;;;;;
42;PROV42;Normandy;France;Europe;Temperate;Forest;;;60;;0;1;2701;0;0;0;0;0;0;14630;2616;14643;2663;14618;2606;14616;2640;9;14640;2660;14664;2666;14643;2663;;;;;;;;;;;14600;2648;-1;-1;;;;;;;
43;PROV43;Normandy;France;Europe;Temperate;Forest;;;60;;0;1;2699;0;0;0;0;0;0;14640;2544;14644;2588;14631;2526;14665;2535;11;14645;2586;14667;2608;14644;2588;;;;;;;;;;;14572;2544;-1;-1;;;;;;;
44;PROV44;Normandy;France;Europe;Temperate;Forest;;;80;;1;1;2699;2;1;0;79;1;1;14760;2606;14732;2641;14750;2595;14774;2593;11;14770;2638;14686;2627;14732;2641;;;;;;;;;;;14640;2596;-1;-1;;;;;;;
45;PROV45;Normandy;France;Europe;Temperate;Clear;;;70;;0;1;2699;2;1;0;0;1;1;14862;2588;14838;2592;14781;2552;14811;2546;9;14832;2555;14802;2571;14838;2592;;;;;;;;;;;14748;2564;-1;-1;;;;;;;
46;PROV46;Normandy;France;Europe;Temperate;Clear;;;60;;1;1;2699;0;0;0;0;1;1;14682;2600;14710;2605;14691;2578;14729;2592;5;14702;2600;14676;2579;14710;2605;;;;;;;;;;;14600;2648;-1;-1;;;;;;;
47;PROV47;Normandy;France;Europe;Temperate;Hills;;;70;;0;0;0;0;0;0;50;1;1;14770;2692;14753;2683;14739;2697;14705;2702;0;14745;2673;14694;2668;14753;2683;;;;;;;;;;;14692;2648;-1;-1;;;;;;;
48;PROV48;Normandy;France;Europe;Temperate;Plains;;;70;;0;0;0;0;1;0;0;1;1;14854;2675;14823;2658;14830;2693;14822;2682;8;14827;2689;14800;2606;14823;2658;;;;;;;;;;;7516;8480;-1;-1;;;;;;;
49;PROV49;Pas de Calais;France;Europe;Temperate;Clear;;;80;;1;1;2698;1;1;0;0;0;1;14922;2438;14933;2478;14906;2466;14917;2443;9;14943;2488;14915;2481;14933;2478;;;;;;;;;;;14860;2468;-1;-1;;;;;;;
50;PROV50;Pas de Calais;France;Europe;Temperate;Clear;;;80;;0;0;0;0;1;0;0;15;2;14989;2549;14969;2532;14898;2496;14899;2510;9;14962;2546;14962;2503;14969;2532;;;;;;;;;;;14808;2540;-1;-1;;;;;;;
51;PROV51;Pas de Calais;France;Europe;Temperate;Clear;;;60;;1;1;2698;1;0;0;0;8;1;14985;2483;14971;2451;14948;2418;14973;2419;3;14972;2468;14998;2460;14971;2451;;;;;;;;;;;14924;2432;-1;-1;;;;;;;
52;PROV52;Pas de Calais;France;Europe;Temperate;Clear;;;100;;0;0;0;9;2;0;0;59;2;15080;2542;15047;2532;15059;2519;15059;2519;0;15048;2535;15029;2490;15047;2532;;;;;;;;;;;14958;2492;-1;-1;;;;;;;
53;PROV53;Pas de Calais;France;Europe;Temperate;Clear;;;80;;1;1;2699;0;0;0;0;2;2;14857;2546;14919;2572;14863;2530;14884;2523;11;14941;2604;14895;2533;14919;2572;;;;;;;;;;;14808;2540;-1;-1;;;;;;;
54;PROV54;Paris;France;Europe;Temperate;Clear;;;70;;0;0;0;4;1;0;0;1;0;14937;2713;15023;2724;15068;2737;14957;2741;0;15066;2765;14969;2736;15023;2724;;;;;;;;;;;14944;2828;-1;-1;;;;;;;
55;PROV55;Paris;France;Europe;Temperate;Urban;;;100;;0;0;0;18;5;0;0;0;0;14883;2647;14921;2652;14911;2670;14893;2666;0;14937;2680;14903;2621;14921;2652;;;;;;;;;;;14828;2660;-1;-1;;;;;;;
56;PROV56;Paris;France;Europe;Temperate;Forest;;;60;;0;0;0;10;0;0;0;1;1;14979;2588;14988;2645;14994;2585;14983;2647;0;14986;2671;14989;2617;14988;2645;;;;;;;;;;;14828;2660;-1;-1;;;;;;;
57;PROV57;Loire;France;Europe;Temperate;Clear;;;90;;0;1;2702;0;1;0;0;1;1;14591;2835;14572;2869;14516;2856;14539;2904;1;14565;2898;14597;2902;14572;2869;;;;;;;;;;;14680;2908;-1;-1;;;;;;;
58;PROV58;Loire;France;Europe;Temperate;Clear;;;60;;0;0;0;0;0;0;0;1;1;14809;2786;14754;2769;14709;2754;14709;2754;0;14788;2801;14708;2799;14754;2769;;;;;;;;;;;14576;2740;-1;-1;;;;;;;
59;PROV59;Loire;France;Europe;Temperate;Clear;;;80;;0;0;0;0;1;0;100;1;1;14654;2727;14644;2779;14694;2786;14696;2765;0;14653;2801;14592;2778;14644;2779;;;;;;;;;;;14576;2740;-1;-1;;;;;;;
60;PROV60;Loire;France;Europe;Temperate;Clear;;;70;;0;0;0;0;1;0;0;2;2;14781;2717;14854;2726;14861;2759;14835;2752;0;14860;2753;14831;2750;14854;2726;;;;;;;;;;;14772;2740;-1;-1;;;;;;;
61;PROV61;Loire;France;Europe;Temperate;Clear;;;70;;0;0;0;0;1;0;0;2;2;14733;2895;14748;2868;14735;2874;14730;2872;0;14721;2840;14747;2822;14748;2868;;;;;;;;;;;14680;2776;-1;-1;;;;;;;
62;PROV62;Loire;France;Europe;Temperate;Clear;;;70;;0;0;0;0;0;0;0;2;2;14672;2957;14670;2911;14614;2873;14624;2893;0;14644;2951;14686;2885;14670;2911;;;;;;;;;;;14680;2908;-1;-1;;;;;;;
63;PROV63;Loire;France;Europe;Temperate;Clear;;;70;;0;0;0;0;0;0;0;7;2;15042;2848;15008;2896;15014;2870;15007;2862;0;14985;2952;15044;2823;15008;2896;;;;;;;;;;;15104;2896;-1;-1;;;;;;;
64;PROV64;Loire;France;Europe;Temperate;Hills;;;70;;0;0;0;3;1;0;0;22;2;15099;2911;15061;2954;15050;2951;15050;2951;0;15098;2966;15033;2987;15061;2954;;;;;;;;;;;8412;7944;-1;-1;;;;;;;
65;PROV65;Loire;France;Europe;Temperate;Forest;;;70;;0;0;0;0;0;0;0;3;3;14816;2843;14872;2856;14869;2874;14869;2874;0;14890;2892;14922;2898;14872;2856;;;;;;;;;;;14856;2804;-1;-1;;;;;;;
66;PROV66;Loire;France;Europe;Temperate;Plains;;;60;;0;0;0;1;1;0;0;2;0;14881;2780;14949;2797;14921;2830;14918;2822;0;15008;2778;14950;2825;14949;2797;;;;;;;;;;;14856;2804;-1;-1;;;;;;;
67;PROV67;Aquitaine;France;Europe;Mediterranean;Forest;;;60;;0;1;2703;0;0;1;0;6;2;14528;3268;14531;3234;14510;3182;14500;3210;1;14538;3224;14568;3183;14531;3234;;;;;;;;;;;14524;3140;-1;-1;;;;;;;
68;PROV68;Aquitaine;France;Europe;Mediterranean;Forest;;;100;;1;1;2703;5;1;0;0;4;2;14592;3174;14576;3121;14549;3066;14543;3094;1;14578;3125;14577;3071;14576;3121;;;;;;;;;;;14552;2876;-1;-1;;;;;;;
69;PROV69;Aquitaine;France;Europe;Mediterranean;Plains;;;90;;1;1;2703;3;1;0;0;4;2;14591;2954;14605;2997;14556;2969;14563;3003;1;14610;3027;14622;2967;14605;2997;;;;;;;;;;;14572;3044;-1;-1;;;;;;;
70;PROV70;Aquitaine;France;Europe;Mediterranean;Plains;;;70;;0;1;2703;3;0;0;0;4;2;14623;3112;14649;3066;14603;3108;14598;3065;13;14654;3015;14676;3063;14649;3066;;;;;;;;;;;14572;3044;-1;-1;;;;;;;
71;PROV71;Limousin_Auvergne;France;Europe;Mediterranean;Mountain;;;60;;0;0;0;2;1;0;0;2;1;14927;3058;14955;3122;14910;3077;14910;3077;0;14965;3170;15005;3086;14955;3122;;;;;;;;;;;14936;3208;-1;-1;;;;;;;
72;PROV72;Limousin_Auvergne;France;Europe;Temperate;Clear;;;60;;0;0;0;1;0;0;0;1;0;14781;2873;14842;2930;14875;2922;14754;2921;14;14810;2950;14920;2951;14842;2930;;;;;;;;;;;14960;2940;-1;-1;;;;;;;
73;PROV73;Limousin_Auvergne;France;Europe;Mediterranean;Hills;;;70;;0;0;0;1;0;0;0;2;0;14842;2995;14783;3026;14804;2989;14778;2966;0;14781;3069;14749;2973;14783;3026;;;;;;;;;;;14832;2964;-1;-1;;;;;;;
74;PROV74;Limousin_Auvergne;France;Europe;Mediterranean;Hills;;;60;;0;0;0;0;0;0;0;7;0;14990;3025;14944;3019;14983;3064;14969;3049;0;14903;3030;14907;2991;14944;3019;;;;;;;;;;;14888;3104;-1;-1;;;;;;;
75;PROV75;Limousin_Auvergne;France;Europe;Mediterranean;Forest;;;70;;0;0;0;0;0;0;0;2;0;14748;3190;14718;3158;14752;3119;14750;3124;0;14686;3189;14693;3109;14718;3158;;;;;;;;;;;14752;3060;-1;-1;;;;;;;
76;PROV76;Limousin_Auvergne;France;Europe;Mediterranean;Mountain;;;40;;0;0;0;0;0;0;0;2;0;14844;3087;14851;3152;14814;3125;14795;3130;0;14894;3193;14814;3176;14851;3152;;;;;;;;;;;14752;3060;-1;-1;;;;;;;
77;PROV77;Pyrenees_Languedoc;France;Europe;Mediterranean;Clear;;;80;;0;0;0;6;2;0;0;15;4;14828;3221;14809;3288;14776;3294;14776;3294;0;14848;3318;14771;3323;14809;3288;;;;;;;;;;;14768;3320;-1;-1;;;;;;;
78;PROV78;Pyrenees_Languedoc;France;Europe;Mediterranean;Mountain;;;80;;0;0;0;0;1;0;0;45;0;15055;3122;15047;3188;15059;3097;15053;3105;0;15055;3223;15043;3143;15047;3188;;;;;;;;;;;15064;2984;-1;-1;;;;;;;
79;PROV79;Pyrenees_Languedoc;France;Europe;Mediterranean;Clear;;;80;;0;1;2188;0;1;0;0;0;17;14907;3354;14877;3382;14922;3388;14903;3412;15;14836;3358;14815;3376;14877;3382;;;;;;;;;;;14840;3388;-1;-1;;;;;;;
80;PROV80;Pyrenees_Languedoc;France;Europe;Mediterranean;Mountain;;;50;;0;1;2188;0;0;0;25;0;2;14870;3447;14780;3408;14897;3437;14897;3468;5;14719;3381;14795;3447;14780;3408;;;;;;;;;;;14840;3388;-1;-1;;;;;;;
81;PROV81;Pyrenees_Languedoc;France;Europe;Mediterranean;Mountain;;;40;;0;0;0;0;0;0;0;0;0;14959;3222;14925;3264;14934;3324;14885;3323;0;14909;3310;14938;3223;14925;3264;;;;;;;;;;;15020;3292;-1;-1;;;;;;;
82;PROV82;Pyrenees_Languedoc;France;Europe;Mediterranean;Clear;;;70;;1;1;2188;3;1;0;0;7;0;14952;3342;15012;3320;14976;3373;15009;3362;15;15022;3279;15024;3342;15012;3320;;;;;;;;;;;14920;3340;-1;-1;;;;;;;
83;PROV83;Pyrenees_Languedoc;France;Europe;Mediterranean;Mountain;;;50;;0;0;0;0;1;0;0;0;0;14640;3367;14600;3328;14610;3362;14600;3355;0;14565;3343;14554;3307;14600;3328;;;;;;;;;;;24832;4748;-1;-1;;;;;;;
84;PROV84;Pyrenees_Languedoc;France;Europe;Mediterranean;Plains;;;50;;0;0;0;0;0;0;0;0;0;14708;3311;14657;3240;14636;3267;14636;3267;0;14674;3306;14629;3207;14657;3240;;;;;;;;;;;14628;3260;-1;-1;;;;;;;
85;PROV85;Pyrenees_Languedoc;France;Europe;Temperate;Hills;;;70;;0;0;0;7;1;0;0;0;0;15066;3062;15061;3035;15080;3045;15080;3042;0;15049;3068;15088;3004;15061;3035;;;;;;;;;;;15108;3076;-1;-1;;;;;;;
86;PROV86;Alpes_Provence;France;Europe;Mediterranean;Hills;;;60;;0;1;2189;1;1;0;0;0;14;15180;3371;15244;3379;15235;3440;15275;3413;15;15214;3348;15207;3403;15244;3379;;;;;;;;;;;15212;3372;-1;-1;;;;;;;
87;PROV87;Alpes_Provence;France;Europe;Mediterranean;Mountain;;;60;;0;1;2189;3;1;0;0;0;0;15280;3311;15319;3344;15323;3382;15339;3377;15;15319;3370;15347;3336;15319;3344;;;;;;;;;;;15268;3312;-1;-1;;;;;;;
88;PROV88;Alpes_Provence;France;Europe;Temperate;Clear;;;80;;0;0;0;0;0;0;0;0;0;15125;2978;15150;3039;15150;3039;15150;3039;0;15184;3021;15175;3081;15150;3039;;;;;;;;;;;27572;7640;-1;-1;;;;;;;
89;PROV89;Alpes_Provence;France;Europe;Mediterranean;Urban;;;80;;1;1;2188;3;1;0;0;6;0;15056;3358;15115;3369;15070;3391;15111;3401;7;15119;3367;15150;3396;15115;3369;;;;;;;;;;;15120;3364;-1;-1;;;;;;;
90;PROV90;Alpes_Provence;France;Europe;Temperate;Mountain;;;60;;0;0;0;3;0;0;0;7;0;15180;3180;15216;3240;15228;3208;15253;3224;0;15230;3297;15271;3260;15216;3240;;;;;;;;;;;15220;3204;-1;-1;;;;;;;
91;PROV91;Alpes_Provence;France;Europe;Temperate;Mountain;;;60;;0;0;0;0;1;0;0;0;0;15248;3047;15242;3118;15238;3074;15258;3171;0;15269;3175;15270;3097;15242;3118;;;;;;;;;;;10224;7240;-1;-1;;;;;;;
92;PROV92;Alpes_Provence;France;Europe;Mediterranean;Clear;;;80;;0;0;0;0;1;0;0;0;0;15101;3216;15130;3158;15111;3161;15161;3149;0;15117;3116;15144;3121;15130;3158;;;;;;;;;;;10224;7240;-1;-1;;;;;;;
93;PROV93;Alpes_Provence;France;Europe;Mediterranean;Hills;;;80;;0;0;0;1;1;0;0;5;0;15086;3252;15130;3313;15137;3286;15137;3286;0;15122;3275;15168;3325;15130;3313;;;;;;;;;;;15100;3236;-1;-1;;;;;;;
94;PROV94;Ligurian Islands;France;Europe;Mediterranean;Mountain;;;30;;1;1;2189;1;0;0;0;0;0;15445;3552;15446;3495;15448;3433;15419;3458;7;15442;3516;15457;3453;15446;3495;;;;;;;;;;;15452;3532;-1;-1;;;;;;;
95;PROV95;Bourgogne_Champagne;France;Europe;Temperate;Hills;;;70;;0;0;0;0;0;0;0;0;0;15119;2762;15155;2825;15156;2857;15140;2843;0;15118;2860;15215;2824;15155;2825;;;;;;;;;;;10804;6956;-1;-1;;;;;;;
96;PROV96;Bourgogne_Champagne;France;Europe;Temperate;Hills;;;70;;0;0;0;0;0;0;52;0;0;15213;2659;15190;2686;15183;2662;15183;2662;8;15167;2627;15220;2681;15198;2686;;;;;;;;;;;7652;9272;7616;9253;-1;-1;;;;;
97;PROV97;Bourgogne_Champagne;France;Europe;Temperate;Hills;;;70;;0;0;0;1;1;0;0;6;0;15280;2877;15214;2885;15195;2911;15169;2931;0;15257;2863;15169;2924;15214;2885;;;;;;;;;;;24684;7276;-1;-1;;;;;;;
98;PROV98;Bourgogne_Champagne;France;Europe;Temperate;Mountain;;;40;;0;0;0;0;0;0;0;0;0;15198;2947;15228;2941;15232;2987;15233;2978;0;15245;2922;15216;2989;15228;2941;;;;;;;;;;;15868;9760;-1;-1;;;;;;;
99;PROV99;Bourgogne_Champagne;France;Europe;Temperate;Plains;;;80;;0;0;0;0;1;0;0;0;0;15046;2646;15086;2679;15072;2653;15083;2654;0;15109;2700;15078;2652;15086;2679;;;;;;;;;;;14976;2640;-1;-1;;;;;;;
100;PROV100;Bourgogne_Champagne;France;Europe;Temperate;Hills;;;80;;0;0;0;0;0;0;0;0;0;15161;2775;15167;2744;15150;2736;15151;2739;0;15150;2691;15192;2775;15167;2744;;;;;;;;;;;15120;2672;-1;-1;;;;;;;
101;PROV101;Bourgogne_Champagne;France;Europe;Temperate;Plains;;;80;;0;0;0;0;0;0;0;0;0;15024;2545;15032;2599;15042;2585;15016;2616;0;15051;2618;15020;2575;15032;2599;;;;;;;;;;;14976;2640;-1;-1;;;;;;;
102;PROV102;Bourgogne_Champagne;France;Europe;Temperate;Forest;;;70;;0;0;0;0;0;0;0;0;0;15127;2596;15130;2646;15100;2653;15117;2658;0;15120;2626;15138;2624;15130;2646;;;;;;;;;;;14976;2640;-1;-1;;;;;;;
103;PROV103;Bourgogne_Champagne;France;Europe;Temperate;Plains;;;70;;0;0;0;0;0;0;0;0;0;15072;2571;15087;2606;15079;2623;15079;2623;0;15100;2595;15059;2564;15087;2606;;;;;;;;;;;14976;2640;-1;-1;;;;;;;
104;PROV104;Lorraine_Alsace;France;Europe;Temperate;Hills;;;60;;0;0;0;3;1;0;91;35;0;15309;2735;15287;2725;15252;2714;15253;2721;0;15281;2679;15253;2676;15287;2725;;;;;;;;;;;15196;2684;-1;-1;;;;;;;
105;PROV105;Lorraine_Alsace;France;Europe;Temperate;Forest;;;60;;0;0;0;0;0;0;0;0;0;15327;2876;15332;2850;15349;2822;15306;2858;0;15330;2854;15326;2814;15332;2850;;;;;;;;;;;15276;2848;-1;-1;;;;;;;
