VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
57153;Chief of Staff;Maurice Gamelin;1936;1958;1999;SD;School of Fire Support;Very High;M2007;X
57154;Chief of Army;Maurice Gamelin;1936;1958;1999;SD;Static Defence Doctrine;Very High;M2007;X
57155;Chief of Navy;Gabriel Auphan;1936;1970;1999;PA;Indirect Approach Doctrine;High;VICAup;X
57156;Head of Military Intelligence;Gabriel Auphan;1936;1970;1999;PA;Naval Intelligence Specialist;High;VICAup;X
57157;Minister of Armament;Gabriel Auphan;1936;1970;1999;PA;Submarine Proponent;High;VICAup;X
57158;Chief of Navy;Emmanuel Ollive;1936;1951;1999;PA;Decisive Naval Battle Doctrine;High;LEmmanuel_Ollive;X
57159;Chief of Navy;Henri Nomy;1942;1970;1999;SC;Power Projection Doctrine;High;LHenri_Nomy;X
57160;Chief of Air Force;Henri Nomy;1942;1970;1999;SC;Naval Aviation Doctrine;High;LHenri_Nomy;X
57161;Minister of Armament;Henri Nomy;1942;1970;1999;SC;Air to Sea Proponent;High;LHenri_Nomy;X
57162;Chief of Navy;Charles Edouard La Haye;1953;1970;1999;ML;Power Projection Doctrine;High;LCharles_Edouard_LaHaye;X
57163;Chief of Air Force;Charles Edouard La Haye;1953;1970;1999;ML;Naval Aviation Doctrine;High;LCharles_Edouard_LaHaye;X
57164;Chief of Air Force;Victor Denain;1936;1952;1999;SL;Carpet Bombing Doctrine;Medium;L24361;X
57165;Chief of Air Force;Edmond Jouhaud;1946;1970;1999;PA;Army Aviation Doctrine;High;LEdmond_Jouhaud;X
57166;Chief of Air Force;Pierre-Henri Clostermann;1946;1970;1999;PA;Air Superiority Doctrine;High;L380047;X
57167;Minister of Armament;Pierre-Henri Clostermann;1946;1970;1999;PA;Air Superiority Proponent;High;L380047;X
57168;Chief of Air Force;Robert Roussillat;1948;1970;1999;SC;Army Aviation Doctrine;High;LRobert_Roussillat;X
57169;Chief of Air Force;Marcel Vigouroux;1944;1970;1999;ML;Carpet Bombing Doctrine;High;LMarcel_Vigouroux;X
57170;Chief of Army;Paul Grossin;1945;1970;1999;SC;Guns and Butter Doctrine;High;LPaul_Grossin;X
57171;Head of Military Intelligence;Paul Grossin;1945;1970;1999;SC;Logistics Specialist;High;LPaul_Grossin;X
57172;Minister of Armament;Paul Grossin;1945;1970;1999;SC;Military Entrepreneur;High;LPaul_Grossin;X
57173;Chief of Staff;René Olry;1936;1946;1999;PA;School of Fire Support;High;LRene_Olry;X
57174;Chief of Army;René Olry;1936;1946;1999;PA;Static Defence Doctrine;High;LRene_Olry;X
57175;Chief of Staff;Georges Barré;1940;1964;1999;PA;School of Defence;High;LGeorges_Barre;X
57176;Chief of Army;Georges Barré;1940;1964;1999;PA;Elastic Defence Doctrine;High;LGeorges_Barre;X
57177;Head of Military Intelligence;Louis Baril;1936;1964;1999;SD;Dismal Enigma;High;LLouis_Baril;X
57178;Chief of Staff;André Laffargue;1936;1970;1999;FA;School of Mass Combat;High;LAndre_Laffargue;X
57179;Chief of Army;André Laffargue;1936;1970;1999;FA;Doctrine of Autonomy;High;LAndre_Laffargue;X
57180;Chief of Army;Alphonse Juin;1940;1967;1999;PA;Decisive Battle Doctrine;High;L24101;X
57181;Chief of Air Force;Félix Brunet;1950;1970;1999;PA;Vertical Envelopment Doctrine;High;LFelix_Brunet;X
57182;Chief of Staff;Marcel Bigeard;1946;1970;1999;PA;Commando Doctrine Staff;High;LMarcel_Bigeard;X
57183;Chief of Army;Marcel Bigeard;1946;1970;1999;PA;Commando Doctrine Army;High;LMarcel_Bigeard;X
57184;Minister of Armament;Pierre Marie Gallois;1948;1970;1999;SC;Theoretical Scientist;High;LPierre_Marie_Gallois;X
57185;Minister of Armament;André Beaufre;1950;1970;1999;SC;Reformer;High;LAndre_Beaufre;X
57186;Chief of Army;André Beaufre;1950;1970;1999;SC;Doctrine of Autonomy;High;LAndre_Beaufre;X
57187;Chief of Staff;André Beaufre;1950;1970;1999;SC;School of Psychology;High;LAndre_Beaufre;X
