PAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
42053;Chief of Staff;Higenio Morinigo Martinez;1939;1964;1999;SL;School of Mass Combat;Medium;M42105;X
42054;Chief of Staff;José Lezcano;1944;1964;1999;SC;School of Manoeuvre;Medium;M42107;X
42055;Chief of Army;Juan Manuel Frutos;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M42006;X
42056;Chief of Army;Higenio Morinigo Martinez;1939;1964;1999;SL;Decisive Battle Doctrine;Medium;M42064;X
42057;Chief of Army;Isaias Baez Allende;1942;1964;1999;SC;Elastic Defence Doctrine;Medium;M42112;X
42058;Chief of Army;Amancio Pampliega;1944;1964;1999;SC;Guns and Butter Doctrine;Medium;M42048;X
42059;Chief of Army;Alfred Stroessner Matiauda;1946;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M42114;X
42060;Chief of Navy;Juan Stefanich;1939;1964;1999;SD;Power Projection Doctrine;Medium;M42049;X
42061;Chief of Navy;Enrico T. Rizzo;1940;1964;1999;PA;Indirect Approach Doctrine;Medium;M42118;X
42062;Chief of Navy;Jesus G. Arraza;1944;1964;1999;SC;Base Control Doctrine;Medium;M42119;X
42063;Chief of Air Force;Hernan Rojas Baltassare;1939;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M42050;X
42064;Chief of Air Force;Héctor Velasquez;1944;1964;1999;SC;Army Aviation Doctrine;Medium;M42124;X
42065;Head of State;Luís Avelino Argaña;1936;1964;1999;FA;Powerhungry Demagogue;High;M42041;X
42066;Head of Government;Luís Avelino Argaña;1936;1964;1999;FA;Old Airmarshal;High;M42041;X
42067;Head of State;Riccardo Odriosola;1936;1964;1999;LE;Weary Stiffneck;High;M42051;X
42068;Head of Government;Riccardo Odriosola;1936;1964;1999;LE;Backroom Backstabber;High;M42051;X
42069;Head of State;Juan Manuel Frutos;1936;1964;1999;SC;Resigned Generalissimo;High;M42006;X
42070;Head of State;Juan Natalicio Gonzalez;1948;1964;1999;SC;Benevolent Gentleman;High;M42089;X
42071;Head of State;Raimundo Rolon Villasanti;1949;1964;1999;PA;Benevolent Gentleman;High;M42069;X
42072;Head of State;Felipe Molas Lopez;1949;1964;1999;SC;Benevolent Gentleman;High;M42128;X
42073;Head of State;Federico Chaves;1949;1964;1999;SC;Popular Figurehead;High;M42004;X
42074;Head of Government;Alfred Stroessner Matiauda;1949;1964;1999;SC;Old General;High;M42114;X
42075;Chief of Staff;Raimundo Rolon Villasanti;1944;1964;1999;SC;School of Defence;Medium;L240022;X
42076;Head of Military Intelligence;Felipe Molas Lopez;1946;1964;1999;SC;Technical Specialist;Medium;M42128;X
42077;Minister of Armament;Remigio Bastia Martín;1948;1964;1999;SC;Resource Industrialist;Medium;M42133;X
42078;Minister of Security;Tomas Romero Pereira;1950;1964;1999;SC;Prince of Terror;Medium;M42134;X
42079;Head of Government;Juan Manuel Frutos;1936;1964;1999;SC;Old General;High;M42006;X
42080;Head of State;José Patricio Guggiari;1940;1964;1999;ML;Barking Buffoon;Low;PAR_jose_patricio_guggiari;X
42081;Head of Government;José Patricio Guggiari;1940;1964;1999;ML;Flamboyant Tough Guy;Low;PAR_jose_patricio_guggiari;X
42082;Head of Government;Rafael Franco;1936;1964;1999;SD;Silent Workhorse;High;M42047;X
42083;Head of Government;Juan Natalicio Gonzalez;1948;1964;1999;SC;Naive Optimist;High;M42089;X
42084;Head of State;Luís Alberto Riart;1936;1964;1999;ML;Die-hard Reformer;Medium;M42003;X
42085;Head of Government;Luís Alberto Riart;1936;1964;1999;ML;Corporate Suit;Medium;M42003;X
42086;Head of State;Juan Stefanich;1936;1964;1999;SD;Pig-headed Isolationist;Medium;M42049;X
42087;Head of Government;Juan Stefanich;1936;1964;1999;SD;Happy Amateur;Medium;M42049;X
42088;Head of Government;Felipe Molas Lopez;1949;1964;1999;SC;Silent Workhorse;High;M42128;X
42089;Head of State;Anselmo Jover Peralta;1936;1964;1999;SD;Die-hard Reformer;Low;PAR_anselmo_jover_peralta;X
42090;Head of Government;Anselmo Jover Peralta;1936;1964;1999;SD;Ambitious Union Boss;Low;PAR_anselmo_jover_peralta;X
42091;Head of State;Tomas Romero Pereira;1950;1964;1999;SC;Stern Imperialist;Medium;M42134;X
42092;Head of Government;Tomas Romero Pereira;1950;1964;1999;SC;Old Airmarshal;Medium;M42134;X
42093;Head of State;Carlos Pastore;1936;1964;1999;ML;Die-hard Reformer;Medium;PAR_carlos_pastore;X
42094;Head of Government;Carlos Pastore;1936;1964;1999;ML;Silent Workhorse;Medium;PAR_carlos_pastore;X
42095;Head of State;Arnaldo Valdovinos;1936;1964;1999;LWR;Insignificant Layman;Medium;PAR_arnaldo_valdovinos;X
42096;Head of Government;Arnaldo Valdovinos;1936;1964;1999;LWR;Naive Optimist;Medium;PAR_arnaldo_valdovinos;X
42097;Minister of Armament;José Alfredo Bozzano;1936;1964;1999;SL;Administrative Genius;High;PAR_Jose_Bozzano;X
42098;Chief of Army;José Alfredo Bozzano;1936;1964;1999;SL;Guns and Butter Doctrine;High;PAR_Jose_Bozzano;X
42099;Chief of Navy;José Alfredo Bozzano;1936;1964;1999;SL;Base Control Doctrine;High;PAR_Jose_Bozzano;X
