UPE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4710;Puzhen Machinery Factory;T_CHI_China_Railways_JianShe;3;1929;1946;mechanics;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4711;Nanjing Automobile Works;T_UPE_Nanjing_Automobile_Works;4;1947;1970;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4712;Puzhen Locomotive Factory;T_CHI_China_Railways_JianShe;4;1946;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4713;Zhejiang Iron Works;T8304;3;1936;1949;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4714;Oppel Electric Mfg. Co.;T_UPE_Oppel_Electric;4;1925;1970;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4715;Yongli Chemical Plant;T_CHI_Nanjing_Chemical;4;1934;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4716;Jitai Engineering;T_UPE_Kwan_Chu&Yang_Architects;5;1928;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4717;Hangzhou Iron & Steel Co.;T_UPE_Hangzhou_Iron&Steel;5;1949;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4718;Nanjing University;T_UPE_Nanjing_University;3;1902;1952;mathematics;electronics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4719;Nanjing University;T_UPE_Nanjing_University;3;1952;1970;mathematics;nuclear_physics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4720;Nanjing Institute of Technology;T_UPE_Nanjing_Insitute_Tech;3;1952;1970;mechanics;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4721;Chen Jiangong;T_UPE_Chen_Jiangong;5;1929;1953;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4722;Huang Minglong;T_UPE_Huang_Minglong;5;1940;1970;medicine;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4723;Chen Guangxi;T_UPE_Chen_Guangxi;5;1955;1970;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4724;Su Buqing;T_UPE_Su_Buqing;7;1953;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4725;Wu Jianxiong;T_UPE_Wu_Jianxiong;5;1945;1970;nuclear_physics;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4726;Yang Shuzhuang;T_UPE_Yang_Shuzhuang;3;1916;1940;small_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4727;Li Shijia;T_UPE_Li_Shijia;3;1940;1959;naval_engineering;small_unit_tactics;small_taskforce_tactics;centralized_execution;naval_training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4728;Yu Baisheng;T_UPE_Yu_Baisheng;5;1947;1970;large_taskforce_tactics;naval_training;seamanship;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4729;Huang Bingheng;T_UPE_Huang_Bingheng;4;1936;1950;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4730;Hu Weike;T_UPE_Hu_Weike;4;1950;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4731;Xu Kangliang;T_UPE_Xu_Kangliang;5;1945;1970;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4732;Chen Jiashang;T_UPE_Chen_Jiashang;5;1946;1970;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4733;Liu Shiyi;T_UPE_Liu_Shiyi;4;1936;1942;large_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4734;Kong Qinggui;T_UPE_Kong_Qinggui;4;1938;1959;small_unit_tactics;decentralized_execution;combined_arms_focus;aeronautics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4735;Xu Peigen;T_UPE_Xu_Peigen;4;1942;1960;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4736;Li Erkang;T_UPE_Li_Erkang;5;1936;1943;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4737;Qiu Qingquan;T_UPE_Qiu_Qingquan;5;1943;1967;small_unit_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4738;Zheng Weiyuan;T_UPE_Zheng_Weiyuan;5;1950;1970;small_unit_tactics;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4739;Kuang Yumin;T_UPE_Kuang_Yumin;5;1945;1970;small_unit_tactics;large_unit_tactics;centralized_execution;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4740;Liu Zhongdi;T_CHI_Liu_Zhongdi;5;1940;1960;small_unit_tactics;mountain_training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
