PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2623;Escuela Superior de Guerra Naval;T99125;3;1943;1970;small_taskforce_tactics;submarine_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2624;Escuela Central de Aviación Chávez;T99124;3;1936;1949;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2625;Escuela Central de Aviación Chávez;T99124;4;1949;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2626;Escuela Militar de Chorrillos;PRU_TT_Escudo_de_la_Escuela_Militar_de_Chorrillos;3;1930;1946;large_unit_tactics;centralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2627;Escuela Militar de Chorrillos;PRU_TT_Escudo_de_la_Escuela_Militar_de_Chorrillos;4;1946;1970;large_unit_tactics;centralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2628;Ernesto Montagne Markholz;T_PRU_Ernesto_Montagne_Markholz;4;1929;1939;small_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2629;Eloy Ureta Montehermoso;T_PRU_Eloy_Ureta_Montehermoso;4;1936;1946;small_unit_tactics;large_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2630;Juan Velasco Alvarado;PRU_TT_Juan Velasco Alvarado;4;1946;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2631;José del Carmen Marín Arista;T99123;5;1939;1964;general_equipment;training;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2632;César Álvarez Guerra;T99115;3;1940;1969;small_unit_tactics;airborne_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
