SCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3311;Maschinenfabrik Oerlikon;T3305;7;1930;1948;artillery;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3312;Maschinenfabrik Oerlikon;T3305;7;1948;1970;artillery;mechanics;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3313;Holzverzuckerungs AG;T_SCH_Hovag;4;1930;1947;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3314;Holzverzuckerungs AG;T_SCH_Hovag;4;1947;1970;mathematics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3315;La Roche;T3304;5;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3316;Brown-Bovery;T3300;6;1930;1947;mechanics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3317;Brown-Bovery;T3300;6;1947;1970;mechanics;electronics;nuclear_engineering;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3318;Sulzer;T3309;7;1930;1945;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3329;Sulzer;T3309;7;1945;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3320;Sandoz;T3307;5;1930;1970;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3321;University of Zurich;T_SCH_UniversityZurich;5;1930;1970;mathematics;mechanics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3322;Paul Scherrer;T3315;6;1930;1969;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3323;Wolfgang Pauli;T_SCH_Wolfgang_Pauli;8;1937;1959;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3324;Oskar Bider;T_SCH_Oskar_Bider;4;1930;1942;fighter_tactics;piloting;individual_courage;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3325;Fritz Rihner;T3311;5;1930;1960;bomber_tactics;piloting;combined_arms_focus;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3326;Etienne Primault;T3310;6;1942;1960;fighter_tactics;decentralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3327;Henri Guisan;T3312;4;1930;1946;small_unit_tactics;decentralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3328;Jakob Huber;T_SCH_Jakob_Huber;4;1936;1946;small_unit_tactics;centralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3329;Louis de Montmollin;T_SCH_Louis_deMontmollin;5;1946;1965;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3330;Jakob Annasohn;T_SCH_Jakob_Annasohn;5;1949;1970;small_unit_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3331;Herbert Constam;T_SCH_Herbert_Constam;5;1935;1955;mountain_training;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
