JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1911;1st Munitions Arsenal;TJAPNakajima;8;1970;1970;aeronautics;fighter_design;general_equipment;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1912;Hyogo Works;T1902;6;1970;1970;rocketry;aeronautics;electronics;munitions;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1913;Tokiyasu Tanegashima;TJAPTanageshima;6;1930;1970;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1914;Kure Naval Arsenal;TJAPKure;6;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1915;Kawasaki Shipbuilding ;TJAPKawasaki;6;1930;1970;naval_engineering;carrier_design;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1916;Kobe Works;TJAPKawasaki;7;1970;1970;naval_engineering;carrier_design;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1917;Sasebo Naval Arsenal;TJAPSasebo;7;1930;1970;naval_engineering;submarine_design;mechanics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1918;Central Japan Heavy Industries;TJAPMitsuAir;7;1970;1970;aeronautics;fighter_design;aircraft_testing;naval_engineering;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1919;West Japan Heavy Industries;TJAPMitsuShip;8;1970;1970;aeronautics;bomber_design;aircraft_testing;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1920;Yokosuka Naval Arsenal;TJAPYokosuka;7;1930;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1921;Mitsubishi Shipbuilding;TJAPMitsuShip;7;1930;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1922;Kokura Army Arsenal;TJAPKokura;5;1930;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1923;Osaka Army Arsenal;TJAPOsaka;6;1930;1970;artillery;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1924;Nambu Arms Manufacturing Company;T_JAP_Nambu_Arms;6;1927;1970;artillery;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1925;Japan Steel Works;TJAPJapanSW;6;1930;1970;artillery;mechanics;munitions;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1926;Sagami Army Arsenal;TJAPSagami;5;1938;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1927;Sagami Army Arsenal;TJAPSagami;6;1970;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1928;Mitsubishi Motor;TJAPMitsubishiH;5;1930;1970;artillery;mechanics;munitions;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1929;Tokyo Gas & Electric;TJAPTGE;6;1930;1970;aeronautics;mechanics;electronics;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1930;Hino Heavy Industries;T1901;6;1970;1970;artillery;electronics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1931;Hitachi;TJAPHitachi;6;1970;1970;mechanics;electronics;general_equipment;munitions;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1932;Toyota Motor;TJAPToyota;5;1937;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1933;Ishikawajima Heavy Industries;TJAPIshikawajima;5;1930;1970;naval_engineering;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1934;National Government Railways;TJAPNationalRailways;6;1930;1970;mechanics;general_equipment;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1935;Tokyo Automobile Industries;TJAPTokyo;6;1970;1970;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1936;East Japan Heavy Industries;TJAPMitsubishiH;6;1970;1970;mechanics;chemistry;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1937;Nissan-GM Japan;T1909;7;1970;1970;mechanics;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1938;Nippon Oil;TJAPNippon;7;1970;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1939;Japan Iron & Steel;TJAPJAPIS;7;1970;1970;naval_engineering;mechanics;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1940;Mitsui Zaibatsu;TJAPMitsui;5;1930;1970;naval_engineering;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1941;Mitsubishi Zaibatsu;TJAPMitsubishi;5;1930;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1942;Nissan Zaibatsu;TJAPNissan;5;1930;1970;mechanics;chemistry;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1943;Sumitomo Zaibatsu;TJAPSumitomo;5;1930;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1944;Nihon Musen;TJAPJRC;5;1930;1970;mechanics;electronics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1945;Furukawa-Siemens;TJAPFusie;5;1930;1970;mathematics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1946;Fuji Electric Industries;T_JAP_Fuji_Electric;5;1970;1970;mathematics;electronics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1947;Tokyo Shibaura Electric;TJAPToshiba;6;1939;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1948;Yoji Ito;TJAPIto;6;1970;1955;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1949;Tamagawa Wireless Equipment Factory;TJAPNEC;6;1970;1970;mathematics;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1950;Showa Electric Industries;TJAPShowaElectric;6;1939;1970;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1951;Army Medical Academy;TJAPMedAca;5;1930;1970;medicine;chemistry;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1952;RIKEN;T_JAP_RIKEN;5;1930;1970;mathematics;chemistry;nuclear_physics;medicine;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1953;Teiji Takagi;T1911;6;1930;1960;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1954;Yoshio Nishina;T1913;4;1930;1951;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1955;Bunsaku Arakatsu;TJAPArakatsu;5;1943;1970;nuclear_physics;nuclear_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1956;Takazumi Oka;T6406;4;1930;1955;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1957;Minoru Yokota;TJAPYokota;5;1955;1970;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1958;Ichiro Yokoyama;TJAPYokoyama;6;1948;1970;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1959;Shigeyoshi Inoue;TJAPInoue;6;1930;1957;aircraft_testing;small_taskforce_tactics;decentralized_execution;carrier_tactics;bomber_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1960;Mitsuo Fuchida;TJAPFuchida;6;1957;1970;aircraft_testing;small_taskforce_tactics;centralized_execution;carrier_tactics;bomber_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1961;Raizo Tanaka;TJAPTanaka;7;1942;1957;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1962;Tamon Yamaguchi;TJAPYamaguchi;7;1949;1957;large_taskforce_tactics;decentralized_execution;carrier_tactics;bomber_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1963;Teikichi Hori;TJAPHori;8;1930;1948;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1964;Isoroku Yamamoto;TJAPYamamoto;9;1930;1949;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1965;Kumaichi Teramoto;TJAPTeramoto;5;1930;1959;bomber_tactics;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1966;Michio Sugawara;TJAPSugawara;6;1930;1958;fighter_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1967;Hideyoshi Obata;TJAPObata2;6;1938;1960;fighter_tactics;bomber_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1968;Takeo Yasuda;TJAPYasuda;6;1942;1959;bomber_tactics;fighter_tactics;aeronautics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1969;Minoru Genda;T_JAP_Minoru_Genda;7;1944;1970;fighter_tactics;decentralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1970;Takeshi Matsuda;TJAPMatsuda;7;1956;1970;fighter_tactics;centralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1971;Shigekazu Kishimoto;TJAPKishimoto;7;1956;1970;bomber_tactics;decentralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1972;Hajime Sugiyama;TJAPSugiyama;4;1970;1950;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1973;Hideki Tojo;TJAPTojo;4;1970;1954;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1974;Otozo Yamada;TJAPYamada;5;1970;1951;small_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1975;Jinzaburo Masaki;TJAPMasaki;5;1970;1946;large_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1976;Hisaichi Terauchi;TJAPTerauchi;5;1970;1949;large_unit_tactics;decentralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1977;Yorimichi Suzuki;TJAPSuzuki;5;1970;1943;small_unit_tactics;decentralized_execution;combined_arms_focus;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1978;Shin Yoshida;TJAPYoshida;5;1970;1957;small_unit_tactics;decentralized_execution;infantry_focus;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1979;Koji Sakai;TJAPSakai;5;1970;1955;small_unit_tactics;decentralized_execution;combined_arms_focus;blitzkrieg_tactics;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1980;Hata Shunroku;TJAPHata;6;1970;1949;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1981;Jotaro Watanabe;TJAPWatanabe;6;1930;1944;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1982;Toshishiro Obata;TJAPObata;6;1930;1947;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1983;Tetsuzan Nagata;TJAPNagata;6;1930;1954;large_unit_tactics;centralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1984;Toshizo Nishio;TJAPNishio;6;1970;1951;small_unit_tactics;decentralized_execution;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1985;Tomoyuki Yamashita;TJAPYamashita;7;1970;1955;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1986;Tadamichi Kuribayashi;TJAPKuribayashi;7;1940;1961;small_unit_tactics;decentralized_execution;combined_arms_focus;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1987;Rikichi Tsukada;TJAPTsukada;5;1942;1958;airborne_training;decentralized_execution;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1988;Sagami War College;T1922;5;1930;1970;mountain_training;small_unit_tactics;centralized_execution;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1989;Army Raider Training Center;TJAPAirborne;6;1940;1970;airborne_training;small_unit_tactics;general_equipment;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1990;Naval Gunnery School;TJAPGunnery;6;1930;1970;marine_training;small_unit_tactics;general_equipment;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1991;Revolutionary Ground SDF;T1922;6;1970;1970;small_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1992;Revolutionary Maritime SDF;T1923;6;1970;1970;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1993;Revolutionary Air SDF;T1924;6;1970;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1994;Manshu Aircraft;TJAPManshu;6;1970;1970;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1995;South Manchuria Railways;TJAPSMRC;7;1970;1970;mechanics;general_equipment;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
