CSX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8817;Tianjin Tram & Electric Co.;T8807;4;1930;1949;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8818;Imperial Electric Corp.;T8807;5;1949;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8819;Opel Ostasien;T11;5;1969;1970;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8820;Guangzhou Diesel Engine Factory;T_CHI_Guangzhou_Engine;4;1969;1999;mechanics;electronics;general_equipment;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8821;Peiyang Heavy Industry;Peiyang Heavy Industry;4;1941;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8822;Zhili Gongyi Zongju;T8808;3;1930;1970;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8823;AOG Bord der industriellen Entwicklung;t416;3;1969;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8824;Kaiping Coal Mine;T1004;4;1930;1945;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8825;Dai Qing Development Corp.;DQDC;5;1945;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8826;Siemens Ostasien;kaiserreich siemens-china;5;1969;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8827;Anshan Iron & Steel Works;T_MAN_Anshan_Iron&Steel;6;1969;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8828;South Manchuria Railway Co. ;T6400;6;1969;1970;mechanics;electronics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8829;Wang Pu;Wang Pu;4;1940;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8830;Bayer AG Ostasien;Bayerlog_KR;6;1969;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8831;Academia Sinica;T3911;3;1930;1970;mathematics;mechanics;chemistry;training;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8832;Southwest University;T_CYN_Southwest_University;3;1969;1999;mathematics;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8833;Guangxi University;T_CHI_Guangxi_University;3;1969;1949;mathematics;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8834;Guangxi University;T_CHI_Guangxi_University;4;1949;1999;mathematics;electronics;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8835;Hong Kong University;kaiserreich Thku;4;1969;1970;mathematics;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8836;Shanghai University;kaiserreich Tshanghaiu;4;1969;1970;mechanics;electronics;chemistry;medicine;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8837;National Tsinghua University;T_CSX_Tsinghua_University;4;1939;1949;mathematics;electronics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8838;National Tsinghua University;T_CSX_Tsinghua_University;5;1949;1970;mathematics;mechanics;chemistry;nuclear_physics;nuclear_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8839;Fu Zuoyi;T51201;3;1930;1970;fighter_tactics;bomber_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8840;Ministry of Aviation;Ministry of Aviation;4;1930;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8841;Chen Dexie;T_Chen Dexie;5;1940;1970;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8842;Gunther Pluschow;Kaiserreich Pluschowtechteam;6;1969;1955;fighter_tactics;centralized_execution;piloting;combined_arms_focus;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8843;Fèngtian Haijun Xuéyuàn;T14011;4;1969;1970;large_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8844;Tianjin Naval Academy;T8319;4;1930;1970;naval_engineering;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8845;Helmuth von Mucke;kaiserreich vonmucketechteam;5;1969;1957;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8846;Otto Ciliax;kaiserreich_ciliaxtech;6;1930;1965;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8847;Chen Cheng;Chen_Cheng_T;4;1930;1965;small_unit_tactics;centralized_execution;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8848;Zhang Xueliang;Zhang_XueliangT;4;1969;1970;large_unit_tactics;centralized_execution;combined_arms_focus;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8849;Alexander von Falkenhausen;T1005;5;1969;1950;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8850;Wu Peifu;T_Peifu;5;1930;1945;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8851;Hu Lian;T_Hu Lian;6;1945;1970;small_unit_tactics;decentralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8852;Ma Zhanshan;Ma ZhanshanT;6;1969;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8853;Baoding Military Academy;T_Baoding Military Academy;4;1930;1941;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8854;Baoding Military Academy;T_Baoding Military Academy;5;1941;1970;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
