FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1463;Yves Rocard;T_FRA_Yves_Andre_Rocard;6;1936;1970;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1428;Thomson-Houston Électrique;T_FRA_Thomson-Houston;6;1928;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1429;Tréfileries et Laminoirs du Havre;T_FRA_TLH;6;1896;1970;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1430;SNPA;T1414;6;1941;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1431;Usines Chimique des Lille;T1407;7;1969;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1462;Électricité de France;T_FRA_Electricite_de_France;7;1945;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1464;Syndicat de Construction des Batignolles;T_FRA_SCB;8;1871;1970;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1432;Jean Cavaillès;Kaiserreich Cavaille;7;1938;1970;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1433;Syndicat des Machines Bull;T_FRA_Machines_Bull;5;1930;1970;mathematics;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1434;École Polytechnique;T9202;5;1930;1970;mechanics;chemistry;general_equipment;training;management;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1435;F. Joliot & I. Joliot- Curie;T1405;6;1930;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1436;F. Joliot & I. Joliot- Curie;T1405;8;1969;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1437;Raoul Castex;T_FRA_Raoul_Castex;5;1930;1942;small_taskforce_tactics;decentralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1438;Charles Tillon;Kaiserreich Tillon tech;5;1942;1962;naval_artillery;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1439;Albert Jozan;T_FRA_Albert_Jozan;5;1941;1956;large_taskforce_tactics;carrier_tactics;fighter_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1440;André Jubelin;T_FRA_André_Jubelin;5;1956;1970;aircraft_testing;large_taskforce_tactics;carrier_tactics;piloting;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1441;Georges Cabanier;T12103;6;1942;1970;small_taskforce_tactics;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1442;André Marty;Kaisereich Marty techteam;6;1930;1956;naval_engineering;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1443;Jean Philippon;T_FRA_Jean_Philippon;7;1956;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1444;François d'Astier de la Vigerie;T1419;6;1930;1951;fighter_tactics;centralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1445;Antoine de Saint-Exupéry;Kaiserreich Saint-Exupéry tech;6;1936;1952;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1446;André Malraux;Kaiserreich Malraux tech;6;1936;1952;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1447;Robert Rossi;T_FRA_Robert_Rossi2;6;1952;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1448;Yves Ezanno;T_FRA_Yves_Ezanno;7;1952;1970;bomber_tactics;centralized_execution;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1449;Louis Delfino;T_FRA_Louis_Delfino;7;1951;1970;fighter_tactics;centralized_execution;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1450;Maurice Gamelin;T1422;5;1970;1941;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1451;Alfred M.J.L. Montagne;T_FRA_Alfred_Montagne;5;1936;1946;small_unit_tactics;centralized_execution;decentralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1452;Robert Petiet;T_FRA_Robert_Petiet;6;1933;1946;combined_arms_focus;maneuver_tactics;mechanics;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1453;Charles Delestraint;T_FRA_Charles_Delestraint;6;1936;1946;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1454;Henri Tanguy;Kaiserreich tanguy tech;6;1936;1970;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1455;Pierre Billotte;T_FRA_Pierre_Billotte;7;1946;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1456;Missak Manouchian;Kaiserreich Manouchian techteam;7;1936;1970;small_unit_tactics;decentralized_execution;individual_courage;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1457;Charles Ailleret;T_FRA_Charles_Ailleret;7;1953;1970;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1458;Academie de Chasseurs Alpins;100384;6;1890;1970;mountain_training;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1459;Troupes de Marine;T769424;5;1930;1970;marine_training;small_unit_tactics;general_equipment;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1460;1ere Brigade Parachutiste Populaire;Tech_Parachusiste;6;1940;1970;airborne_training;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1461;Jacques Pâris de Bollardière;T_FRA_Jacques_Paris_deBollardiere;6;1946;1970;airborne_training;marine_training;small_unit_tactics;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
