UCS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4621;Zeng Yuanrong;T_UCS_Zeng_Yuanrong;5;1945;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4622;Zhou Junshi;T_UCS_Zhou_Junshi;3;1936;1952;naval_engineering;mathematics;naval_training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4623;Li Yuxi;T_UCS_Li_Yuxi;4;1952;1970;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4624;Jiang Kui;T_UCS_Jiang_Kui;3;1936;1948;fighter_tactics;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4625;An Zhimin;T_UCS_An_Zhimin;4;1948;1970;fighter_tactics;bomber_tactics;centralized_execution;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4626;Jiang Shaoyu;T_UCS_Jiang_Shaoyu;5;1948;1970;bomber_tactics;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4627;Xing Haifan;T_UCS_Xing_Haifan;5;1949;1970;fighter_tactics;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4628;Wang Lingji;T_UCS_Wang_Lingji;3;1922;1940;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4629;Pan Wenhua;T_UCS_Pan_Wenhua;3;1931;1940;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4630;Xu Xiangqian;T_UCS_Xu_Xiangqian;4;1940;1955;small_unit_tactics;large_unit_tactics;individual_courage;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4631;Liu Bocheng;T_UCS_Liu_Bocheng;5;1940;1952;large_unit_tactics;centralized_execution;combined_arms_focus;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4632;Xiao Yisu;T_UCS_Xiao_Yisu;5;1940;1964;small_unit_tactics;decentralized_execution;individual_courage;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4633;Wang Shusheng;T_UCS_Wang_Shusheng;5;1955;1970;small_unit_tactics;combined_arms_focus;maneuver_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4634;Chen Bojun;T_UCS_Chen_Bojun;6;1952;1970;large_unit_tactics;centralized_execution;infantry_focus;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
