USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
113;Portsmouth Naval Shipyard;Portsmouth_T;6;1950;1970;naval_engineering;chemistry;nuclear_engineering;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
114;Philadelphia Naval Shipyard;T129;6;1917;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
115;Newport News Shipbuilding;T109;7;1898;1970;naval_engineering;carrier_design;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
116;Bethlehem Steel & Shipbuilding;T_USA_Bethlehem_Steel;7;1904;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
117;Sun Shipbuilding & Drydock Co.;T_USA_Sun_Shipbuilding;8;1917;1970;naval_engineering;general_equipment;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
118;New York Shipbuilding Corp.;T_USA_New_York_Shipbuilding;8;1899;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
119;Rock Island Arsenal;rockisland;6;1862;1970;artillery;mechanics;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120;Springfield Armory;T116;7;1777;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
121;Watervliet Arsenal;T_USA_Watervliet_Arsenal;8;1812;1970;artillery;naval_artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
122;Signal Corps Laboratories;T_USA_SCL;7;1930;1970;mechanics;electronics;munitions;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
123;Marmon-Herrington;T108;6;1931;1970;mechanics;electronics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
124;Studebaker;T_USA_Studebaker;7;1852;1970;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125;Holt-Caterpillar;T101;7;1925;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
126;Chrysler;Chrysler;7;1925;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
127;American Locomotive Company;T_USA_Alco;7;1901;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
128;General Motors;T10503;8;1908;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
129;Eli Lilly and Company;T_USA_Eli_Lilly;5;1876;1943;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
130;Eli Lilly and Company;T_USA_Eli_Lilly;6;1943;1970;chemistry;management;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
131;Koppers Bartlett-Hayward;T_USA_Koppers_Bartlett-Hayward;6;1927;1970;mechanics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
132;Western Electric Laboratories;T_USA_Western_Electric;7;1868;1970;mechanics;electronics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
133;M.W. Kellogg Company;T_USA_MW_Kellogg_Company;7;1901;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
134;General Electric;westinghouse;7;1892;1970;aeronautics;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
135;Stone & Webster;T_USA_Stone-Webster;8;1889;1970;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
136;Standard Oil;T117;8;1870;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
137;Union Carbide & Carbon Corp.;Kaiserreich Union Carbide;8;1917;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
138;MIT;MIT_T;6;1861;1970;rocketry;mechanics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
139;William & Elizebeth Friedman;T_USA_William-Elizebeth_Friedman;7;1921;1956;mathematics;mechanics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
140;IBM;IBM;7;1911;1970;mathematics;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
141;Johns Hopkins University;T_USA_Johns_Hopkins_University;7;1876;1970;chemistry;training;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
142;Harvard University;Harvard_University;7;1636;1970;mathematics;chemistry;nuclear_physics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143;Walter Zinn;T_USA_Walter_Zinn;6;1939;1970;nuclear_physics;nuclear_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
144;Robert Oppenheimer;T114;9;1939;1967;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145;Richard S. Edwards;T_USA_Richard_Stanislaus_Edwards;5;1936;1942;small_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
146;Harold Stark;T_USA_Harold_Rainsford_Stark;6;1936;1946;large_taskforce_tactics;centralized_execution;naval_training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
147;Francis S. Low;T_USA_Francis_Stuart_Low;6;1942;1956;naval_engineering;electronics;aircraft_testing;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
148;Charles Lockwood;lockwood;7;1942;1951;centralized_execution;decentralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
149;John S. McCain Jr.;T_USA_John_Sidney_McCain_Jr;7;1951;1970;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
150;Frederick J. Horne ;T_USA_Frederick_Joseph_Horne;7;1936;1946;large_taskforce_tactics;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
151;Frederick Trapnell;T_USA_Frederick_Trapnell;7;1943;1967;aircraft_testing;decentralized_execution;piloting;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
152;David L. McDonald;T_USA_David_Lamar_McDonald;7;1956;1970;aircraft_testing;electronics;large_taskforce_tactics;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;x
153;Arthur Radford;T_USA_Arthur_William_Radford;8;1946;1961;large_taskforce_tactics;carrier_tactics;naval_training;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
154;Herbert Dargue;T_USA_Herbert_Arthur_Dargue;5;1935;1945;piloting;aeronautics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
155;Frank S. Patterson;KR_Frank_Stewart_Patterson_TT;5;1945;1961;piloting;individual_courage;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
156;George H. Brett;T_USA_George_Howard_Brett;5;1936;1942;fighter_tactics;bomber_tactics;centralized_execution;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
157;Edward Rickenbacher;Kaiserreich Rickenbacher;6;1936;1948;fighter_tactics;decentralized_execution;piloting;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
158;William Mitchell;mitchell;6;1918;1945;bomber_tactics;centralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
159;Carl Spaatz;T120;6;1942;1951;fighter_tactics;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
160;Bernard Schriever;T_USA_Bernard_Adolph_Schriever;6;1951;1970;bomber_tactics;centralized_execution;decentralized_execution;piloting;rocketry;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;x
161;Haywood S. Hansell;T_USA_Haywood_Shepherd_Hansell;7;1945;1968;bomber_tactics;centralized_execution;piloting;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
162;Gordon P. Saville;T_USA_Gordon_Philip_Saville;7;1948;1967;fighter_tactics;piloting;electronics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
163;Elwood Quesada;T_USA_Elwood_Richard_Quesada;7;1951;1969;fighter_tactics;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
164;John C.H. Lee;T_USA_John_Clifford_Hodges_Lee;6;1938;1947;decentralized_execution;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
165;Arthur Trudeau;T_USA_Arthur_Gilbert_Trudeau;6;1946;1967;decentralized_execution;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
166;Daniel Van Voorhis;T_USA_Daniel_Van_Voorhis;5;1930;1941;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
167;Jacob Devers;T_USA_Jacob_Loucks_Devers;6;1941;1953;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
168;Alfred Gruenther;T_USA_Alfred_Gruenther;6;1953;1964;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
169;George Marshall;T_USA_George_Marshall;7;1936;1945;large_unit_tactics;centralized_execution;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170;Dwight Eisenhower;T123;7;1945;1953;small_unit_tactics;large_unit_tactics;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
171;Creighton Abrams;T_USA_Creighton_Abrams;7;1953;1970;small_unit_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
172;Walter Krueger;T_USA_Walter_Krueger;7;1936;1946;small_unit_tactics;centralized_execution;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
173;Lesley McNair;T_USA_Lesley_McNair;8;1937;1948;small_unit_tactics;decentralized_execution;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
174;Army Mountain Warfare School;Z_T_USA_AMWS;5;1940;1970;mountain_training;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175;William T. Ryder;T_USA_William_Thomas_Ryder;5;1941;1970;airborne_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
176;Victor Krulak;krulak;5;1954;1970;airborne_training;marine_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
177;Robert H. Dunlap;T_USA_Robert_Henry_Dunlap;6;1933;1943;marine_training;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
178;Alexander Vandegrift;T_USA_Alexander_Vandegrift;7;1943;1948;marine_training;small_unit_tactics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
179;Lemuel C. Shepherd Jr.;T_USA_Lemuel_Shepherd_Jr;7;1948;1960;marine_training;small_unit_tactics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
