BRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4426;Universidade do Brasil;BRA_UDB;4;1940;1970;mathematics;mechanics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4427;IPEN;BRA_IPEN;3;1950;1970;nuclear_physics;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4428;Aristides Guilhem;T4410;4;1935;1948;small_taskforce_tactics;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4429;Escola Naval;BRA_EN;4;1930;1970;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4430;Sílvio de Noronha;T_BRA_Noronha;5;1946;1957;naval_engineering;decentralized_execution;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4431;Salgado Filhõ;T4412;4;1930;1947;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4432;Epaminondas dos Santos;T4413;4;1930;1954;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4433;Academia da Força Aérea;BRA_ADFA;4;1930;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4434;Nero Moura;T4416;5;1943;1964;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4435;Academia Militar Agulhas Negras;BRA_AMAN;4;1930;1970;centralized_execution;individual_courage;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4436;Newton Estillac Leal;BRA_NEWTON;5;1930;1970;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4437;Eurico Gaspar Dutra;BRA_EURICO;5;1930;1970;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4438;João Mascarenhas de Morais;T4409;4;1937;1954;mountain_training;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
