ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
329;John Tovey;T_ENG_JohnTovey;7;1940;1950;naval_artillery;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
330;Rhoderick McGrigor;T_ENG_RMcGrigor;7;1946;1955;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
331;Caspar John;T_ENG_Caspar_John;7;1948;1970;aircraft_testing;piloting;decentralized_execution;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
332;Andrew Cunningham;T318;8;1930;1946;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
333;William Wedgewood Benn;T_ENG_William_Wedgewood_Benn;6;1930;1946;fighter_tactics;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
334;Basil Embry;T_ENG_Basil_Edward_Embry;6;1946;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
335;Hugh Dowding;T324;7;1930;1948;fighter_tactics;decentralized_execution;piloting;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
336;John Cunningham;T_ENG_John_Cunningham;7;1948;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
337;Arthur Harris;T319;7;1930;1949;bomber_tactics;centralized_execution;piloting;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
338;Harry Broadhurst;T_ENG_Harry_Broadhurst;7;1949;1970;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
339;Percy Hobart;T326;6;1936;1951;small_unit_tactics;combined_arms_focus;blitzkrieg_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340;Bernard Montgomery;T_ENG_Bernard_Montgomery2;6;1936;1950;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
341;Alan Brooke;T317;6;1930;1948;large_unit_tactics;centralized_execution;infantry_focus;large_unit_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
342;James H. Cassels;T_ENG_Archibald_James_Cassels;6;1950;1970;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
343;Harold E. Pyman;T_ENG_Harold_English_Pyman2;6;1951;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
344;Richard McCreery;T_ENG_McCreery;7;1940;1952;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
345;Richard A. Hull;T_ENG_Richard_Amyatt_Hull;7;1952;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
346;Dudley Clarke;T322;6;1936;1965;airborne_training;marine_training;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
347;Republican Parachute Regiment;republican_parachute;6;1930;1970;airborne_training;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
348;Republican Marines;Rep_marines_badge;8;1920;1970;marine_training;mountain_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
