OTT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15710;Ankara Arms Factory ;T_OTT_Ankara_Arms;5;1924;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15711;Opel Ost;T11;4;1936;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15712;Eskisehir Locomotive Factory;T_TUR_Tulomsas;4;1894;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15713;Koczade Ahmet Vehbi;T_TUR_Vehbi_Koc;4;1926;1946;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15714;Koc Ticaret A.S.;T_TUR_Vehbi_Koc;4;1946;1970;mechanics;electronics;general_equipment;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15715;Mineral Research & Exploration Institute;T_TUR_MTA;4;1935;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15716;Ottoman Electric Company;T_OTT_Istanbul_Electric;4;1910;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15717;Nejat Ferit Eczacibasi;T_TUR_Nejat_Ferit_Eczacibasi;4;1944;1970;medicine;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15718;Karabük Iron & Steel Works;T_TUR_Karabuk_Iron_and_Steel;5;1937;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15719;The Berlin-Baghdad Railway;BAGHDAD;5;1969;1970;mechanics;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15720;German Ottoman Petroleum Company;T3505;6;1920;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15721;Istanbul Üniversitesi;T_TUR_Istanbul_Universitesi;5;1933;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15722;Cahit Arf;T_TUR_Cahit_Arf;6;1939;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15723;Imperial School of Naval Sciences;OTT_Tech_Naval;3;1850;1970;naval_engineering;marine_training;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15724;Sükrü Okan;T_TUR_Sukru_Okan;4;1919;1945;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15725;Hüseyin Rauf Orbay;ORBAY;4;1919;1945;naval_artillery;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15726;Mehmet Ali Ülgen;T_TUR_Ali_Ulgen;4;1945;1952;naval_artillery;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15727;Necdet Uran;T_TUR_Necdet_Uran;5;1952;1970;large_taskforce_tactics;centralized_execution;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15728;Fahri Korutürk;T_TUR_Fahri_Koruturk;5;1945;1970;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15729;Yesilköy Naval Aviation School;T_OTT_Naval_Aviation_School;4;1914;1970;bomber_tactics;decentralized_execution;piloting;aircraft_testing;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15730;Ahmet Ali Celikten;T_OTT_Ahmet_Ali_Celikten2;5;1924;1945;fighter_tactics;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15731;Mehmet Fazil;T_OTT_Mehmet_Fazil;5;1922;1951;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15732;Muzaffer Göksenin;T_OTT_Muzaffer_Goksenin;5;1945;1965;fighter_tactics;centralized_execution;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15733;Hamdullah Suphi Göker;T_OTT_Hamdullah_Suphi_Goker;5;1951;1966;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15734;Imperial School of Military Engineering;T_OTT_Military_Eng_School;4;1795;1970;centralized_execution;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15735;Imperial Military Academy;OTTmiltech;5;1834;1970;centralized_execution;infantry_focus;mountain_training;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15736;Fevzi Cakmak Pasha;Fevzi_cakmakT;5;1936;1942;small_unit_tactics;decentralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15737;Kazim Orbay;T_OTT_Kazim_Orbay;5;1942;1949;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15738;Kazim Karabekir Pasha;OTT_Tech_Karabekir;5;1936;1949;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15739;Ismail Hakki Berkok;OTT_Tech_Berkok;5;1936;1949;small_unit_tactics;centralized_execution;individual_courage;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15740;Mustafa Rüstü Erdelhun;T_OTT_Mustafa_Rustu_Erdelhun;5;1946;1956;large_unit_tactics;infantry_focus;combined_arms_focus;large_unit_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15741;Mustafa Kemal Pasha;KEMAL;6;1930;1939;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15742;Selahattin Adil Pasha;T_OTT_Selahattin_Adil;6;1938;1949;centralized_execution;individual_courage;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15743;Ismet Inönu Pasha;OTT_Tech_Ismet;6;1936;1949;large_unit_tactics;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15744;Osman Fuad Efendi;OTT_Tech_Osman;6;1930;1960;small_unit_tactics;individual_courage;combined_arms_focus;maneuver_tactics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15745;Cevdet Sunay;T_TUR_Cevdet_Sunay;6;1949;1966;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15746;Asim Gündüz Pasha;T_OTT_Asim_Gunduz;6;1923;1945;large_unit_tactics;large_unit_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15747;Cemal Tural;T_OTT_Cemal_Tural;6;1956;1970;small_unit_tactics;large_unit_tactics;individual_courage;static_defense_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15748;Danis Karabelen;T_TUR_Danis_Karabelen;4;1952;1963;airborne_training;small_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
