AUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
641;Zoltán Bay;T1614;6;1965;1970;mathematics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
642;Uniwersytet Lwowski;T_POL_Uniwersytet_Lwowski;6;1965;1970;mathematics;electronics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
643;János Neumann;kaiserreich_neumann;8;1965;1970;mathematics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
644;Ede Teller;kaiserreich_teller;8;1965;1970;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645;Bayer Österreich;Bayerlog_KR;6;1900;1970;medicine;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
646;k.k. Marine-Akademie;kaiserreich_T19;4;1930;1970;naval_engineering;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;x
647;Janko Vukovic;T_AUS_Janko_Vukovic;5;1930;1944;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
648;Carl-Heinz Birnbacher;T_AUS_Carl-Heinz_Birnbacher;5;1948;1970;naval_artillery;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
649;Georg von Trapp;Kaiserreich_tech_von Trapp;5;1930;1948;small_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
650;Josip Cerni;T_AUS_Josip_Cerni;5;1944;1970;naval_engineering;large_taskforce_tactics;submarine_tactics;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
651;k.k. Seefliegerkorps;T_AUS_Seefliegerkorps;4;1930;1970;bomber_tactics;piloting;aeronautics;aircraft_testing;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
652;Gottfried von Banfield;kaiserreich_T18;5;1930;1950;fighter_tactics;decentralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
653;Godwin von Brumowski;T_AUS_Godwin_Brumowski;6;1930;1946;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
654;Alexander Löhr;T604;6;1930;1950;bomber_tactics;centralized_execution;combined_arms_focus;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
655;Hermann Buchner;T_AUS_Hermann_Buchner;6;1948;1970;bomber_tactics;centralized_execution;decentralized_execution;combined_arms_focus;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
656;Gordon Gollob;T_AUS_Gordon_Gollob;6;1946;1970;fighter_tactics;centralized_execution;piloting;electronics;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
657;Walter Nowotny;T_AUS_Walter_Nowotny;7;1948;1970;fighter_tactics;piloting;individual_courage;technical_efficiency;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
658;Alfred Jansa;T_AUS_Alfred_Jansa;5;1930;1946;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
659;Ludwig von Eimannsberger;T_AUS_Ludwig_Eimannsberger;5;1930;1943;small_unit_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
660;Erwin Fussenegger;T_AUS_Erwin_Fussenegger;6;1946;1970;large_unit_tactics;centralized_execution;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
661;Erhard Raus;T_AUS_Erhard_Raus;6;1943;1953;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
662;Emil Spannocchi;T_AUS_Emil_Spannocchi;6;1950;1970;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
663;Karl von Wohlgemuth;T_AUS_Karl_Wohlgemuth;7;1953;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
666;Robert Martinek;T_AUS_Robert_Martinek;7;1934;1954;small_unit_tactics;centralized_execution;decentralized_execution;artillery;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
664;Karl von Lütgendorf ;T_AUS_Karl_Lutgendorf;5;1947;1970;airborne_training;marine_training;small_unit_tactics;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
665;Theresianische Militärakademie;T_AUS_Theresianische;6;1900;1970;mountain_training;small_unit_tactics;individual_courage;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
