CGX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8723;Hellmuth von Mücke;kaiserreich vonmucketechteam;5;1925;1946;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8724;Conrad Patzig;T_CGX_Conrad_Patzig;5;1925;1946;naval_artillery;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8725;Gustav Siess;T_CGX_Gustav_Siess;6;1925;1949;naval_engineering;submarine_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8726;Karl Kettembeil;T_CGX_Karl_Kettembeil;4;1935;1955;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8727;Kurt-Bertram von Döring;T_CGX_Kurt-Bertram_vonDoring;5;1930;1954;fighter_tactics;centralized_execution;decentralized_execution;piloting;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8728;Xiaoguwei Allgemeine Kriegschule;T1013;4;1924;1970;small_unit_tactics;large_unit_tactics;centralized_execution;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8729;Hans Sehmsdorf;T_CGX_Hans_Sehmsdorf;5;1935;1941;large_unit_tactics;centralized_execution;infantry_focus;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8730;Hermann Voigt-Ruscheweyh;T_CGX_Hermann_Voigt-Ruscheweyh;5;1933;1944;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8731;Karl Fabiunke;T_CGX_Karl_Fabiunke;5;1944;1959;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8732;Erich Hauger;T_CGX_Erich_Hauger;5;1944;1961;small_unit_tactics;infantry_focus;combined_arms_focus;general_equipment;training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8733;Walter Hollaender;T_CGX_Walter_Hollaender;5;1944;1969;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8734;Alexander von Falkenhausen;T1005;6;1930;1944;centralized_execution;decentralized_execution;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8735;Ouyang Ge;T_CGX_Ouyang_Ge;3;1936;1951;naval_artillery;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8736;Li Qingwen;T_CGX_Li_Qingwen;4;1935;1951;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8737;Feng Qicong;T_CGX_Feng_Qicong;4;1951;1970;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8738;Huang Guangrui;T_CGX_Huang_Guangrui;3;1932;1948;fighter_tactics;bomber_tactics;piloting;aeronautics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8739;Zhou Zhirou;T_CGX_Zhou_Zhirou;4;1936;1947;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8740;Lei Yanjun;T_CGX_Louie_Yim-qun;4;1948;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8741;Chen Ruitian;Chintech;5;1937;1970;fighter_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8742;Li Xueyan;T_CGX_Li_Xueyan;5;1947;1970;bomber_tactics;centralized_execution;piloting;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8743;Huang Zhenqiu;T1008;4;1934;1950;centralized_execution;individual_courage;combined_arms_focus;artillery;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8744;Huang Qixiang;T_CGX_Huang_Qixiang;4;1936;1950;small_unit_tactics;large_unit_tactics;decentralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8745;Fan Hanjie;T_CGX_Fan_Hanjie;5;1936;1950;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8746;Zhang Yunyi;T_CGX_Zhang_Yunyi;6;1936;1949;centralized_execution;decentralized_execution;infantry_focus;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8747;Tang Junbo;T_CGX_Tang_Junbo;6;1949;1970;small_unit_tactics;artillery;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8748;Xie Zhaoqi;T_CGX_Xie_Zhaoqi;6;1950;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8749;Zhou Shidi;T_CGX_Zhou_Shidi;6;1941;1965;small_unit_tactics;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
