RSI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7719;Industria Pesante di Stato;RSI_Industrie;5;1930;1970;mechanics;general_equipment;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7720;Ferrovie Repubblicane Italiane;RSI_Ferrovie;6;1930;1970;mechanics;electronics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7721;Ferrovie Nord;ITA_FerrovieNord;6;1969;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7722;Ugo Tiberio;T_RSI_Ugo_Tibero;5;1937;1970;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7723;Sapienza di Roma;ITA_Sapienza;5;1969;1970;mathematics;chemistry;training;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7724;Politecnico di Milano;ITA_Politecnico;5;1969;1970;mathematics;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7725;Università Federico II;RSI_FedericoII;6;1930;1970;mathematics;electronics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7726;Ettore Majorana;RSI_Majorana;7;1930;1960;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7727;Enrico Fermi;T1807;7;1930;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7728;Domenico Cavagnari;T1814;4;1930;1946;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7729;Emilio Ferreri;T_ITA_Emilio_Ferreri;5;1946;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7730;Scuola Navale di Taranto;RSI_Taranto;5;1930;1970;small_taskforce_tactics;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7731;Aviazione Navale;T_ITA_Aviazione_Navale;5;1969;1970;large_taskforce_tactics;carrier_tactics;bomber_tactics;piloting;aircraft_testing;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7732;Amedeo Mecozzi;T_ITA_Amedeo_Mecozzi;4;1930;1948;fighter_tactics;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7733;Silvio Napoli;T_RSI_Silvio_Napoli;5;1948;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7734;Ruggero Bonomi;T_RSI_Ruggero_Bonomi;5;1938;1970;bomber_tactics;piloting;aircraft_testing;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7735;Arrigo Tessari;T_RSI_Arrigo_Tessari;5;1937;1952;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7736;Adriano Visconti;T_RSI_Adriano_Visconti;6;1952;1970;fighter_tactics;decentralized_execution;piloting;individual_courage;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7737;Gastone Gambara;T_RSI_Gastone_Gambara;5;1930;1955;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7738;Giovanni de Lorenzo;T_RSI_Giovanni_Lorenzo;5;1950;1970;small_unit_tactics;large_unit_tactics;centralized_execution;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7739;Giovanni Messe;T1816;6;1939;1968;small_unit_tactics;decentralized_execution;combined_arms_focus;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7740;Scuola Militare Nunziatella;RSI_Nunziatella;6;1930;1970;small_unit_tactics;centralized_execution;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7741;Italo Balbo;T1815;4;1930;1950;airborne_training;small_unit_tactics;individual_courage;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7742;Giuseppe Izzo;T_RSI_Giuseppe_Izzo;6;1950;1970;airborne_training;small_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
