PAK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12540;Arjan Singh;T_PAK_Arjan_Singh;6;1948;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12544;Cecil Bouchier;Bouchiertech;6;1930;1946;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12545;Claude Harold Rowcroft;Rowcrofttech;4;1930;1940;combined_arms_focus;cavalry_tactics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12546;Hugh Elles;Ellestech;5;1930;1946;decentralized_execution;blitzkrieg_tactics;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12549;Ganga Singh;Gangatech;5;1930;1944;small_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12547;Kumar Shri Rajendrasinhji;T_PAK_KS_Rajendrasinhji;5;1940;1950;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12548;Nathu Singh Rathore;Nathutech;6;1943;1967;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12550;Sam Manekshaw;T_IND_Sam_Manekshaw;6;1950;1970;large_unit_tactics;small_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12551;Archibald Wavell;T10805;7;1930;1947;large_unit_tactics;decentralized_execution;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12552;Premindra Singh Bhagat;T_PAK_Premindra_Singh_Bhagat;6;1948;1970;small_unit_tactics;combined_arms_focus;static_defense_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12553;D.K. Palit;T_PAK_DK_Palit;6;1952;1970;decentralized_execution;infantry_focus;combined_arms_focus;maneuver_tactics;nuclear_engineering;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12555;Quetta Cadet College;Quettatech;4;1970;1970;mountain_training;small_unit_tactics;decentralized_execution;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12554;Amir Abdullah Khan Niazi;T_IND_Amir_Abdullah_Khan_Niazi;5;1948;1970;airborne_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
