EAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9000112;China Light & Power Company Syndicate;T_EAF_China_Light&Power;4;1901;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000113;Jardine Matheson & Co.;T_EAF_Jardine_Matheson;4;1832;1970;naval_engineering;mechanics;general_equipment;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000114;Paul Y. Engineering;T_EAF_Paul_Y_Engineering;5;1946;1970;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000115;University of Hong Kong;kaiserreich Thku;3;1911;1970;mathematics;management;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000116;Shanghai University;kaiserreich Tshanghaiu;4;1922;1970;mathematics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000117;Lin Kesheng;T_EAF_Robert_Kho-Seng_Lim;5;1936;1970;individual_courage;training;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000118;Wusong Merchant Marine College;T_EAF_Shanghai_Maritime_University;3;1909;1970;naval_engineering;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000119;Hugh Marrack;T_EAF_Hugh_Richard_Marrack;3;1933;1954;small_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000120;Reginald Vesey Holt;T_EAF_Reginald_Vesey_Holt;4;1936;1948;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000121;Milton E. Miles;T_EAF_Milton_Edward_Miles;5;1948;1970;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000122;Far East Flying Training School;T_EAF_Far_East_Flying_School;3;1934;1957;aeronautics;mechanics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000123;Far East Flying Training School;T_EAF_Far_East_Flying_School;3;1957;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000124;Maxwell N. Oxford;T_EAF_Maxwell_Norman_Oxford;4;1937;1970;fighter_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000125;John Babington;T_EAF_John_Tremayne_Babington;4;1936;1957;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000126;William E. Fairbairn;Kaiserreich TFairbairn;5;1926;1950;small_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000127;James Marshall-Cornwall;T_EAF_James_Marshall-Cornwall;5;1936;1952;small_unit_tactics;centralized_execution;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000128;Francis Festing;T_EAF_Francis_Wogan_Festing;5;1946;1968;large_unit_tactics;individual_courage;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9000129;Shanghai Marines;T_EAF_Shanghai_Marines;4;1927;1970;marine_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
